origin,education,allocation,account,raw_n_25_64,raw_n_65_plus,population_25_plus,ba_plus_share_25_64,share_65_plus_of_adults,unsupported_age_bands,net_per_person_25_64_estimate,net_per_person_25_64_se_joint,net_per_person_25_64_ci95_low,net_per_person_25_64_ci95_high,net_per_person_65_plus_estimate,net_per_person_65_plus_se_joint,net_per_person_65_plus_ci95_low,net_per_person_65_plus_ci95_high,net_per_person_25_plus_estimate,net_per_person_25_plus_se_joint,net_per_person_25_plus_ci95_low,net_per_person_25_plus_ci95_high,gap_vs_native_same_education_common_age,gap_ci95_low,gap_ci95_high,gap_standard_mass
poland,ba_plus,shared,expanded_excluding_N,39,16,173397,0.524605,0.390333,6,21236.9,5055.37,11328.4,31145.5,-18552.1,7152.33,-32570.6,-4533.48,8528.15,5025.18,-1321.2,18377.5,,,,0
third_plus_nh_white,ba_plus,shared,expanded_excluding_N,16054,5533,5.37557e+07,0.443822,0.315568,0,20601.3,572.715,19478.8,21723.8,-18920.4,1060.13,-20998.3,-16842.5,9679.3,553.665,8594.12,10764.5,1162.8,734.306,1591.3,1
all_native,ba_plus,shared,expanded_excluding_N,22803,7165,7.36319e+07,0.411441,0.280165,0,19352.8,492.169,18388.1,20317.4,-19539.4,962.296,-21425.5,-17653.3,9730.97,477.298,8795.46,10666.5,0,0,0,1
russia_ukraine_ussr,ba_plus,shared,expanded_excluding_N,149,22,525612,0.64349,0.206214,4,15981.9,3214.48,9681.51,22282.3,-19834.2,5478.5,-30572.1,-9096.37,9774.09,3192.01,3517.75,16030.4,-545.873,-8648.49,7556.74,0.480098
japan,ba_plus,shared,expanded_excluding_N,76,23,210151,0.765856,0.32569,6,15425.5,4897.76,5825.92,25025.1,-9184.87,6863.28,-22636.9,4267.16,10049.8,4394.96,1435.7,18664,,,,0
nigeria,ba_plus,shared,expanded_excluding_N,83,11,300886,0.716198,0.0942176,5,12772.4,3199.96,6500.45,19044.3,-14687.7,7066.69,-28538.4,-836.945,10089.3,3087.4,4037.95,16140.6,-8498.36,-19631.5,2634.8,0.223631
korea,ba_plus,shared,expanded_excluding_N,201,42,586198,0.743397,0.25218,2,18385.9,2886.85,12727.7,24044.2,-15802.7,6207.04,-27968.5,-3636.88,12383.9,2888.03,6723.39,18044.5,-340.478,-6848,6167.04,1
egypt,ba_plus,shared,expanded_excluding_N,31,7,97925.2,0.733127,0.161201,6,14355.8,4340.02,5849.39,22862.3,7792.42,10174.1,-12148.7,27733.6,13302.8,3953.54,5553.86,21051.7,,,,0
germany,ba_plus,shared,expanded_excluding_N,34,25,144930,0.555794,0.523681,6,29406.7,6290.68,17077,41736.5,2417.13,13060.5,-23181.5,28015.8,16766.9,6852.3,3336.39,30197.4,,,,0
taiwan_hong_kong,ba_plus,shared,expanded_excluding_N,115,42,395468,0.796099,0.313789,2,29179.1,5172.47,19041.1,39317.2,-7747.76,6135.41,-19773.2,4277.65,18955.2,4400.72,10329.8,27580.6,10484.6,-695.753,21665,0.721979
india,ba_plus,shared,expanded_excluding_N,1112,104,3.21572e+06,0.904793,0.118821,0,23160.6,1510.5,20200,26121.2,-5134.89,4781.7,-14507,4237.24,20702.2,1459.62,17841.3,23563,4422.04,982.131,7861.95,1
iran,ba_plus,shared,expanded_excluding_N,61,18,237505,0.736557,0.300005,6,29601.8,6091.53,17662.4,41541.2,-12423.6,7974.94,-28054.5,3207.31,21303.7,5582.41,10362.2,32245.2,,,,0
brazil,ba_plus,shared,expanded_excluding_N,96,9,284409,0.506021,0.0802266,4,26023.8,5328.56,15579.8,36467.8,-21936.3,7503.38,-36642.9,-7229.69,21465.1,5561.98,10563.6,32366.6,12252.7,-415.517,24921,0.480098
united_kingdom,ba_plus,shared,expanded_excluding_N,101,39,366485,0.685019,0.388883,4,31787.6,4471.93,23022.7,40552.6,-4663.37,15938.7,-35903.2,26576.4,21574.1,5652.83,10494.6,32653.7,14732.4,4446.31,25018.6,0.480098
canada,ba_plus,shared,expanded_excluding_N,123,41,399040,0.729889,0.327118,4,29830.6,5166.3,19704.6,39956.5,1712.19,9501.22,-16910.2,20334.6,23243.8,4655.9,14118.2,32369.3,10702.4,-2050.77,23455.5,0.465512
china_mainland,ba_plus,shared,expanded_excluding_N,425,61,1.19379e+06,0.684732,0.258432,1,27203.4,2762.58,21788.8,32618.1,4150.61,12038.8,-19445.4,27746.6,24156.1,3299.85,17688.4,30623.8,7110.2,1624.2,12596.2,1
