group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
mexican_second_gen,male,45-54,171,455866.27999999997,0.3029664093602185,0.5880217330397853,1.9408809520551296,3.526974796205589,0.15878007033115066,0.25947363336459106,1.577225716278028
mexican_second_gen,male,55-64,121,272452.58999999997,0.08093195223433187,0.13962763209555104,1.72524730024145,0.7997703013210482,0.00785971607023446,0.059218706638098036,0.3904477839612389
mexican_second_gen,male,65-74,74,157197.62,0.012257501099571355,0.012257501099571355,1.0,0.04903000439828542,0.0,0.012257501099571355,0.02451500219914271
mexican_second_gen,male,75+,45,90109.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican_second_gen,female,18-24,591,1417797.29,0.07984108221846016,0.10549302855558428,1.321287558038549,1.5621963701171977,0.805844049821819,0.07814029606446772,1.0429931912198815
mexican_second_gen,female,25-34,594,1381206.83,0.45320369578537345,0.9653998670134002,2.1301676839603507,10.710906816179007,3.4200613314372323,0.45073759879973957,5.167782235771306
mexican_second_gen,female,35-44,355,749894.75,0.6314892189870646,1.264758581120884,2.0028189604718993,10.407141522193614,2.795922721155202,0.6012879407410173,5.078364757187591
mexican_second_gen,female,45-54,195,429408.6,0.4703199935911857,0.7530178715563685,1.601075611960718,4.233437895747779,1.208469159676821,0.40160604608291506,2.018134545977887
mexican_second_gen,female,55-64,116,255889.59999999998,0.07523404624494312,0.08419767743589422,1.119143282042385,0.439531305688078,0.18428455083754872,0.035420196834885044,0.2807105486115888
mexican_second_gen,female,65-74,82,150076.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican_second_gen,female,75+,60,120812.51000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican_second_gen,all,18-24,1206,2782050.44,0.04988863537643121,0.06562594530097736,1.315448795217616,0.9640012206248856,0.43918993071886936,0.04814315659927431,0.6480710500705372
mexican_second_gen,all,25-34,1185,2676038.8600000003,0.3628392302195492,0.7484139673517296,2.062660002058968,8.453484550669042,1.9980069272985068,0.3606096736577285,4.203762907987068
mexican_second_gen,all,35-44,664,1524980.6600000001,0.5410153135974852,1.0897823582890551,2.014328117706206,9.473130760884533,1.8432684582373653,0.5236028763800846,4.648361665124329
mexican_second_gen,all,45-54,366,885274.8799999999,0.38414240331771304,0.6680542319239875,1.7390796385773089,3.869649526257879,0.6679389005141545,0.32841592658768315,1.7910915420982014
mexican_second_gen,all,55-64,237,528342.1900000001,0.07817231101684308,0.11278149110143938,1.4427293965652288,0.6252973664662289,0.09330676393645564,0.047692481268626304,0.3372992416146058
mexican_second_gen,all,65-74,156,307273.99,0.006270787839868906,0.006270787839868906,1.0,0.025083151359475624,0.0,0.006270787839868906,0.012541575679737812
mexican_second_gen,all,75+,105,210922.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican_third_plus_selfid,male,18-24,359,793333.2300000001,0.04390572420620777,0.06450159663676258,1.4690931035284642,0.9665538149712951,0.17878596866539925,0.04071995068201038,0.5823606430805879
mexican_third_plus_selfid,male,25-34,423,914611.54,0.2824482511996295,0.5353766583789222,1.8954858318472199,6.896818183597377,0.4683302596422521,0.28212310769662935,3.590058354172964
mexican_third_plus_selfid,male,35-44,312,785118.13,0.40764908842443875,0.8893920205358142,2.1817588847636307,7.624372283951716,0.43771173644913797,0.3720955469465468,3.489578835735203
mexican_third_plus_selfid,male,45-54,245,590277.3500000001,0.34171746552701027,0.5889658649446737,1.7235462753896627,3.790826075233955,0.6690118636603624,0.26137177718237026,1.6610905195667764
mexican_third_plus_selfid,male,55-64,188,413474.0,0.09119475468832382,0.1007473504984594,1.1047493997081683,0.5901087855584631,0.01710496911534945,0.05714811572190754,0.39901343252538246
mexican_third_plus_selfid,male,65-74,157,290995.72,0.012739396991818301,0.013760580396165277,1.0801594773287009,0.05745936744361739,0.0,0.004730172663707907,0.028756780340274426
mexican_third_plus_selfid,male,75+,87,146205.72999999998,0.007149377797983705,0.01429875559596741,2.0,0.14298755595967408,0.0,0.007149377797983705,0.10724066696975557
mexican_third_plus_selfid,female,18-24,361,867964.22,0.09234081100716342,0.1447435817112369,1.5674930741079187,2.2036211815275055,0.4659356234753547,0.09234081100716342,1.3114576082410403
mexican_third_plus_selfid,female,25-34,432,1013684.46,0.4256721761326005,0.8882739210582354,2.086755890715137,10.591436392346392,2.692499991565423,0.4226333113560802,5.171936146678227
mexican_third_plus_selfid,female,35-44,385,796482.01,0.6056905666959133,1.1777059974022515,1.9444020794755392,9.539313637479394,2.5867224421051267,0.5258411674608947,4.639154913241543
mexican_third_plus_selfid,female,45-54,269,576805.1,0.34007566854037874,0.5224060778935554,1.536146588010097,2.754144770911353,0.8490633144540505,0.2388541640841941,1.418408315044371
mexican_third_plus_selfid,female,55-64,223,435729.72,0.028749175062008622,0.044781567803086744,1.5576644445100813,0.3130821097078253,0.09855685308773521,0.022073867258813558,0.15614422628780064
mexican_third_plus_selfid,female,65-74,192,339539.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican_third_plus_selfid,female,75+,123,219148.25999999998,0.019329881971228063,0.03442048775564086,1.7806879424755262,0.21316359071251584,0.11352953475423444,0.0150906057844128,0.13347128560363655
mexican_third_plus_selfid,all,18-24,720,1661297.4500000002,0.06921119995699747,0.10642495719234385,1.5376840346427767,1.6128740822421654,0.3288106533841968,0.06768987094996143,0.9632858522716687
mexican_third_plus_selfid,all,25-34,855,1928296.0,0.3577395275414148,0.7208909524263909,2.0151280384942503,8.839039224268475,1.6375523571070003,0.3559878099627858,4.421634489725645
mexican_third_plus_selfid,all,35-44,697,1581600.1400000001,0.5073812967669564,1.0345847844955298,2.0390676422010903,8.588722437771153,1.51993746662162,0.4495206923793013,4.068496756708683
mexican_third_plus_selfid,all,45-54,514,1167082.45,0.34090604309918293,0.5560701388320938,1.631153656816553,3.2784689033752503,0.7579983744935931,0.2502429369921551,1.541150121827297
mexican_third_plus_selfid,all,55-64,411,849203.72,0.05915368576105625,0.07203109049027717,1.217694038225066,0.4479653245042308,0.0588982464655242,0.03915138289785165,0.2743963015140819
mexican_third_plus_selfid,all,65-74,349,630535.05,0.005879308374689083,0.0063505906610584134,1.0801594773287009,0.02651784385340672,0.0,0.002183003149468059,0.013271427179186945
mexican_third_plus_selfid,all,75+,210,365353.99,0.014455542144209235,0.02636826273609329,1.8240936571622246,0.1850808581562227,0.06809779195240212,0.011912720591884054,0.12297443364447723
all_hispanic,male,18-24,1746,4029625.7200000007,0.045516855098889926,0.06316622626679085,1.387754626930088,0.8680596196909324,0.10507062923948182,0.04347918198219163,0.5676268340872114
all_hispanic,male,25-34,2356,5294850.71,0.27457724676811524,0.5301156205780919,1.9306611411461303,6.405482561754796,0.35989413382346336,0.27377617602366733,3.352926972326289
all_hispanic,male,35-44,2103,5014028.92,0.47121260920050684,0.9450352053414163,2.005538873301439,8.521867781727913,0.556621588054183,0.44669792810050246,4.275098850048116
all_hispanic,male,45-54,1733,4191193.54,0.3554979520225163,0.6010772339566071,1.6908036474948145,3.90710681187011,0.21149499099485633,0.2988754320326616,1.9464469135443456
all_hispanic,male,55-64,1377,3116211.13,0.11950963348237577,0.16613343846185416,1.3901259138775126,0.94043678933911,0.03139372331296436,0.08011319502603792,0.4684690379114332
all_hispanic,male,65-74,882,1755514.2999999998,0.038366340849516296,0.05979139560412582,1.5584336238539056,0.4132134440602392,0.03512277285351649,0.027895130219104454,0.1984876853466816
all_hispanic,male,75+,504,1003767.23,0.014100510135203359,0.020655087534587075,1.4648468272803514,0.22078774179547583,0.025262151664385377,0.011834596353578907,0.13659636009436174
all_hispanic,female,18-24,1570,3837628.4000000004,0.1068940703065466,0.15932619739837237,1.4905054783811957,2.330700666588771,0.7423156890333623,0.10626572129808085,1.4514197857197428
all_hispanic,female,25-34,2239,5145437.5200000005,0.45811709321853733,0.9290632937274496,2.028003991731116,10.632929899030238,2.8838625388653054,0.45397517916027474,5.379627899941927
all_hispanic,female,35-44,2261,4657467.72,0.6903045202426008,1.3545640354969546,1.9622702673609993,11.149906490387872,2.671032560586378,0.6421028313643363,5.566300526072138
all_hispanic,female,45-54,1907,4086436.24,0.4053023448127995,0.6062644550156985,1.4958325871411355,3.410222556170361,0.857541898169932,0.321716212559822,1.76224633569714
all_hispanic,female,55-64,1508,3155667.31,0.07137831015526158,0.09185226499684468,1.2868372030249564,0.45142962804909875,0.14499983523294793,0.042069418908420995,0.23270110181545087
all_hispanic,female,65-74,1015,1970625.1,0.010160227838364587,0.020981362715820472,2.0650484467086203,0.20159269766735438,0.001621561604995288,0.008538666233369298,0.08532802104266306
all_hispanic,female,75+,706,1421102.87,0.013061806004233878,0.023058499628531463,1.7653377810891724,0.2133157538412402,0.017507388469351272,0.010807584956886336,0.10332765706116687
all_hispanic,all,18-24,3316,7867254.12,0.07545651900208354,0.11007283822173015,1.4587584966474634,1.5815325461992324,0.41591729847414666,0.07410631093228243,0.9987389958620023
all_hispanic,all,25-34,4595,10440288.23,0.3650338310631104,0.7267347445636565,1.990869565286983,8.488956280472344,1.603817811455192,0.3625862444221044,4.351775161670991
all_hispanic,all,35-44,4364,9671496.64,0.5767199098153231,1.1422505255608506,1.9805983912132,9.787442894670745,1.5748508464559627,0.5407983618965513,4.896898179556209
all_hispanic,all,45-54,3640,8277629.779999999,0.3800849994042619,0.6036380211244481,1.588165863084781,3.6618088360554832,0.5304304307748348,0.31015129188345997,1.8555121971159239
all_hispanic,all,55-64,2885,6271878.4399999995,0.09529257553658836,0.1287592015255959,1.3511986720954747,0.6943950447483481,0.08855412542083645,0.06097164089806562,0.34984346571615005
