age,hispanic_origin,sex,deaths
50 years,Hispanic or Latino,Male,150.0
50 years,Not Hispanic or Latino,Female,229.0
50 years,Not Hispanic or Latino,Male,769.0
50 years,Not Stated,Female,
50 years,Not Stated,Male,
51 years,Hispanic or Latino,Female,38.0
51 years,Hispanic or Latino,Male,163.0
51 years,Not Hispanic or Latino,Female,226.0
51 years,Not Hispanic or Latino,Male,762.0
51 years,Not Stated,Female,0.0
51 years,Not Stated,Male,
52 years,Hispanic or Latino,Female,29.0
52 years,Hispanic or Latino,Male,154.0
52 years,Not Hispanic or Latino,Female,232.0
52 years,Not Hispanic or Latino,Male,749.0
52 years,Not Stated,Female,0.0
52 years,Not Stated,Male,
53 years,Hispanic or Latino,Female,26.0
53 years,Hispanic or Latino,Male,112.0
53 years,Not Hispanic or Latino,Female,203.0
53 years,Not Hispanic or Latino,Male,728.0
53 years,Not Stated,Female,
53 years,Not Stated,Male,
54 years,Hispanic or Latino,Female,20.0
54 years,Hispanic or Latino,Male,130.0
54 years,Not Hispanic or Latino,Female,227.0
54 years,Not Hispanic or Latino,Male,650.0
54 years,Not Stated,Female,0.0
54 years,Not Stated,Male,
55 years,Hispanic or Latino,Female,22.0
55 years,Hispanic or Latino,Male,110.0
55 years,Not Hispanic or Latino,Female,224.0
55 years,Not Hispanic or Latino,Male,661.0
55 years,Not Stated,Female,
55 years,Not Stated,Male,
56 years,Hispanic or Latino,Female,29.0
56 years,Hispanic or Latino,Male,83.0
56 years,Not Hispanic or Latino,Female,200.0
56 years,Not Hispanic or Latino,Male,681.0
56 years,Not Stated,Female,
56 years,Not Stated,Male,
57 years,Hispanic or Latino,Female,27.0
57 years,Hispanic or Latino,Male,89.0
57 years,Not Hispanic or Latino,Female,203.0
57 years,Not Hispanic or Latino,Male,647.0
57 years,Not Stated,Female,0.0
57 years,Not Stated,Male,
58 years,Hispanic or Latino,Female,30.0
58 years,Hispanic or Latino,Male,97.0
58 years,Not Hispanic or Latino,Female,222.0
58 years,Not Hispanic or Latino,Male,660.0
58 years,Not Stated,Female,
58 years,Not Stated,Male,
59 years,Hispanic or Latino,Female,26.0
59 years,Hispanic or Latino,Male,89.0
59 years,Not Hispanic or Latino,Female,206.0
59 years,Not Hispanic or Latino,Male,581.0
59 years,Not Stated,Female,0.0
59 years,Not Stated,Male,
60 years,Hispanic or Latino,Female,14.0
60 years,Hispanic or Latino,Male,77.0
60 years,Not Hispanic or Latino,Female,200.0
60 years,Not Hispanic or Latino,Male,575.0
60 years,Not Stated,Female,0.0
60 years,Not Stated,Male,
61 years,Hispanic or Latino,Female,24.0
61 years,Hispanic or Latino,Male,62.0
61 years,Not Hispanic or Latino,Female,186.0
61 years,Not Hispanic or Latino,Male,545.0
61 years,Not Stated,Female,0.0
61 years,Not Stated,Male,
62 years,Hispanic or Latino,Female,14.0
62 years,Hispanic or Latino,Male,65.0
62 years,Not Hispanic or Latino,Female,196.0
62 years,Not Hispanic or Latino,Male,531.0
62 years,Not Stated,Female,
62 years,Not Stated,Male,
63 years,Hispanic or Latino,Female,17.0
63 years,Hispanic or Latino,Male,66.0
63 years,Not Hispanic or Latino,Female,180.0
63 years,Not Hispanic or Latino,Male,444.0
63 years,Not Stated,Female,
63 years,Not Stated,Male,
64 years,Hispanic or Latino,Female,18.0
64 years,Hispanic or Latino,Male,51.0
64 years,Not Hispanic or Latino,Female,162.0
64 years,Not Hispanic or Latino,Male,408.0
64 years,Not Stated,Female,0.0
64 years,Not Stated,Male,
65 years,Hispanic or Latino,Female,14.0
65 years,Hispanic or Latino,Male,38.0
65 years,Not Hispanic or Latino,Female,173.0
65 years,Not Hispanic or Latino,Male,407.0
65 years,Not Stated,Female,0.0
65 years,Not Stated,Male,
66 years,Hispanic or Latino,Female,13.0
66 years,Hispanic or Latino,Male,40.0
66 years,Not Hispanic or Latino,Female,149.0
66 years,Not Hispanic or Latino,Male,337.0
66 years,Not Stated,Female,
66 years,Not Stated,Male,
67 years,Hispanic or Latino,Female,12.0
67 years,Hispanic or Latino,Male,38.0
67 years,Not Hispanic or Latino,Female,125.0
67 years,Not Hispanic or Latino,Male,291.0
67 years,Not Stated,Female,0.0
67 years,Not Stated,Male,
68 years,Hispanic or Latino,Female,13.0
68 years,Hispanic or Latino,Male,28.0
68 years,Not Hispanic or Latino,Female,124.0
68 years,Not Hispanic or Latino,Male,244.0
68 years,Not Stated,Female,0.0
68 years,Not Stated,Male,
69 years,Hispanic or Latino,Female,14.0
69 years,Hispanic or Latino,Male,36.0
69 years,Not Hispanic or Latino,Female,102.0
69 years,Not Hispanic or Latino,Male,265.0
69 years,Not Stated,Female,
69 years,Not Stated,Male,
70 years,Hispanic or Latino,Female,
70 years,Hispanic or Latino,Male,22.0
70 years,Not Hispanic or Latino,Female,110.0
70 years,Not Hispanic or Latino,Male,207.0
70 years,Not Stated,Female,0.0
70 years,Not Stated,Male,
71 years,Hispanic or Latino,Female,14.0
71 years,Hispanic or Latino,Male,19.0
71 years,Not Hispanic or Latino,Female,126.0
71 years,Not Hispanic or Latino,Male,199.0
71 years,Not Stated,Female,0.0
71 years,Not Stated,Male,0.0
72 years,Hispanic or Latino,Female,12.0
72 years,Hispanic or Latino,Male,23.0
72 years,Not Hispanic or Latino,Female,119.0
72 years,Not Hispanic or Latino,Male,186.0
72 years,Not Stated,Female,0.0
72 years,Not Stated,Male,
73 years,Hispanic or Latino,Female,
73 years,Hispanic or Latino,Male,16.0
73 years,Not Hispanic or Latino,Female,111.0
73 years,Not Hispanic or Latino,Male,152.0
73 years,Not Stated,Female,
73 years,Not Stated,Male,
74 years,Hispanic or Latino,Female,
74 years,Hispanic or Latino,Male,15.0
74 years,Not Hispanic or Latino,Female,114.0
74 years,Not Hispanic or Latino,Male,144.0
74 years,Not Stated,Female,
74 years,Not Stated,Male,
75 years,Hispanic or Latino,Female,
75 years,Hispanic or Latino,Male,15.0
75 years,Not Hispanic or Latino,Female,98.0
75 years,Not Hispanic or Latino,Male,113.0
75 years,Not Stated,Female,0.0
75 years,Not Stated,Male,
76 years,Hispanic or Latino,Female,
76 years,Hispanic or Latino,Male,17.0
76 years,Not Hispanic or Latino,Female,77.0
76 years,Not Hispanic or Latino,Male,123.0
76 years,Not Stated,Female,0.0
76 years,Not Stated,Male,
77 years,Hispanic or Latino,Female,
77 years,Hispanic or Latino,Male,
77 years,Not Hispanic or Latino,Female,85.0
77 years,Not Hispanic or Latino,Male,95.0
77 years,Not Stated,Female,0.0
77 years,Not Stated,Male,0.0
78 years,Hispanic or Latino,Female,14.0
78 years,Hispanic or Latino,Male,14.0
78 years,Not Hispanic or Latino,Female,85.0
78 years,Not Hispanic or Latino,Male,92.0
78 years,Not Stated,Female,0.0
78 years,Not Stated,Male,0.0
79 years,Hispanic or Latino,Female,
79 years,Hispanic or Latino,Male,
79 years,Not Hispanic or Latino,Female,87.0
79 years,Not Hispanic or Latino,Male,79.0
79 years,Not Stated,Female,0.0
79 years,Not Stated,Male,0.0
80 years,Hispanic or Latino,Female,0.0
80 years,Hispanic or Latino,Male,
80 years,Not Hispanic or Latino,Female,73.0
80 years,Not Hispanic or Latino,Male,86.0
80 years,Not Stated,Female,0.0
80 years,Not Stated,Male,0.0
81 years,Hispanic or Latino,Female,
