year,hispanic_origin,race,deaths
2023,Not Stated,Black or African American,25.0
2023,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2023,Not Stated,White,35.0
2023,Not Stated,More than one race,0.0
2023,Not Stated,Not Available,0.0
2024,Hispanic or Latino,American Indian or Alaska Native,42.0
2024,Hispanic or Latino,Asian,
2024,Hispanic or Latino,Black or African American,202.0
2024,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,
2024,Hispanic or Latino,White,3457.0
2024,Hispanic or Latino,More than one race,58.0
2024,Hispanic or Latino,Not Available,0.0
2024,Not Hispanic or Latino,American Indian or Alaska Native,324.0
2024,Not Hispanic or Latino,Asian,278.0
2024,Not Hispanic or Latino,Black or African American,10294.0
2024,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,41.0
2024,Not Hispanic or Latino,White,5070.0
2024,Not Hispanic or Latino,More than one race,302.0
2024,Not Hispanic or Latino,Not Available,0.0
2024,Not Stated,American Indian or Alaska Native,0.0
2024,Not Stated,Asian,
2024,Not Stated,Black or African American,37.0
2024,Not Stated,Native Hawaiian or Other Pacific Islander,0.0
2024,Not Stated,White,38.0
2024,Not Stated,More than one race,
2024,Not Stated,Not Available,0.0
