vic_eth,VicSex,vic_age_n,n
nh_other,Female,79.0,3
nh_other,Female,80.0,1
nh_other,Female,81.0,1
nh_other,Female,82.0,1
nh_other,Female,83.0,1
nh_other,Female,84.0,2
nh_other,Female,85.0,1
nh_other,Female,86.0,3
nh_other,Female,89.0,1
nh_other,Female,90.0,2
nh_other,Male,0.0,8
nh_other,Male,1.0,7
nh_other,Male,2.0,3
nh_other,Male,3.0,8
nh_other,Male,4.0,5
nh_other,Male,5.0,3
nh_other,Male,6.0,8
nh_other,Male,7.0,4
nh_other,Male,8.0,5
nh_other,Male,9.0,3
nh_other,Male,10.0,7
nh_other,Male,11.0,3
nh_other,Male,13.0,2
nh_other,Male,14.0,8
nh_other,Male,15.0,9
nh_other,Male,16.0,13
nh_other,Male,17.0,17
nh_other,Male,18.0,18
nh_other,Male,19.0,32
nh_other,Male,20.0,29
nh_other,Male,21.0,29
nh_other,Male,22.0,29
nh_other,Male,23.0,29
nh_other,Male,24.0,40
nh_other,Male,25.0,29
nh_other,Male,26.0,32
nh_other,Male,27.0,35
nh_other,Male,28.0,20
nh_other,Male,29.0,40
nh_other,Male,30.0,36
nh_other,Male,31.0,44
nh_other,Male,32.0,46
nh_other,Male,33.0,38
nh_other,Male,34.0,31
nh_other,Male,35.0,33
nh_other,Male,36.0,40
nh_other,Male,37.0,39
nh_other,Male,38.0,25
nh_other,Male,39.0,24
nh_other,Male,40.0,16
nh_other,Male,41.0,24
nh_other,Male,42.0,24
nh_other,Male,43.0,18
nh_other,Male,44.0,20
nh_other,Male,45.0,18
nh_other,Male,46.0,13
nh_other,Male,47.0,8
nh_other,Male,48.0,21
nh_other,Male,49.0,12
nh_other,Male,50.0,18
nh_other,Male,51.0,16
nh_other,Male,52.0,23
nh_other,Male,53.0,10
nh_other,Male,54.0,19
nh_other,Male,55.0,13
nh_other,Male,56.0,11
nh_other,Male,57.0,9
nh_other,Male,58.0,13
nh_other,Male,59.0,9
nh_other,Male,60.0,18
nh_other,Male,61.0,8
nh_other,Male,62.0,15
nh_other,Male,63.0,9
nh_other,Male,64.0,14
nh_other,Male,65.0,11
nh_other,Male,66.0,11
nh_other,Male,67.0,5
nh_other,Male,68.0,8
nh_other,Male,69.0,4
nh_other,Male,70.0,6
nh_other,Male,71.0,2
nh_other,Male,72.0,6
nh_other,Male,73.0,6
nh_other,Male,74.0,1
nh_other,Male,75.0,3
nh_other,Male,76.0,3
nh_other,Male,77.0,3
nh_other,Male,78.0,1
nh_other,Male,79.0,3
nh_other,Male,81.0,1
nh_other,Male,84.0,3
nh_other,Male,86.0,1
nh_other,Male,87.0,1
nh_other,Male,94.0,1
nh_other,Unknown,18.0,1
nh_other,Unknown,39.0,1
nh_white,Female,0.0,75
nh_white,Female,1.0,39
nh_white,Female,2.0,20
nh_white,Female,3.0,20
nh_white,Female,4.0,21
nh_white,Female,5.0,19
nh_white,Female,6.0,14
nh_white,Female,7.0,12
nh_white,Female,8.0,14
nh_white,Female,9.0,12
nh_white,Female,10.0,8
nh_white,Female,11.0,10
nh_white,Female,12.0,18
nh_white,Female,13.0,17
nh_white,Female,14.0,11
nh_white,Female,15.0,18
nh_white,Female,16.0,32
nh_white,Female,17.0,45
nh_white,Female,18.0,61
nh_white,Female,19.0,66
nh_white,Female,20.0,84
nh_white,Female,21.0,81
nh_white,Female,22.0,80
nh_white,Female,23.0,82
nh_white,Female,24.0,103
nh_white,Female,25.0,87
nh_white,Female,26.0,78
nh_white,Female,27.0,109
nh_white,Female,28.0,100
nh_white,Female,29.0,105
nh_white,Female,30.0,112
nh_white,Female,31.0,123
nh_white,Female,32.0,92
nh_white,Female,33.0,116
nh_white,Female,34.0,145
nh_white,Female,35.0,103
nh_white,Female,36.0,99
nh_white,Female,37.0,137
nh_white,Female,38.0,122
nh_white,Female,39.0,124
nh_white,Female,40.0,132
nh_white,Female,41.0,105
nh_white,Female,42.0,113
nh_white,Female,43.0,91
nh_white,Female,44.0,82
nh_white,Female,45.0,93
nh_white,Female,46.0,72
nh_white,Female,47.0,92
nh_white,Female,48.0,92
nh_white,Female,49.0,98
nh_white,Female,50.0,70
nh_white,Female,51.0,80
nh_white,Female,52.0,89
nh_white,Female,53.0,67
nh_white,Female,54.0,92
nh_white,Female,55.0,94
nh_white,Female,56.0,85
nh_white,Female,57.0,76
nh_white,Female,58.0,77
nh_white,Female,59.0,93
nh_white,Female,60.0,81
nh_white,Female,61.0,72
nh_white,Female,62.0,78
nh_white,Female,63.0,66
nh_white,Female,64.0,51
nh_white,Female,65.0,77
nh_white,Female,66.0,53
nh_white,Female,67.0,55
nh_white,Female,68.0,50
nh_white,Female,69.0,46
nh_white,Female,70.0,40
nh_white,Female,71.0,45
nh_white,Female,72.0,49
nh_white,Female,73.0,47
nh_white,Female,74.0,45
nh_white,Female,75.0,46
nh_white,Female,76.0,30
nh_white,Female,77.0,44
nh_white,Female,78.0,37
nh_white,Female,79.0,36
nh_white,Female,80.0,35
nh_white,Female,81.0,23
nh_white,Female,82.0,28
nh_white,Female,83.0,26
nh_white,Female,84.0,18
nh_white,Female,85.0,17
nh_white,Female,86.0,19
nh_white,Female,87.0,15
nh_white,Female,88.0,10
nh_white,Female,89.0,18
nh_white,Female,90.0,10
nh_white,Female,91.0,11
nh_white,Female,92.0,8
nh_white,Female,93.0,13
nh_white,Female,94.0,4
nh_white,Female,96.0,3
nh_white,Female,97.0,4
nh_white,Female,99.0,2
nh_white,Male,0.0,124
nh_white,Male,1.0,54
nh_white,Male,2.0,33
nh_white,Male,3.0,26
nh_white,Male,4.0,28
nh_white,Male,5.0,18
nh_white,Male,6.0,34
nh_white,Male,7.0,17
nh_white,Male,8.0,19
nh_white,Male,9.0,14
nh_white,Male,10.0,17
nh_white,Male,11.0,19
nh_white,Male,12.0,17
nh_white,Male,13.0,19
nh_white,Male,14.0,34
nh_white,Male,15.0,59
nh_white,Male,16.0,80
nh_white,Male,17.0,121
nh_white,Male,18.0,168
nh_white,Male,19.0,215
nh_white,Male,20.0,195
nh_white,Male,21.0,186
nh_white,Male,22.0,192
nh_white,Male,23.0,197
nh_white,Male,24.0,195
nh_white,Male,25.0,206
nh_white,Male,26.0,177
nh_white,Male,27.0,203
nh_white,Male,28.0,189
nh_white,Male,29.0,249
nh_white,Male,30.0,226
nh_white,Male,31.0,261
nh_white,Male,32.0,254
nh_white,Male,33.0,213
nh_white,Male,34.0,237
nh_white,Male,35.0,225
nh_white,Male,36.0,233
nh_white,Male,37.0,229
nh_white,Male,38.0,228
nh_white,Male,39.0,247
nh_white,Male,40.0,223
nh_white,Male,41.0,236
nh_white,Male,42.0,212
nh_white,Male,43.0,198
nh_white,Male,44.0,186
nh_white,Male,45.0,159
nh_white,Male,46.0,184
nh_white,Male,47.0,167
nh_white,Male,48.0,178
nh_white,Male,49.0,175
nh_white,Male,50.0,145
nh_white,Male,51.0,166
nh_white,Male,52.0,168
nh_white,Male,53.0,179
nh_white,Male,54.0,123
nh_white,Male,55.0,140
nh_white,Male,56.0,156
nh_white,Male,57.0,173
nh_white,Male,58.0,168
nh_white,Male,59.0,155
nh_white,Male,60.0,150
nh_white,Male,61.0,149
nh_white,Male,62.0,142
nh_white,Male,63.0,127
nh_white,Male,64.0,141
nh_white,Male,65.0,121
nh_white,Male,66.0,101
nh_white,Male,67.0,100
nh_white,Male,68.0,58
nh_white,Male,69.0,84
nh_white,Male,70.0,71
nh_white,Male,71.0,60
nh_white,Male,72.0,62
nh_white,Male,73.0,52
nh_white,Male,74.0,47
nh_white,Male,75.0,43
nh_white,Male,76.0,43
nh_white,Male,77.0,30
nh_white,Male,78.0,36
nh_white,Male,79.0,30
nh_white,Male,80.0,30
nh_white,Male,81.0,19
nh_white,Male,82.0,30
nh_white,Male,83.0,22
nh_white,Male,84.0,15
nh_white,Male,85.0,9
nh_white,Male,86.0,19
nh_white,Male,87.0,15
nh_white,Male,88.0,9
nh_white,Male,89.0,8
nh_white,Male,90.0,8
nh_white,Male,91.0,4
nh_white,Male,93.0,3
nh_white,Male,94.0,2
nh_white,Male,95.0,1
nh_white,Male,97.0,1
nh_white,Male,98.0,1
nh_white,Male,99.0,3
nh_white,Unknown,0.0,2
nh_white,Unknown,9.0,1
nh_white,Unknown,16.0,1
nh_white,Unknown,26.0,1
nh_white,Unknown,31.0,1
nh_white,Unknown,35.0,1
nh_white,Unknown,37.0,1
nh_white,Unknown,40.0,1
nh_white,Unknown,42.0,1
nh_white,Unknown,44.0,1
nh_white,Unknown,46.0,1
nh_white,Unknown,57.0,1
nh_white,Unknown,58.0,1
nh_white,Unknown,62.0,1
nh_white,Unknown,70.0,1
nh_white,Unknown,78.0,1
unknown,Female,0.0,87
unknown,Female,1.0,75
unknown,Female,2.0,36
unknown,Female,3.0,32
unknown,Female,4.0,21
unknown,Female,5.0,39
unknown,Female,6.0,19
unknown,Female,7.0,9
unknown,Female,8.0,10
unknown,Female,9.0,11
unknown,Female,10.0,20
unknown,Female,11.0,9
unknown,Female,12.0,9
unknown,Female,13.0,20
unknown,Female,14.0,30
unknown,Female,15.0,28
unknown,Female,16.0,52
unknown,Female,17.0,81
unknown,Female,18.0,114
unknown,Female,19.0,108
unknown,Female,20.0,113
unknown,Female,21.0,114
unknown,Female,22.0,111
unknown,Female,23.0,120
unknown,Female,24.0,110
unknown,Female,25.0,131
unknown,Female,26.0,112
unknown,Female,27.0,133
unknown,Female,28.0,107
unknown,Female,29.0,116
unknown,Female,30.0,154
unknown,Female,31.0,121
unknown,Female,32.0,98
unknown,Female,33.0,129
unknown,Female,34.0,98
unknown,Female,35.0,113
unknown,Female,36.0,91
unknown,Female,37.0,114
unknown,Female,38.0,91
unknown,Female,39.0,86
unknown,Female,40.0,107
unknown,Female,41.0,81
unknown,Female,42.0,79
unknown,Female,43.0,92
unknown,Female,44.0,66
unknown,Female,45.0,75
unknown,Female,46.0,69
unknown,Female,47.0,60
unknown,Female,48.0,62
unknown,Female,49.0,64
unknown,Female,50.0,77
unknown,Female,51.0,73
unknown,Female,52.0,51
unknown,Female,53.0,59
unknown,Female,54.0,60
unknown,Female,55.0,50
unknown,Female,56.0,45
unknown,Female,57.0,48
unknown,Female,58.0,72
unknown,Female,59.0,56
unknown,Female,60.0,48
unknown,Female,61.0,51
unknown,Female,62.0,57
unknown,Female,63.0,47
unknown,Female,64.0,49
unknown,Female,65.0,34
unknown,Female,66.0,39
unknown,Female,67.0,27
unknown,Female,68.0,28
unknown,Female,69.0,35
unknown,Female,70.0,30
unknown,Female,71.0,25
unknown,Female,72.0,32
unknown,Female,73.0,27
unknown,Female,74.0,35
unknown,Female,75.0,20
unknown,Female,76.0,19
unknown,Female,77.0,18
unknown,Female,78.0,18
unknown,Female,79.0,17
unknown,Female,80.0,21
unknown,Female,81.0,10
unknown,Female,82.0,16
unknown,Female,83.0,16
unknown,Female,84.0,6
unknown,Female,85.0,15
unknown,Female,86.0,11
unknown,Female,87.0,9
unknown,Female,88.0,7
unknown,Female,89.0,4
unknown,Female,90.0,7
unknown,Female,91.0,2
unknown,Female,92.0,6
unknown,Female,93.0,3
unknown,Female,94.0,1
unknown,Female,95.0,3
unknown,Female,96.0,3
unknown,Female,97.0,2
unknown,Female,98.0,1
unknown,Female,99.0,2
unknown,Male,0.0,112
unknown,Male,1.0,116
unknown,Male,2.0,48
unknown,Male,3.0,43
unknown,Male,4.0,33
unknown,Male,5.0,28
unknown,Male,6.0,28
unknown,Male,7.0,21
unknown,Male,8.0,13
unknown,Male,9.0,21
unknown,Male,10.0,16
unknown,Male,11.0,13
unknown,Male,12.0,21
unknown,Male,13.0,49
unknown,Male,14.0,87
unknown,Male,15.0,149
unknown,Male,16.0,275
unknown,Male,17.0,416
unknown,Male,18.0,520
unknown,Male,19.0,573
unknown,Male,20.0,527
unknown,Male,21.0,569
unknown,Male,22.0,553
unknown,Male,23.0,557
unknown,Male,24.0,505
unknown,Male,25.0,573
unknown,Male,26.0,499
unknown,Male,27.0,565
unknown,Male,28.0,521
unknown,Male,29.0,515
unknown,Male,30.0,606
unknown,Male,31.0,521
unknown,Male,32.0,471
unknown,Male,33.0,422
unknown,Male,34.0,458
unknown,Male,35.0,362
unknown,Male,36.0,347
unknown,Male,37.0,326
unknown,Male,38.0,318
unknown,Male,39.0,314
unknown,Male,40.0,349
unknown,Male,41.0,340
unknown,Male,42.0,301
unknown,Male,43.0,274
unknown,Male,44.0,204
unknown,Male,45.0,210
unknown,Male,46.0,217
unknown,Male,47.0,206
unknown,Male,48.0,220
unknown,Male,49.0,177
unknown,Male,50.0,184
unknown,Male,51.0,171
unknown,Male,52.0,170
unknown,Male,53.0,164
unknown,Male,54.0,139
unknown,Male,55.0,156
unknown,Male,56.0,148
unknown,Male,57.0,148
unknown,Male,58.0,184
unknown,Male,59.0,129
unknown,Male,60.0,139
unknown,Male,61.0,115
unknown,Male,62.0,124
unknown,Male,63.0,96
unknown,Male,64.0,93
unknown,Male,65.0,90
unknown,Male,66.0,73
unknown,Male,67.0,60
unknown,Male,68.0,57
unknown,Male,69.0,76
unknown,Male,70.0,50
unknown,Male,71.0,56
unknown,Male,72.0,35
unknown,Male,73.0,27
unknown,Male,74.0,30
unknown,Male,75.0,25
unknown,Male,76.0,29
unknown,Male,77.0,20
unknown,Male,78.0,17
unknown,Male,79.0,18
unknown,Male,80.0,21
unknown,Male,81.0,12
unknown,Male,82.0,8
unknown,Male,83.0,10
unknown,Male,84.0,8
unknown,Male,85.0,11
unknown,Male,86.0,3
unknown,Male,87.0,9
unknown,Male,88.0,6
unknown,Male,89.0,7
unknown,Male,91.0,4
unknown,Male,92.0,2
unknown,Male,94.0,3
unknown,Male,95.0,2
unknown,Male,96.0,1
unknown,Male,97.0,1
unknown,Male,99.0,10
unknown,Unknown,0.0,7
unknown,Unknown,1.0,8
unknown,Unknown,2.0,1
unknown,Unknown,3.0,1
unknown,Unknown,7.0,1
unknown,Unknown,9.0,1
unknown,Unknown,15.0,3
unknown,Unknown,16.0,2
unknown,Unknown,17.0,1
unknown,Unknown,18.0,2
unknown,Unknown,19.0,2
unknown,Unknown,20.0,1
unknown,Unknown,21.0,3
unknown,Unknown,22.0,5
unknown,Unknown,24.0,2
unknown,Unknown,25.0,1
unknown,Unknown,26.0,3
unknown,Unknown,29.0,1
unknown,Unknown,30.0,3
unknown,Unknown,31.0,2
unknown,Unknown,32.0,2
unknown,Unknown,34.0,2
unknown,Unknown,35.0,3
