off_eth,rate,account,life_share,foster_share,n_cells,weight,victim_balance,child_cost,offender_cost,total,mean_victim_age,mean_offender_age
hispanic,0.03,complete,0.231,0.25,2337,4287.47095218663,-144176.67762529766,95540.51032540582,965266.9816681745,916630.8143682828,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.231,0.25,3225,14062.950770278007,-53196.8404387221,91464.0776064452,1071752.675395901,1110019.912563624,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.231,0.25,964,815.151182196948,-70089.04744839222,93262.6015701807,1037125.3437996886,1060298.8979214772,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.231,0.25,2914,5204.89464807243,-78832.66760059855,94485.92066753925,996382.3823445447,1012035.6354114852,39.87363154714403,38.462894384178334
hispanic,0.03,complete,1.0,0.25,2337,4287.47095218663,-144176.67762529766,95540.51032540582,1402090.2252558277,1353454.0579559358,32.415738724220226,29.91257792370165
nh_black,0.03,complete,1.0,0.25,3225,14062.950770278007,-53196.8404387221,91464.0776064452,1537729.3548723792,1575996.5920401022,31.71657852450282,30.387982613919572
nh_other,0.03,complete,1.0,0.25,964,815.151182196948,-70089.04744839222,93262.6015701807,1466568.0627728563,1489741.6168946445,33.665852377919165,33.64922730555428
nh_white,0.03,complete,1.0,0.25,2914,5204.89464807243,-78832.66760059855,94485.92066753925,1377649.5693345754,1393302.8224015164,39.87363154714403,38.462894384178334
hispanic,0.0,partial,0.0,1.0,2337,4287.47095218663,-56486.6415759156,110999.04396611887,960236.5630165807,1014748.9654067839,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.0,1.0,3225,14062.950770278007,74546.31335553157,105192.11953248354,1048104.7307280151,1227843.1636160305,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.0,1.0,964,815.151182196948,49763.959041805676,108743.73109185832,1037690.7642736814,1196198.4544073455,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.0,1.0,2914,5204.89464807243,21431.778900886104,108938.77621823725,1015203.3655499602,1145573.9206690835,39.87363154714403,38.462894384178334
hispanic,0.0,partial,0.231,1.0,2337,4287.47095218663,-56486.6415759156,110999.04396611887,1503435.821672142,1557948.2240623455,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.231,1.0,3225,14062.950770278007,74546.31335553157,105192.11953248354,1640152.6408906253,1819891.0737786405,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.231,1.0,964,815.151182196948,49763.959041805676,108743.73109185832,1572788.8285765923,1731296.5187102563,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.231,1.0,2914,5204.89464807243,21431.778900886104,108938.77621823725,1485050.216451102,1615420.7715702252,39.87363154714403,38.462894384178334
hispanic,0.0,partial,1.0,1.0,2337,4287.47095218663,-56486.6415759156,110999.04396611887,3013291.0398352374,3067803.442225441,32.415738724220226,29.91257792370165
nh_black,0.0,partial,1.0,1.0,3225,14062.950770278007,74546.31335553157,105192.11953248354,3194189.1352095655,3373927.5680975798,31.71657852450282,30.387982613919572
nh_other,0.0,partial,1.0,1.0,964,815.151182196948,49763.959041805676,108743.73109185832,2965234.904972928,3123742.5951065924,33.665852377919165,33.64922730555428
nh_white,0.0,partial,1.0,1.0,2914,5204.89464807243,21431.778900886104,108938.77621823725,2683294.0458761198,2813664.6009952435,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.0,1.0,2337,4287.47095218663,-436528.04395929363,110999.04396611887,845500.4332818221,519971.43328864727,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.0,1.0,3225,14062.950770278007,-300592.9478888977,105192.11953248354,938505.5329706512,743104.7046142372,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.0,1.0,964,815.151182196948,-310760.70642205194,108743.73109185832,928337.0568353495,726320.0815051559,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.0,1.0,2914,5204.89464807243,-283753.0215428534,108938.77621823725,914149.8052957158,739335.5599710997,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.231,1.0,2337,4287.47095218663,-436528.04395929363,110999.04396611887,1323225.8374972478,997696.8375040729,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.231,1.0,3225,14062.950770278007,-300592.9478888977,105192.11953248354,1468973.7275363514,1273572.8991799373,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.231,1.0,964,815.151182196948,-310760.70642205194,108743.73109185832,1407421.2713900101,1205404.2960598164,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.231,1.0,2914,5204.89464807243,-283753.0215428534,108938.77621823725,1337980.5217817088,1163166.2764570927,39.87363154714403,38.462894384178334
hispanic,0.0,complete,1.0,1.0,2337,4287.47095218663,-436528.04395929363,110999.04396611887,2614053.450601709,2288524.450608534,32.415738724220226,29.91257792370165
nh_black,0.0,complete,1.0,1.0,3225,14062.950770278007,-300592.9478888977,105192.11953248354,2816136.2690582643,2620735.4407018507,31.71657852450282,30.387982613919572
nh_other,0.0,complete,1.0,1.0,964,815.151182196948,-310760.70642205194,108743.73109185832,2611070.3300633826,2409053.354733189,33.665852377919165,33.64922730555428
nh_white,0.0,complete,1.0,1.0,2914,5204.89464807243,-283753.0215428534,108938.77621823725,2381747.780330872,2206933.5350062563,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.0,1.0,2337,4287.47095218663,50298.59115380585,103116.90961797966,787386.3037520294,940801.8045238148,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.0,1.0,3225,14062.950770278007,137897.87894296367,97840.65600618857,859341.2534829255,1095079.7884320777,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.0,1.0,964,815.151182196948,115783.97019055925,100739.54314976762,851990.6802124152,1068514.193552742,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.0,1.0,2914,5204.89464807243,85428.57662422731,100563.02652822765,834951.7447170153,1020943.3478694704,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.231,1.0,2337,4287.47095218663,50298.59115380585,103116.90961797966,1096623.4160509591,1250038.9168227445,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.231,1.0,3225,14062.950770278007,137897.87894296367,97840.65600618857,1196726.69100202,1432465.2259511722,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.231,1.0,964,815.151182196948,115783.97019055925,100739.54314976762,1158978.1696604034,1375501.6830007301,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.231,1.0,2914,5204.89464807243,85428.57662422731,100563.02652822765,1105947.30830078,1291938.911453235,39.87363154714403,38.462894384178334
hispanic,0.03,partial,1.0,1.0,2337,4287.47095218663,50298.59115380585,103116.90961797966,1605094.1241236934,1758509.6248954788,32.415738724220226,29.91257792370165
nh_black,0.03,partial,1.0,1.0,3225,14062.950770278007,137897.87894296367,97840.65600618857,1730746.3473383044,1966484.8822874564,31.71657852450282,30.387982613919572
