region,group,age,unauthorized_no_medicaid_rule_millions,se,n,MCAID_millions,MCAID_se,MCAID_n,MCAID_share,MCAID_share_se,CAID_millions,CAID_se,CAID_n,CAID_share,CAID_share_se,NOW_MCAID_millions,NOW_MCAID_se,NOW_MCAID_n,NOW_MCAID_share,NOW_MCAID_share_se,NOW_CAID_millions,NOW_CAID_se,NOW_CAID_n,NOW_CAID_share,NOW_CAID_share_se,MCAID_yes_donor_imputed_share,MCAID_yes_donor_imputed_share_se,MCAID_yes_logical_imputed_share
California,mexico_born,0-18,0.101,0.0208,38,0.0762,0.0185,29,0.7543,0.0926,0.0762,0.0185,29,0.7543,0.0926,0.0748,0.0184,28,0.7407,0.0873,0.0748,0.0184,28,0.7407,0.0873,0.2469,0.1328,0.1128
California,mexico_born,19-25,0.0865,0.0167,33,0.0294,0.0099,11,0.34,0.0965,0.0294,0.0099,11,0.34,0.0965,0.0294,0.0099,11,0.34,0.0965,0.0294,0.0099,11,0.34,0.0965,0.0767,0.0794,0.0
California,mexico_born,26-49,0.754,0.0594,306,0.3151,0.0347,135,0.418,0.0381,0.3151,0.0347,135,0.418,0.0381,0.3124,0.0347,134,0.4143,0.0384,0.3124,0.0347,134,0.4143,0.0384,0.166,0.0439,0.0391
California,mexico_born,50-64,0.4455,0.0446,182,0.171,0.026,74,0.3838,0.0484,0.171,0.026,74,0.3838,0.0484,0.1672,0.0256,72,0.3752,0.0476,0.1672,0.0256,72,0.3752,0.0476,0.0398,0.0297,0.0897
California,mexico_born,65+,0.0142,0.0054,7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
California,mexico_born,50+,0.4597,0.0452,189,0.171,0.026,74,0.372,0.0468,0.171,0.026,74,0.372,0.0468,0.1672,0.0256,72,0.3637,0.0461,0.1672,0.0256,72,0.3637,0.0461,0.0398,0.0297,0.0897
California,mexico_born,all,1.4012,0.0846,566,0.5918,0.0487,249,0.4223,0.0297,0.5918,0.0487,249,0.4223,0.0297,0.5838,0.0482,245,0.4166,0.0298,0.5838,0.0482,245,0.4166,0.0298,0.1355,0.0376,0.0613
rest_of_US,all_foreign_born,0-18,2.4852,0.1124,1056,0.8334,0.0659,366,0.3354,0.0223,0.7448,0.0636,322,0.2997,0.0217,0.8402,0.0657,365,0.3381,0.0222,0.7515,0.064,321,0.3024,0.0217,0.3375,0.0359,0.059
rest_of_US,all_foreign_born,19-25,1.7623,0.0899,650,0.2859,0.038,113,0.1622,0.0195,0.2832,0.0378,110,0.1607,0.0194,0.2675,0.0362,107,0.1518,0.0188,0.2647,0.0361,104,0.1502,0.0187,0.5478,0.0639,0.0047
rest_of_US,all_foreign_born,26-49,8.2409,0.2008,3403,1.1295,0.075,475,0.1371,0.0085,1.089,0.0726,450,0.1321,0.0083,1.0928,0.0759,454,0.1326,0.0085,1.0524,0.073,429,0.1277,0.0082,0.2615,0.0269,0.1024
rest_of_US,all_foreign_born,50-64,2.4639,0.11,1018,0.3168,0.0316,138,0.1286,0.0117,0.2929,0.0308,129,0.1189,0.0114,0.3293,0.0348,142,0.1337,0.0126,0.3054,0.0335,133,0.1239,0.0121,0.2152,0.048,0.0667
rest_of_US,all_foreign_born,65+,0.3006,0.0347,142,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
rest_of_US,all_foreign_born,50+,2.7644,0.119,1160,0.3168,0.0316,138,0.1146,0.0106,0.2929,0.0308,129,0.1059,0.0103,0.3293,0.0348,142,0.1191,0.0114,0.3054,0.0335,133,0.1105,0.0109,0.2152,0.048,0.0667
rest_of_US,all_foreign_born,all,15.2529,0.3301,6269,2.5656,0.1376,1092,0.1682,0.008,2.4098,0.1341,1011,0.158,0.0079,2.5298,0.1392,1068,0.1659,0.008,2.374,0.135,987,0.1556,0.0079,0.3124,0.023,0.073
rest_of_US,mexico_born,0-18,0.3477,0.0431,165,0.1265,0.0211,62,0.3637,0.0496,0.1051,0.0201,53,0.3022,0.0496,0.1287,0.0213,63,0.3701,0.0501,0.1073,0.0203,54,0.3087,0.0502,0.4791,0.0916,0.0685
rest_of_US,mexico_born,19-25,0.3877,0.036,161,0.063,0.0143,22,0.1626,0.0349,0.063,0.0143,22,0.1626,0.0349,0.0484,0.0109,18,0.1249,0.0271,0.0484,0.0109,18,0.1249,0.0271,0.5057,0.126,0.0
rest_of_US,mexico_born,26-49,2.4276,0.1102,1114,0.2634,0.0288,135,0.1085,0.0113,0.2504,0.0288,129,0.1032,0.0115,0.2642,0.0313,133,0.1088,0.0118,0.2512,0.0307,127,0.1035,0.0118,0.2741,0.0532,0.1513
rest_of_US,mexico_born,50-64,1.0679,0.068,465,0.0928,0.0154,50,0.0869,0.0143,0.0904,0.0152,49,0.0846,0.0141,0.1046,0.0176,54,0.098,0.0154,0.1022,0.0175,53,0.0957,0.0154,0.3161,0.0792,0.0708
rest_of_US,mexico_born,65+,0.0775,0.017,44,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
rest_of_US,mexico_born,50+,1.1454,0.0715,509,0.0928,0.0154,50,0.081,0.0136,0.0904,0.0152,49,0.0789,0.0134,0.1046,0.0176,54,0.0914,0.0146,0.1022,0.0175,53,0.0892,0.0145,0.3161,0.0792,0.0708
rest_of_US,mexico_born,all,4.3084,0.1656,1949,0.5457,0.0447,269,0.1267,0.0093,0.5089,0.0438,253,0.1181,0.0093,0.546,0.0473,268,0.1267,0.0094,0.5092,0.0458,252,0.1182,0.0094,0.3555,0.0445,0.1009
other_listed_states,all_foreign_born,0-18,0.6868,0.0619,305,0.3247,0.0425,144,0.4728,0.042,0.2935,0.0404,124,0.4274,0.0424,0.3425,0.0448,150,0.4987,0.0421,0.3112,0.0427,130,0.4532,0.0428,0.2267,0.0507,0.05
other_listed_states,all_foreign_born,19-25,0.4907,0.0498,186,0.1509,0.027,57,0.3075,0.0443,0.1505,0.027,55,0.3066,0.0442,0.1425,0.0266,54,0.2903,0.0445,0.142,0.0265,52,0.2895,0.0444,0.449,0.091,0.0
other_listed_states,all_foreign_born,26-49,2.5601,0.1421,1021,0.6456,0.0558,255,0.2522,0.0181,0.6277,0.0546,239,0.2452,0.0179,0.6303,0.0572,249,0.2462,0.0187,0.6124,0.0554,233,0.2392,0.0182,0.2265,0.035,0.075
other_listed_states,all_foreign_born,50-64,0.6831,0.0564,280,0.1665,0.0275,66,0.2437,0.0326,0.1513,0.0265,60,0.2215,0.032,0.1641,0.0273,65,0.2401,0.0326,0.1489,0.0263,59,0.218,0.032,0.1822,0.0662,0.0087
other_listed_states,all_foreign_born,65+,0.0928,0.0191,41,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
other_listed_states,all_foreign_born,50+,0.776,0.0619,321,0.1665,0.0275,66,0.2145,0.0291,0.1513,0.0265,60,0.195,0.0285,0.1641,0.0273,65,0.2114,0.0291,0.1489,0.0263,59,0.1919,0.0284,0.1822,0.0662,0.0087
other_listed_states,all_foreign_born,all,4.5135,0.2104,1833,1.2877,0.0984,522,0.2853,0.0168,1.223,0.0937,478,0.271,0.0162,1.2792,0.1017,518,0.2834,0.0175,1.2146,0.0963,474,0.2691,0.0168,0.2469,0.0273,0.0513
other_listed_states,mexico_born,0-18,0.0714,0.02,33,0.0401,0.013,18,0.5621,0.1391,0.0318,0.0105,15,0.4451,0.1385,0.0401,0.013,18,0.5621,0.1391,0.0318,0.0105,15,0.4451,0.1385,0.2591,0.1743,0.1263
other_listed_states,mexico_born,19-25,0.089,0.0193,30,0.0369,0.0101,12,0.4144,0.1005,0.0369,0.0101,12,0.4144,0.1005,0.0282,0.0088,9,0.3172,0.0902,0.0282,0.0088,9,0.3172,0.0902,0.4965,0.1633,0.0
other_listed_states,mexico_born,26-49,0.5471,0.0584,232,0.1203,0.0211,52,0.2199,0.0345,0.118,0.0209,51,0.2157,0.0346,0.1203,0.0211,52,0.2199,0.0345,0.118,0.0209,51,0.2157,0.0346,0.2417,0.086,0.0693
other_listed_states,mexico_born,50-64,0.2168,0.0286,92,0.0393,0.0102,18,0.1814,0.0401,0.0393,0.0102,18,0.1814,0.0401,0.0369,0.0099,17,0.1702,0.0399,0.0369,0.0099,17,0.1702,0.0399,0.2435,0.1158,0.0367
other_listed_states,mexico_born,65+,0.0118,0.0078,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
other_listed_states,mexico_born,50+,0.2286,0.0297,97,0.0393,0.0102,18,0.172,0.0381,0.0393,0.0102,18,0.172,0.0381,0.0369,0.0099,17,0.1614,0.0378,0.0369,0.0099,17,0.1614,0.0378,0.2435,0.1158,0.0367
other_listed_states,mexico_born,all,0.9361,0.0825,392,0.2366,0.032,100,0.2528,0.0268,0.226,0.031,96,0.2414,0.0269,0.2255,0.0317,96,0.2409,0.0271,0.2149,0.0306,92,0.2296,0.0271,0.2847,0.0697,0.0627
unlisted_states,all_foreign_born,0-18,1.7985,0.096,751,0.5087,0.051,222,0.2829,0.0248,0.4513,0.0491,198,0.2509,0.0241,0.4977,0.05,215,0.2767,0.0247,0.4403,0.0478,191,0.2448,0.0237,0.4082,0.0481,0.0647
unlisted_states,all_foreign_born,19-25,1.2716,0.0786,464,0.135,0.025,56,0.1062,0.0186,0.1327,0.0248,55,0.1044,0.0186,0.125,0.0241,53,0.0983,0.0182,0.1227,0.024,52,0.0965,0.0181,0.6582,0.0784,0.0099
unlisted_states,all_foreign_born,26-49,5.6808,0.1592,2382,0.4839,0.0436,220,0.0852,0.0077,0.4613,0.0426,211,0.0812,0.0076,0.4625,0.0445,205,0.0814,0.0076,0.44,0.043,196,0.0775,0.0075,0.3083,0.0483,0.1391
unlisted_states,all_foreign_born,50-64,1.7807,0.0937,738,0.1504,0.02,72,0.0844,0.0106,0.1415,0.0188,69,0.0795,0.0101,0.1653,0.0225,77,0.0928,0.0114,0.1564,0.0215,74,0.0879,0.011,0.2517,0.0699,0.1309
unlisted_states,all_foreign_born,65+,0.2077,0.0278,101,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
unlisted_states,all_foreign_born,50+,1.9885,0.0992,839,0.1504,0.02,72,0.0756,0.0097,0.1415,0.0188,69,0.0712,0.0092,0.1653,0.0225,77,0.0831,0.0104,0.1564,0.0215,74,0.0787,0.01,0.2517,0.0699,0.1309
unlisted_states,all_foreign_born,all,10.7394,0.2788,4436,1.278,0.0917,570,0.119,0.0079,1.1868,0.091,533,0.1105,0.0081,1.2505,0.0923,550,0.1164,0.0079,1.1594,0.0904,513,0.108,0.0079,0.3783,0.0371,0.0949
unlisted_states,mexico_born,0-18,0.2763,0.0379,132,0.0863,0.0177,44,0.3124,0.0542,0.0733,0.0176,38,0.2653,0.0543,0.0886,0.0179,45,0.3206,0.0549,0.0756,0.0178,39,0.2734,0.055,0.5813,0.1008,0.0416
unlisted_states,mexico_born,19-25,0.2987,0.0333,131,0.0261,0.009,10,0.0875,0.0287,0.0261,0.009,10,0.0875,0.0287,0.0202,0.0067,9,0.0676,0.022,0.0202,0.0067,9,0.0676,0.022,0.5189,0.181,0.0
unlisted_states,mexico_born,26-49,1.8805,0.095,882,0.1432,0.0217,83,0.0761,0.0112,0.1324,0.0211,78,0.0704,0.0111,0.1439,0.0255,81,0.0765,0.0127,0.1332,0.0244,76,0.0708,0.0123,0.3013,0.0755,0.2201
unlisted_states,mexico_born,50-64,0.8511,0.0625,373,0.0535,0.0116,32,0.0628,0.0139,0.0511,0.0114,31,0.06,0.0136,0.0678,0.0145,37,0.0796,0.0161,0.0653,0.0143,36,0.0768,0.0159,0.3694,0.1083,0.0958
unlisted_states,mexico_born,65+,0.0657,0.0143,39,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,
unlisted_states,mexico_born,50+,0.9168,0.0666,412,0.0535,0.0116,32,0.0583,0.0129,0.0511,0.0114,31,0.0557,0.0127,0.0678,0.0145,37,0.0739,0.015,0.0653,0.0143,36,0.0713,0.0148,0.3694,0.1083,0.0958
unlisted_states,mexico_born,all,3.3723,0.1494,1557,0.3091,0.036,169,0.0917,0.0098,0.2829,0.0347,157,0.0839,0.0098,0.3205,0.041,172,0.095,0.0108,0.2943,0.039,160,0.0873,0.0105,0.4097,0.0629,0.1302
