month,0-18,19-25,26-49,50+,all_ages
2021-05,117924.0,89332.0,0.0,0.0,207256.0
2021-06,118811.0,90670.0,0.0,0.0,209481.0
2021-07,122156.0,93108.0,0.0,0.0,215264.0
2021-08,124208.0,94737.0,0.0,0.0,218945.0
2021-09,125650.0,96193.0,0.0,0.0,221843.0
2021-10,126147.0,97673.0,0.0,0.0,223820.0
2021-11,127155.0,99327.0,0.0,0.0,226482.0
2021-12,128360.0,100713.0,0.0,0.0,229073.0
2022-01,128375.0,102002.0,0.0,0.0,230377.0
2022-02,129808.0,103452.0,0.0,0.0,233260.0
2022-03,131848.0,105040.0,0.0,0.0,236888.0
2022-04,132369.0,106884.0,0.0,0.0,239253.0
2022-05,133980.0,108500.0,0.0,240548.0,483028.0
2022-06,135544.0,110220.0,0.0,278690.0,524454.0
2022-07,136463.0,111502.0,0.0,285628.0,533593.0
2022-08,138889.0,113498.0,0.0,292847.0,545234.0
2022-09,140489.0,115202.0,0.0,299052.0,554743.0
2022-10,141667.0,116437.0,0.0,304184.0,562288.0
2022-11,142542.0,118393.0,0.0,312019.0,572954.0
2022-12,154574.0,122404.0,0.0,325484.0,602462.0
2023-01,155976.0,124623.0,0.0,333028.0,613627.0
2023-02,158701.0,126585.0,0.0,340130.0,625416.0
2023-03,161647.0,128825.0,0.0,347163.0,637635.0
2023-04,162402.0,130421.0,0.0,352501.0,645324.0
2023-05,164658.0,131135.0,0.0,357013.0,652806.0
2023-06,165845.0,132549.0,0.0,362564.0,660958.0
2023-07,165801.0,132417.0,0.0,364173.0,662391.0
2023-08,168475.0,133393.0,0.0,368674.0,670542.0
2023-09,166593.0,129786.0,0.0,359004.0,655383.0
2023-10,167569.0,128755.0,0.0,357121.0,653445.0
2023-11,168173.0,127009.0,0.0,355660.0,650842.0
2023-12,167576.0,126391.0,0.0,354907.0,648874.0
2024-01,173400.0,128538.0,753345.0,361672.0,1416955.0
2024-02,177845.0,131324.0,768815.0,368603.0,1446587.0
2024-03,182675.0,133417.0,781096.0,373149.0,1470337.0
2024-04,189183.0,135932.0,790472.0,379256.0,1494843.0
2024-05,192606.0,137737.0,798428.0,382830.0,1511601.0
2024-06,196204.0,139076.0,802173.0,386416.0,1523869.0
2024-07,200773.0,141115.0,804420.0,391067.0,1537375.0
2024-08,204092.0,142769.0,818176.0,397853.0,1562890.0
2024-09,208107.0,144404.0,823319.0,403780.0,1579610.0
2024-10,213783.0,148862.0,829224.0,417746.0,1609615.0
2024-11,214573.0,149180.0,831206.0,421647.0,1616606.0
2024-12,215257.0,149894.0,832901.0,426244.0,1624296.0
2025-01,217735.0,151418.0,838147.0,431666.0,1638966.0
2025-02,217856.0,151633.0,842253.0,435878.0,1647620.0
2025-03,218910.0,152464.0,845911.0,439782.0,1657067.0
2025-04,218418.0,152742.0,847301.0,442189.0,1660650.0
2025-05,217550.0,152940.0,849349.0,445724.0,1665563.0
2025-06,222543.0,152296.0,846640.0,448827.0,1670306.0
2025-07,220867.0,151688.0,844608.0,450917.0,1668080.0
2025-08,215934.0,148366.0,832633.0,447968.0,1644901.0
2025-09,210990.0,145097.0,821814.0,445765.0,1623666.0
2025-10,203644.0,142470.0,813547.0,444225.0,1603886.0
2025-11,198592.0,139548.0,804546.0,442411.0,1585097.0
2025-12,195102.0,137192.0,797797.0,442218.0,1572309.0
2026-01,188701.0,130438.0,770299.0,431357.0,1520795.0
2026-02,184216.0,124713.0,745537.0,420897.0,1475363.0
2026-03,178190.0,118832.0,718577.0,410868.0,1426467.0
2026-04,172583.0,112713.0,689853.0,399424.0,1374573.0
2026-05,167776.0,106691.0,663817.0,387744.0,1326028.0
2026-06,163003.0,101010.0,635651.0,375392.0,1275056.0
