product,ages,nativity,hisp,hh,inst,noninst,total
acs1_2024,12up,foreign_born,22,15677,0,0,15677
acs1_2024,12up,foreign_born,23,137569,1171,3563,142303
acs1_2024,12up,foreign_born,24,446243,14661,9335,470239
acs1_2024,all,native,01,237810333,2994820,3705261,244510414
acs1_2024,all,native,02,27292685,213537,282068,27788290
acs1_2024,all,native,03,5873033,57983,72826,6003842
acs1_2024,all,native,04,1241145,6212,18711,1266068
acs1_2024,all,native,05,1257462,5691,17168,1280321
acs1_2024,all,native,06,113932,486,2496,116914
acs1_2024,all,native,07,894706,1865,9544,906115
acs1_2024,all,native,08,525437,1904,4213,531554
acs1_2024,all,native,09,229654,267,2772,232693
acs1_2024,all,native,10,169909,559,3612,174080
acs1_2024,all,native,11,1300048,4233,12440,1316721
acs1_2024,all,native,12,12999,0,68,13067
acs1_2024,all,native,13,156506,151,3629,160286
acs1_2024,all,native,14,67701,0,800,68501
acs1_2024,all,native,15,103192,16,1985,105193
acs1_2024,all,native,16,671139,972,11171,683282
acs1_2024,all,native,17,449180,406,8113,457699
acs1_2024,all,native,18,13513,0,171,13684
acs1_2024,all,native,19,320898,243,6307,327448
acs1_2024,all,native,20,32532,0,433,32965
acs1_2024,all,native,21,231534,121,4785,236440
acs1_2024,all,native,22,18164,54,360,18578
acs1_2024,all,native,23,839681,7726,12528,859935
acs1_2024,all,native,24,2555013,77961,93080,2726054
acs1_2024,all,foreign_born,01,27147696,106803,348915,27603414
acs1_2024,all,foreign_born,02,11000130,81506,62107,11143743
acs1_2024,all,foreign_born,03,139016,834,989,140839
acs1_2024,all,foreign_born,04,1651188,12767,6404,1670359
acs1_2024,all,foreign_born,05,1237324,6817,8452,1252593
acs1_2024,all,foreign_born,06,88451,433,728,89612
acs1_2024,all,foreign_born,07,1281126,6917,3754,1291797
acs1_2024,all,foreign_born,08,919820,8108,6693,934621
acs1_2024,all,foreign_born,09,373851,1655,499,376005
acs1_2024,all,foreign_born,10,85482,901,775,87158
acs1_2024,all,foreign_born,11,1449243,7638,3401,1460282
acs1_2024,all,foreign_born,12,14776,0,484,15260
acs1_2024,all,foreign_born,13,183727,89,2074,185890
acs1_2024,all,foreign_born,14,82066,7,0,82073
acs1_2024,all,foreign_born,15,114635,230,1255,116120
acs1_2024,all,foreign_born,16,1079456,4566,6437,1090459
acs1_2024,all,foreign_born,17,577073,2077,2839,581989
acs1_2024,all,foreign_born,18,21713,0,374,22087
acs1_2024,all,foreign_born,19,486081,1722,2259,490062
acs1_2024,all,foreign_born,20,47900,0,133,48033
acs1_2024,all,foreign_born,21,933690,1971,5908,941569
acs1_2024,all,foreign_born,22,16110,0,0,16110
acs1_2024,all,foreign_born,23,143593,1171,3563,148327
acs1_2024,all,foreign_born,24,467886,14749,9809,492444
acs5_2024,1864,native,01,139333389,1704925,3299324,144337638
acs5_2024,1864,native,02,13787979,165451,238108,14191538
acs5_2024,1864,native,03,3401205,35528,65075,3501808
acs5_2024,1864,native,04,654830,4833,14340,674003
acs5_2024,1864,native,05,553686,3586,15456,572728
acs5_2024,1864,native,06,52470,133,1862,54465
acs5_2024,1864,native,07,305050,1792,8214,315056
acs5_2024,1864,native,08,160231,1160,4134,165525
acs5_2024,1864,native,09,108528,460,1725,110713
acs5_2024,1864,native,10,90493,669,2885,94047
acs5_2024,1864,native,11,524877,2487,9697,537061
acs5_2024,1864,native,12,7562,78,118,7758
acs5_2024,1864,native,13,70785,220,3563,74568
acs5_2024,1864,native,14,33138,55,560,33753
acs5_2024,1864,native,15,49261,142,1668,51071
acs5_2024,1864,native,16,318572,909,10744,330225
acs5_2024,1864,native,17,187908,407,6034,194349
acs5_2024,1864,native,18,6153,0,183,6336
acs5_2024,1864,native,19,154976,223,5424,160623
acs5_2024,1864,native,20,15140,29,705,15874
acs5_2024,1864,native,21,79765,257,3273,83295
acs5_2024,1864,native,22,10780,30,383,11193
acs5_2024,1864,native,23,497918,4805,11272,513995
acs5_2024,1864,native,24,1342647,72118,77273,1492038
acs5_2024,1864,foreign_born,01,18994526,42257,287412,19324195
acs5_2024,1864,foreign_born,02,8973749,53455,49321,9076525
acs5_2024,1864,foreign_born,03,97766,226,706,98698
acs5_2024,1864,foreign_born,04,977051,3973,3200,984224
acs5_2024,1864,foreign_born,05,913276,3229,6887,923392
acs5_2024,1864,foreign_born,06,68557,186,614,69357
acs5_2024,1864,foreign_born,07,895864,4195,3956,904015
acs5_2024,1864,foreign_born,08,605562,4754,4809,615125
acs5_2024,1864,foreign_born,09,230179,713,805,231697
acs5_2024,1864,foreign_born,10,54719,250,792,55761
acs5_2024,1864,foreign_born,11,1127852,4929,2937,1135718
acs5_2024,1864,foreign_born,12,11170,41,282,11493
acs5_2024,1864,foreign_born,13,130832,107,1416,132355
acs5_2024,1864,foreign_born,14,56731,108,172,57011
acs5_2024,1864,foreign_born,15,74699,47,532,75278
acs5_2024,1864,foreign_born,16,705881,1788,3902,711571
acs5_2024,1864,foreign_born,17,393126,977,1860,395963
acs5_2024,1864,foreign_born,18,14431,13,140,14584
acs5_2024,1864,foreign_born,19,332815,702,2311,335828
acs5_2024,1864,foreign_born,20,36458,12,70,36540
acs5_2024,1864,foreign_born,21,496920,747,3693,501360
acs5_2024,1864,foreign_born,22,11437,27,135,11599
acs5_2024,1864,foreign_born,23,99025,294,2681,102000
acs5_2024,1864,foreign_born,24,420008,22383,8647,451038
acs5_2024,12up,native,01,203304307,3010146,3623901,209938354
acs5_2024,12up,native,02,19194906,198008,247639,19640553
acs5_2024,12up,native,03,4588496,48770,69157,4706423
acs5_2024,12up,native,04,831457,5467,14715,851639
acs5_2024,12up,native,05,742593,3965,15702,762260
acs5_2024,12up,native,06,68669,133,1862,70664
acs5_2024,12up,native,07,462136,1966,8287,472389
acs5_2024,12up,native,08,250557,1247,4182,255986
acs5_2024,12up,native,09,148744,491,1931,151166
acs5_2024,12up,native,10,117139,741,2950,120830
acs5_2024,12up,native,11,744068,2717,9795,756580
acs5_2024,12up,native,12,10441,81,130,10652
acs5_2024,12up,native,13,96490,245,3605,100340
acs5_2024,12up,native,14,44676,55,587,45318
acs5_2024,12up,native,15,67220,145,1764,69129
acs5_2024,12up,native,16,417683,1155,10803,429641
acs5_2024,12up,native,17,263824,494,6118,270436
acs5_2024,12up,native,18,8378,0,204,8582
acs5_2024,12up,native,19,215185,278,5593,221056
acs5_2024,12up,native,20,20799,37,705,21541
acs5_2024,12up,native,21,110467,338,3304,114109
acs5_2024,12up,native,22,14633,30,439,15102
acs5_2024,12up,native,23,681769,5843,11722,699334
acs5_2024,12up,native,24,1938833,90286,82210,2111329
acs5_2024,12up,foreign_born,01,25032522,101231,318679,25452432
acs5_2024,12up,foreign_born,02,10525788,68139,53272,10647199
acs5_2024,12up,foreign_born,03,123859,577,868,125304
acs5_2024,12up,foreign_born,04,1369573,12344,6686,1388603
acs5_2024,12up,foreign_born,05,1164261,4867,7373,1176501
acs5_2024,12up,foreign_born,06,85109,199,659,85967
acs5_2024,12up,foreign_born,07,1033370,4936,4639,1042945
acs5_2024,12up,foreign_born,08,703539,5379,5184,714102
acs5_2024,12up,foreign_born,09,281907,1130,970,284007
acs5_2024,12up,foreign_born,10,81267,688,935,82890
acs5_2024,12up,foreign_born,11,1317487,6065,3024,1326576
acs5_2024,12up,foreign_born,12,13826,41,305,14172
acs5_2024,12up,foreign_born,13,167310,312,1481,169103
acs5_2024,12up,foreign_born,14,71975,112,247,72334
acs5_2024,12up,foreign_born,15,98939,286,579,99804
acs5_2024,12up,foreign_born,16,891719,2545,4496,898760
acs5_2024,12up,foreign_born,17,479953,1362,2275,483590
acs5_2024,12up,foreign_born,18,16864,14,164,17042
acs5_2024,12up,foreign_born,19,436695,1244,2449,440388
acs5_2024,12up,foreign_born,20,45932,56,70,46058
acs5_2024,12up,foreign_born,21,592355,775,3742,596872
acs5_2024,12up,foreign_born,22,15167,27,151,15345
acs5_2024,12up,foreign_born,23,134535,810,2987,138332
acs5_2024,12up,foreign_born,24,523439,27079,9529,560047
acs5_2024,all,native,01,237279237,3016586,3638898,243934721
acs5_2024,all,native,02,26514487,198199,248843,26961529
acs5_2024,all,native,03,5706957,48936,70131,5826024
acs5_2024,all,native,04,1139978,5467,14715,1160160
acs5_2024,all,native,05,1178916,4040,16098,1199054
acs5_2024,all,native,06,98161,133,1862,100156
acs5_2024,all,native,07,817152,1978,8287,827417
acs5_2024,all,native,08,464888,1271,4258,470417
acs5_2024,all,native,09,222416,492,1931,224839
acs5_2024,all,native,10,155678,741,2950,159369
acs5_2024,all,native,11,1194134,2717,9946,1206797
acs5_2024,all,native,12,14777,81,130,14988
acs5_2024,all,native,13,138988,245,3605,142838
acs5_2024,all,native,14,64835,55,587,65477
acs5_2024,all,native,15,97880,145,1764,99789
acs5_2024,all,native,16,610199,1155,10803,622157
acs5_2024,all,native,17,407080,495,6118,413693
acs5_2024,all,native,18,13423,0,204,13627
acs5_2024,all,native,19,315612,278,5598,321488
acs5_2024,all,native,20,30753,37,705,31495
acs5_2024,all,native,21,182221,338,3359,185918
acs5_2024,all,native,22,19230,30,439,19699
acs5_2024,all,native,23,848180,5843,11867,865890
acs5_2024,all,native,24,2573497,90625,83998,2748120
acs5_2024,all,foreign_born,01,25806477,101265,319231,26226973
acs5_2024,all,foreign_born,02,10734984,68162,53323,10856469
acs5_2024,all,foreign_born,03,128199,577,868,129644
acs5_2024,all,foreign_born,04,1402633,12344,6686,1421663
acs5_2024,all,foreign_born,05,1208228,4873,7520,1220621
acs5_2024,all,foreign_born,06,86926,199,659,87784
acs5_2024,all,foreign_born,07,1099420,4942,4777,1109139
acs5_2024,all,foreign_born,08,783148,5400,5487,794035
acs5_2024,all,foreign_born,09,293028,1148,970,295146
acs5_2024,all,foreign_born,10,82726,688,935,84349
acs5_2024,all,foreign_born,11,1368194,6065,3024,1377283
acs5_2024,all,foreign_born,12,14481,41,305,14827
acs5_2024,all,foreign_born,13,170871,312,1481,172664
acs5_2024,all,foreign_born,14,73760,112,247,74119
acs5_2024,all,foreign_born,15,105095,286,579,105960
acs5_2024,all,foreign_born,16,921969,2552,4560,929081
acs5_2024,all,foreign_born,17,497511,1362,2292,501165
acs5_2024,all,foreign_born,18,17661,14,164,17839
acs5_2024,all,foreign_born,19,447059,1244,2449,450752
acs5_2024,all,foreign_born,20,46818,56,70,46944
acs5_2024,all,foreign_born,21,639876,775,4247,644898
acs5_2024,all,foreign_born,22,15364,27,151,15542
acs5_2024,all,foreign_born,23,139875,810,2987,143672
acs5_2024,all,foreign_born,24,549452,27102,9718,586272
acs1_2016,1864,native,01,141961924,1948302,3144987,147055213
acs1_2016,1864,native,02,11381165,205633,188969,11775767
acs1_2016,1864,native,03,3127120,60159,71071,3258350
acs1_2016,1864,native,04,494572,8262,12399,515233
acs1_2016,1864,native,05,384779,5641,12238,402658
acs1_2016,1864,native,06,28946,17,1335,30298
acs1_2016,1864,native,07,167310,1720,4878,173908
acs1_2016,1864,native,08,101742,2161,4491,108394
acs1_2016,1864,native,09,82514,607,1862,84983
acs1_2016,1864,native,10,63559,911,5747,70217
acs1_2016,1864,native,11,332893,3829,8594,345316
acs1_2016,1864,native,12,6513,309,826,7648
acs1_2016,1864,native,13,51714,993,1608,54315
acs1_2016,1864,native,14,22098,49,305,22452
acs1_2016,1864,native,15,30809,320,1277,32406
acs1_2016,1864,native,16,206486,1817,5035,213338
acs1_2016,1864,native,17,116918,369,2564,119851
acs1_2016,1864,native,18,4813,0,152,4965
acs1_2016,1864,native,19,101985,727,4424,107136
acs1_2016,1864,native,20,9626,0,1100,10726
acs1_2016,1864,native,21,38488,220,1680,40388
acs1_2016,1864,native,22,4928,0,220,5148
acs1_2016,1864,native,23,386839,6365,10134,403338
acs1_2016,1864,native,24,894412,40257,38652,973321
acs1_2016,1864,foreign_born,01,17816768,50148,270265,18137181
acs1_2016,1864,foreign_born,02,9786405,86714,53552,9926671
acs1_2016,1864,foreign_born,03,65982,2399,1589,69970
acs1_2016,1864,foreign_born,04,859817,5907,1983,867707
acs1_2016,1864,foreign_born,05,817951,4688,2792,825431
acs1_2016,1864,foreign_born,06,63714,0,502,64216
acs1_2016,1864,foreign_born,07,729456,5972,5238,740666
acs1_2016,1864,foreign_born,08,511943,4275,1274,517492
acs1_2016,1864,foreign_born,09,195600,1375,115,197090
acs1_2016,1864,foreign_born,10,51755,300,432,52487
acs1_2016,1864,foreign_born,11,1099669,6880,1868,1108417
acs1_2016,1864,foreign_born,12,12417,99,26,12542
acs1_2016,1864,foreign_born,13,125366,168,1642,127176
acs1_2016,1864,foreign_born,14,63804,124,770,64698
acs1_2016,1864,foreign_born,15,59737,114,662,60513
acs1_2016,1864,foreign_born,16,534733,1890,2130,538753
acs1_2016,1864,foreign_born,17,329517,790,1245,331552
acs1_2016,1864,foreign_born,18,10348,0,749,11097
acs1_2016,1864,foreign_born,19,299956,572,2093,302621
acs1_2016,1864,foreign_born,20,29496,0,172,29668
acs1_2016,1864,foreign_born,21,210915,643,1347,212905
acs1_2016,1864,foreign_born,22,10651,109,0,10760
acs1_2016,1864,foreign_born,23,79561,453,1044,81058
acs1_2016,1864,foreign_born,24,228973,8243,4583,241799
