geography,passthrough,decile,tenure,households,income_dollars,federal_share,state_local_share
US,0.5,10,owner,10356566.04611519,2899430994705.913,0.3969808613854353,0.2716718014508466
US,0.5,10,renter,1318909.92608681,365716264447.1761,0.053433286583797715,0.03073602432323887
US,1.0,1,no_cash_rent,275763.57723149,2347924995.266514,3.2040642762661704e-05,0.00047383871567179784
US,1.0,1,owner,6082867.27027557,41203566588.52645,0.003087335734307947,0.015247752724056304
US,1.0,1,renter,5360171.59550726,43292252733.99284,0.0017172741169268007,0.012569272100864684
US,1.0,2,no_cash_rent,293086.75319936,6244721348.75032,0.0001850015250316814,0.0008451485276496471
US,1.0,2,owner,5637410.67828922,122732404947.81564,0.003439118714150963,0.020643381595296197
US,1.0,2,renter,5788887.1275282595,125991735628.54825,0.0043255758598698705,0.020681591844023697
US,1.0,3,no_cash_rent,179350.95385456,5682609033.4062605,0.00025255336858619583,0.0006380337205999361
US,1.0,3,owner,6208503.42834028,200906614856.70615,0.007528557778850021,0.02679892884938631
US,1.0,3,renter,5332736.17221653,172823142386.7999,0.008083677714109333,0.02252835091345766
US,1.0,4,no_cash_rent,146609.07592127,6363603514.844706,0.0003638658263535326,0.0006442860220528042
US,1.0,4,owner,6332146.11438108,275342556996.8819,0.013516442596532431,0.032029450096765125
US,1.0,4,renter,5241493.7946272,226817732759.5499,0.013712936186082861,0.025597669138246855
US,1.0,5,no_cash_rent,126248.43665238,7038463370.036355,0.0005473507459797695,0.0006582481097903724
US,1.0,5,owner,7080665.79356858,389748433090.511,0.024468812364759677,0.042414025355349654
US,1.0,5,renter,4513138.78272012,247469691969.17874,0.018200841992536267,0.025912112334602732
US,1.0,6,no_cash_rent,107958.64864836,7286984606.846871,0.0005529919168966459,0.0006479653554591433
US,1.0,6,owner,7981122.95739667,546982394783.4121,0.03857167644591253,0.055897595615463605
US,1.0,6,renter,3630667.80053183,247274484812.6564,0.020371738227462598,0.023866555079166362
US,1.0,7,no_cash_rent,117997.58214996,10193433624.797731,0.0008580815022743853,0.0008225234519948111
US,1.0,7,owner,8706115.463583,748529647605.4202,0.06061956074760028,0.07393352019147767
US,1.0,7,renter,2896756.82455565,246849226458.5552,0.021781725185590902,0.022661754830824568
US,1.0,8,no_cash_rent,62238.18737247,6636544528.542483,0.0006199745071036783,0.0005439920968300543
US,1.0,8,owner,9246885.02559548,1003692459222.6896,0.09356207805342304,0.09475921272510587
US,1.0,8,renter,2408756.36581163,260644823806.39993,0.02763350905100209,0.023626927101220493
US,1.0,9,no_cash_rent,75498.43890449,11126207631.659338,0.001059044004508728,0.0009484466252580134
US,1.0,9,owner,9934650.23751075,1430397687319.1619,0.15515031200044352,0.13569060945018735
US,1.0,9,renter,1710810.32279,240092630970.3849,0.02765207753310584,0.021816750437783555
US,1.0,10,no_cash_rent,45827.37406967,10953255069.160057,0.001691697688602727,0.001268736511138163
US,1.0,10,owner,10356566.04611519,2899430994705.913,0.3969808613854353,0.2651302405839735
US,1.0,10,renter,1318909.92608681,365716264447.1761,0.053433286583797715,0.030703079896303286
CA,0.0,1,no_cash_rent,15189.3095694,88819491.9020181,7.241577949980719e-07,0.00016773610103673286
CA,0.0,1,owner,467142.85930969997,2417828382.145749,0.00048424696145325455,0.012533210034358989
CA,0.0,1,renter,588136.4864759,3111646191.9715695,0.0003314451973833674,0.009012507464469697
CA,0.0,2,no_cash_rent,30623.4026592,627877211.8419558,1.1686244711362076e-05,0.0007669547624251149
CA,0.0,2,owner,430009.1891912,10259135825.929028,0.00041790970631158165,0.015252612551359575
CA,0.0,2,renter,606120.529367,14730936577.256151,0.000505853167839682,0.015620535888739438
CA,0.0,3,no_cash_rent,15098.065161100001,567047990.3972869,4.277518460122023e-05,0.0006078001350488199
CA,0.0,3,owner,414395.4861133,15348191324.168852,0.0007154700088986959,0.018295261748466685
CA,0.0,3,renter,644219.9045658,23897492973.095547,0.0012559740392305925,0.021396375441132175
CA,0.0,4,no_cash_rent,9994.010099399999,483678790.25754976,4.23690883387585e-05,0.0003974472452636578
CA,0.0,4,owner,398243.7851085,19924002208.122112,0.0012206139638293774,0.02076191445025245
CA,0.0,4,renter,663926.0531318,33195456729.77332,0.0023701645968985494,0.027028545639926106
CA,0.0,5,no_cash_rent,14007.552513,847286295.9561666,9.037561930381669e-05,0.0007459122052642401
CA,0.0,5,owner,542981.577096,35058954878.81873,0.0025390857631687443,0.03322924049459456
CA,0.0,5,renter,515104.2615657,33067998662.19454,0.0026887194143019604,0.025818685052696237
CA,0.0,6,no_cash_rent,15024.6363669,1178830353.7054977,0.00011016243006674894,0.0009558988916043125
CA,0.0,6,owner,550942.3208062,44549183076.440186,0.0033091075738741395,0.04062035406052352
CA,0.0,6,renter,504424.2983278,40637870707.34304,0.003801432760749925,0.03062028427697935
CA,0.0,7,no_cash_rent,9807.9077939,953794305.4250879,5.972342620130668e-05,0.0006556022957271953
CA,0.0,7,owner,631863.66282,63302390319.61869,0.00532831451343314,0.05460395277477512
CA,0.0,7,renter,429510.4602493,42647942348.9594,0.004215309777435161,0.03255724144777207
CA,0.0,8,no_cash_rent,3029.6410322,420086995.8838198,4.464477885433027e-05,0.0003713998782609667
CA,0.0,8,owner,722511.0685684,89679877480.07973,0.00894940840176826,0.08052844584297948
CA,0.0,8,renter,347018.81192,43085922500.25052,0.004928676894209967,0.03504102634431094
CA,0.0,9,no_cash_rent,2627.9521064,466295937.9032968,6.453738423222681e-05,0.00046075400692395133
