universe,allocation,weighting,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_sales_itep,769,1872200.147549,30386.963260,2637.249986,11375.689486,2654.054387
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,federal_after_refundable,769,1872200.147549,15396.496575,1572.620577,5326.709523,1583.390139
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,health_age_birth,769,1872200.147549,2460.367437,68.596839,-685.278879,67.861492
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,health_age_birth_ins,769,1872200.147549,2559.399621,238.963034,-7.659682,239.076935
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,k12_charged,769,1872200.147549,4265.413331,311.268036,764.731813,320.490665
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,k12_charged_flat090,769,1872200.147549,4782.441790,348.998127,857.428131,359.338669
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,k12_cost_at_full_attendance,769,1872200.147549,5313.824211,387.775696,952.697923,399.265188
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,modeled_tax_total,769,1872200.147549,25341.474523,2218.028819,8004.808054,2230.110826
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,payroll,769,1872200.147549,5750.176002,264.097134,1049.173212,266.056371
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,property_tax_owner,769,1872200.147549,2736.802472,158.721464,1120.175367,158.589526
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,property_tax_renter_proxy,769,1872200.147549,556.044570,44.059034,209.481456,44.036452
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,sales_tax_itep,769,1872200.147549,2449.958013,106.157144,254.684174,107.659351
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,sales_tax_share35,769,1872200.147549,1693.350297,95.405191,410.090845,96.140066
