fiscal_year,series,country,class_of_admission,persons,all_countries,share_of_class
2024,NI_Table29,India,Tourists and business travelers - visa waiver1,,19767950.000000,
2024,NI_Table29,India,Treaty Traders5,650.000000,603160.000000,0.001078
2024,NI_Table29,India,Unknown,850.000000,132580.000000,0.006411
2024,NI_Table33,India,"Athletes, artists, and entertainers (P1 to P3)",3590.000000,157580.000000,0.022782
2024,NI_Table33,India,Intracompany transferees (L1),64910.000000,598330.000000,0.108485
2024,NI_Table33,India,Other2,3030.000000,1598990.000000,0.001895
2024,NI_Table33,India,Seasonal agricultural workers (H2A),0.000000,724900.000000,0.000000
2024,NI_Table33,India,"Seasonal non-agricultural workers (H2B, H2R)",10.000000,186600.000000,0.000054
2024,NI_Table33,India,Spouses and children3,265400.000000,814530.000000,0.325832
2024,NI_Table33,India,Total temporary workers and families1,840320.000000,5156080.000000,0.162977
2024,NI_Table33,India,Workers in specialty occupations (H1B),497460.000000,890310.000000,0.558749
2024,NI_Table33,India,"Workers with extraordinary ability/ achievement (O1, O2)",5930.000000,184850.000000,0.032080
