year,fips,dem,rep,total_votes,pop,mex,hisp,source,nhwhite,vap,cvap,hisp_vap,hisp_cvap,med_income,state,dem2p,mex_share,hisp_share,turnout_cvap,votes_per_pop,nhwhite_share,mex_share_of_hisp
2012,01005,5912,5550,11509,27119,941,1283,acs5_2014,12505,21257,20609,802,198,35634,01,0.515791,0.0346989,0.04731,0.558445,0.424389,0.461116,0.733437
2016,01005,4871,5454,10469,25782,905,1106,acs5_2018,11898,20346,19991,668,394,34186,01,0.471768,0.035102,0.0428981,0.523686,0.406058,0.461485,0.818264
2020,01005,4816,5622,10518,24877,975,1202,acs5_2022,11084,19726,19305,689,350,39712,01,0.461391,0.0391928,0.0483177,0.544833,0.4228,0.445552,0.811148
2024,01005,4158,5606,9832,24757,1004,1490,acs5_2023,10807,19576,19201,841,563,44290,01,0.42585,0.0405542,0.060185,0.512057,0.39714,0.436523,0.673826
2000,01007,2710,4273,7101,20826,113,210,dec2000,,,,,,,01,0.388085,0.00542591,0.0100835,,0.340968,,0.538095
2004,01007,2089,5472,7600,21661.6,167.4,288.4,interp dec2000/dec2010,,,,,,,01,0.276286,0.00772796,0.0133139,,0.350851,,0.580444
2008,01007,2299,6262,8644,21464,184,190,acs5_2009,16182,16336,16255,,,41236,01,0.268543,0.00857249,0.00885203,0.531775,0.402721,0.753914,0.968421
2012,01007,2202,6132,8420,22653,210,455,acs5_2014,16936,17750,17499,332,101,37984,01,0.264219,0.0092703,0.0200856,0.48117,0.371695,0.747627,0.461538
2016,01007,1874,6738,8819,22527,200,547,acs5_2018,16801,17868,17672,414,222,45340,01,0.217603,0.00887824,0.024282,0.499038,0.391486,0.745816,0.365631
2020,01007,1986,7525,9595,22251,163,650,acs5_2022,16520,17536,17419,212,120,50669,01,0.208811,0.00732551,0.0292122,0.550835,0.431217,0.742439,0.250769
2024,01007,1619,7572,9241,22152,352,744,acs5_2023,16333,17694,17469,509,314,51215,01,0.176151,0.0158902,0.0335861,0.528994,0.417163,0.737315,0.473118
2000,01009,4977,12667,17973,51024,2356,2718,dec2000,,,,,,,01,0.282079,0.0461743,0.053269,,0.352246,,0.866814
2004,01009,3938,17386,21504,53543.2,3075.2,3481.2,interp dec2000/dec2010,,,,,,,01,0.184675,0.057434,0.0650167,,0.40162,,0.883374
2008,01009,3522,20389,24267,56804,3808,4134,acs5_2009,50787,42877,41096,,,45406,01,0.147296,0.0670375,0.0727766,0.590495,0.427206,0.894074,0.921142
2012,01009,2970,20757,24006,57645,4459,4880,acs5_2014,50820,43768,42114,2902,1390,44409,01,0.125174,0.0773528,0.0846561,0.570024,0.416445,0.881603,0.91373
2016,01009,2156,22859,25588,57645,4755,5261,acs5_2018,50232,44177,42627,3173,1842,48695,01,0.0861883,0.0824876,0.0912655,0.600277,0.443889,0.871403,0.903821
2020,01009,2640,24711,27588,59077,5058,5721,acs5_2022,50614,45513,43701,3603,1952,57440,01,0.096523,0.0856171,0.0968397,0.63129,0.466984,0.856746,0.884111
2024,01009,2576,25354,28115,59292,5427,5962,acs5_2023,50374,45554,43866,3768,2195,61096,01,0.0922306,0.0915301,0.100553,0.640929,0.474179,0.849592,0.910265
2000,01011,3395,1433,4904,11714,245,322,dec2000,,,,,,,01,0.70319,0.0209151,0.0274885,,0.418644,,0.76087
2004,01011,3210,1494,4717,11394,352.2,504,interp dec2000/dec2010,,,,,,,01,0.682398,0.030911,0.0442338,,0.41399,,0.69881
2008,01011,4011,1391,5415,10917,252,252,acs5_2009,2427,8260,8244,,,26209,01,0.742503,0.0230833,0.0230833,0.656841,0.496015,0.222314,1
2012,01011,4061,1251,5322,10693,431,431,acs5_2014,2372,8410,8041,431,109,34804,01,0.764495,0.0403067,0.0403067,0.661858,0.497709,0.221827,1
2016,01011,3530,1140,4710,10352,19,51,acs5_2018,2228,8202,8202,48,48,32152,01,0.755889,0.00183539,0.00492658,0.57425,0.454985,0.215224,0.372549
2020,01011,3446,1146,4613,10328,525,907,acs5_2022,2125,8153,7877,541,315,36136,01,0.750436,0.0508327,0.0878195,0.585629,0.44665,0.205751,0.578831
2024,01011,2983,1101,4106,10157,328,577,acs5_2023,2143,8052,7847,350,190,36723,01,0.730411,0.032293,0.0568081,0.523257,0.404253,0.210987,0.568458
2000,01013,3606,4127,7803,21399,42,143,dec2000,,,,,,,01,0.466313,0.00196271,0.00668256,,0.364643,,0.293706
2004,01013,3413,4979,8416,21218.2,65.6,162.2,interp dec2000/dec2010,,,,,,,01,0.406697,0.00309169,0.00764438,,0.396641,,0.404439
2008,01013,4188,5485,9709,20189,0,74,acs5_2009,11451,15176,15049,,,31938,01,0.432958,0,0.00366536,0.645159,0.480905,0.56719,0
2012,01013,4374,5087,9496,20523,176,233,acs5_2014,11006,15688,15661,157,145,31571,01,0.462319,0.00857574,0.0113531,0.606347,0.4627,0.536276,0.755365
2016,01013,3726,4901,8732,20025,58,67,acs5_2018,10384,15459,15360,67,67,39109,01,0.4319,0.00289638,0.00334582,0.56849,0.436055,0.518552,0.865672
2020,01013,3965,5458,9488,18981,264,322,acs5_2022,9655,14747,14609,211,141,44429,01,0.420779,0.0139086,0.0169643,0.649463,0.499868,0.508667,0.819876
2024,01013,3251,5172,8467,18807,243,300,acs5_2023,9531,14588,14452,193,108,44881,01,0.385967,0.0129207,0.0159515,0.58587,0.450205,0.506779,0.81
2000,01015,15781,22306,38909,112249,976,1753,dec2000,,,,,,,01,0.414341,0.00869495,0.0156171,,0.346631,,0.55676
2004,01015,15083,29814,45249,114778,1660.8,2609,interp dec2000/dec2010,,,,,,,01,0.335947,0.0144696,0.0227308,,0.39423,,0.636566
2008,01015,16334,32348,49242,112969,1612,2725,acs5_2009,85467,86534,85112,,,38382,01,0.335524,0.0142694,0.0241217,0.578555,0.435889,0.756553,0.59156
2012,01015,15511,30278,46257,117186,2820,4017,acs5_2014,85871,90849,89004,2516,1418,40919,01,0.338749,0.0240643,0.0342788,0.519718,0.394731,0.732775,0.702016
2016,01015,13242,32865,47864,115098,2753,4203,acs5_2018,83423,89902,88401,2556,1580,45197,01,0.287202,0.0239187,0.0365167,0.541442,0.415854,0.7248,0.655008
2020,01015,15216,35101,50983,116162,3164,4736,acs5_2022,81851,91563,90157,2940,1993,54339,01,0.302403,0.0272378,0.0407706,0.565491,0.438896,0.704628,0.668074
2024,01015,13194,34912,48530,116141,3511,5150,acs5_2023,81098,91312,89916,3191,2163,55826,01,0.274269,0.0302305,0.0443427,0.539726,0.417854,0.698272,0.681748
2000,01017,5616,6037,11834,36583,103,280,dec2000,,,,,,,01,0.481936,0.00281552,0.00765383,,0.323484,,0.367857
2004,01017,5347,7622,13032,35635.8,192.6,382.4,interp dec2000/dec2010,,,,,,,01,0.412291,0.00540468,0.0107308,,0.3657,,0.503661
2008,01017,6799,8067,14956,34704,314,462,acs5_2009,20758,26572,26390,,,32433,01,0.457352,0.00904795,0.0133126,0.56673,0.430959,0.598144,0.679654
2012,01017,6871,7626,14611,34091,96,158,acs5_2014,19651,26693,26455,94,69,32835,01,0.47396,0.00281599,0.00463465,0.552296,0.428588,0.576428,0.607595
2016,01017,5784,7843,13900,33826,273,768,acs5_2018,18872,26820,26424,541,458,39872,01,0.424451,0.00807071,0.0227044,0.526037,0.410927,0.557914,0.355469
2020,01017,6365,8753,15284,34612,490,1129,acs5_2022,18794,27421,27182,630,479,48805,01,0.421021,0.0141569,0.0326187,0.562284,0.441581,0.542991,0.434012
2024,01017,5405,8711,14221,34450,586,1270,acs5_2023,18575,27309,26764,673,359,49295,01,0.382899,0.0170102,0.036865,0.531348,0.412801,0.539187,0.461417
2000,01019,3497,4154,7823,23988,102,204,dec2000,,,,,,,01,0.457064,0.00425213,0.00850425,,0.326121,,0.5
2004,01019,3040,5923,9049,24788.4,135.2,250.4,interp dec2000/dec2010,,,,,,,01,0.339172,0.00545416,0.0101015,,0.36505,,0.539936
2008,01019,2306,7298,9745,24427,142,293,acs5_2009,22441,19336,19336,,,40240,01,0.240108,0.00581324,0.0119949,0.503982,0.398944,0.918697,0.484642
2012,01019,2132,7506,9779,26042,187,375,acs5_2014,23929,20747,20669,320,320,34983,01,0.221208,0.00718071,0.0143998,0.473124,0.375509,0.918862,0.498667
2016,01019,1547,8953,10733,25853,369,398,acs5_2018,23730,20567,20492,236,186,41014,01,0.147333,0.014273,0.0153947,0.523765,0.415155,0.917882,0.927136
2020,01019,1624,10583,12301,25069,399,479,acs5_2022,22749,20343,20008,308,175,46621,01,0.133038,0.0159161,0.0191073,0.614804,0.490686,0.907455,0.832985
2024,01019,1553,11358,12984,25224,343,437,acs5_2023,22884,20477,20158,280,194,50769,01,0.120285,0.0135982,0.0173248,0.644112,0.514748,0.907231,0.784897
2000,01021,4806,10066,15092,39593,910,1152,dec2000,,,,,,,01,0.323158,0.0229839,0.0290961,,0.381178,,0.789931
2004,01021,3778,12829,16693,41213,1718.8,2059.2,interp dec2000/dec2010,,,,,,,01,0.227494,0.0417053,0.0499648,,0.405042,,0.834693
2008,01021,3674,13960,17785,42272,1863,1978,acs5_2009,35168,31772,30828,,,38966,01,0.208348,0.0440717,0.0467922,0.576911,0.420728,0.831945,0.94186
2012,01021,3397,13932,17462,43781,3070,3366,acs5_2014,35342,33056,31357,2026,410,41785,01,0.19603,0.0701217,0.0768827,0.556877,0.398849,0.807245,0.912062
2016,01021,2911,15081,18369,43930,2979,3416,acs5_2018,35205,33283,31953,2036,783,45182,01,0.161794,0.0678124,0.0777601,0.574876,0.418142,0.801389,0.872073
2020,01021,3073,16085,19310,45140,3173,3664,acs5_2022,35714,34435,33389,2170,1170,62471,01,0.160403,0.0702924,0.0811697,0.578334,0.42778,0.791183,0.865993
2024,01021,2698,16920,19728,45500,3861,4489,acs5_2023,35082,34534,33441,2675,1597,61873,01,0.137527,0.0848571,0.0986593,0.589935,0.433582,0.771033,0.860102
2000,01023,3707,3600,7374,15922,15,107,dec2000,,,,,,,01,0.507322,0.000942093,0.00672026,,0.463133,,0.140187
2004,01023,3303,3897,7227,15096.8,23.8,93.4,interp dec2000/dec2010,,,,,,,01,0.45875,0.00157649,0.00618674,,0.478711,,0.254818
2008,01023,3636,4223,7894,14229,11,84,acs5_2009,7816,10864,10818,,,30749,01,0.462654,0.000773069,0.00590344,0.72971,0.554782,0.549301,0.130952
2012,01023,3786,4152,7968,13546,27,56,acs5_2014,7551,10635,10627,37,37,34325,01,0.476946,0.00199321,0.00413406,0.749788,0.588218,0.557434,0.482143
2016,01023,3109,4106,7292,13075,23,73,acs5_2018,7370,10425,10400,38,38,34884,01,0.430908,0.00175908,0.00558317,0.701154,0.557706,0.563671,0.315068
2020,01023,3127,4296,7464,12669,7,143,acs5_2022,7162,10143,10110,73,62,43299,01,0.421258,0.00055253,0.0112874,0.738279,0.589155,0.565317,0.048951
2024,01023,2515,4103,6646,12525,5,136,acs5_2023,7084,10033,9992,97,88,44483,01,0.380024,0.000399202,0.0108583,0.665132,0.530619,0.565589,0.0367647
2000,01025,4679,5988,10752,27867,50,180,dec2000,,,,,,,01,0.438643,0.00179424,0.00645925,,0.385833,,0.277778
2004,01025,4627,6730,11394,27053.4,78.8,216.4,interp dec2000/dec2010,,,,,,,01,0.407414,0.00291276,0.00799899,,0.421167,,0.36414
2008,01025,5914,7466,13435,26438,116,144,acs5_2009,14480,19510,19448,,,27080,01,0.442003,0.00438762,0.00544671,0.690817,0.50817,0.547696,0.805556
2012,01025,6334,7470,13851,25331,79,110,acs5_2014,13548,19375,19311,110,83,30951,01,0.458853,0.00311871,0.00434251,0.71726,0.5468,0.534839,0.718182
2016,01025,5749,7140,13031,24387,16,48,acs5_2018,12895,18998,18972,34,25,36127,01,0.446039,0.000656087,0.00196826,0.686854,0.534342,0.528765,0.333333
2020,01025,5755,7324,13135,23058,101,335,acs5_2022,11809,17983,17882,106,53,47549,01,0.440018,0.00438026,0.0145286,0.734538,0.56965,0.512143,0.301493
2024,01025,4927,6965,11946,22802,128,261,acs5_2023,11674,17852,17747,182,133,49167,01,0.414312,0.00561354,0.0114464,0.673128,0.523901,0.511973,0.490421
2000,01027,2045,3719,5883,14254,156,253,dec2000,,,,,,,01,0.354788,0.0109443,0.0177494,,0.412726,,0.616601
2004,01027,1893,4624,6576,14125.2,194.4,311.4,interp dec2000/dec2010,,,,,,,01,0.290471,0.0137626,0.0220457,,0.465551,,0.624277
2008,01027,1760,4984,6819,13769,139,366,acs5_2009,11077,10746,10512,,,37652,01,0.260973,0.0100951,0.0265815,0.648687,0.495243,0.804488,0.379781
2012,01027,1777,4817,6662,13617,259,424,acs5_2014,10900,10596,10340,273,21,35286,01,0.269487,0.0190203,0.0311375,0.644294,0.489241,0.80047,0.610849
2016,01027,1237,5245,6624,13378,275,415,acs5_2018,10740,10559,10383,284,123,41225,01,0.190836,0.0205561,0.0310211,0.637966,0.495141,0.802811,0.662651
2020,01027,1267,5601,6930,14209,337,437,acs5_2022,11385,11299,11277,296,280,48074,01,0.184479,0.0237174,0.0307552,0.614525,0.487719,0.801253,0.771167
2024,01027,993,5734,6757,14188,343,451,acs5_2023,11256,11256,11191,303,285,51852,01,0.147614,0.0241754,0.0317874,0.603789,0.476248,0.793346,0.760532
2000,01029,1664,3333,5092,14123,126,198,dec2000,,,,,,,01,0.333,0.00892162,0.0140197,,0.360547,,0.636364
2004,01029,1391,4370,5798,14462.6,178,241.6,interp dec2000/dec2010,,,,,,,01,0.241451,0.0123076,0.0167052,,0.400896,,0.736755
2008,01029,1168,5216,6492,14579,119,142,acs5_2009,13444,11168,11110,,,33742,01,0.182957,0.00816243,0.00974004,0.584338,0.445298,0.922148,0.838028
2012,01029,971,5272,6305,14990,294,331,acs5_2014,13897,11413,11293,117,24,37008,01,0.155534,0.0196131,0.0220814,0.55831,0.420614,0.927085,0.888218
2016,01029,684,5764,6593,14938,287,362,acs5_2018,13839,11500,11343,214,83,40188,01,0.106079,0.0192127,0.0242335,0.58124,0.441358,0.926429,0.792818
2020,01029,675,6484,7227,15144,298,401,acs5_2022,13964,11698,11592,248,196,51553,01,0.0942869,0.0196778,0.0264791,0.623447,0.477219,0.922081,0.743142
2024,01029,605,6988,7637,15254,234,306,acs5_2023,14117,11927,11892,193,171,53319,01,0.0796787,0.0153402,0.0200603,0.642196,0.500656,0.925462,0.764706
2000,01031,5220,9938,15434,43615,488,1183,dec2000,,,,,,,01,0.344373,0.0111888,0.0271237,,0.353869,,0.412511
2004,01031,4480,13019,17616,46148.2,938.8,1981.8,interp dec2000/dec2010,,,,,,,01,0.256015,0.0203432,0.0429443,,0.381727,,0.473711
2008,01031,5079,14919,20128,46802,985,1931,acs5_2009,34763,35590,34531,,,41973,01,0.253975,0.0210461,0.0412589,0.582897,0.430067,0.742767,0.510098
2012,01031,4925,14666,19770,50726,1671,3236,acs5_2014,36434,38602,37265,2031,1244,45558,01,0.251391,0.0329417,0.0637937,0.530525,0.389741,0.718251,0.516378
2016,01031,4221,15875,20767,51288,1371,3549,acs5_2018,36223,39127,38221,2190,1813,53155,01,0.210042,0.0267314,0.0691975,0.54334,0.40491,0.706267,0.386306
2020,01031,5076,16899,22275,53559,2050,4500,acs5_2022,36875,40889,39749,2719,2055,62199,01,0.23099,0.0382755,0.0840195,0.560391,0.415896,0.688493,0.455556
2024,01031,4601,17495,22270,54231,2564,5096,acs5_2023,36827,41186,39839,3071,2327,64672,01,0.208228,0.0472792,0.0939684,0.559,0.410651,0.679077,0.50314
2000,01033,10543,10518,21532,54984,348,618,dec2000,,,,,,,01,0.500594,0.00632911,0.0112396,,0.391605,,0.563107
2004,01033,10598,13188,23935,54761.6,514.8,808,interp dec2000/dec2010,,,,,,,01,0.445556,0.00940075,0.0147549,,0.437076,,0.637129
2008,01033,9703,14739,24843,54546,428,875,acs5_2009,43830,42293,41933,,,39366,01,0.396981,0.00784659,0.0160415,0.592445,0.45545,0.803542,0.489143
2012,01033,9166,13936,23385,54491,909,1276,acs5_2014,43099,42584,42067,737,363,39914,01,0.396762,0.0166817,0.0234167,0.555899,0.429153,0.790938,0.712382
2016,01033,7312,16746,24915,54495,888,1349,acs5_2018,42865,42887,42391,795,449,47558,01,0.303932,0.0162951,0.0247546,0.587743,0.457198,0.786586,0.658265
2020,01033,8343,19203,27886,57270,1430,1837,acs5_2022,44485,45293,44766,1134,669,56149,01,0.302875,0.0249694,0.0320761,0.622928,0.486922,0.776759,0.778443
2024,01033,7137,19714,27086,57648,1460,1890,acs5_2023,44648,45337,44882,1165,771,56736,01,0.2658,0.0253261,0.0327852,0.603494,0.469852,0.774493,0.772487
2000,01035,2783,2699,5551,14089,30,102,dec2000,,,,,,,01,0.507661,0.00212932,0.00723969,,0.393995,,0.294118
2004,01035,2719,3271,6021,13744.6,65.2,125.6,interp dec2000/dec2010,,,,,,,01,0.453923,0.00474368,0.00913813,,0.438063,,0.519108
2008,01035,3429,3470,6943,13114,15,20,acs5_2009,7124,9980,9980,,,27216,01,0.497029,0.00114382,0.00152509,0.695691,0.529434,0.543236,0.75
2012,01035,3555,3439,7022,12985,167,206,acs5_2014,6629,10087,10007,90,43,24433,01,0.508293,0.012861,0.0158645,0.701709,0.540778,0.510512,0.81068
2016,01035,3080,3420,6585,12514,103,105,acs5_2018,6274,9863,9806,56,40,33177,01,0.473846,0.00823078,0.0083906,0.671528,0.526211,0.501358,0.980952
2020,01035,2966,3442,6441,11576,0,80,acs5_2022,5751,9208,9196,80,68,39888,01,0.462859,0,0.00691085,0.700413,0.55641,0.496804,0
2024,01035,2580,3423,6043,11411,25,101,acs5_2023,5713,9106,9073,84,56,42266,01,0.429785,0.00219087,0.00885111,0.666042,0.529577,0.500657,0.247525
2000,01037,2104,2382,4567,12202,106,158,dec2000,,,,,,,01,0.469015,0.0086871,0.0129487,,0.374283,,0.670886
2004,01037,2055,2905,5001,11936.8,132,186.8,interp dec2000/dec2010,,,,,,,01,0.414315,0.0110582,0.0156491,,0.418957,,0.706638
2008,01037,2273,3248,5563,10777,15,15,acs5_2009,7144,8552,8515,,,33595,01,0.411701,0.00139185,0.00139185,0.653318,0.516192,0.662893,1
2012,01037,2191,3049,5269,11247,238,238,acs5_2014,7311,9108,8941,185,18,32340,01,0.41813,0.0211612,0.0211612,0.589308,0.46848,0.65004,1
2016,01037,1782,3381,5252,10855,30,50,acs5_2018,7084,9005,8957,47,47,38301,01,0.345148,0.0027637,0.00460617,0.586357,0.483832,0.652602,0.6
2020,01037,1796,3631,5479,10329,142,284,acs5_2022,6632,8671,8625,225,179,52279,01,0.330938,0.0137477,0.0274954,0.635246,0.530448,0.642076,0.5
2024,01037,1478,3758,5264,10323,34,245,acs5_2023,6640,8581,8561,101,81,57063,01,0.282277,0.00329362,0.0237334,0.614881,0.509929,0.643224,0.138776
2000,01039,4440,8961,13613,37631,96,292,dec2000,,,,,,,01,0.331319,0.00255109,0.00775956,,0.36175,,0.328767
2004,01039,3423,11119,14627,37684.6,160,368.4,interp dec2000/dec2010,,,,,,,01,0.235387,0.00424577,0.00977588,,0.388143,,0.434311
2008,01039,3240,12444,15787,36688,257,403,acs5_2009,30954,28290,28083,,,33278,01,0.20658,0.00700502,0.0109845,0.562155,0.430304,0.843709,0.637717
2012,01039,3158,12153,15423,37881,329,564,acs5_2014,31656,29483,29327,392,309,36256,01,0.206257,0.00868509,0.0148887,0.525898,0.407143,0.83567,0.583333
2016,01039,2387,13267,15940,37351,303,604,acs5_2018,31146,29161,29030,416,367,40601,01,0.152485,0.00811223,0.0161709,0.549087,0.426762,0.833873,0.501656
2020,01039,2721,14586,17430,37542,481,749,acs5_2022,30958,29315,29041,487,403,48772,01,0.15722,0.0128123,0.019951,0.600186,0.46428,0.824623,0.64219
2024,01039,2314,14677,17072,37647,392,727,acs5_2023,31061,29328,29121,487,401,50886,01,0.13619,0.0104125,0.019311,0.586244,0.453476,0.825059,0.539202
2000,01041,1934,2793,4795,13665,24,87,dec2000,,,,,,,01,0.409139,0.00175631,0.00636663,,0.350896,,0.275862
2004,01041,1698,3777,5500,13761.4,71.2,133.8,interp dec2000/dec2010,,,,,,,01,0.310137,0.00517389,0.00972285,,0.399669,,0.532138
2008,01041,1938,4319,6291,13687,124,145,acs5_2009,9911,10432,10050,,,31058,01,0.309733,0.00905969,0.010594,0.62597,0.459633,0.724118,0.855172
2012,01041,2050,4331,6418,13938,166,229,acs5_2014,9873,10696,10505,151,52,37349,01,0.321266,0.0119099,0.0164299,0.610947,0.460468,0.708351,0.724891
2016,01041,1664,4513,6267,13865,144,275,acs5_2018,9869,10749,10557,199,93,39812,01,0.269386,0.0103859,0.0198341,0.593635,0.452001,0.711792,0.523636
2020,01041,1700,4864,6617,13205,235,335,acs5_2022,9226,10185,9982,188,78,48557,01,0.258988,0.0177963,0.0253692,0.662893,0.501098,0.698675,0.701493
2024,01041,1457,5000,6480,13144,194,236,acs5_2023,9218,10128,10021,166,94,49040,01,0.225647,0.0147596,0.017955,0.646642,0.493001,0.701309,0.822034
2000,01043,9758,19157,29525,77483,1339,1688,dec2000,,,,,,,01,0.337472,0.0172812,0.0217854,,0.381051,,0.793246
2004,01043,8045,26818,35191,78652.2,2015.8,2394.4,interp dec2000/dec2010,,,,,,,01,0.23076,0.0256293,0.0304429,,0.447426,,0.841881
2008,01043,5864,28896,35305,80630,2322,3115,acs5_2009,75097,61730,60432,,,38394,01,0.1687,0.0287982,0.0386333,0.58421,0.437864,0.931378,0.745425
2012,01043,5052,28999,34457,80668,3229,3481,acs5_2014,74464,62319,60646,2083,728,39415,01,0.148366,0.0400283,0.0431522,0.568166,0.427146,0.923092,0.927607
2016,01043,3798,32989,37873,82313,2775,3543,acs5_2018,75826,63741,62648,2056,1177,42558,01,0.103243,0.0337128,0.043043,0.604536,0.46011,0.921191,0.783235
2020,01043,4478,36880,41851,88284,3096,4056,acs5_2022,80170,68612,67396,2385,1424,58119,01,0.108274,0.0350686,0.0459426,0.620972,0.47405,0.908092,0.763314
2024,01043,4039,38704,43052,89463,3454,4346,acs5_2023,80673,69331,68125,2579,1592,60916,01,0.094495,0.0386081,0.0485787,0.631956,0.481227,0.901747,0.794754
2000,01045,4906,10593,15806,49129,547,1642,dec2000,,,,,,,01,0.316537,0.011134,0.0334222,,0.321724,,0.33313
2004,01045,4484,13621,18231,49577.8,880.6,2113.6,interp dec2000/dec2010,,,,,,,01,0.247666,0.017762,0.042632,,0.367725,,0.416635
2008,01045,5270,13886,19320,48233,720,1954,acs5_2009,34624,36246,35638,,,42225,01,0.27511,0.0149275,0.0405117,0.542118,0.400556,0.717849,0.368475
2012,01045,5286,13108,18557,50013,1893,2929,acs5_2014,35116,37949,37387,1893,1662,44473,01,0.287376,0.0378502,0.0585648,0.496349,0.371044,0.702137,0.646296
2016,01045,4413,13808,18749,49255,1554,3070,acs5_2018,34005,37749,37044,2027,1634,45960,01,0.242193,0.0315501,0.0623287,0.506128,0.380652,0.690387,0.506189
2020,01045,5170,14303,19738,49455,2025,3467,acs5_2022,33286,38052,37382,2271,1891,52813,01,0.265496,0.0409463,0.0701041,0.528008,0.39911,0.673056,0.584078
2024,01045,4484,14476,19103,49516,2006,3431,acs5_2023,32948,37998,37296,2250,1790,53955,01,0.236498,0.0405122,0.0692907,0.5122,0.385794,0.665401,0.584669
2000,01047,10967,7360,18464,46365,126,290,dec2000,,,,,,,01,0.598407,0.00271757,0.00625472,,0.398231,,0.434483
2004,01047,11175,7335,18573,45347,138,297.6,interp dec2000/dec2010,,,,,,,01,0.603728,0.0030432,0.00656273,,0.409575,,0.46371
2008,01047,13986,6798,20852,42748,226,352,acs5_2009,13542,31042,30790,,,26442,01,0.672921,0.0052868,0.0082343,0.677233,0.487789,0.316787,0.642045
2012,01047,14612,6288,20953,42743,98,160,acs5_2014,12251,31717,31592,155,101,26494,01,0.699139,0.00229277,0.0037433,0.663238,0.490209,0.28662,0.6125
2016,01047,12836,5789,18792,40029,292,412,acs5_2018,11024,30249,29899,372,263,31602,01,0.689181,0.00729471,0.0102925,0.628516,0.46946,0.2754,0.708738
2020,01047,12230,5524,17864,38326,413,430,acs5_2022,10365,29288,29033,374,374,37180,01,0.688859,0.010776,0.0112195,0.6153,0.466107,0.270443,0.960465
2024,01047,10236,5190,15528,37536,172,340,acs5_2023,10073,28590,28342,211,198,36810,01,0.663555,0.00458227,0.00905797,0.547879,0.413683,0.268356,0.505882
2000,01049,7056,12827,20285,64452,2444,3578,dec2000,,,,,,,01,0.354876,0.0379197,0.0555142,,0.31473,,0.683063
2004,01049,7092,16904,24135,67114.8,4127.2,6022.8,interp dec2000/dec2010,,,,,,,01,0.295549,0.0614946,0.0897388,,0.359608,,0.685263
2008,01049,5658,17957,24015,68183,5374,7133,acs5_2009,58249,50807,47788,,,33634,01,0.239593,0.0788173,0.104616,0.502532,0.352214,0.854304,0.7534
