allocation,account,gen_len,attribution,founder_status,senior_rule,convergence,fertility,mortality,crime_route,real_growth,discount,mex_persons,mex_founder_lifetime,mex_lineage_fiscal,mex_crime_social,mex_crime_tangible,mex_crime_social_net_corrections,white_persons,white_founder_lifetime,white_lineage_fiscal,white_crime_social,white_crime_tangible,white_crime_social_net_corrections,gap_lineage_fiscal,gap_founder_lifetime,gap_crime_social,gap_crime_tangible,gap_crime_social_net_corrections,lineage_fiscal_per_year,gap_lineage_per_year
personal,expanded,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,2.1626872092159997,-428734.5147104078,-905561.3674540624,104808.31177313658,37486.40012404462,73547.48992028378,1.778187265944379,126117.04538882928,106049.04565599255,35318.959331419894,14187.576182462313,23071.564507243034,-1011610.413110055,-554851.5600992371,69489.35244171668,23298.82394158231,50475.92541304075,-9055.613674540624,-10116.10413110055
personal,expanded,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,2.1626872092159997,-76190.9034452053,-244892.73640083135,42435.88370729987,15177.885125299757,29778.67572160369,1.778187265944379,265712.86789760046,221207.0475274772,15619.200591473984,6274.210862820144,10203.001470577965,-466099.7839283085,-341903.77134280576,26816.683115825886,8903.674262479613,19575.674251025725,-2448.9273640083134,-4660.997839283085
personal,expanded,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-395504.3631063407,-1166640.359417914,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,126117.04538882928,97279.85236721236,52732.9175101562,21182.73863843102,34446.96364279268,-1263920.2117851262,-521621.40849516995,83427.40960402254,27517.220523883738,61101.28168768265,-11666.403594179139,-12639.202117851262
personal,expanded,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,3.0482030486939626,-56165.5491803489,-319235.51987691305,47882.59636594784,17125.990639342675,33600.815755952266,3.148016647854004,265712.86789760046,175374.3708648706,18362.859746851114,7376.334878433328,11995.25442444286,-494609.89074178366,-321878.4170779494,29519.736619096722,9749.655760909347,21605.561331509405,-3192.3551987691303,-4946.098907417837
personal,expanded,29,maternal_full,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,12.268951869334746,-395504.3631063407,-3239411.570415988,321392.6381673561,114951.31280562987,225531.9393678621,13.995935162539062,126117.04538882928,-562385.7422084062,129221.63050994556,51908.14684199656,84412.03366343572,-2677025.828207582,-521621.40849516995,192171.00765741052,63043.16596363331,141119.90570442638,-32394.11570415988,-26770.258282075818
personal,expanded,29,maternal_full,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,12.268951869334746,-56165.5491803489,-771521.6329678083,72293.50444432521,25856.949588457916,50730.76456884405,13.995935162539062,265712.86789760046,-45554.67161202994,27940.42559872293,11223.629581850573,18251.651344304908,-725966.9613557784,-321878.4170779494,44353.078845602286,14633.320006607342,32479.113224539145,-7715.216329678083,-7259.669613557784
personal,expanded,29,intermarried_half,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,1.6252007070961123,-395504.3631063407,-709750.2323127165,85070.70682640097,30426.924172125935,59696.95386725811,1.6076924463746642,126117.04538882928,105232.66557525515,32600.65517142935,13095.637232758845,21295.874312381115,-814982.8978879717,-521621.40849516995,52470.05165497163,17331.28693936709,38401.079554877,-7097.502323127165,-8149.828978879717
personal,expanded,29,intermarried_half,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,1.6252007070961123,-56165.5491803489,-172381.1962372304,39302.97977902604,14057.350997627971,27580.212487268902,1.6076924463746642,265712.86789760046,228707.92000173224,15137.485426646266,6080.706560071316,9888.32848162744,-401089.1162389626,-321878.4170779494,24165.494352379777,7976.644437556655,17691.884005641463,-1723.8119623723042,-4010.891162389626
personal,expanded,29,per_capita,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,6.454594195455998,-395504.3631063407,-1916859.380397719,210289.60862922115,75213.50432651682,147567.23593139896,4.058615921235062,126117.04538882928,73554.73725093645,61929.20444268781,24876.87413735002,40454.295999334376,-1990414.1176486555,-521621.40849516995,148360.40418653336,50336.6301891668,107112.93993206459,-19168.59380397719,-19904.141176486555
personal,expanded,29,per_capita,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,6.454594195455998,-56165.5491803489,-486974.2452416746,57220.701383829015,20465.916024824983,40153.675668091404,4.058615921235062,265712.86789760046,151190.06884316925,19665.790152490343,7899.720185938929,12846.37358172255,-638164.3140848438,-321878.4170779494,37554.91123133867,12566.195838886055,27307.302086368854,-4869.742452416746,-6381.643140848439
personal,expanded,29,maternal_full,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,45.730905911295984,-395504.3631063407,-9519973.126246499,669481.1727190668,239450.847852451,469797.2800950668,22.032855068760995,126117.04538882928,-1273805.4089815689,168744.26128301502,67784.33191762604,110229.58159344047,-8246167.71726493,-521621.40849516995,500736.9114360518,171666.51593482494,359567.6985016264,-95199.731262465,-82461.6771726493
personal,expanded,29,maternal_full,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,45.730905911295984,-56165.5491803489,-1604854.7201826498,107148.76631444789,38323.501818780824,75189.86497502725,22.032855068760995,265712.86789760046,-178852.89529657696,32291.365008351997,12971.395810185491,21093.835291867086,-1426001.824886073,-321878.4170779494,74857.40130609588,25352.106008595332,54096.02968316016,-16048.547201826497,-14260.01824886073
personal,expanded,29,intermarried_half,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,2.1626872092159997,-395504.3631063407,-872331.2158499951,104808.31177313658,37486.40012404462,73547.48992028378,1.778187265944379,126117.04538882928,106049.04565599255,35318.959331419894,14187.576182462313,23071.564507243034,-978380.2615059877,-521621.40849516995,69489.35244171668,23298.82394158231,50475.92541304075,-8723.312158499952,-9783.802615059878
personal,expanded,29,intermarried_half,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,2.1626872092159997,-56165.5491803489,-224867.3821359749,42435.88370729987,15177.885125299757,29778.67572160369,1.778187265944379,265712.86789760046,221207.0475274772,15619.200591473984,6274.210862820144,10203.001470577965,-446074.4296634521,-321878.4170779494,26816.683115825886,8903.674262479613,19575.674251025725,-2248.673821359749,-4460.744296634521
personal,partial,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-49164.198868106716,11070.266203536892,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,473490.7645908393,1075589.2052394827,52732.9175101562,21182.73863843102,34446.96364279268,-1064518.9390359458,-522654.963458946,83427.40960402254,27517.220523883738,61101.28168768265,110.70266203536892,-10645.189390359457
personal,partial,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,3.0482030486939626,86831.55187852684,35171.58542818457,47882.59636594784,17125.990639342675,33600.815755952266,3.148016647854004,401562.3901957835,456838.25283612794,18362.859746851114,7376.334878433328,11995.25442444286,-421666.6674079434,-314730.83831725665,29519.736619096722,9749.655760909347,21605.561331509405,351.7158542818457,-4216.666674079434
personal,partial,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,12.268951869334746,-49164.198868106716,44774.17363339091,321392.6381673561,114951.31280562987,225531.9393678621,13.995935162539062,473490.7645908393,2148429.248314225,129221.63050994556,51908.14684199656,84412.03366343572,-2103655.074680834,-522654.963458946,192171.00765741052,63043.16596363331,141119.90570442638,447.74173633390905,-21036.55074680834
personal,partial,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,12.268951869334746,86831.55187852684,-57224.14049133422,72293.50444432521,25856.949588457916,50730.76456884405,13.995935162539062,401562.3901957835,507731.63397950167,27940.42559872293,11223.629581850573,18251.651344304908,-564955.7744708359,-314730.83831725665,44353.078845602286,14633.320006607342,32479.113224539145,-572.2414049133422,-5649.55774470836
personal,partial,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,1.6252007070961123,-49164.198868106716,-47446.163092978444,85070.70682640097,30426.924172125935,59696.95386725811,1.6076924463746642,473490.7645908393,685600.1566239569,32600.65517142935,13095.637232758845,21295.874312381115,-733046.3197169353,-522654.963458946,52470.05165497163,17331.28693936709,38401.079554877,-474.46163092978446,-7330.4631971693525
personal,partial,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,1.6252007070961123,86831.55187852684,62722.1956464373,39302.97977902604,14057.350997627971,27580.212487268902,1.6076924463746642,401562.3901957835,426128.2022931086,15137.485426646266,6080.706560071316,9888.32848162744,-363406.00664667133,-314730.83831725665,24165.494352379777,7976.644437556655,17691.884005641463,627.221956464373,-3634.060066466713
personal,partial,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,6.454594195455998,-49164.198868106716,72909.84503142042,210289.60862922115,75213.50432651682,147567.23593139896,4.058615921235062,473490.7645908393,1240685.892598501,61929.20444268781,24876.87413735002,40454.295999334376,-1167776.0475670805,-522654.963458946,148360.40418653336,50336.6301891668,107112.93993206459,729.0984503142042,-11677.760475670804
personal,partial,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,6.454594195455998,86831.55187852684,3359.0043813584184,57220.701383829015,20465.916024824983,40153.675668091404,4.058615921235062,401562.3901957835,467549.74715090834,19665.790152490343,7899.720185938929,12846.37358172255,-464190.74276954995,-314730.83831725665,37554.91123133867,12566.195838886055,27307.302086368854,33.59004381358418,-4641.9074276955
personal,partial,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,45.730905911295984,-49164.198868106716,-1152983.5255582302,669481.1727190668,239450.847852451,469797.2800950668,22.032855068760995,473490.7645908393,2461475.243075895,168744.26128301502,67784.33191762604,110229.58159344047,-3614458.7686341256,-522654.963458946,500736.9114360518,171666.51593482494,359567.6985016264,-11529.835255582302,-36144.587686341256
personal,partial,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,45.730905911295984,86831.55187852684,-284910.6878552415,107148.76631444789,38323.501818780824,75189.86497502725,22.032855068760995,401562.3901957835,509530.7127491231,32291.365008351997,12971.395810185491,21093.835291867086,-794441.4006043646,-314730.83831725665,74857.40130609588,25352.106008595332,54096.02968316016,-2849.106878552415,-7944.414006043646
personal,partial,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,2.1626872092159997,-49164.198868106716,-15537.30606348228,104808.31177313658,37486.40012404462,73547.48992028378,1.778187265944379,473490.7645908393,739501.1071580708,35318.959331419894,14187.576182462313,23071.564507243034,-755038.4132215531,-522654.963458946,69489.35244171668,23298.82394158231,50475.92541304075,-155.3730606348228,-7550.384132215531
personal,partial,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,2.1626872092159997,86831.55187852684,53481.69190919223,42435.88370729987,15177.885125299757,29778.67572160369,1.778187265944379,401562.3901957835,431012.3931502673,15619.200591473984,6274.210862820144,10203.001470577965,-377530.70124107506,-314730.83831725665,26816.683115825886,8903.674262479613,19575.674251025725,534.8169190919223,-3775.3070124107508
personal,partial,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-15934.04726403957,44300.41780760404,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,473490.7645908393,1075589.2052394827,52732.9175101562,21182.73863843102,34446.96364279268,-1031288.7874318786,-489424.81185487885,83427.40960402254,27517.220523883738,61101.28168768265,443.00417807604043,-10312.887874318787
personal,partial,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,3.0482030486939626,106856.90614338322,55196.93969304098,47882.59636594784,17125.990639342675,33600.815755952266,3.148016647854004,401562.3901957835,456838.25283612794,18362.859746851114,7376.334878433328,11995.25442444286,-401641.31314308697,-294705.4840524003,29519.736619096722,9749.655760909347,21605.561331509405,551.9693969304097,-4016.4131314308697
personal,partial,29,maternal_full,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,12.268951869334746,-15934.04726403957,78004.32523745803,321392.6381673561,114951.31280562987,225531.9393678621,13.995935162539062,473490.7645908393,2148429.248314225,129221.63050994556,51908.14684199656,84412.03366343572,-2070424.923076767,-489424.81185487885,192171.00765741052,63043.16596363331,141119.90570442638,780.0432523745803,-20704.24923076767
personal,partial,29,maternal_full,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,12.268951869334746,106856.90614338322,-37198.78622647781,72293.50444432521,25856.949588457916,50730.76456884405,13.995935162539062,401562.3901957835,507731.63397950167,27940.42559872293,11223.629581850573,18251.651344304908,-544930.4202059795,-294705.4840524003,44353.078845602286,14633.320006607342,32479.113224539145,-371.9878622647781,-5449.304202059795
personal,partial,29,intermarried_half,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,1.6252007070961123,-15934.04726403957,-14216.011488911268,85070.70682640097,30426.924172125935,59696.95386725811,1.6076924463746642,473490.7645908393,685600.1566239569,32600.65517142935,13095.637232758845,21295.874312381115,-699816.1681128681,-489424.81185487885,52470.05165497163,17331.28693936709,38401.079554877,-142.1601148891127,-6998.161681128681
personal,partial,29,intermarried_half,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,1.6252007070961123,106856.90614338322,82747.5499112937,39302.97977902604,14057.350997627971,27580.212487268902,1.6076924463746642,401562.3901957835,426128.2022931086,15137.485426646266,6080.706560071316,9888.32848162744,-343380.6523818149,-294705.4840524003,24165.494352379777,7976.644437556655,17691.884005641463,827.475499112937,-3433.806523818149
personal,partial,29,per_capita,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,6.454594195455998,-15934.04726403957,106139.99663548757,210289.60862922115,75213.50432651682,147567.23593139896,4.058615921235062,473490.7645908393,1240685.892598501,61929.20444268781,24876.87413735002,40454.295999334376,-1134545.8959630134,-489424.81185487885,148360.40418653336,50336.6301891668,107112.93993206459,1061.3999663548757,-11345.458959630134
personal,partial,29,per_capita,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,6.454594195455998,106856.90614338322,23384.358646214838,57220.701383829015,20465.916024824983,40153.675668091404,4.058615921235062,401562.3901957835,467549.74715090834,19665.790152490343,7899.720185938929,12846.37358172255,-444165.3885046935,-294705.4840524003,37554.91123133867,12566.195838886055,27307.302086368854,233.84358646214838,-4441.653885046935
personal,partial,29,maternal_full,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,45.730905911295984,-15934.04726403957,-1119753.373954163,669481.1727190668,239450.847852451,469797.2800950668,22.032855068760995,473490.7645908393,2461475.243075895,168744.26128301502,67784.33191762604,110229.58159344047,-3581228.617030058,-489424.81185487885,500736.9114360518,171666.51593482494,359567.6985016264,-11197.53373954163,-35812.286170300584
personal,partial,29,maternal_full,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,45.730905911295984,106856.90614338322,-264885.3335903851,107148.76631444789,38323.501818780824,75189.86497502725,22.032855068760995,401562.3901957835,509530.7127491231,32291.365008351997,12971.395810185491,21093.835291867086,-774416.0463395081,-294705.4840524003,74857.40130609588,25352.106008595332,54096.02968316016,-2648.853335903851,-7744.160463395081
personal,partial,29,intermarried_half,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,2.1626872092159997,-15934.04726403957,17692.84554058487,104808.31177313658,37486.40012404462,73547.48992028378,1.778187265944379,473490.7645908393,739501.1071580708,35318.959331419894,14187.576182462313,23071.564507243034,-721808.2616174859,-489424.81185487885,69489.35244171668,23298.82394158231,50475.92541304075,176.9284554058487,-7218.082616174859
personal,partial,29,intermarried_half,mexico_born_average,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,2.1626872092159997,106856.90614338322,73507.04617404866,42435.88370729987,15177.885125299757,29778.67572160369,1.778187265944379,401562.3901957835,431012.3931502673,15619.200591473984,6274.210862820144,10203.001470577965,-357505.3469762186,-294705.4840524003,26816.683115825886,8903.674262479613,19575.674251025725,735.0704617404866,-3575.053469762186
shared,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-531018.5846216028,-1233481.2265541246,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,-131170.00323581535,89685.53185270756,52732.9175101562,21182.73863843102,34446.96364279268,-1323166.758406832,-399848.58138578746,83427.40960402254,27517.220523883738,61101.28168768265,-12334.812265541246,-13231.667584068322
shared,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,3.0482030486939626,-160515.0141447761,-347461.92478840874,47882.59636594784,17125.990639342675,33600.815755952266,3.148016647854004,109570.16595257723,193171.319394696,18362.859746851114,7376.334878433328,11995.25442444286,-540633.2441831047,-270085.1800973533,29519.736619096722,9749.655760909347,21605.561331509405,-3474.6192478840876,-5406.332441831048
shared,expanded,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,12.268951869334746,-531018.5846216028,-2528466.274818753,321392.6381673561,114951.31280562987,225531.9393678621,13.995935162539062,-131170.00323581535,1192585.0350695418,129221.63050994556,51908.14684199656,84412.03366343572,-3721051.309888295,-399848.58138578746,192171.00765741052,63043.16596363331,141119.90570442638,-25284.66274818753,-37210.51309888295
shared,expanded,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,12.268951869334746,-160515.0141447761,-613046.780596342,72293.50444432521,25856.949588457916,50730.76456884405,13.995935162539062,109570.16595257723,362626.4379926695,27940.42559872293,11223.629581850573,18251.651344304908,-975673.2185890116,-270085.1800973533,44353.078845602286,14633.320006607342,32479.113224539145,-6130.467805963421,-9756.732185890116
shared,expanded,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,1.6252007070961123,-531018.5846216028,-842710.0543180449,85070.70682640097,30426.924172125935,59696.95386725811,1.6076924463746642,-131170.00323581535,-101013.31695013873,32600.65517142935,13095.637232758845,21295.874312381115,-741696.7373679061,-399848.58138578746,52470.05165497163,17331.28693936709,38401.079554877,-8427.10054318045,-7416.967373679061
shared,expanded,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,1.6252007070961123,-160515.0141447761,-247314.68542261788,39302.97977902604,14057.350997627971,27580.212487268902,1.6076924463746642,109570.16595257723,142746.78932944112,15137.485426646266,6080.706560071316,9888.32848162744,-390061.474752059,-270085.1800973533,24165.494352379777,7976.644437556655,17691.884005641463,-2473.1468542261787,-3900.61474752059
shared,expanded,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,6.454594195455998,-531018.5846216028,-1703243.5624395637,210289.60862922115,75213.50432651682,147567.23593139896,4.058615921235062,-131170.00323581535,200747.4293893457,61929.20444268781,24876.87413735002,40454.295999334376,-1903990.9918289094,-399848.58138578746,148360.40418653336,50336.6301891668,107112.93993206459,-17032.435624395635,-19039.909918289093
shared,expanded,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,6.454594195455998,-160515.0141447761,-443439.0734749907,57220.701383829015,20465.916024824983,40153.675668091404,4.058615921235062,109570.16595257723,214812.53129523993,19665.790152490343,7899.720185938929,12846.37358172255,-658251.6047702306,-270085.1800973533,37554.91123133867,12566.195838886055,27307.302086368854,-4434.390734749907,-6582.5160477023055
shared,expanded,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,45.730905911295984,-531018.5846216028,-5416984.989372084,669481.1727190668,239450.847852451,469797.2800950668,22.032855068760995,-131170.00323581535,1848433.3691755207,168744.26128301502,67784.33191762604,110229.58159344047,-7265418.358547605,-399848.58138578746,500736.9114360518,171666.51593482494,359567.6985016264,-54169.84989372084,-72654.18358547604
shared,expanded,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,45.730905911295984,-160515.0141447761,-1003310.6292580294,107148.76631444789,38323.501818780824,75189.86497502725,22.032855068760995,109570.16595257723,445116.7560017268,32291.365008351997,12971.395810185491,21093.835291867086,-1448427.3852597561,-270085.1800973533,74857.40130609588,25352.106008595332,54096.02968316016,-10033.106292580294,-14484.273852597562
shared,expanded,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,2.1626872092159997,-531018.5846216028,-980748.6464988588,104808.31177313658,37486.40012404462,73547.48992028378,1.778187265944379,-131170.00323581535,-81733.30990022417,35318.959331419894,14187.576182462313,23071.564507243034,-899015.3365986346,-399848.58138578746,69489.35244171668,23298.82394158231,50475.92541304075,-9807.486464988588,-8990.153365986345
shared,expanded,29,intermarried_half,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,2.1626872092159997,-160515.0141447761,-282270.12712082063,42435.88370729987,15177.885125299757,29778.67572160369,1.778187265944379,109570.16595257723,149928.31647604544,15619.200591473984,6274.210862820144,10203.001470577965,-432198.4435968661,-270085.1800973533,26816.683115825886,8903.674262479613,19575.674251025725,-2822.7012712082064,-4321.984435968661
shared,expanded,29,per_capita,mexico_born_average,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-497788.4330175356,-1200251.074950057,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,-131170.00323581535,89685.53185270756,52732.9175101562,21182.73863843102,34446.96364279268,-1289936.6068027646,-366618.4297817203,83427.40960402254,27517.220523883738,61101.28168768265,-12002.51074950057,-12899.366068027646
