spec,term,coef,se_hc1,t,n,k,r2
4_share_state_fe,st_NY,-0.00016293446577719806,0.05700628191160749,-0.0028581844020250284,152,42,0.5417279878411118
4_share_state_fe,st_OH,0.044367710657285286,0.04679051694425102,0.9482201427726817,152,42,0.5417279878411118
4_share_state_fe,st_OK,-0.15222279618850987,0.05880690458276761,-2.588519107892583,152,42,0.5417279878411118
4_share_state_fe,st_OR,0.03759738288603298,0.058764048534585174,0.639802461260056,152,42,0.5417279878411118
4_share_state_fe,st_PA,0.022911490543949142,0.053156566637355226,0.4310190065557833,152,42,0.5417279878411118
4_share_state_fe,st_RI,0.21119543081569958,0.04602654050314683,4.588557569328074,152,42,0.5417279878411118
4_share_state_fe,st_SC,0.06781336715727093,0.049336088633687866,1.3745185124174262,152,42,0.5417279878411118
4_share_state_fe,st_TN,0.019920428442061322,0.07339723689969876,0.27140569977155476,152,42,0.5417279878411118
4_share_state_fe,st_TX,-0.12914496730087244,0.06468342841247804,-1.9965696078651138,152,42,0.5417279878411118
4_share_state_fe,st_UT,-0.007791817502534215,0.0470009226108676,-0.16578009685138784,152,42,0.5417279878411118
4_share_state_fe,st_VA,0.011353952202938444,0.0679135499289329,0.16718242846706752,152,42,0.5417279878411118
4_share_state_fe,st_WA,0.08905127272384306,0.06606182211622756,1.3479990389482206,152,42,0.5417279878411118
4_share_state_fe,st_WI,-0.08132720974849583,0.0513733196484428,-1.583063160119554,152,42,0.5417279878411118
5_product_state_fe,const,0.5394754207321864,0.05021394197498931,10.743538537581648,152,44,0.5588283235664397
5_product_state_fe,d_mex_share_pp,0.029587327114095396,0.01277421266191327,2.3161761822167697,152,44,0.5588283235664397
5_product_state_fe,inv_elasticity,-0.06033860461793639,0.03706226282095586,-1.628033477325069,152,44,0.5588283235664397
5_product_state_fe,d_share_x_inv_elast,-0.006504114263048012,0.016593565365171346,-0.39196604948443825,152,44,0.5588283235664397
5_product_state_fe,st_AR,-0.0340864873414608,0.0847891320648596,-0.4020148161840634,152,44,0.5588283235664397
5_product_state_fe,st_AZ,0.10262896916685449,0.05624194372435523,1.8247763567675497,152,44,0.5588283235664397
5_product_state_fe,st_CA,0.01407823089786131,0.06437689907577498,0.2186845141654073,152,44,0.5588283235664397
