metric,state,group,educ,PWGTP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,nobs
pop18plus,48,all_native,ba_plus,5889643,5906295,5891604,5919153,5893674,5899638,5911200,5913646,5919432,5903099,5892119,5897373,5885966,5893831,5890163,5885614,5896728,5909585,5901437,5896653,5899698,5878109,5892100,5894222,5912553,5895921,5911684,5884965,5879267,5901798,5872511,5887038,5878354,5885463,5875587,5888884,5906463,5896727,5913196,5904992,5892116,5919604,5903247,5941528,5895269,5896237,5915788,5890828,5892131,5892091,5898298,5896455,5883319,5896488,5883030,5909719,5882063,5879886,5897499,5875253,5891643,5905872,5896425,5894727,5895014,5899129,5882351,5865022,5890013,5889354,5887055,5905215,5926385,5888082,5899842,5876288,5880668,5903509,5908916,5907554,5883439,62911
pop18plus,48,all_native,less_than_ba,12409714,12418942,12405667,12393586,12431207,12399713,12400107,12406823,12388124,12410736,12405300,12401713,12425266,12405786,12414659,12421101,12388887,12403999,12422746,12405346,12404739,12413410,12392429,12405719,12383727,12378485,12396950,12423878,12398785,12388326,12413409,12405253,12415581,12424763,12406865,12422586,12416387,12414495,12404006,12385303,12438636,12417353,12386931,12356410,12410974,12423902,12394702,12394362,12410959,12398199,12401267,12420548,12396197,12388704,12400445,12393170,12442437,12441373,12417352,12429275,12417455,12383495,12404200,12429533,12395350,12412064,12399375,12418585,12404651,12380588,12398392,12383361,12403083,12434382,12423875,12440331,12413580,12402651,12410508,12389643,12430983,125843
pop18plus,48,nhwhite,ba_plus,3742651,3753244,3741876,3758849,3738448,3732731,3744254,3758859,3761422,3761225,3740307,3748030,3738573,3739996,3735051,3743830,3740771,3759645,3739897,3736930,3751882,3735388,3737053,3746848,3765382,3742763,3749841,3732532,3742268,3755729,3730001,3745799,3745644,3742630,3735737,3754846,3752996,3754148,3745213,3745124,3744123,3753352,3763065,3771909,3759708,3750397,3758807,3744701,3733867,3746795,3750677,3737734,3733615,3732408,3739970,3755561,3755961,3735578,3738639,3741777,3747760,3750684,3739417,3746385,3750379,3734881,3745721,3737870,3749619,3737867,3750317,3737692,3757482,3738699,3740084,3732616,3733318,3755111,3740958,3748447,3743303,44476
pop18plus,48,nhwhite,less_than_ba,5485634,5478969,5489215,5475479,5487992,5485980,5484045,5473144,5471424,5469187,5489527,5472301,5487292,5492185,5493773,5488397,5484176,5465090,5496425,5486539,5486544,5483992,5486825,5480708,5465928,5476016,5478130,5505421,5475605,5471875,5497142,5478046,5484650,5491499,5477183,5480052,5485099,5474497,5481776,5486911,5487152,5479701,5469110,5466253,5483116,5485309,5470534,5483700,5484498,5482661,5478337,5487989,5486854,5491954,5479823,5471656,5471879,5483489,5486775,5488741,5478229,5464287,5475283,5490382,5475786,5484359,5481590,5500028,5481829,5486350,5480890,5490511,5480501,5496401,5492821,5505862,5488571,5474616,5490126,5475224,5492771,66649
resident,06,all_native,ba_plus,5577588,5602060,5581793,5575366,5559774,5575052,5579029,5576083,5590205,5582141,5597719,5597562,5586102,5575856,5576727,5577017,5600425,5594021,5591568,5602030,5561051,5585570,5561989,5581717,5592199,5588132,5579908,5569673,5571747,5594447,5569826,5588850,5584579,5576637,5586634,5598539,5581833,5566988,5578102,5573210,5583646,5571342,5591079,5569859,5566865,5603721,5573207,5567056,5598469,5579723,5587867,5587215,5588044,5577769,5601508,5574462,5576029,5567566,5548161,5583566,5575335,5606679,5592964,5587493,5578556,5572902,5559391,5584811,5600199,5591925,5587471,5558143,5586056,5583208,5578307,5597381,5584716,5579534,5586490,5587091,5561954,58163
resident,06,all_native,less_than_ba,7699651,7695207,7717236,7699914,7713227,7701820,7694102,7701278,7692229,7685667,7694079,7679827,7691038,7686793,7695237,7720600,7684882,7684270,7738970,7703955,7679041,7680138,7706944,7694263,7683440,7703049,7681993,7713033,7701075,7674540,7701183,7707840,7708035,7728876,7687931,7675013,7675810,7692416,7704274,7712072,7686380,7680909,7680731,7725605,7698895,7684643,7687268,7721267,7687723,7717283,7689129,7696365,7685235,7714672,7677712,7709180,7686583,7697069,7716302,7677794,7734371,7678544,7688242,7708059,7697928,7718338,7697959,7682427,7678465,7693400,7700898,7731999,7688361,7690119,7706741,7694310,7700311,7695856,7685364,7720914,7730568,73749
resident,06,nhwhite,ba_plus,3005078,3004354,3008648,3010241,2985477,2998652,3003846,2993850,3015619,3004036,3017110,3014676,3017436,3000967,3015773,3007901,3011787,3025573,3010941,3010220,3005435,3007616,2998787,3000553,3017442,3005100,3013870,3005043,2997701,3015895,3009749,3008905,2996171,2998846,3002361,3017980,3008133,3006384,3010924,3000432,3008734,3003507,3006179,2989319,2998317,3011138,3004750,3002595,3005326,3005301,3007660,3010604,3017225,2998232,3008763,3002201,3014089,3008004,2980539,3012922,3000541,3024983,3011636,3013817,3013952,3002754,3005302,3013567,3017399,3011860,3017627,3006795,3008054,2999834,3003293,3003708,3007487,3009746,3014313,3009036,2994868,32579
resident,06,nhwhite,less_than_ba,2856413,2860477,2860220,2845356,2867458,2861698,2863286,2870637,2857810,2861388,2856603,2846670,2848648,2858404,2843354,2857871,2852014,2831731,2850177,2850484,2843870,2854603,2864938,2860310,2850222,2854030,2846784,2861007,2857679,2842173,2850764,2848329,2859680,2864059,2852211,2852379,2849250,2857882,2857336,2864051,2861687,2852328,2857420,2868063,2863761,2839004,2851521,2860942,2857675,2858127,2853488,2850520,2847325,2860152,2844394,2859200,2842504,2851661,2877144,2837115,2869424,2832704,2856784,2858233,2847650,2853503,2854803,2851593,2845340,2856095,2854425,2867031,2853520,2857734,2857522,2853104,2865897,2847563,2847117,2857563,2862601,29091
resident,48,all_native,ba_plus,4422277,4443171,4425977,4455444,4422770,4430287,4450151,4443293,4446703,4426277,4427238,4431442,4423881,4415183,4416407,4425265,4428234,4444549,4433519,4429314,4424742,4417403,4419904,4430159,4439626,4418816,4432667,4410920,4408551,4429392,4406394,4421720,4413142,4422659,4407457,4410492,4433364,4436505,4439743,4430243,4432433,4444244,4433801,4461735,4422100,4424706,4442201,4419261,4427347,4428272,4424946,4433406,4417522,4435253,4415217,4433118,4416571,4416986,4429944,4402286,4424140,4422750,4437507,4420961,4422669,4432301,4411692,4406894,4422520,4418983,4430237,4431316,4454542,4422495,4427865,4416440,4420029,4435390,4441167,4423509,4426296,43081
resident,48,all_native,less_than_ba,7608946,7619659,7601389,7595329,7615154,7594449,7603533,7601882,7592287,7612430,7606094,7596925,7615653,7614945,7606506,7617746,7593100,7593591,7621378,7601785,7604963,7605296,7611929,7603187,7587485,7596290,7603098,7623582,7603399,7602953,7618112,7604379,7610546,7616619,7620858,7631644,7617303,7609150,7599257,7589235,7633715,7617264,7596750,7576130,7604943,7617910,7591320,7600395,7610507,7593911,7611852,7611820,7598736,7587950,7607705,7596572,7628934,7641318,7615193,7628847,7610124,7595862,7597028,7629004,7588203,7605524,7616420,7614705,7603467,7587311,7594169,7599716,7596864,7627017,7608068,7632756,7601377,7600351,7611301,7603968,7611355,70568
resident,48,nhwhite,ba_plus,2664809,2676991,2667307,2681611,2655794,2660211,2672796,2674251,2675562,2679334,2671279,2672537,2663999,2658124,2655543,2668462,2661759,2681241,2666613,2661980,2667611,2661320,2659513,2666979,2684277,2657239,2658915,2655679,2664079,2672354,2650386,2665981,2666915,2669788,2657635,2670595,2673940,2675681,2668144,2662064,2664297,2673666,2681276,2685896,2678640,2669783,2675558,2666861,2660464,2672227,2674015,2664806,2659111,2667543,2663432,2671672,2677517,2658357,2658190,2657585,2669221,2658838,2667467,2663094,2671748,2658102,2661650,2663043,2670541,2663058,2677047,2659014,2680684,2661770,2660463,2658949,2660359,2677575,2664306,2660202,2673648,28811
resident,48,nhwhite,less_than_ba,3218458,3210609,3219070,3205332,3223078,3216830,3212611,3209189,3212440,3205196,3214017,3207976,3218410,3230949,3229024,3217068,3216874,3193740,3223882,3216216,3220302,3219695,3224090,3212451,3207243,3222755,3220418,3235089,3212379,3215054,3232855,3217416,3215572,3216712,3211202,3215066,3216736,3204837,3213030,3217435,3222504,3215123,3203115,3207161,3212304,3216157,3208835,3216490,3218219,3211232,3215579,3217000,3217565,3213637,3213344,3209113,3202271,3220420,3224901,3226547,3215782,3213479,3207412,3226252,3207419,3215057,3222373,3228009,3216276,3208664,3207246,3226220,3208312,3227329,3222793,3233282,3223289,3204280,3222671,3218017,3215790,35412
