kind,s_mex,s_oth,federal_liability_shared,federal_liability_personal,state_liability_shared,state_liability_personal,wage_oasdi_shared,wage_oasdi_personal,wage_shared,wage_personal,self_payroll_shared,self_payroll_personal,positive_fica_worker_shared,positive_fica_worker_personal,receipts_shared,receipts_personal,refundable_nonptc_lo,refundable_nonptc_hi,refundable_whole,net_min,net_max,whole_line_net_shared,whole_line_net_personal,s_pay,s_inc,s_actc,uniform_equivalent
origin,0.65,0.5,-4.58396018657156,-4.260434683157723,-1.1393564381244647,-1.0621167712997903,-4.4413120964123545,-4.224700328326519,-1.257718162636321,-1.191994144824869,-0.3233459025436833,-0.3101726098074923,-0.47235503055095607,-0.4592536921727895,-12.21804781683934,-11.508672229589186,-3.076852324414812,-3.6424501781675356,-6.470059433313801,7.86622205142165,9.141195492424528,5.747988383525539,5.038612796275385,,,,0.6615470539709493
origin,0.65,0.6,-4.6746172931909005,-4.344693417002582,-1.1588693147677398,-1.080306823899346,-4.580724308338826,-4.357313124885954,-1.2945681741354118,-1.2269185016868018,-0.32760494350057506,-0.3142581350561002,-0.49363125471836083,-0.47993979451614643,-12.530015288651814,-11.803429797046931,-3.11398489556025,-3.686408589597061,-6.548142460021437,8.11702120744987,9.416030393091564,5.981872828630377,5.255287337025494,,,,0.6538450497602084
origin,0.65,0.7,-4.76515122820695,-4.428837672416285,-1.1783551736976954,-1.0984716903802487,-4.719789883476406,-4.4895961908333435,-1.3313317721309468,-1.2617609607171438,-0.33185993360273597,-0.3183397744840623,-0.5148240268825026,-0.5005447594985377,-12.841312017997236,-12.097551048329622,-3.1509907104737565,-3.730216944016727,-6.625958941484887,8.367334104312896,9.69032130752348,6.215353076512349,5.471592106844735,,,,0.6461601524192963
origin,0.65,0.8,-4.855562242470576,-4.512867682545215,-1.19781407098899,-1.116611423015723,-4.8585101130448916,-4.621550754413082,-1.3680092602272333,-1.2965218096548872,-0.33611087862667616,-0.32241753363255055,-0.5359338370696274,-0.5210690635547385,-13.151940402427996,-12.391038266816198,-3.18787041709453,-3.7738760084722016,-6.703510240202145,8.617162258343996,9.964069985333467,6.4484301622258515,5.687528026614053,,,,0.6384922956947857
component,,,-5.397589535992781,-5.016639920206657,-1.33644692373003,-1.2458460268871652,-6.66820927878752,-6.342987233930254,-1.8821948425287165,-1.7838378250108333,-0.47159000076597096,-0.45237716063817196,-0.7245943266152114,-0.7044968261211173,-16.480624908420232,-15.546184992794197,-3.192130013782723,-3.7789186192574893,-6.712467395381765,11.767266373536708,13.288494894637509,9.768157513038467,8.833717597412432,0.5,0.6,0.6,0.543855831946164
component,,,-6.755549482034545,-6.278758136111673,-1.6727786147128467,-1.5593769973186016,-6.66820927878752,-6.342987233930254,-1.8821948425287165,-1.7838378250108333,-0.47159000076597096,-0.45237716063817196,-0.7245943266152114,-0.7044968261211173,-18.17491654544481,-17.12183417913065,-3.0730861323203373,-3.6379916713498117,-6.462139818031919,13.483842507780839,15.101830413124471,11.71277672741289,10.659694361098733,0.5,0.5,0.7,0.49240073274537405
component,,,-5.397589535992781,-5.016639920206657,-1.33644692373003,-1.2458460268871652,-7.3442144357002235,-6.986022252943329,-2.072822237242706,-1.9645036888686003,-0.5189483838528851,-0.4978061367370624,-0.798625964982958,-0.7764751074116363,-17.46864748150158,-16.48729313305445,-3.0730861323203373,-3.6379916713498117,-6.462139818031919,12.849301461704638,14.395561349181243,11.006507663469662,10.025153315022532,0.45,0.6,0.7,0.5119337868267603
component,,,-5.397589535992781,-5.016639920206657,-1.33644692373003,-1.2458460268871652,-5.993892752254324,-5.70155848737988,-1.6920098215903945,-1.603591217999381,-0.4242679944395395,-0.4069830792902169,-0.650853598595792,-0.6328013864283786,-15.495060626602859,-14.607420118191678,-3.0730861323203373,-3.6379916713498117,-6.462139818031919,10.969428446841867,12.421974494282521,9.032920808570939,8.145280300159758,0.55,0.6,0.7,0.5681512251934664
component,,,-5.397589535992781,-5.016639920206657,-1.33644692373003,-1.2458460268871652,-6.66820927878752,-6.342987233930254,-1.8821948425287165,-1.7838378250108333,-0.47159000076597096,-0.45237716063817196,-0.7245943266152114,-0.7044968261211173,-16.480624908420232,-15.546184992794197,-2.9548736024223117,-3.498048896985237,-6.213560421440931,12.04813609580896,13.52575130599792,10.2670644869793,9.332624571353266,0.5,0.6,0.8,0.5362969621424597
evidence_low,0.4150526315789474,0.4005,-7.898912134687396,-7.341424848414143,-1.9564215878361342,-1.8237911426509414,-7.797928765103063,-7.417608017416625,-2.2010973625090506,-2.0860755980502703,-0.5514660668395935,-0.5289990311499349,-0.8475300824793778,-0.8240228100294871,-21.253355999454612,-20.021921447711403,-3.409158258007712,-4.035841761317954,-7.1688382220546,15.986079686393449,17.8441977414469,14.084517777400013,12.853083225656803,,,,0.41613394537486303
evidence_low_underreport_0.1,0.4408394172825151,0.4260411680229775,-7.547402529044154,-7.014723992736417,-1.8693560041988233,-1.7426279407854945,-7.448080645259727,-7.084822697519724,-2.1024663616231063,-1.9925987134453547,-0.5270121703009176,-0.5055414000196353,-0.809148355874408,-0.7867056470583659,-20.303466066301134,-19.127020391564987,-3.377883088004695,-3.998817479182029,-7.103072241964865,15.128202912382957,16.92558297829644,13.200393824336269,12.023948149600121,,,,0.4419430334310154
evidence_low_underreport_0.25,0.48614493110994667,0.4711071901191001,-6.930551477761655,-6.441408888271725,-1.7165686945367433,-1.6001984440943613,-6.834774112214019,-6.501428363756057,-1.9295333085320596,-1.8287025458817623,-0.4840798230838689,-0.46435814061626485,-0.7419425268668914,-0.7213638530454289,-18.637449942995236,-17.557460235665598,-3.3231430585022004,-3.934014944256282,-6.98796394071422,13.623445291409316,15.314306884493035,11.649486002281016,10.569496294951378,,,,0.4872739949819776
evidence_central,0.5262685374807583,0.5500607625284325,-6.419798161992903,-5.96670338201241,-1.5889170355203008,-1.4812005928610894,-6.3464185173785665,-6.0368908583850605,-1.7908603643670113,-1.697276171992177,-0.44772382309719105,-0.4294833043826263,-0.6907961514583398,-0.6716360842520384,-17.284514053814313,-16.283190393885402,-3.2892193401584304,-3.89385524827579,-6.916628546375809,12.389335145609612,13.995294713655882,10.367885507438505,9.366561847509594,,,,0.5244734841351644
evidence_central_underreport_0.1,0.5524393264898778,0.5759761913627875,-6.06413484026172,-5.636141970098419,-1.50083522782424,-1.3990900591685864,-5.993455479536106,-5.70114254133598,-1.6913105185509671,-1.602928458127401,-0.4229520450875086,-0.40572074245006234,-0.6522020587087046,-0.6341124453682623,-16.324890169969247,-15.379136216548712,-3.257731762983013,-3.856579513531362,-6.8504159127308855,11.52255670301735,13.067158406986234,9.474474257238363,8.528720303817828,,,,0.5506564078693221
evidence_central_underreport_0.25,0.5969693253784192,0.6197761664638854,-5.459241441703386,-5.073940574375009,-1.3510453265205538,-1.259454769436186,-5.393528741631869,-5.130475443060396,-1.5220930656485092,-1.442553726288347,-0.38081271922620263,-0.3652981962693084,-0.5866524968640241,-0.5703809799441196,-14.693373791594544,-13.842103689373365,-3.204178533078997,-3.79318193989499,-6.7378032346457255,10.048921749478374,11.489195258515547,7.955570556948818,7.10430045472764,,,,0.5952308674230987
evidence_high,0.6350825452461911,0.6828011332124232,-4.96512808058596,-4.6147006125439285,-1.227945239026812,-1.1446999279303955,-4.916531741454564,-4.676742550727148,-1.3869015211630993,-1.3144268261260277,-0.3458529517640489,-0.33176270926701257,-0.5361253732278418,-0.5212552872258234,-13.378484907222326,-12.603587913820336,-3.1679101867276547,-3.7502466181114156,-6.6615375151052785,8.85334129570892,10.210574720494671,6.7169473921170475,5.9420503987150575,,,,0.6314254448891041
evidence_high_underreport_0.1,0.6591355520451991,0.7051690144398257,-4.637867690941108,-4.310537518250248,-1.1469508656314635,-1.069196354609893,-4.59192499857577,-4.36796753482029,-1.2953494913874908,-1.2276589899912536,-0.3230639215378789,-0.30990211686541863,-0.5006566023876982,-0.4867702856663674,-12.495813570461408,-11.772032800203469,-3.1386565585569053,-3.7156154847622194,-6.600022468899475,8.05641731544125,9.357157011904503,5.895791101561933,5.172010331303994,,,,0.6555955935896021
evidence_high_underreport_0.25,0.6988370000859822,0.7416106474550054,-4.097682470606682,-3.808477344432886,-1.013278208013975,-0.9445856825067355,-4.056287432881169,-3.858454095879138,-1.1442736633817867,-1.0844778642373751,-0.2854459229330245,-0.2738166965424382,-0.4421513942241137,-0.42988779024946877,-11.039119092040753,-10.39969947384804,-3.090298240749279,-3.6583677702987796,-6.498333743760569,6.74133170354926,7.948820851291474,4.540785348280184,3.9013657300874707,,,,0.695528961605616
