group,metric,allocation,weighting,n_adults_2025,n_adults_2026,weighted_adults_2025,weighted_adults_2026,estimate_asec2025,se_asec2025,estimate_asec2026,se_asec2026,estimate_asec2026_oasdi2025cap,se_asec2026_oasdi2025cap,change_2026_minus_2025,diff_from_ref_asec2025,se_diff_from_ref_asec2025,diff_from_ref_asec2026,se_diff_from_ref_asec2026,pooled_estimate,pooled_se_independent,pooled_diff_from_ref,pooled_se_diff_independent
all_native,cash_noncash_tax_balance,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,10473.098424590195,195.41631949106468,10875.006897564053,190.68262060673413,10875.006897564053,190.68262060673413,401.9084729738588,-1312.7321027873459,105.63196298809916,-1485.8387538896677,119.5467759275862,10674.052661077123,136.51684852508643,-1399.2854283385068,79.76456487595173
all_native,employer_payroll,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,3307.299102333651,22.44260419331996,3445.1587052915274,24.36204116038734,3465.826133872447,24.68913947260748,137.85960295787663,-181.52430724227315,12.761700050905953,-211.591457482255,15.033631962628089,3376.228903812589,16.561850232374624,-196.55788236226408,9.859907177263967
all_native,sales_tax_share35,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,996.5354850161478,8.228729958101283,1033.856137260161,7.894132373381204,1033.856137260161,7.894132373381204,37.320652244013104,-53.194390225845495,4.725236191485544,-54.10965546184707,5.460175944203691,1015.1958111381543,5.701520030917604,-53.65202284384628,3.6104493628558716
all_native,property_tax_owner,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,1179.93847057842,12.274358538517577,1247.3648751207697,15.379681477416547,1247.3648751207697,15.379681477416547,67.4264045423497,-132.81737222165293,8.089025216544924,-150.74991989550222,10.632831993300696,1213.651672849595,9.83862896798722,-141.78364605857757,6.679997102388191
all_native,k12_charged,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,1689.7312015476298,18.99890513959328,1703.876326246384,17.94722327494931,1703.876326246384,17.94722327494931,14.145124698754216,38.18519461814935,12.759978554494964,16.34888256646059,12.648390029478296,1696.8037638970068,13.067719959734236,27.26703859230497,8.983301495677651
all_native,extended_balance_base,equal_all_members,person,55652,52661,134686458.17077535,133908750.42041044,14267.140280970727,231.6013699216837,14897.510288990234,230.33828472750326,14918.177717571132,230.69756684680064,630.3700080195067,-1718.4533670952042,123.63422148241804,-1918.6386692957858,142.27959803362634,14582.325284980481,163.32094167681691,-1818.546018195495,94.24556320879763
all_second_gen,modeled_tax_total,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,13653.327275501477,350.807762864685,14249.624253856664,381.70723902477556,14249.624253856664,381.70723902477556,596.2969783551871,-729.9882865980944,398.8944518008728,-614.6335368963009,431.239896992302,13951.475764679071,259.2134751561163,-672.3109117471977,293.7195228595854
all_second_gen,selected_cash_total,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,1823.429271814246,73.05264934194528,1874.6975949210039,79.18460874849083,1874.6975949210039,79.18460874849083,51.26832310675786,-629.8900950363395,86.20958387762272,-492.49542930853136,97.2185327192604,1849.0634333676248,53.86764297453711,-561.1927621724354,64.96832970078339
all_second_gen,selected_noncash_total,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,165.75505164630138,6.9909014082663585,150.11795766600568,7.1817474248075435,150.11795766600568,7.1817474248075435,-15.637093980295703,21.589383774863194,8.024393088672355,13.898842596291018,8.287672797869186,157.93650465615355,5.011242325357813,17.744113185577106,5.767937344624886
all_second_gen,cash_noncash_tax_balance,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,11664.142952040937,360.9197645054308,12224.808701269641,399.39584042056254,12224.808701269641,399.39584042056254,560.665749228705,-121.68757533660391,413.21104733945396,-136.03695018407961,454.86626942105573,11944.475826655289,269.15614137332216,-128.86226276034176,307.26482580194437
