regressor,outcome,spec,beta,se_hc1,t,p,n,mean_y
foreign_born,trash_nearby,+income,0.004679548255214433,0.002541533037717762,1.8412305430491511,0.06558778124926865,47578,0.027833001961644205
foreign_born,trash_nearby,"+income, tenure, metro, division, structure age/type",-0.0029668049363475897,0.0026054606190251445,-1.1386873072208035,0.25483359863711974,47578,0.027833001961644205
foreign_born,trash_nearby,"+persons per room, household size",-0.005909171051304903,0.002693732947840226,-2.1936736735698847,0.02825887776456334,47578,0.027833001961644205
foreign_born,abandoned_nearby,raw,-0.008493261822739046,0.0021459383135755184,-3.957831298788709,7.563334358418287e-05,47325,0.027094862784480655
foreign_born,abandoned_nearby,+income,-0.008515661249064235,0.0021475855694824686,-3.9652255863855355,7.332656648441205e-05,47325,0.027094862784480655
foreign_born,abandoned_nearby,"+income, tenure, metro, division, structure age/type",-0.007358192219877372,0.0022094904050774544,-3.3302666546856665,0.000867628512718105,47325,0.027094862784480655
foreign_born,abandoned_nearby,"+persons per room, household size",-0.009134570419594045,0.002255191563439005,-4.050463192432524,5.111634993972899e-05,47325,0.027094862784480655
foreign_born,bars_on_windows,raw,0.006368160748295576,0.0022920492707056567,2.7783699197421705,0.005463238283019721,46825,0.019994756921291306
foreign_born,bars_on_windows,+income,0.0063666681602225685,0.00229186377692729,2.77794353413028,0.005470412369456091,46825,0.019994756921291306
foreign_born,bars_on_windows,"+income, tenure, metro, division, structure age/type",0.003088925854231901,0.002469355780297516,1.2509035266921873,0.21096967704489633,46825,0.019994756921291306
foreign_born,bars_on_windows,"+persons per room, household size",0.0035164280755991067,0.0025233142668089127,1.3935751570279538,0.16344593481169978,46825,0.019994756921291306
foreign_born,petty_crime,raw,0.01700456056358155,0.005739433216860881,2.962759548038091,0.003048946405477113,46548,0.17630583047066353
foreign_born,petty_crime,+income,0.016897843744431564,0.005718778286491666,2.954799591434762,0.00312872216356033,46548,0.17630583047066353
foreign_born,petty_crime,"+income, tenure, metro, division, structure age/type",-0.01819002295928182,0.005817423214705237,-3.1268178861907834,0.0017670935144514345,46548,0.17630583047066353
foreign_born,petty_crime,"+persons per room, household size",-0.029413747419276902,0.005984514416705401,-4.914976449412546,8.879313268442262e-07,46548,0.17630583047066353
foreign_born,serious_crime,raw,0.006569234424704123,0.003826771388215566,1.7166519131333253,0.0860427911718123,46804,0.06865618100988076
foreign_born,serious_crime,+income,0.006527311677131909,0.0037975709929244255,1.7188122853512136,0.08564855779801518,46804,0.06865618100988076
