nbhd,pop,biz,all_311_per1k,cleaning_per1k,graffiti_per1k,encampment_per1k,streetdef_per1k,abandveh_per1k,litterbin_per1k,building_per1k,cleaning_per100biz,mean_hh_inc,hisp_pct,mex_pct,nhwhite_pct,nhasian_pct,nhblack_pct,fb_pct,crowded_pct,pov_pct,owner_pct
Russian Hill,16879,2069,792.337,396.181,53.752,16.589,21.176,10.935,10.275,2.387,323.207,236454.118,11.174,5.101,60.3,21.838,1.191,22.407,2.079,8.435,25.202
Financial District/South Beach,24519,14279,1067.79,367.528,80.585,109.245,46.396,3.327,18.05,1.69,63.11,286501.47,9.307,4.539,38.313,45.581,2.003,45.373,6.59,8.86,31.936
Inner Richmond,20261,2341,715.59,348.516,66.884,18.995,17.761,7.989,5.916,1.89,301.635,237420.055,9.585,5.36,46.316,35.235,1.402,26.716,1.779,5.341,36.012
Lone Mountain/USF,16387,1330,788.473,325.92,128.673,35.847,18.046,5.684,7.977,2.58,401.568,212180.359,12.296,5.944,52.548,21.908,3.448,22.329,4.163,12.977,34.372
Outer Richmond,44049,3566,594.228,294.889,35.895,13.355,12.791,17.461,6.23,1.44,364.262,181342.062,8.504,4.395,40.573,41.747,1.923,34.534,4.474,8.145,41.804
Marina,23733,3414,702.771,271.689,39.914,30.133,17.462,7.813,9.45,2.143,188.869,306838.206,9.426,3.257,72.772,10.875,0.497,16.665,3.302,4.569,26.424
Outer Mission,21717,1287,557.772,262.395,60.183,14.511,18.748,10.236,4.69,1.322,442.768,182702.111,23.442,8.519,12.483,58.631,0.866,52.876,12.079,9.359,69.54
Bernal Heights,24725,2095,663.331,258.379,48.794,20.887,24.504,45.651,8.465,1.947,304.937,249590.759,33.048,14.544,41.262,13.828,3.05,26.969,5.493,8.275,59.774
Presidio Heights,9942,1465,598.356,234.402,72.003,25.519,19.025,9.369,5.101,2.285,159.074,281592.523,10.239,6.689,61.074,22.832,0.634,20.901,1.048,4.078,34.281
Pacific Heights,22976,2857,554.436,232.448,44.979,15.221,17.54,6.112,6.249,2.263,186.934,263618.042,8.4,3.369,63.27,17.958,4.157,21.522,2.553,5.115,30.767
Oceanview/Merced/Ingleside,24770,1112,492.647,215.393,18.49,7.48,11.033,18.755,8.945,1.2,479.792,165872.958,17.63,6.015,12.58,58.89,6.843,49.625,10.448,9.172,66.619
Excelsior,37915,1760,418.379,195.215,18.613,4.054,9.269,8.685,6.375,1.168,420.544,153568.557,30.613,14.43,15.234,48.741,1.535,44.067,12.611,9.768,66.735
Potrero Hill,15463,2060,576.122,188.773,57.27,34.996,29.693,17.433,7.844,1.755,141.699,275419.984,12.675,3.583,49.861,24.62,2.47,25.286,5.159,6.084,40.426
Inner Sunset,27534,2208,505.069,188.64,58.463,6.672,20.639,16.094,5.546,1.531,235.236,205420.622,12.653,5.364,43.637,33.475,2.143,26.164,1.72,7.835,39.615
Visitacion Valley,17068,592,362.642,183.786,19.443,1.774,14.472,9.851,2.779,1.063,529.875,122513.035,21.444,8.718,9.538,57.001,6.474,54.16,14.428,12.78,61.194
Sunset/Parkside,75455,5038,414.099,178.008,35.55,6.172,16.434,17.448,5.462,0.939,266.605,187191.886,8.324,2.977,29.911,53.131,1.236,39.341,4.936,7.786,66.296
Mission Bay,16710,2523,440.583,135.462,39.198,51.176,17.893,4.121,6.446,0.821,89.717,253727.996,9.856,4.823,26.954,44.961,10.156,43.914,11.035,6.902,35.754
Noe Valley,23334,2150,438.594,134.659,35.001,9.03,20.014,18.128,5.265,1.886,146.146,306953.915,11.258,6.433,58.833,18.347,1.98,22.902,1.1,4.231,47.795
Glen Park,8458,683,494.088,123.923,65.297,10.371,25.859,17.752,5.692,1.706,153.462,262779.189,11.267,2.956,54.741,14.897,6.243,21.104,1.175,4.698,65.958
West of Twin Peaks,36882,3038,382.831,108.934,40.98,5.066,33.45,19.123,4.323,1.208,132.249,274549.244,10.211,4.788,43.601,36.197,2.156,29.291,1.555,4.74,80.223
Twin Peaks,7861,438,386.138,96.807,71.002,8.432,18.209,23.389,4.998,1.781,173.744,213732.361,15.99,8.472,52.271,21.651,4.758,28.342,4.362,9.67,43.59
Lakeshore,12019,701,188.071,43.348,15.523,5.004,15.713,6.418,1.034,0.903,74.322,123526.404,20.726,13.013,27.598,35.976,6.931,37.582,4.211,23.743,8.794
Presidio,3808,475,153.999,35.227,32.638,10.729,5.852,3.376,1.951,0.15,28.241,279532.212,22.348,17.542,54.648,5.41,0.919,16.728,1.196,0.736,0.0
