zcta,pop,Bulky Items,Graffiti Removal,Illegal Dumping Pickup,Metal/Household Appliances,Homeless Encampment,Electronic Waste,Dead Animal Removal,Single Streetlight Issue,Multiple Streetlight Issue,dump_per_bulky,hh,hu,mean_hh_inc,hisp_pct,mex_pct,fb_pct,nhwhite_pct,nhblack_pct,nhasian_pct,owner_pct,crowded_pct,pov_pct,log_inc
90062,32110,203.346,35.352,47.569,29.688,11.349,12.813,9.601,2.385,2.549,0.234,9626,10060,87902.992,63.289,29.483,37.558,3.376,25.684,1.987,46.073,13.193,18.203,11.384
90063,50536,43.542,54.79,7.491,6.326,3.412,3.036,2.16,1.083,2.259,0.172,13229,14046,86537.675,93.658,84.431,39.94,3.322,0.267,2.028,38.106,23.237,16.717,11.368
90064,26494,164.889,60.208,17.093,34.746,50.497,10.655,8.207,3.893,3.753,0.104,11807,12897,206992.691,13.973,9.798,24.957,54.099,3.574,18.85,50.453,3.82,7.12,12.24
90065,45075,184.68,70.479,19.808,38.0,8.37,13.546,6.824,1.35,1.461,0.107,16441,17197,140534.134,52.473,37.478,35.51,27.266,1.5,13.466,46.931,12.007,13.849,11.853
90066,54975,143.67,37.854,12.081,27.017,16.262,8.531,5.376,1.125,0.673,0.084,24867,26591,162058.547,24.739,18.063,25.408,48.3,4.588,15.52,38.585,4.226,7.374,11.996
90068,21569,183.319,31.964,18.247,41.607,14.71,12.339,5.881,10.134,5.133,0.1,12103,14662,175547.22,12.894,7.673,18.953,68.863,7.168,5.225,45.146,2.735,10.44,12.076
90069,20318,36.393,4.099,2.369,8.247,1.554,2.538,0.97,2.229,0.429,0.065,13068,15160,184767.792,8.288,4.233,20.942,76.568,3.253,6.069,38.858,1.944,12.419,12.127
90077,8158,129.426,5.026,4.43,37.579,0.753,12.205,7.495,8.651,3.502,0.034,3225,3677,377880.341,6.595,2.133,28.5,77.078,1.14,9.99,83.721,0.775,5.592,12.842
90094,12127,38.368,4.594,1.296,7.763,4.476,2.368,3.157,4.347,1.508,0.034,6075,6786,214014.716,12.616,8.84,20.838,53.954,8.378,16.913,28.741,4.905,8.456,12.274
90210,19652,37.226,1.149,1.381,10.875,0.073,3.78,2.006,3.031,1.468,0.037,8025,9714,350722.006,5.786,3.425,35.747,80.679,2.025,6.59,71.626,0.735,8.427,12.768
90211,8871,0.129,0.29,0.032,0.016,0.306,0.0,0.064,0.016,0.0,0.25,3693,4209,182102.897,5.557,3.495,39.342,66.25,1.341,19.603,39.778,2.708,11.012,12.112
90212,10834,0.963,0.013,0.092,0.145,0.0,0.053,0.013,0.026,0.013,0.096,5439,6107,202276.742,8.547,2.141,32.933,69.965,2.511,11.704,21.475,4.817,7.458,12.217
90230,31570,42.169,19.34,5.018,7.62,4.702,2.819,1.729,0.638,0.294,0.119,13243,14198,161251.423,29.971,22.683,26.345,37.403,7.78,16.646,57.23,5.286,9.627,11.991
90232,16804,12.735,15.94,2.049,1.649,5.449,0.553,0.493,0.238,0.281,0.161,7337,7995,189730.121,18.829,12.11,22.007,49.738,3.773,21.066,42.074,4.143,9.406,12.153
90245,16863,0.093,0.33,0.042,0.0,1.067,0.0,0.237,0.076,0.051,0.455,7125,7677,187378.288,20.761,14.849,13.788,55.518,2.805,11.552,42.568,2.302,4.364,12.141
90247,47303,34.093,40.233,8.109,5.602,1.293,2.208,1.579,0.344,0.583,0.238,16158,17076,94330.746,49.682,37.385,38.486,6.245,14.898,24.717,40.717,14.73,12.078,11.455
90248,11144,76.954,76.531,18.049,14.922,5.538,5.41,5.769,1.102,1.333,0.235,4068,4249,111616.593,30.617,19.742,36.656,7.268,20.899,32.385,63.545,5.556,9.57,11.623
90272,21438,122.626,11.515,2.632,33.838,0.4,9.982,3.978,2.526,1.166,0.021,8282,9207,374807.703,4.189,2.295,15.039,80.8,0.854,6.433,77.433,1.28,4.906,12.834
90275,41367,0.014,0.017,0.003,0.01,0.0,0.003,0.024,0.0,0.0,0.25,15335,16668,230749.247,12.002,6.909,27.229,46.491,2.067,31.723,80.619,1.924,4.092,12.349
90280,91719,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.0,0.0,,24791,25395,86182.917,94.944,78.295,41.779,2.544,0.903,0.742,44.415,20.745,13.17,11.364
90290,5948,0.144,0.024,0.072,0.0,0.0,0.0,0.024,0.0,0.0,0.5,2236,2678,214359.705,5.75,2.909,18.191,76.614,1.496,3.833,74.463,2.236,6.288,12.275
90291,25738,199.3,132.067,34.335,36.799,65.262,9.125,6.222,3.697,1.798,0.172,14247,16709,188924.875,14.302,8.093,20.751,67.507,5.591,5.84,34.491,2.443,10.528,12.149
90292,23684,64.257,32.523,5.7,13.62,11.533,3.613,1.767,1.327,0.549,0.089,13198,16878,181019.298,11.793,6.621,22.762,63.389,5.86,9.255,30.202,1.197,6.661,12.106
90293,12784,152.099,23.076,14.147,36.463,5.386,8.325,4.76,1.285,0.805,0.093,6573,7050,179025.498,19.212,7.283,15.715,62.602,4.224,10.052,46.082,2.069,5.761,12.095
90301,36428,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,12165,12884,80861.282,57.354,43.395,34.084,5.633,29.697,2.849,26.247,16.942,17.473,11.3
90302,28871,0.173,0.282,0.035,0.025,0.238,0.005,0.015,0.0,0.01,0.2,10464,11366,89047.773,42.018,28.974,25.884,8.763,41.872,1.541,29.482,10.971,13.18,11.397
90304,26215,0.033,0.016,0.044,0.005,0.038,0.0,0.0,0.0,0.0,1.333,7253,7673,80696.898,86.103,70.57,46.092,2.575,3.834,4.837,29.064,28.333,17.443,11.298
90305,14612,0.225,0.352,0.108,0.01,0.02,0.0,0.137,0.0,0.059,0.478,5897,6499,110155.825,13.989,10.868,14.474,4.318,75.664,1.088,59.912,3.239,8.608,11.61
90402,11178,16.614,6.096,0.69,5.419,0.166,1.24,0.728,0.524,0.371,0.042,4742,5731,329688.085,9.724,3.686,15.191,73.376,0.635,9.018,73.787,0.949,6.989,12.706
90403,25087,0.017,0.0,0.006,0.0,0.0,0.0,0.006,0.0,0.0,0.333,13372,14853,171495.117,11.986,8.758,24.351,66.995,2.396,10.707,28.717,1.982,11.751,12.052
90404,22881,0.162,0.406,0.1,0.025,0.73,0.006,0.019,0.031,0.025,0.615,10512,11499,127424.03,27.114,18.854,23.937,44.845,9.903,10.555,22.013,4.557,13.547,11.755
90405,26809,0.043,0.053,0.005,0.005,0.064,0.005,0.005,0.0,0.005,0.125,13972,15726,176707.186,14.827,9.359,21.955,66.231,4.062,7.68,31.141,2.255,9.149,12.082
90501,41319,72.537,64.242,8.253,13.297,1.027,4.502,1.462,0.619,0.429,0.114,14512,15867,129164.74,43.113,34.502,32.709,19.758,5.225,27.38,45.576,11.397,11.615,11.769
90502,18114,0.773,1.83,0.726,0.103,0.615,0.016,0.229,0.142,0.213,0.939,6533,6899,115362.804,36.21,29.375,38.042,13.741,7.861,37.148,69.953,7.99,7.042,11.656
90504,33321,0.004,0.021,0.004,0.0,0.009,0.0,0.0,0.0,0.004,1.0,11664,12328,133155.273,26.005,17.992,29.381,23.571,4.051,39.378,60.108,9.294,8.67,11.799
90710,26777,96.928,88.53,14.191,25.187,7.506,7.731,5.122,1.387,1.424,0.146,9388,9861,108407.041,47.907,35.157,35.146,16.234,11.353,20.443,54.9,11.025,11.91,11.594
90717,21319,6.996,9.73,0.63,1.695,0.188,0.496,0.489,0.194,0.114,0.09,7845,8199,120247.648,34.059,25.794,28.045,37.202,3.851,15.474,45.379,7.47,12.869,11.697
90731,62452,179.297,79.249,24.789,40.852,4.804,12.213,7.601,0.933,1.048,0.138,23131,24477,98465.38,56.895,43.728,26.049,26.88,5.055,5.196,32.727,10.25,15.989,11.497
90732,23104,135.926,17.672,5.429,43.313,0.958,10.314,6.962,0.989,0.662,0.04,9178,9526,150484.659,34.128,25.229,17.417,46.356,3.973,9.708,72.26,3.356,7.846,11.922
90744,53678,148.502,105.931,25.666,33.642,7.574,11.236,6.161,2.786,1.935,0.173,14959,15536,83981.503,88.071,76.597,36.607,3.8,3.759,2.999,35.845,27.275,19.033,11.338
90745,57952,0.02,0.007,0.01,0.0,0.0,0.002,0.005,0.0,0.0,0.5,15606,16638,129009.708,44.152,37.155,42.621,7.184,6.723,36.168,68.538,12.021,9.325,11.768
90810,35648,0.421,0.116,0.176,0.04,0.044,0.036,0.008,0.0,0.012,0.419,9970,10294,100305.035,54.76,47.391,37.079,5.958,7.49,25.987,56.991,17.713,14.852,11.516
91030,26297,0.038,0.027,0.0,0.0,0.0,0.0,0.011,0.0,0.005,0.0,10413,11040,189882.868,20.557,14.998,24.029,37.662,3.369,32.243,44.041,5.724,5.117,12.154
91040,21436,195.725,15.161,19.373,39.413,13.349,12.995,7.584,2.186,3.612,0.099,7513,8237,128971.17,22.196,13.011,31.568,61.135,3.41,8.812,66.724,6.269,7.912,11.767
91042,27055,197.529,19.922,33.065,38.578,11.817,13.544,4.689,1.89,1.975,0.167,10190,10815,110622.434,26.882,16.762,45.385,58.714,1.53,8.645,53.248,8.459,11.418,11.614
91105,12546,0.433,0.091,0.011,0.182,0.034,0.011,0.011,0.0,0.0,0.026,5771,6773,230898.735,15.638,8.218,21.648,55.293,2.678,18.556,53.214,1.178,7.579,12.35
91201,22261,0.006,0.032,0.0,0.0,0.019,0.0,0.019,0.0,0.0,0.0,8031,8570,109047.254,18.813,12.12,57.369,69.795,0.782,5.696,32.711,6.276,15.157,11.6
91202,22258,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8779,9177,134313.008,11.618,4.547,53.581,71.691,2.152,11.807,43.012,6.812,10.77,11.808
91204,18847,0.0,0.311,0.152,0.0,0.227,0.0,0.0,0.0,0.0,,6805,7095,92569.346,37.157,25.288,55.813,44.384,2.504,14.591,8.597,11.374,13.23,11.436
91205,34890,0.012,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,13572,14424,83913.255,25.159,16.873,58.641,57.827,1.777,12.216,16.704,11.708,19.365,11.338
91214,31707,2.023,0.032,0.05,0.617,0.095,0.149,0.059,0.036,0.023,0.024,10638,11092,171424.723,13.858,6.844,32.598,51.225,0.823,26.956,73.266,5.001,4.568,12.052
91302,26205,0.016,0.065,0.016,0.0,0.011,0.0,0.033,0.071,0.022,1.0,9711,10235,281114.756,7.224,2.87,25.365,74.364,2.599,10.803,72.711,0.783,9.102,12.547
91303,29522,126.153,38.402,23.842,22.903,20.28,6.426,4.316,3.015,3.218,0.189,10484,11073,91104.121,56.795,34.696,41.935,25.815,4.329,10.68,20.708,19.811,17.814,11.42
