benchmark,end,rule,receipts_method,window_start,net_cost_tn,fiscal_gap_tn
main,high,programme_income_pandemic_per_head,grouped,2005,4.614411,4.61166
main,high,programme_income_pandemic_per_head,grouped,2010,3.770794,3.76863
main,high,programme_income_pandemic_per_head,grouped,2015,2.553829,2.552345
main,high,whole_flat,whole_budget,2005,4.410703,4.407953
main,high,whole_flat,whole_budget,2010,3.471329,3.469164
main,high,whole_flat,whole_budget,2015,2.380105,2.378621
main,high,whole_ratio,whole_budget,2005,3.712563,3.709812
main,high,whole_ratio,whole_budget,2010,3.096036,3.093871
main,high,whole_ratio,whole_budget,2015,2.158797,2.157313
main,high,whole_income,whole_budget,2005,4.615498,4.612747
main,high,whole_income,whole_budget,2010,3.743041,3.740876
main,high,whole_income,whole_budget,2015,2.48823,2.486746
proportional,low,programme,own_series,2005,5.021719,5.01755
proportional,low,programme,own_series,2010,4.17246,4.169179
proportional,low,programme,own_series,2015,2.959515,2.957266
proportional,low,programme,grouped,2005,5.036564,5.032395
proportional,low,programme,grouped,2010,4.18751,4.18423
proportional,low,programme,grouped,2015,2.969662,2.967413
proportional,low,programme_income,own_series,2005,5.746114,5.741946
proportional,low,programme_income,own_series,2010,4.692733,4.689452
proportional,low,programme_income,own_series,2015,3.228658,3.226409
proportional,low,programme_income,grouped,2005,5.759342,5.755173
proportional,low,programme_income,grouped,2010,4.706094,4.702814
proportional,low,programme_income,grouped,2015,3.237897,3.235648
proportional,low,programme_ex_pandemic,own_series,2005,4.631266,4.627098
proportional,low,programme_ex_pandemic,own_series,2010,3.782008,3.778727
proportional,low,programme_ex_pandemic,own_series,2015,2.569063,2.566814
proportional,low,programme_ex_pandemic,grouped,2005,4.650024,4.645855
proportional,low,programme_ex_pandemic,grouped,2010,3.800971,3.79769
proportional,low,programme_ex_pandemic,grouped,2015,2.583122,2.580873
proportional,low,programme_income_ex_pandemic,own_series,2005,5.35944,5.355272
proportional,low,programme_income_ex_pandemic,own_series,2010,4.306059,4.302778
proportional,low,programme_income_ex_pandemic,own_series,2015,2.841984,2.839735
proportional,low,programme_income_ex_pandemic,grouped,2005,5.376365,5.372197
proportional,low,programme_income_ex_pandemic,grouped,2010,4.323118,4.319837
proportional,low,programme_income_ex_pandemic,grouped,2015,2.85492,2.852671
proportional,low,programme_pandemic_per_head,own_series,2005,4.870932,4.866764
proportional,low,programme_pandemic_per_head,own_series,2010,4.021673,4.018393
proportional,low,programme_pandemic_per_head,own_series,2015,2.808729,2.806479
proportional,low,programme_pandemic_per_head,grouped,2005,4.885777,4.881609
proportional,low,programme_pandemic_per_head,grouped,2010,4.036724,4.033443
proportional,low,programme_pandemic_per_head,grouped,2015,2.818876,2.816626
proportional,low,programme_income_pandemic_per_head,own_series,2005,5.595328,5.591159
proportional,low,programme_income_pandemic_per_head,own_series,2010,4.541946,4.538665
proportional,low,programme_income_pandemic_per_head,own_series,2015,3.077872,3.075622
proportional,low,programme_income_pandemic_per_head,grouped,2005,5.608555,5.604387
proportional,low,programme_income_pandemic_per_head,grouped,2010,4.555308,4.552027
proportional,low,programme_income_pandemic_per_head,grouped,2015,3.08711,3.084861
proportional,low,whole_flat,whole_budget,2005,5.440036,5.435868
proportional,low,whole_flat,whole_budget,2010,4.281438,4.278158
proportional,low,whole_flat,whole_budget,2015,2.935554,2.933305
proportional,low,whole_ratio,whole_budget,2005,4.607394,4.603226
proportional,low,whole_ratio,whole_budget,2010,3.823621,3.82034
proportional,low,whole_ratio,whole_budget,2015,2.676478,2.674229
proportional,low,whole_income,whole_budget,2005,5.510329,5.50616
proportional,low,whole_income,whole_budget,2010,4.470626,4.467345
proportional,low,whole_income,whole_budget,2015,3.005911,3.003661
proportional,high,programme,own_series,2005,5.532509,5.529759
proportional,high,programme,own_series,2010,4.574458,4.572293
proportional,high,programme,own_series,2015,3.241303,3.239819
proportional,high,programme,grouped,2005,5.548098,5.545348
proportional,high,programme,grouped,2010,4.590144,4.58798
proportional,high,programme,grouped,2015,3.251761,3.250276
proportional,high,programme_income,own_series,2005,6.224738,6.221988
proportional,high,programme_income,own_series,2010,5.071569,5.069405
proportional,high,programme_income,own_series,2015,3.498302,3.496818
proportional,high,programme_income,grouped,2005,6.238612,6.235862
proportional,high,programme_income,grouped,2010,5.085486,5.083322
proportional,high,programme_income,grouped,2015,3.507825,3.506341
proportional,high,programme_ex_pandemic,own_series,2005,5.159102,5.156351
proportional,high,programme_ex_pandemic,own_series,2010,4.201051,4.198886
proportional,high,programme_ex_pandemic,own_series,2015,2.867896,2.866412
proportional,high,programme_ex_pandemic,grouped,2005,5.178562,5.175812
proportional,high,programme_ex_pandemic,grouped,2010,4.220608,4.218444
proportional,high,programme_ex_pandemic,grouped,2015,2.882225,2.88074
proportional,high,programme_income_ex_pandemic,own_series,2005,5.854945,5.852195
proportional,high,programme_income_ex_pandemic,own_series,2010,4.701777,4.699612
proportional,high,programme_income_ex_pandemic,own_series,2015,3.128509,3.127025
proportional,high,programme_income_ex_pandemic,grouped,2005,5.872476,5.869726
proportional,high,programme_income_ex_pandemic,grouped,2010,4.719351,4.717186
proportional,high,programme_income_ex_pandemic,grouped,2015,3.141689,3.140205
proportional,high,programme_pandemic_per_head,own_series,2005,5.39936,5.39661
proportional,high,programme_pandemic_per_head,own_series,2010,4.441309,4.439145
proportional,high,programme_pandemic_per_head,own_series,2015,3.108155,3.106671
proportional,high,programme_pandemic_per_head,grouped,2005,5.414949,5.412199
proportional,high,programme_pandemic_per_head,grouped,2010,4.456996,4.454831
proportional,high,programme_pandemic_per_head,grouped,2015,3.118612,3.117128
proportional,high,programme_income_pandemic_per_head,own_series,2005,6.091589,6.088839
proportional,high,programme_income_pandemic_per_head,own_series,2010,4.938421,4.936256
proportional,high,programme_income_pandemic_per_head,own_series,2015,3.365153,3.363669
proportional,high,programme_income_pandemic_per_head,grouped,2005,6.105463,6.102713
proportional,high,programme_income_pandemic_per_head,grouped,2010,4.952338,4.950173
proportional,high,programme_income_pandemic_per_head,grouped,2015,3.374676,3.373192
proportional,high,whole_flat,whole_budget,2005,6.024371,6.021621
proportional,high,whole_flat,whole_budget,2010,4.741324,4.739159
proportional,high,whole_flat,whole_budget,2015,3.250873,3.249389
proportional,high,whole_ratio,whole_budget,2005,5.115374,5.112624
proportional,high,whole_ratio,whole_budget,2010,4.236659,4.234494
proportional,high,whole_ratio,whole_budget,2015,2.970357,2.968873
proportional,high,whole_income,whole_budget,2005,6.018309,6.015559
proportional,high,whole_income,whole_budget,2010,4.883664,4.881499
proportional,high,whole_income,whole_budget,2015,3.299789,3.298305
