benchmark,rule,end,convention,rate_path,window_start,financing,stock_entering_2024_bn,legacy_interest_2024_bn,stock_end_2024_brief_bn,flow_2024_bn,flow_2024_part_year_interest_bn,sum_flows_nominal_bn,rate_2024,stock_share_of_debt_end_fy2023,interest_per_member_usd,interest_per_other_resident_usd,interest_share_of_fy2024_net_interest,interest_share_of_account_interest_allocation,interest_share_of_per_head_net_interest
main,programme,high,low,effective,2015,all_borrowed,484.509681,15.664675,500.174356,35.646701,0.576246,460.539798,0.032331,0.018468,383.03148,52.352676,0.017803,0.116433,0.148058
main,programme,high,low,effective,2015,half_borrowed,242.254841,7.832338,250.087178,17.823351,0.288123,230.269899,0.032331,0.009234,191.51574,26.176338,0.008902,0.058216,0.074029
main,programme,high,low,constant_3_22,2005,all_borrowed,576.098602,18.55493,594.653532,35.646701,0.574053,524.772127,0.032208,0.021959,453.703762,62.012151,0.021088,0.137916,0.175376
main,programme,high,low,constant_3_22,2005,half_borrowed,288.049301,9.277465,297.326766,17.823351,0.287026,262.386064,0.032208,0.010979,226.851881,31.006076,0.010544,0.068958,0.087688
main,programme,high,low,constant_3_22,2010,all_borrowed,653.255324,21.039986,674.29531,35.646701,0.574053,567.755578,0.032208,0.0249,514.468178,70.317421,0.023912,0.156387,0.198864
main,programme,high,low,constant_3_22,2010,half_borrowed,326.627662,10.519993,337.147655,17.823351,0.287026,283.877789,0.032208,0.01245,257.234089,35.158711,0.011956,0.078193,0.099432
main,programme,high,low,constant_3_22,2015,all_borrowed,496.0602,15.97706,512.03726,35.646701,0.574053,460.539798,0.032208,0.018908,390.669892,53.396693,0.018158,0.118755,0.151011
main,programme,high,low,constant_3_22,2015,half_borrowed,248.0301,7.98853,256.01863,17.823351,0.287026,230.269899,0.032208,0.009454,195.334946,26.698347,0.009079,0.059377,0.075505
main,programme,high,low,treasury_10y,2005,all_borrowed,560.098507,23.790184,583.888691,35.646701,0.757047,524.772127,0.042475,0.021349,581.715818,79.508817,0.027038,0.176828,0.224858
main,programme,high,low,treasury_10y,2005,half_borrowed,280.049253,11.895092,291.944346,17.823351,0.378523,262.386064,0.042475,0.010674,290.857909,39.754409,0.013519,0.088414,0.112429
