convention,line,year,federal_share
central,other_federal_benefits,2016,1.0
central,other_federal_benefits,2017,1.0
central,other_federal_benefits,2018,1.0
central,other_federal_benefits,2019,1.0
central,other_federal_benefits,2020,1.0
central,other_federal_benefits,2021,1.0
central,other_federal_benefits,2022,1.0
central,other_federal_benefits,2023,1.0
central,other_federal_benefits,2024,1.0
central,workers_compensation,2005,0.162691
central,workers_compensation,2006,0.168151
central,workers_compensation,2007,0.173153
central,workers_compensation,2008,0.178375
central,workers_compensation,2009,0.187314
central,workers_compensation,2010,0.190889
central,workers_compensation,2011,0.217692
central,workers_compensation,2012,0.228324
central,workers_compensation,2013,0.23638
central,workers_compensation,2014,0.253807
central,workers_compensation,2015,0.26568
central,workers_compensation,2016,0.278926
central,workers_compensation,2017,0.264879
central,workers_compensation,2018,0.28541
central,workers_compensation,2019,0.274783
central,workers_compensation,2020,0.265202
central,workers_compensation,2021,0.260507
central,workers_compensation,2022,0.258357
central,workers_compensation,2023,0.290515
central,workers_compensation,2024,0.321144
central,ssi,2005,0.863908
central,ssi,2006,0.870411
central,ssi,2007,0.873889
central,ssi,2008,0.87807
central,ssi,2009,0.895799
central,ssi,2010,0.907258
central,ssi,2011,0.911041
central,ssi,2012,0.919379
central,ssi,2013,0.922809
central,ssi,2014,0.924239
central,ssi,2015,0.923139
central,ssi,2016,0.92379
central,ssi,2017,0.922589
central,ssi,2018,0.92395
central,ssi,2019,0.925844
central,ssi,2020,0.925671
central,ssi,2021,0.926212
central,ssi,2022,0.920504
central,ssi,2023,0.920988
central,ssi,2024,0.920671
central,temporary_disability,2005,0.0
central,temporary_disability,2006,0.0
central,temporary_disability,2007,0.0
central,temporary_disability,2008,0.0
central,temporary_disability,2009,0.0
central,temporary_disability,2010,0.0
central,temporary_disability,2011,0.0
central,temporary_disability,2012,0.0
central,temporary_disability,2013,0.0
central,temporary_disability,2014,0.0
central,temporary_disability,2015,0.0
central,temporary_disability,2016,0.0
central,temporary_disability,2017,0.0
central,temporary_disability,2018,0.0
central,temporary_disability,2019,0.0
central,temporary_disability,2020,0.0
central,temporary_disability,2021,0.0
central,temporary_disability,2022,0.0
central,temporary_disability,2023,0.0
central,temporary_disability,2024,0.0
central,other_state_benefits,2005,0.0
