end,convention,side,line,gap_bn,federal_bn,state_local_bn
low,low,spending,other_federal_benefits,4.203685,4.203685,0.0
low,low,spending,temporary_disability,2.84831,0.0,2.84831
low,low,spending,medicaid_and_chip_other_medical,120.565188,76.453732,44.111456
low,low,spending,family_and_general_assistance,11.027479,4.958329,6.06915
low,low,spending,energy_assistance,0.553172,0.0,0.553172
low,low,spending,other_state_welfare,5.069837,2.279571,2.790266
low,low,spending,education_benefits,9.045576,0.0,9.045576
low,low,spending,employment_training,0.172623,0.0,0.172623
low,low,spending,other_state_benefits,0.345704,0.0,0.345704
low,low,production,induced_receipts_F,-13.558522,-11.986402,-1.572121
low,high,receipt,federal_income_tax,-137.944695,-137.944695,0.0
low,high,receipt,state_local_income_tax,-28.783372,-0.0,-28.783372
low,high,receipt,personal_motor_vehicle,-2.927265,-0.0,-2.927265
low,high,receipt,other_personal_tax,-0.521858,-0.0,-0.521858
low,high,receipt,employee_oasdi,-57.970193,-57.970193,0.0
low,high,receipt,employee_hi,-17.27924,-17.27924,0.0
low,high,receipt,self_employment_oasdi_hi,-9.27494,-9.27494,0.0
low,high,receipt,employer_oasdi,-58.470785,-58.470785,0.0
low,high,receipt,employer_hi,-15.370127,-15.370127,0.0
low,high,receipt,medicare_supplementary_premiums,-7.856859,-7.856859,0.0
low,high,receipt,other_domestic_social_contributions,-11.299895,-8.047438,-3.252457
low,high,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
low,high,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
low,high,receipt,customs_duties,-6.773941,-6.773941,0.0
low,high,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
low,high,spending,general_public_services,28.491849,3.248453,25.243396
low,high,spending,public_order_safety,68.369035,13.139574,55.229461
low,high,spending,housing_community_services,1.747999,0.332357,1.415642
low,high,spending,health_services,23.534996,13.79674,9.738256
low,high,spending,education_services,131.467334,15.734693,115.732641
low,high,spending,income_security_services,29.344478,21.430743,7.913735
low,high,spending,social_security,62.72197,62.72197,0.0
low,high,spending,medicare,63.964982,63.964982,0.0
low,high,spending,unemployment,4.186714,4.186714,0.0
low,high,spending,railroad_retirement,0.627798,0.627798,0.0
low,high,spending,pension_guaranty,0.039259,0.039259,0.0
low,high,spending,veterans_life_insurance,0.028886,0.028886,0.0
low,high,spending,workers_compensation,2.584899,0.830125,1.754774
low,high,spending,military_medical,0.648414,0.648414,0.0
low,high,spending,veterans_pension_disability,11.61398,11.61398,0.0
low,high,spending,veterans_readjustment,0.732834,0.732834,0.0
low,high,spending,veterans_other,2.369884,2.369884,0.0
low,high,spending,snap,14.284937,14.284937,0.0
low,high,spending,black_lung,0.037506,0.037506,0.0
low,high,spending,ssi,5.309815,4.888594,0.421221
low,high,spending,refundable_tax_credits,55.404227,55.404227,0.0
low,high,spending,other_federal_benefits,4.203685,4.203685,0.0
low,high,spending,temporary_disability,2.84831,0.0,2.84831
low,high,spending,medicaid_and_chip_other_medical,120.565188,83.376491,37.188697
low,high,spending,family_and_general_assistance,11.027479,7.392099,3.635381
low,high,spending,energy_assistance,0.553172,0.509574,0.043598
low,high,spending,other_state_welfare,5.069837,3.398486,1.671351
low,high,spending,education_benefits,9.045576,0.659944,8.385632
low,high,spending,employment_training,0.172623,0.012287,0.160337
low,high,spending,other_state_benefits,0.345704,0.0,0.345704
low,high,production,induced_receipts_F,-13.558522,-11.986402,-1.572121
high,central,receipt,federal_income_tax,-128.208872,-128.208872,0.0
high,central,receipt,state_local_income_tax,-26.83208,-0.0,-26.83208
high,central,receipt,personal_motor_vehicle,-2.850033,-0.0,-2.850033
high,central,receipt,other_personal_tax,-0.48648,-0.0,-0.48648
high,central,receipt,employee_oasdi,-55.142869,-55.142869,0.0
high,central,receipt,employee_hi,-16.376287,-16.376287,0.0
high,central,receipt,self_employment_oasdi_hi,-8.897074,-8.897074,0.0
high,central,receipt,employer_oasdi,-55.619046,-55.619046,0.0
high,central,receipt,employer_hi,-14.566937,-14.566937,0.0
high,central,receipt,medicare_supplementary_premiums,-7.441656,-7.441656,0.0
high,central,receipt,other_domestic_social_contributions,-10.986479,-7.824232,-3.162246
high,central,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
high,central,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
high,central,receipt,customs_duties,-6.773941,-6.773941,0.0
high,central,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
high,central,spending,general_public_services,40.564666,10.243526,30.32114
high,central,spending,public_order_safety,68.369035,10.731486,57.637549
high,central,spending,housing_community_services,1.747999,0.332357,1.415642
high,central,spending,health_services,23.534996,17.876076,5.65892
high,central,spending,education_services,151.032396,12.38957,138.642826
high,central,spending,income_security_services,27.686978,20.220244,7.466734
high,central,spending,social_security,59.918598,59.918598,0.0
high,central,spending,medicare,63.964982,63.964982,0.0
high,central,spending,unemployment,4.089921,4.089921,0.0
high,central,spending,railroad_retirement,0.599738,0.599738,0.0
high,central,spending,pension_guaranty,0.039259,0.039259,0.0
high,central,spending,veterans_life_insurance,0.022483,0.022483,0.0
high,central,spending,workers_compensation,2.280171,0.732263,1.547908
high,central,spending,military_medical,0.648414,0.648414,0.0
high,central,spending,veterans_pension_disability,9.039544,9.039544,0.0
high,central,spending,veterans_readjustment,0.570389,0.570389,0.0
high,central,spending,veterans_other,2.369884,2.369884,0.0
high,central,spending,snap,14.284937,14.284937,0.0
high,central,spending,black_lung,0.033085,0.033085,0.0
high,central,spending,ssi,5.303504,4.882784,0.42072
high,central,spending,refundable_tax_credits,52.141735,52.141735,0.0
high,central,spending,other_federal_benefits,3.944957,3.944957,0.0
high,central,spending,temporary_disability,2.512529,0.0,2.512529
high,central,spending,medicaid_and_chip_other_medical,122.661209,76.734575,45.926634
high,central,spending,family_and_general_assistance,10.404601,6.974562,3.430039
high,central,spending,energy_assistance,0.553172,0.509574,0.043598
high,central,spending,other_state_welfare,5.069837,3.398486,1.671351
high,central,spending,education_benefits,9.045576,0.659944,8.385632
high,central,spending,employment_training,0.172623,0.012287,0.160337
high,central,spending,other_state_benefits,0.345704,0.0,0.345704
