fiscal_year,state,line,group,total_computable
2023,Amer. Samoa,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Amer. Samoa,Private Duty Nursing,hcbs_other,0.0
2023,Amer. Samoa,Balance,map_total,59932077.0
2023,Amer. Samoa,Collections,collections,0.0
2023,Arizona,Mental Health Facility Services - Reg. Payments,mhf,7568914.0
2023,Arizona,Mental Health Facility - DSH,mhf_dsh,28474900.0
2023,Arizona,Nursing Facility Services - Reg. Payments,nf,65119626.0
2023,Arizona,Nursing Facility Services - Sup. Payments,nf,11645365.0
2023,Arizona,Intermediate Care Facility - Public,icf,0.0
2023,Arizona,Intermediate Care - Private,icf,0.0
2023,Arizona,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Arizona,Home Health Services,hcbs_other,7449101.0
2023,Arizona,Medicaid - MCO,mco_capitation,18306238958.0
2023,Arizona,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Arizona,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,0.0
2023,Arizona,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Arizona,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Arizona,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Arizona,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Arizona,Personal Care Services - Reg. Payments,hcbs_pc_cfc,948937.0
2023,Arizona,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Arizona,Targeted Case Management Services - Com. Case-Man.,hcbs_other,233954.0
2023,Arizona,Case Management - State Wide,hcbs_other,0.0
2023,Arizona,Rehabilitative Services (non-school-based),hcbs_other,471925225.0
2023,Arizona,Private Duty Nursing,hcbs_other,3574.0
2023,Arizona,Balance,map_total,22185252119.0
2023,Arizona,Collections,collections,-1279980.0
2023,Arkansas,Mental Health Facility Services - Reg. Payments,mhf,16745441.0
2023,Arkansas,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Arkansas,Nursing Facility Services - Reg. Payments,nf,903961896.0
2023,Arkansas,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Arkansas,Intermediate Care Facility - Public,icf,158543451.0
2023,Arkansas,Intermediate Care - Private,icf,458183.0
2023,Arkansas,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Arkansas,Home Health Services,hcbs_other,55938285.0
2023,Arkansas,Medicaid - MCO,mco_capitation,533074038.0
2023,Arkansas,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Arkansas,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,910634061.0
2023,Arkansas,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Arkansas,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Arkansas,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Arkansas,All-Inclusive Care Elderly,hcbs_other,27346997.0
2023,Arkansas,Personal Care Services - Reg. Payments,hcbs_pc_cfc,182883249.0
2023,Arkansas,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,34813950.0
2023,Arkansas,Targeted Case Management Services - Com. Case-Man.,hcbs_other,98.0
2023,Arkansas,Case Management - State Wide,hcbs_other,3150124.0
2023,Arkansas,Rehabilitative Services (non-school-based),hcbs_other,179226496.0
2023,Arkansas,Private Duty Nursing,hcbs_other,8454009.0
2023,Arkansas,Balance,map_total,8643000111.0
2023,Arkansas,Collections,collections,-37803620.0
2023,California,Mental Health Facility Services - Reg. Payments,mhf,516778341.0
2023,California,Mental Health Facility - DSH,mhf_dsh,243652.0
2023,California,Nursing Facility Services - Reg. Payments,nf,1784809622.0
2023,California,Nursing Facility Services - Sup. Payments,nf,137313404.0
2023,California,Intermediate Care Facility - Public,icf,71157502.0
2023,California,Intermediate Care - Private,icf,521018429.0
2023,California,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,135871676.0
2023,California,Home Health Services,hcbs_other,7890089.0
2023,California,Medicaid - MCO,mco_capitation,54574177367.0
2023,California,Medicaid MCO - Community First Choice,hcbs_pc_cfc,-4493593.0
2023,California,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,6099351545.0
2023,California,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,1095731372.0
2023,California,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,California,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,11328070510.0
2023,California,All-Inclusive Care Elderly,hcbs_other,1280415152.0
2023,California,Personal Care Services - Reg. Payments,hcbs_pc_cfc,6501356343.0
2023,California,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,199089994.0
2023,California,Targeted Case Management Services - Com. Case-Man.,hcbs_other,912595364.0
2023,California,Case Management - State Wide,hcbs_other,30979226.0
2023,California,Rehabilitative Services (non-school-based),hcbs_other,761990997.0
2023,California,Private Duty Nursing,hcbs_other,0.0
2023,California,Balance,map_total,124063730563.31
2023,California,Collections,collections,-1329908781.0
2023,Colorado,Mental Health Facility Services - Reg. Payments,mhf,9914920.0
2023,Colorado,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Colorado,Nursing Facility Services - Reg. Payments,nf,646353737.0
2023,Colorado,Nursing Facility Services - Sup. Payments,nf,121366308.0
2023,Colorado,Intermediate Care Facility - Public,icf,31840921.0
2023,Colorado,Intermediate Care - Private,icf,6370622.0
2023,Colorado,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Colorado,Home Health Services,hcbs_other,866670557.0
2023,Colorado,Medicaid - MCO,mco_capitation,578276442.0
2023,Colorado,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Colorado,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,1956265043.0
2023,Colorado,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,6315.0
2023,Colorado,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Colorado,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Colorado,All-Inclusive Care Elderly,hcbs_other,253023532.0
2023,Colorado,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Colorado,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Colorado,Targeted Case Management Services - Com. Case-Man.,hcbs_other,34651351.0
2023,Colorado,Case Management - State Wide,hcbs_other,0.0
2023,Colorado,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Colorado,Private Duty Nursing,hcbs_other,119157795.0
2023,Colorado,Balance,map_total,12959433815.0
2023,Colorado,Collections,collections,-155112305.0
2023,Connecticut,Mental Health Facility Services - Reg. Payments,mhf,159174715.0
2023,Connecticut,Mental Health Facility - DSH,mhf_dsh,105573725.0
2023,Connecticut,Nursing Facility Services - Reg. Payments,nf,1205205335.0
2023,Connecticut,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Connecticut,Intermediate Care Facility - Public,icf,153645081.0
2023,Connecticut,Intermediate Care - Private,icf,75338402.0
2023,Connecticut,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Connecticut,Home Health Services,hcbs_other,201234565.0
2023,Connecticut,Medicaid - MCO,mco_capitation,0.0
2023,Connecticut,Medicaid MCO - Community First Choice,hcbs_pc_cfc,-23807.0
2023,Connecticut,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,1612936844.0
2023,Connecticut,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,4994944.0
2023,Connecticut,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Connecticut,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,218524472.0
2023,Connecticut,All-Inclusive Care Elderly,hcbs_other,-560.0
2023,Connecticut,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Connecticut,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Connecticut,Targeted Case Management Services - Com. Case-Man.,hcbs_other,83223424.0
2023,Connecticut,Case Management - State Wide,hcbs_other,36.0
2023,Connecticut,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Connecticut,Private Duty Nursing,hcbs_other,0.0
2023,Connecticut,Balance,map_total,10425838601.0
2023,Connecticut,Collections,collections,-100146868.0
2023,Delaware,Mental Health Facility Services - Reg. Payments,mhf,13971807.0
2023,Delaware,Mental Health Facility - DSH,mhf_dsh,6207995.0
2023,Delaware,Nursing Facility Services - Reg. Payments,nf,984128.0
2023,Delaware,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Delaware,Intermediate Care Facility - Public,icf,17924791.0
2023,Delaware,Intermediate Care - Private,icf,17060453.0
2023,Delaware,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Delaware,Home Health Services,hcbs_other,49084.0
2023,Delaware,Medicaid - MCO,mco_capitation,2840509438.0
2023,Delaware,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Delaware,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,288967212.0
2023,Delaware,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,2239581.0
2023,Delaware,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Delaware,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Delaware,All-Inclusive Care Elderly,hcbs_other,19943423.0
2023,Delaware,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Delaware,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Delaware,Targeted Case Management Services - Com. Case-Man.,hcbs_other,7629363.0
2023,Delaware,Case Management - State Wide,hcbs_other,0.0
2023,Delaware,Rehabilitative Services (non-school-based),hcbs_other,17187206.0
2023,Delaware,Private Duty Nursing,hcbs_other,7364.0
2023,Delaware,Balance,map_total,3343321747.0
2023,Delaware,Collections,collections,-3537938.0
2023,Dist. Of Col.,Mental Health Facility Services - Reg. Payments,mhf,94410338.0
2023,Dist. Of Col.,Mental Health Facility - DSH,mhf_dsh,6967539.0
2023,Dist. Of Col.,Nursing Facility Services - Reg. Payments,nf,324661148.0
2023,Dist. Of Col.,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Dist. Of Col.,Intermediate Care Facility - Public,icf,0.0
2023,Dist. Of Col.,Intermediate Care - Private,icf,100991149.0
2023,Dist. Of Col.,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,107609.0
2023,Dist. Of Col.,Home Health Services,hcbs_other,14943370.0
2023,Dist. Of Col.,Medicaid - MCO,mco_capitation,1983545807.0
2023,Dist. Of Col.,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Dist. Of Col.,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,565794548.0
2023,Dist. Of Col.,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,4045171.0
2023,Dist. Of Col.,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Dist. Of Col.,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,24464903.0
2023,Dist. Of Col.,All-Inclusive Care Elderly,hcbs_other,932279.0
2023,Dist. Of Col.,Personal Care Services - Reg. Payments,hcbs_pc_cfc,121322440.0
2023,Dist. Of Col.,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Dist. Of Col.,Targeted Case Management Services - Com. Case-Man.,hcbs_other,0.0
2023,Dist. Of Col.,Case Management - State Wide,hcbs_other,0.0
2023,Dist. Of Col.,Rehabilitative Services (non-school-based),hcbs_other,9749617.0
2023,Dist. Of Col.,Private Duty Nursing,hcbs_other,10910154.0
2023,Dist. Of Col.,Balance,map_total,4156788185.0
2023,Dist. Of Col.,Collections,collections,-28234920.0
2023,Florida,Mental Health Facility Services - Reg. Payments,mhf,1551734158.0
2023,Florida,Mental Health Facility - DSH,mhf_dsh,120070308.0
2023,Florida,Nursing Facility Services - Reg. Payments,nf,186249901.0
2023,Florida,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Florida,Intermediate Care Facility - Public,icf,74254655.0
2023,Florida,Intermediate Care - Private,icf,446246421.0
2023,Florida,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Florida,Home Health Services,hcbs_other,25278254.0
2023,Florida,Medicaid - MCO,mco_capitation,23808908093.0
2023,Florida,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Florida,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,1558273333.0
2023,Florida,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Florida,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,213881137.0
2023,Florida,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Florida,All-Inclusive Care Elderly,hcbs_other,113275098.0
2023,Florida,Personal Care Services - Reg. Payments,hcbs_pc_cfc,162651018.0
2023,Florida,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Florida,Targeted Case Management Services - Com. Case-Man.,hcbs_other,5194783.0
2023,Florida,Case Management - State Wide,hcbs_other,0.0
2023,Florida,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Florida,Private Duty Nursing,hcbs_other,21651193.0
2023,Florida,Balance,map_total,34641023901.0
2023,Florida,Collections,collections,-447093777.0
2023,Georgia,Mental Health Facility Services - Reg. Payments,mhf,18327866.0
2023,Georgia,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Georgia,Nursing Facility Services - Reg. Payments,nf,1593587694.0
2023,Georgia,Nursing Facility Services - Sup. Payments,nf,81732752.0
2023,Georgia,Intermediate Care Facility - Public,icf,34523633.0
2023,Georgia,Intermediate Care - Private,icf,8224002.0
2023,Georgia,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,2636432.0
2023,Georgia,Home Health Services,hcbs_other,82956054.0
2023,Georgia,Medicaid - MCO,mco_capitation,7407914562.0
2023,Georgia,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Georgia,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,1968487805.0
2023,Georgia,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Georgia,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Georgia,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Georgia,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Georgia,Personal Care Services - Reg. Payments,hcbs_pc_cfc,26432409.0
2023,Georgia,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Georgia,Targeted Case Management Services - Com. Case-Man.,hcbs_other,54968873.0
2023,Georgia,Case Management - State Wide,hcbs_other,0.0
2023,Georgia,Rehabilitative Services (non-school-based),hcbs_other,265505821.0
2023,Georgia,Private Duty Nursing,hcbs_other,54912281.0
2023,Georgia,Balance,map_total,16007360741.0
2023,Georgia,Collections,collections,-70727164.0
2023,Guam,Mental Health Facility Services - Reg. Payments,mhf,0.0
2023,Guam,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Guam,Nursing Facility Services - Reg. Payments,nf,910362.0
2023,Guam,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Guam,Intermediate Care Facility - Public,icf,0.0
2023,Guam,Intermediate Care - Private,icf,0.0
2023,Guam,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Guam,Home Health Services,hcbs_other,459274.0
2023,Guam,Medicaid - MCO,mco_capitation,0.0
2023,Guam,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Guam,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,0.0
2023,Guam,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Guam,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Guam,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Guam,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Guam,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Guam,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Guam,Targeted Case Management Services - Com. Case-Man.,hcbs_other,0.0
2023,Guam,Case Management - State Wide,hcbs_other,0.0
2023,Guam,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Guam,Private Duty Nursing,hcbs_other,0.0
2023,Guam,Balance,map_total,180050749.0
2023,Guam,Collections,collections,0.0
2023,Hawaii,Mental Health Facility Services - Reg. Payments,mhf,0.0
2023,Hawaii,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Hawaii,Nursing Facility Services - Reg. Payments,nf,244629.0
2023,Hawaii,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Hawaii,Intermediate Care Facility - Public,icf,0.0
2023,Hawaii,Intermediate Care - Private,icf,10401642.0
2023,Hawaii,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Hawaii,Home Health Services,hcbs_other,0.0
2023,Hawaii,Medicaid - MCO,mco_capitation,2423445280.0
2023,Hawaii,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Hawaii,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,187683132.0
2023,Hawaii,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Hawaii,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Hawaii,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Hawaii,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Hawaii,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Hawaii,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Hawaii,Targeted Case Management Services - Com. Case-Man.,hcbs_other,1211501.0
2023,Hawaii,Case Management - State Wide,hcbs_other,418.0
2023,Hawaii,Rehabilitative Services (non-school-based),hcbs_other,108100.0
2023,Hawaii,Private Duty Nursing,hcbs_other,0.0
2023,Hawaii,Balance,map_total,3044228261.0
2023,Hawaii,Collections,collections,-45961928.0
2023,Idaho,Mental Health Facility Services - Reg. Payments,mhf,5491533.0
2023,Idaho,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Idaho,Nursing Facility Services - Reg. Payments,nf,71500565.0
2023,Idaho,Nursing Facility Services - Sup. Payments,nf,54146206.0
2023,Idaho,Intermediate Care Facility - Public,icf,7551964.0
2023,Idaho,Intermediate Care - Private,icf,28009342.0
2023,Idaho,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,8609291.0
2023,Idaho,Home Health Services,hcbs_other,13963718.0
2023,Idaho,Medicaid - MCO,mco_capitation,233760567.0
2023,Idaho,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Idaho,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,580102333.0
2023,Idaho,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,17405369.0
2023,Idaho,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Idaho,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Idaho,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Idaho,Personal Care Services - Reg. Payments,hcbs_pc_cfc,46103810.0
2023,Idaho,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Idaho,Targeted Case Management Services - Com. Case-Man.,hcbs_other,9974446.0
2023,Idaho,Case Management - State Wide,hcbs_other,0.0
2023,Idaho,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Idaho,Private Duty Nursing,hcbs_other,0.0
2023,Idaho,Balance,map_total,3580631217.0
2023,Idaho,Collections,collections,-41513763.0
2023,Illinois,Mental Health Facility Services - Reg. Payments,mhf,17525340.0
2023,Illinois,Mental Health Facility - DSH,mhf_dsh,89408434.0
2023,Illinois,Nursing Facility Services - Reg. Payments,nf,468035344.0
2023,Illinois,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Illinois,Intermediate Care Facility - Public,icf,258921111.0
2023,Illinois,Intermediate Care - Private,icf,580421637.0
2023,Illinois,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Illinois,Home Health Services,hcbs_other,120550333.0
2023,Illinois,Medicaid - MCO,mco_capitation,23799572594.0
2023,Illinois,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Illinois,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,3338677002.0
2023,Illinois,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Illinois,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Illinois,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Illinois,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Illinois,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Illinois,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Illinois,Targeted Case Management Services - Com. Case-Man.,hcbs_other,14345336.0
2023,Illinois,Case Management - State Wide,hcbs_other,19373393.0
2023,Illinois,Rehabilitative Services (non-school-based),hcbs_other,92784182.0
2023,Illinois,Private Duty Nursing,hcbs_other,1093714.0
2023,Illinois,Balance,map_total,32282765114.0
2023,Illinois,Collections,collections,-92036787.0
2023,Indiana,Mental Health Facility Services - Reg. Payments,mhf,85789773.0
2023,Indiana,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Indiana,Nursing Facility Services - Reg. Payments,nf,2008952598.0
