STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
37,47,506,14,43173,inst65,0.09288537549407115,0.011720288143052371,0.0010886433650661293
38,0,225,4,6949,inst65,0.0,0.03237875953374586,0.0
39,550,833,16,72896,inst65,0.6602641056422569,0.01142723880597015,0.007544995610184372
40,417,558,12,21586,inst65,0.7473118279569892,0.02585008802001297,0.019318076531084964
41,337,561,18,16068,inst65,0.6007130124777184,0.03491411501120239,0.020973363206372914
42,0,1885,33,84858,inst65,0.0,0.02221358033420538,0.0
44,0,0,0,7051,inst65,,0.0,0.0
45,230,335,8,22053,inst65,0.6865671641791045,0.015190677005396091,0.010429420033555525
46,0,0,0,8209,inst65,,0.0,0.0
47,16,361,10,28043,inst65,0.0443213296398892,0.012873087758085797,0.0005705523660093428
48,16862,20842,516,98724,inst65,0.8090394395931293,0.21111381224423645,0.17079940034844618
49,0,0,0,5858,inst65,,0.0,0.0
50,0,0,0,3703,inst65,,0.0,0.0
51,210,1402,21,31705,inst65,0.14978601997146934,0.04422015454975556,0.0066235609525311465
53,434,605,20,21313,inst65,0.7173553719008264,0.02838643081687233,0.020363158635574533
54,0,424,8,9960,inst65,0.0,0.04257028112449799,0.0
55,100,479,13,26670,inst65,0.20876826722338204,0.017960254968128985,0.0037495313085864268
56,579,579,6,2856,inst65,1.0,0.2027310924369748,0.2027310924369748
1,0,0,0,11915,inst65_mcd,,0.0,0.0
2,165,174,8,1041,inst65_mcd,0.9482758620689655,0.16714697406340057,0.1585014409221902
4,703,466,15,7648,inst65_mcd,1.5085836909871244,0.06093096234309624,0.09191945606694561
5,0,159,3,10113,inst65_mcd,0.0,0.015722337585286267,0.0
6,12821,17470,516,67642,inst65_mcd,0.733886662850601,0.25827148812867745,0.1895420005322137
8,819,1256,41,7938,inst65_mcd,0.6520700636942676,0.1582262534643487,0.10317460317460317
9,0,886,24,11994,inst65_mcd,0.0,0.07387026846756711,0.0
10,0,76,2,2652,inst65_mcd,0.0,0.02865761689291101,0.0
11,0,0,0,1841,inst65_mcd,,0.0,0.0
12,82,10194,224,59653,inst65_mcd,0.00804394742005101,0.17088830402494426,0.001374616532278343
13,196,290,10,21146,inst65_mcd,0.6758620689655173,0.013714177622245341,0.009268892461931334
15,0,59,2,2843,inst65_mcd,0.0,0.02075272599366866,0.0
16,302,617,19,3346,inst65_mcd,0.48946515397082657,0.18439928272564257,0.09025702331141662
