country,origin,offence,unit,numerator,denominator,rate,ratio_to_native,standardized,period,source_table,chart_value
Finland,Greece,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",5,1572,31.8,5.68,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Croatia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,549,18.2,3.25,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Latvia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,4545,6.6,1.18,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Poland,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,5263,1.9,0.34,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,France,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,3030,3.3,0.59,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Romania,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",7,5738,12.2,2.18,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Sweden,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",10,7752,12.9,2.3,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",27.0
Finland,Germany,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",15,5119,29.3,5.23,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Serbia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,703,42.7,7.63,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Slovakia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",5,804,62.2,11.11,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Turkey,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",15,7426,20.2,3.61,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Ukraine,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",10,27778,3.6,0.64,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",11.39
Finland,Hungary,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",6,2264,26.5,4.73,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Belarus,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,1079,27.8,4.96,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Russia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",23,35385,6.5,1.16,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",6.22
Finland,Estonia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",62,51667,12,2.14,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",12.02
Finland,United Kingdom,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,5000,2,0.36,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,AFRICA,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",141,31685,44.5,7.95,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Algeria,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2,667,30,5.36,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Egypt,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",5,1222,40.9,7.3,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Former Sudan,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",5,197,253.8,45.32,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Eritrea,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",24,1929,124.4,22.21,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Gambia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",8,848,94.3,16.84,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Ghana,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,1887,15.9,2.84,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Cameroon,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,1606,24.9,4.45,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Kenya,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",5,1736,28.8,5.14,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Democratic Republic of the Congo,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",9,2752,32.7,5.84,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",101.6
Finland,Morocco,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",9,1765,51,9.11,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Nigeria,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",10,4255,23.5,4.2,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Senegal,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,166,60.2,10.75,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Somalia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",37,6679,55.4,9.89,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",52.37
Finland,Sudan,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,556,71.9,12.84,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Tunisia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,679,44.2,7.89,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,AMERICA,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",23,11058,20.8,3.71,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Canada,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,917,10.9,1.95,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Cuba,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2,340,58.8,10.5,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Mexico,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2,939,21.3,3.8,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,United States,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",6,4196,14.3,2.55,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,ASIA,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",388,126797,30.6,5.46,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Afghanistan,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",102,9222,110.6,19.75,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",99.76
Finland,Bangladesh,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,6250,1.6,0.29,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Philippines,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,11538,2.6,0.46,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Georgia,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,278,36,6.43,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,India,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,12903,3.1,0.55,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Iraq,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",146,14733,99.1,17.7,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",85.54
Finland,Iran,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",24,5479,43.8,7.82,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",38.35
Finland,China,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",7,14000,5,0.89,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Myanmar,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",8,1170,68.4,12.21,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Nepal,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,5634,7.1,1.27,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Pakistan,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3,5085,5.9,1.05,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Sri Lanka,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,5263,1.9,0.34,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Syria,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",62,7635,81.2,14.5,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",125.74
Finland,Thailand,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",8,8421,9.5,1.7,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Vietnam,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,8889,4.5,0.8,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,OCEANIA,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,1064,9.4,1.68,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Without citizenship,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,1311,30.5,5.45,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Sweden,Danmark,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1481,39477,3.75,1.18,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.15
Sweden,Finland,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),4942,157238,3.14,0.99,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.0
Sweden,Norge,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1416,38953,3.64,1.14,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.1
Sweden,Island,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),203,4611,4.4,1.38,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.4
Sweden,Grekland,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),554,13963,3.97,1.25,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.25
Sweden,Storbritannien och Nordirland,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),747,21189,3.53,1.11,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.1
Sweden,Tyskland,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1349,45995,2.93,0.92,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",0.9
Sweden,Övriga EU15 och Västeuropa utom Norden,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1842,50837,3.62,1.14,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Polen,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),5749,75956,7.57,2.38,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.4
Sweden,Rumänien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1609,23269,6.91,2.17,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.15
Sweden,Ungern,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),748,15380,4.86,1.53,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.55
Sweden,Övriga Nya EU-länder,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),3032,49750,6.09,1.92,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Bosnien-Hercegovina,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),3340,56789,5.88,1.85,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.85
Sweden,Jugoslavien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),5515,67770,8.14,2.56,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Ryssland,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1404,17201,8.16,2.57,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.55
Sweden,Turkiet,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),3825,44761,8.55,2.69,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.7
Sweden,Övriga länder i Europa,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),5558,49051,11.33,3.56,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,USA,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),633,16519,3.83,1.2,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.2
Sweden,"Övriga (Kanada, Australien, Nya Zeeland)","Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),235,7593,3.09,0.97,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Centralamerika och Karibiska öarna,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1203,11886,10.12,3.18,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Chile,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),2482,27863,8.91,2.8,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.8
Sweden,Colombia,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1174,10454,11.23,3.53,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",3.5
Sweden,Övriga Sydamerika,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),2302,26446,8.7,2.74,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Irak,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),15007,120185,12.49,3.93,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",3.9
Sweden,Iran,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),6397,66303,9.65,3.03,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",3.0
Sweden,Libanon,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),3049,25002,12.2,3.84,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",3.8
Sweden,Syrien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),6693,54767,12.22,3.84,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",3.8
Sweden,Övriga Västasien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),2522,16346,15.43,4.85,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Afghanistan,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),4153,25422,16.34,5.14,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",5.1
Sweden,Övriga Centralasien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1133,7973,14.21,4.47,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Indien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),897,20055,4.47,1.41,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.4
Sweden,Pakistan,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),736,10345,7.11,2.24,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.25
Sweden,Övriga Sydasien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1132,14534,7.79,2.45,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Filippinerna,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),564,10966,5.14,1.62,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.6
Sweden,Thailand,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1956,34091,5.74,1.81,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.8
Sweden,Vietnam,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),904,12512,7.23,2.27,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.25
Sweden,Övriga Sydostasien och Övriga Oceanien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),404,9764,4.14,1.3,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Kina,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),753,23963,3.14,0.99,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",1.0
Sweden,Övriga Östasien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),497,13966,3.56,1.12,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Nordafrika,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),3838,25964,14.78,4.65,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",4.6
Sweden,Eritrea,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),2532,19697,12.85,4.04,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",4.0
Sweden,Etiopien,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1320,14902,8.86,2.79,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",2.8
Sweden,Somalia,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),6440,45218,14.24,4.48,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",4.5
Sweden,Övriga Östafrika,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),1657,12883,12.86,4.04,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Övriga Afrika,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),4338,23163,18.73,5.89,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Sweden,Oklassificerad,"Any offence — registered as suspect at least once 2015-2017 (age 15+, registered 31-12-2014)",share of group suspected (%),85,691,12.3,3.87,no,2015-2017,"Bra 2021:9 Tabellbilaga 1, Table B6",
Norway,"BOSATTE, I ALT",Charges (siktelser) for violence and abuse — vold og mishandling,"charges per 1,000 mean-annual population; MEN 15-24 RESIDENT IN OSLO; 4-year cumulative 2020-2023",3172,38479.75,82.43,2.59,no,2020-2023,"SSB 2024-12-09 ""Tab 2-Siktelser (bosted).xlsx"", sheet ""Tab2 Siktelser, menn 15-24 ar"", col Y (BOSTED OSLO)",
Norway,ØVRIGE BOSATTE,Charges (siktelser) for violence and abuse — vold og mishandling,"charges per 1,000 mean-annual population; MEN 15-24 RESIDENT IN OSLO; 4-year cumulative 2020-2023",781,24498.25,31.88,1.0,no,2020-2023,"SSB 2024-12-09 ""Tab 2-Siktelser (bosted).xlsx"", sheet ""Tab2 Siktelser, menn 15-24 ar"", col Y (BOSTED OSLO)",32
Norway,"INNVANDRERE, I ALT",Charges (siktelser) for violence and abuse — vold og mishandling,"charges per 1,000 mean-annual population; MEN 15-24 RESIDENT IN OSLO; 4-year cumulative 2020-2023",1011,6617.75,152.77,4.79,no,2020-2023,"SSB 2024-12-09 ""Tab 2-Siktelser (bosted).xlsx"", sheet ""Tab2 Siktelser, menn 15-24 ar"", col Y (BOSTED OSLO)",
Norway,"NORSKFØDTE MED INNVANDRERFORELDRE, I ALT",Charges (siktelser) for violence and abuse — vold og mishandling,"charges per 1,000 mean-annual population; MEN 15-24 RESIDENT IN OSLO; 4-year cumulative 2020-2023",1380,7363.75,187.4,5.88,no,2020-2023,"SSB 2024-12-09 ""Tab 2-Siktelser (bosted).xlsx"", sheet ""Tab2 Siktelser, menn 15-24 ar"", col Y (BOSTED OSLO)",
