KOEN,ALDER,HERKOMST,TID,INDHOLD
Men,15-29 years,Total,2009,40129
Men,15-29 years,Total,2010,39230
Men,15-29 years,Total,2011,43021
Men,15-29 years,Total,2012,47349
Men,15-29 years,Total,2013,46159
Men,15-29 years,Total,2014,45614
Men,15-29 years,Total,2015,41644
Men,15-29 years,Total,2016,41122
Men,15-29 years,Total,2017,40887
Men,15-29 years,Total,2018,42816
Men,15-29 years,Total,2019,45807
Men,15-29 years,Total,2020,46565
Men,15-29 years,Total,2021,43417
Men,15-29 years,Total,2022,42343
Men,15-29 years,Total,2023,41590
Men,15-29 years,Total,2024,38265
Men,15-29 years,Persons of Danish origin,2008,30846
Men,15-29 years,Persons of Danish origin,2009,32173
Men,15-29 years,Persons of Danish origin,2010,30675
Men,15-29 years,Persons of Danish origin,2011,34081
Men,15-29 years,Persons of Danish origin,2012,37077
Men,15-29 years,Persons of Danish origin,2013,36167
Men,15-29 years,Persons of Danish origin,2014,35303
Men,15-29 years,Persons of Danish origin,2015,31673
Men,15-29 years,Persons of Danish origin,2016,30971
Men,15-29 years,Persons of Danish origin,2017,30559
Men,15-29 years,Persons of Danish origin,2018,31494
Men,15-29 years,Persons of Danish origin,2019,33702
Men,15-29 years,Persons of Danish origin,2020,33537
Men,15-29 years,Persons of Danish origin,2021,30959
Men,15-29 years,Persons of Danish origin,2022,30824
Men,15-29 years,Persons of Danish origin,2023,29986
Men,15-29 years,Persons of Danish origin,2024,27261
Men,15-29 years,"Immigrants, total",2008,4617
Men,15-29 years,"Immigrants, total",2009,5036
Men,15-29 years,"Immigrants, total",2010,5090
Men,15-29 years,"Immigrants, total",2011,5277
Men,15-29 years,"Immigrants, total",2012,5843
Men,15-29 years,"Immigrants, total",2013,5380
Men,15-29 years,"Immigrants, total",2014,5278
Men,15-29 years,"Immigrants, total",2015,5004
Men,15-29 years,"Immigrants, total",2016,4868
Men,15-29 years,"Immigrants, total",2017,4840
Men,15-29 years,"Immigrants, total",2018,5298
Men,15-29 years,"Immigrants, total",2019,5418
Men,15-29 years,"Immigrants, total",2020,5771
Men,15-29 years,"Immigrants, total",2021,5402
Men,15-29 years,"Immigrants, total",2022,4973
Men,15-29 years,"Immigrants, total",2023,5141
Men,15-29 years,"Immigrants, total",2024,4958
Men,15-29 years,Immigrants from western countries,2008,603
Men,15-29 years,Immigrants from western countries,2009,729
Men,15-29 years,Immigrants from western countries,2010,851
Men,15-29 years,Immigrants from western countries,2011,1031
Men,15-29 years,Immigrants from western countries,2012,1246
Men,15-29 years,Immigrants from western countries,2013,1163
Men,15-29 years,Immigrants from western countries,2014,1282
Men,15-29 years,Immigrants from western countries,2015,1298
Men,15-29 years,Immigrants from western countries,2016,1302
Men,15-29 years,Immigrants from western countries,2017,1314
Men,15-29 years,Immigrants from western countries,2018,1495
Men,15-29 years,Immigrants from western countries,2019,1546
Men,15-29 years,Immigrants from western countries,2020,1770
Men,15-29 years,Immigrants from western countries,2021,1780
Men,15-29 years,Immigrants from western countries,2022,1865
Men,15-29 years,Immigrants from western countries,2023,2024
Men,15-29 years,Immigrants from western countries,2024,1874
Men,15-29 years,Immigrants from non-western countries,2008,4014
Men,15-29 years,Immigrants from non-western countries,2009,4307
Men,15-29 years,Immigrants from non-western countries,2010,4239
Men,15-29 years,Immigrants from non-western countries,2011,4246
Men,15-29 years,Immigrants from non-western countries,2012,4597
Men,15-29 years,Immigrants from non-western countries,2013,4217
Men,15-29 years,Immigrants from non-western countries,2014,3996
Men,15-29 years,Immigrants from non-western countries,2015,3706
Men,15-29 years,Immigrants from non-western countries,2016,3566
Men,15-29 years,Immigrants from non-western countries,2017,3526
Men,15-29 years,Immigrants from non-western countries,2018,3803
Men,15-29 years,Immigrants from non-western countries,2019,3872
Men,15-29 years,Immigrants from non-western countries,2020,4001
Men,15-29 years,Immigrants from non-western countries,2021,3622
Men,15-29 years,Immigrants from non-western countries,2022,3108
