OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Men,16 years,Descendants from non-western countries,2016Q1,2594
All Denmark,Men,16 years,Descendants from non-western countries,2017Q1,2772
All Denmark,Men,16 years,Descendants from non-western countries,2018Q1,2759
All Denmark,Men,16 years,Descendants from non-western countries,2019Q1,2716
All Denmark,Men,16 years,Descendants from non-western countries,2020Q1,2671
All Denmark,Men,16 years,Descendants from non-western countries,2021Q1,2453
All Denmark,Men,17 years,Persons of Danish origin,2010Q1,32808
All Denmark,Men,17 years,Persons of Danish origin,2011Q1,32515
All Denmark,Men,17 years,Persons of Danish origin,2012Q1,33483
All Denmark,Men,17 years,Persons of Danish origin,2013Q1,33528
All Denmark,Men,17 years,Persons of Danish origin,2014Q1,32262
All Denmark,Men,17 years,Persons of Danish origin,2015Q1,31945
All Denmark,Men,17 years,Persons of Danish origin,2016Q1,31359
All Denmark,Men,17 years,Persons of Danish origin,2017Q1,30901
All Denmark,Men,17 years,Persons of Danish origin,2018Q1,31280
All Denmark,Men,17 years,Persons of Danish origin,2019Q1,30296
All Denmark,Men,17 years,Persons of Danish origin,2020Q1,30054
All Denmark,Men,17 years,Persons of Danish origin,2021Q1,30351
All Denmark,Men,17 years,Immigrants from western countries,2010Q1,322
All Denmark,Men,17 years,Immigrants from western countries,2011Q1,329
All Denmark,Men,17 years,Immigrants from western countries,2012Q1,381
All Denmark,Men,17 years,Immigrants from western countries,2013Q1,366
All Denmark,Men,17 years,Immigrants from western countries,2014Q1,386
All Denmark,Men,17 years,Immigrants from western countries,2015Q1,421
All Denmark,Men,17 years,Immigrants from western countries,2016Q1,440
All Denmark,Men,17 years,Immigrants from western countries,2017Q1,462
All Denmark,Men,17 years,Immigrants from western countries,2018Q1,445
All Denmark,Men,17 years,Immigrants from western countries,2019Q1,531
All Denmark,Men,17 years,Immigrants from western countries,2020Q1,552
All Denmark,Men,17 years,Immigrants from western countries,2021Q1,579
All Denmark,Men,17 years,Immigrants from non-western countries,2010Q1,1385
All Denmark,Men,17 years,Immigrants from non-western countries,2011Q1,1216
All Denmark,Men,17 years,Immigrants from non-western countries,2012Q1,1273
All Denmark,Men,17 years,Immigrants from non-western countries,2013Q1,1172
All Denmark,Men,17 years,Immigrants from non-western countries,2014Q1,1104
All Denmark,Men,17 years,Immigrants from non-western countries,2015Q1,1160
All Denmark,Men,17 years,Immigrants from non-western countries,2016Q1,1204
All Denmark,Men,17 years,Immigrants from non-western countries,2017Q1,1238
All Denmark,Men,17 years,Immigrants from non-western countries,2018Q1,1152
All Denmark,Men,17 years,Immigrants from non-western countries,2019Q1,1035
All Denmark,Men,17 years,Immigrants from non-western countries,2020Q1,1036
All Denmark,Men,17 years,Immigrants from non-western countries,2021Q1,1018
All Denmark,Men,17 years,Descendants from western countries,2010Q1,151
All Denmark,Men,17 years,Descendants from western countries,2011Q1,152
All Denmark,Men,17 years,Descendants from western countries,2012Q1,164
All Denmark,Men,17 years,Descendants from western countries,2013Q1,164
All Denmark,Men,17 years,Descendants from western countries,2014Q1,156
All Denmark,Men,17 years,Descendants from western countries,2015Q1,181
All Denmark,Men,17 years,Descendants from western countries,2016Q1,178
All Denmark,Men,17 years,Descendants from western countries,2017Q1,203
All Denmark,Men,17 years,Descendants from western countries,2018Q1,178
All Denmark,Men,17 years,Descendants from western countries,2019Q1,199
All Denmark,Men,17 years,Descendants from western countries,2020Q1,187
All Denmark,Men,17 years,Descendants from western countries,2021Q1,201
All Denmark,Men,17 years,Descendants from non-western countries,2010Q1,1910
All Denmark,Men,17 years,Descendants from non-western countries,2011Q1,2016
All Denmark,Men,17 years,Descendants from non-western countries,2012Q1,2130
All Denmark,Men,17 years,Descendants from non-western countries,2013Q1,2225
All Denmark,Men,17 years,Descendants from non-western countries,2014Q1,2267
All Denmark,Men,17 years,Descendants from non-western countries,2015Q1,2378
All Denmark,Men,17 years,Descendants from non-western countries,2016Q1,2391
All Denmark,Men,17 years,Descendants from non-western countries,2017Q1,2604
All Denmark,Men,17 years,Descendants from non-western countries,2018Q1,2782
All Denmark,Men,17 years,Descendants from non-western countries,2019Q1,2762
All Denmark,Men,17 years,Descendants from non-western countries,2020Q1,2731
All Denmark,Men,17 years,Descendants from non-western countries,2021Q1,2679
All Denmark,Men,18 years,Persons of Danish origin,2010Q1,31172
All Denmark,Men,18 years,Persons of Danish origin,2011Q1,32778
All Denmark,Men,18 years,Persons of Danish origin,2012Q1,32503
All Denmark,Men,18 years,Persons of Danish origin,2013Q1,33494
All Denmark,Men,18 years,Persons of Danish origin,2014Q1,33560
All Denmark,Men,18 years,Persons of Danish origin,2015Q1,32255
All Denmark,Men,18 years,Persons of Danish origin,2016Q1,31977
All Denmark,Men,18 years,Persons of Danish origin,2017Q1,31359
All Denmark,Men,18 years,Persons of Danish origin,2018Q1,30910
All Denmark,Men,18 years,Persons of Danish origin,2019Q1,31299
All Denmark,Men,18 years,Persons of Danish origin,2020Q1,30346
All Denmark,Men,18 years,Persons of Danish origin,2021Q1,30095
All Denmark,Men,18 years,Immigrants from western countries,2010Q1,404
All Denmark,Men,18 years,Immigrants from western countries,2011Q1,374
All Denmark,Men,18 years,Immigrants from western countries,2012Q1,385
All Denmark,Men,18 years,Immigrants from western countries,2013Q1,442
All Denmark,Men,18 years,Immigrants from western countries,2014Q1,461
All Denmark,Men,18 years,Immigrants from western countries,2015Q1,521
All Denmark,Men,18 years,Immigrants from western countries,2016Q1,586
All Denmark,Men,18 years,Immigrants from western countries,2017Q1,561
All Denmark,Men,18 years,Immigrants from western countries,2018Q1,578
All Denmark,Men,18 years,Immigrants from western countries,2019Q1,578
All Denmark,Men,18 years,Immigrants from western countries,2020Q1,636
All Denmark,Men,18 years,Immigrants from western countries,2021Q1,689
All Denmark,Men,18 years,Immigrants from non-western countries,2010Q1,1513
All Denmark,Men,18 years,Immigrants from non-western countries,2011Q1,1469
All Denmark,Men,18 years,Immigrants from non-western countries,2012Q1,1269
All Denmark,Men,18 years,Immigrants from non-western countries,2013Q1,1325
All Denmark,Men,18 years,Immigrants from non-western countries,2014Q1,1249
All Denmark,Men,18 years,Immigrants from non-western countries,2015Q1,1219
All Denmark,Men,18 years,Immigrants from non-western countries,2016Q1,1406
All Denmark,Men,18 years,Immigrants from non-western countries,2017Q1,1447
All Denmark,Men,18 years,Immigrants from non-western countries,2018Q1,1349
All Denmark,Men,18 years,Immigrants from non-western countries,2019Q1,1218
All Denmark,Men,18 years,Immigrants from non-western countries,2020Q1,1078
All Denmark,Men,18 years,Immigrants from non-western countries,2021Q1,1070
All Denmark,Men,18 years,Descendants from western countries,2010Q1,160
All Denmark,Men,18 years,Descendants from western countries,2011Q1,151
All Denmark,Men,18 years,Descendants from western countries,2012Q1,152
All Denmark,Men,18 years,Descendants from western countries,2013Q1,166
All Denmark,Men,18 years,Descendants from western countries,2014Q1,167
All Denmark,Men,18 years,Descendants from western countries,2015Q1,158
All Denmark,Men,18 years,Descendants from western countries,2016Q1,184
All Denmark,Men,18 years,Descendants from western countries,2017Q1,181
All Denmark,Men,18 years,Descendants from western countries,2018Q1,209
All Denmark,Men,18 years,Descendants from western countries,2019Q1,179
All Denmark,Men,18 years,Descendants from western countries,2020Q1,199
All Denmark,Men,18 years,Descendants from western countries,2021Q1,187
All Denmark,Men,18 years,Descendants from non-western countries,2010Q1,1666
All Denmark,Men,18 years,Descendants from non-western countries,2011Q1,1914
All Denmark,Men,18 years,Descendants from non-western countries,2012Q1,2020
All Denmark,Men,18 years,Descendants from non-western countries,2013Q1,2145
All Denmark,Men,18 years,Descendants from non-western countries,2014Q1,2246
All Denmark,Men,18 years,Descendants from non-western countries,2015Q1,2280
All Denmark,Men,18 years,Descendants from non-western countries,2016Q1,2390
All Denmark,Men,18 years,Descendants from non-western countries,2017Q1,2412
All Denmark,Men,18 years,Descendants from non-western countries,2018Q1,2619
All Denmark,Men,18 years,Descendants from non-western countries,2019Q1,2798
All Denmark,Men,18 years,Descendants from non-western countries,2020Q1,2766
All Denmark,Men,18 years,Descendants from non-western countries,2021Q1,2737
All Denmark,Men,19 years,Persons of Danish origin,2010Q1,31069
All Denmark,Men,19 years,Persons of Danish origin,2011Q1,31074
All Denmark,Men,19 years,Persons of Danish origin,2012Q1,32691
All Denmark,Men,19 years,Persons of Danish origin,2013Q1,32439
All Denmark,Men,19 years,Persons of Danish origin,2014Q1,33395
All Denmark,Men,19 years,Persons of Danish origin,2015Q1,33474
All Denmark,Men,19 years,Persons of Danish origin,2016Q1,32176
All Denmark,Men,19 years,Persons of Danish origin,2017Q1,31889
All Denmark,Men,19 years,Persons of Danish origin,2018Q1,31271
All Denmark,Men,19 years,Persons of Danish origin,2019Q1,30842
All Denmark,Men,19 years,Persons of Danish origin,2020Q1,31204
All Denmark,Men,19 years,Persons of Danish origin,2021Q1,30320
All Denmark,Men,19 years,Immigrants from western countries,2010Q1,878
All Denmark,Men,19 years,Immigrants from western countries,2011Q1,951
All Denmark,Men,19 years,Immigrants from western countries,2012Q1,951
All Denmark,Men,19 years,Immigrants from western countries,2013Q1,1054
All Denmark,Men,19 years,Immigrants from western countries,2014Q1,1099
All Denmark,Men,19 years,Immigrants from western countries,2015Q1,1203
All Denmark,Men,19 years,Immigrants from western countries,2016Q1,1320
All Denmark,Men,19 years,Immigrants from western countries,2017Q1,1308
All Denmark,Men,19 years,Immigrants from western countries,2018Q1,1249
All Denmark,Men,19 years,Immigrants from western countries,2019Q1,1215
All Denmark,Men,19 years,Immigrants from western countries,2020Q1,1145
All Denmark,Men,19 years,Immigrants from western countries,2021Q1,1121
All Denmark,Men,19 years,Immigrants from non-western countries,2010Q1,1710
All Denmark,Men,19 years,Immigrants from non-western countries,2011Q1,1576
All Denmark,Men,19 years,Immigrants from non-western countries,2012Q1,1532
All Denmark,Men,19 years,Immigrants from non-western countries,2013Q1,1312
All Denmark,Men,19 years,Immigrants from non-western countries,2014Q1,1403
All Denmark,Men,19 years,Immigrants from non-western countries,2015Q1,1428
All Denmark,Men,19 years,Immigrants from non-western countries,2016Q1,1468
All Denmark,Men,19 years,Immigrants from non-western countries,2017Q1,1644
All Denmark,Men,19 years,Immigrants from non-western countries,2018Q1,1565
All Denmark,Men,19 years,Immigrants from non-western countries,2019Q1,1430
All Denmark,Men,19 years,Immigrants from non-western countries,2020Q1,1310
All Denmark,Men,19 years,Immigrants from non-western countries,2021Q1,1147
All Denmark,Men,19 years,Descendants from western countries,2010Q1,160
All Denmark,Men,19 years,Descendants from western countries,2011Q1,164
All Denmark,Men,19 years,Descendants from western countries,2012Q1,158
All Denmark,Men,19 years,Descendants from western countries,2013Q1,155
All Denmark,Men,19 years,Descendants from western countries,2014Q1,167
All Denmark,Men,19 years,Descendants from western countries,2015Q1,173
All Denmark,Men,19 years,Descendants from western countries,2016Q1,156
All Denmark,Men,19 years,Descendants from western countries,2017Q1,186
All Denmark,Men,19 years,Descendants from western countries,2018Q1,181
All Denmark,Men,19 years,Descendants from western countries,2019Q1,209
All Denmark,Men,19 years,Descendants from western countries,2020Q1,178
All Denmark,Men,19 years,Descendants from western countries,2021Q1,196
All Denmark,Men,19 years,Descendants from non-western countries,2010Q1,1416
All Denmark,Men,19 years,Descendants from non-western countries,2011Q1,1660
All Denmark,Men,19 years,Descendants from non-western countries,2012Q1,1914
All Denmark,Men,19 years,Descendants from non-western countries,2013Q1,2021
All Denmark,Men,19 years,Descendants from non-western countries,2014Q1,2154
All Denmark,Men,19 years,Descendants from non-western countries,2015Q1,2245
All Denmark,Men,19 years,Descendants from non-western countries,2016Q1,2293
All Denmark,Men,19 years,Descendants from non-western countries,2017Q1,2401
All Denmark,Men,19 years,Descendants from non-western countries,2018Q1,2409
All Denmark,Men,19 years,Descendants from non-western countries,2019Q1,2624
All Denmark,Men,19 years,Descendants from non-western countries,2020Q1,2803
All Denmark,Men,19 years,Descendants from non-western countries,2021Q1,2778
All Denmark,Men,20 years,Persons of Danish origin,2010Q1,29854
All Denmark,Men,20 years,Persons of Danish origin,2011Q1,30972
All Denmark,Men,20 years,Persons of Danish origin,2012Q1,30997
All Denmark,Men,20 years,Persons of Danish origin,2013Q1,32643
All Denmark,Men,20 years,Persons of Danish origin,2014Q1,32353
All Denmark,Men,20 years,Persons of Danish origin,2015Q1,33291
All Denmark,Men,20 years,Persons of Danish origin,2016Q1,33354
All Denmark,Men,20 years,Persons of Danish origin,2017Q1,32084
All Denmark,Men,20 years,Persons of Danish origin,2018Q1,31768
All Denmark,Men,20 years,Persons of Danish origin,2019Q1,31186
All Denmark,Men,20 years,Persons of Danish origin,2020Q1,30769
All Denmark,Men,20 years,Persons of Danish origin,2021Q1,31210
All Denmark,Men,20 years,Immigrants from western countries,2010Q1,1164
All Denmark,Men,20 years,Immigrants from western countries,2011Q1,1349
All Denmark,Men,20 years,Immigrants from western countries,2012Q1,1539
All Denmark,Men,20 years,Immigrants from western countries,2013Q1,1555
All Denmark,Men,20 years,Immigrants from western countries,2014Q1,1624
All Denmark,Men,20 years,Immigrants from western countries,2015Q1,1716
All Denmark,Men,20 years,Immigrants from western countries,2016Q1,1998
All Denmark,Men,20 years,Immigrants from western countries,2017Q1,1962
All Denmark,Men,20 years,Immigrants from western countries,2018Q1,1948
All Denmark,Men,20 years,Immigrants from western countries,2019Q1,1868
All Denmark,Men,20 years,Immigrants from western countries,2020Q1,1676
All Denmark,Men,20 years,Immigrants from western countries,2021Q1,1572
All Denmark,Men,20 years,Immigrants from non-western countries,2010Q1,2006
All Denmark,Men,20 years,Immigrants from non-western countries,2011Q1,1846
All Denmark,Men,20 years,Immigrants from non-western countries,2012Q1,1696
All Denmark,Men,20 years,Immigrants from non-western countries,2013Q1,1652
All Denmark,Men,20 years,Immigrants from non-western countries,2014Q1,1475
All Denmark,Men,20 years,Immigrants from non-western countries,2015Q1,1646
All Denmark,Men,20 years,Immigrants from non-western countries,2016Q1,1793
All Denmark,Men,20 years,Immigrants from non-western countries,2017Q1,1740
All Denmark,Men,20 years,Immigrants from non-western countries,2018Q1,1875
All Denmark,Men,20 years,Immigrants from non-western countries,2019Q1,1714
All Denmark,Men,20 years,Immigrants from non-western countries,2020Q1,1555
All Denmark,Men,20 years,Immigrants from non-western countries,2021Q1,1355
All Denmark,Men,20 years,Descendants from western countries,2010Q1,153
All Denmark,Men,20 years,Descendants from western countries,2011Q1,163
All Denmark,Men,20 years,Descendants from western countries,2012Q1,198
All Denmark,Men,20 years,Descendants from western countries,2013Q1,163
All Denmark,Men,20 years,Descendants from western countries,2014Q1,152
All Denmark,Men,20 years,Descendants from western countries,2015Q1,166
All Denmark,Men,20 years,Descendants from western countries,2016Q1,172
All Denmark,Men,20 years,Descendants from western countries,2017Q1,160
All Denmark,Men,20 years,Descendants from western countries,2018Q1,188
All Denmark,Men,20 years,Descendants from western countries,2019Q1,179
All Denmark,Men,20 years,Descendants from western countries,2020Q1,208
All Denmark,Men,20 years,Descendants from western countries,2021Q1,181
All Denmark,Men,20 years,Descendants from non-western countries,2010Q1,1297
All Denmark,Men,20 years,Descendants from non-western countries,2011Q1,1414
All Denmark,Men,20 years,Descendants from non-western countries,2012Q1,1653
All Denmark,Men,20 years,Descendants from non-western countries,2013Q1,1915
All Denmark,Men,20 years,Descendants from non-western countries,2014Q1,2023
All Denmark,Men,20 years,Descendants from non-western countries,2015Q1,2160
All Denmark,Men,20 years,Descendants from non-western countries,2016Q1,2247
All Denmark,Men,20 years,Descendants from non-western countries,2017Q1,2293
All Denmark,Men,20 years,Descendants from non-western countries,2018Q1,2397
All Denmark,Men,20 years,Descendants from non-western countries,2019Q1,2401
All Denmark,Men,20 years,Descendants from non-western countries,2020Q1,2619
All Denmark,Men,20 years,Descendants from non-western countries,2021Q1,2807
All Denmark,Men,21 years,Persons of Danish origin,2010Q1,28868
All Denmark,Men,21 years,Persons of Danish origin,2011Q1,29836
All Denmark,Men,21 years,Persons of Danish origin,2012Q1,31005
All Denmark,Men,21 years,Persons of Danish origin,2013Q1,31052
All Denmark,Men,21 years,Persons of Danish origin,2014Q1,32637
All Denmark,Men,21 years,Persons of Danish origin,2015Q1,32340
All Denmark,Men,21 years,Persons of Danish origin,2016Q1,33320
All Denmark,Men,21 years,Persons of Danish origin,2017Q1,33326
All Denmark,Men,21 years,Persons of Danish origin,2018Q1,32108
All Denmark,Men,21 years,Persons of Danish origin,2019Q1,31786
All Denmark,Men,21 years,Persons of Danish origin,2020Q1,31244
All Denmark,Men,21 years,Persons of Danish origin,2021Q1,30866
All Denmark,Men,21 years,Immigrants from western countries,2010Q1,1446
All Denmark,Men,21 years,Immigrants from western countries,2011Q1,1655
All Denmark,Men,21 years,Immigrants from western countries,2012Q1,1976
All Denmark,Men,21 years,Immigrants from western countries,2013Q1,1953
All Denmark,Men,21 years,Immigrants from western countries,2014Q1,2031
All Denmark,Men,21 years,Immigrants from western countries,2015Q1,2062
All Denmark,Men,21 years,Immigrants from western countries,2016Q1,2379
All Denmark,Men,21 years,Immigrants from western countries,2017Q1,2472
All Denmark,Men,21 years,Immigrants from western countries,2018Q1,2482
All Denmark,Men,21 years,Immigrants from western countries,2019Q1,2400
All Denmark,Men,21 years,Immigrants from western countries,2020Q1,2163
All Denmark,Men,21 years,Immigrants from western countries,2021Q1,1892
All Denmark,Men,21 years,Immigrants from non-western countries,2010Q1,2326
All Denmark,Men,21 years,Immigrants from non-western countries,2011Q1,2123
All Denmark,Men,21 years,Immigrants from non-western countries,2012Q1,2004
All Denmark,Men,21 years,Immigrants from non-western countries,2013Q1,1848
All Denmark,Men,21 years,Immigrants from non-western countries,2014Q1,1841
All Denmark,Men,21 years,Immigrants from non-western countries,2015Q1,1666
All Denmark,Men,21 years,Immigrants from non-western countries,2016Q1,2040
All Denmark,Men,21 years,Immigrants from non-western countries,2017Q1,2073
All Denmark,Men,21 years,Immigrants from non-western countries,2018Q1,1942
All Denmark,Men,21 years,Immigrants from non-western countries,2019Q1,1999
All Denmark,Men,21 years,Immigrants from non-western countries,2020Q1,1835
All Denmark,Men,21 years,Immigrants from non-western countries,2021Q1,1566
All Denmark,Men,21 years,Descendants from western countries,2010Q1,113
All Denmark,Men,21 years,Descendants from western countries,2011Q1,163
All Denmark,Men,21 years,Descendants from western countries,2012Q1,192
All Denmark,Men,21 years,Descendants from western countries,2013Q1,170
All Denmark,Men,21 years,Descendants from western countries,2014Q1,158
All Denmark,Men,21 years,Descendants from western countries,2015Q1,152
All Denmark,Men,21 years,Descendants from western countries,2016Q1,166
All Denmark,Men,21 years,Descendants from western countries,2017Q1,169
All Denmark,Men,21 years,Descendants from western countries,2018Q1,158
All Denmark,Men,21 years,Descendants from western countries,2019Q1,185
All Denmark,Men,21 years,Descendants from western countries,2020Q1,177
All Denmark,Men,21 years,Descendants from western countries,2021Q1,213
All Denmark,Men,21 years,Descendants from non-western countries,2010Q1,1139
All Denmark,Men,21 years,Descendants from non-western countries,2011Q1,1299
All Denmark,Men,21 years,Descendants from non-western countries,2012Q1,1408
All Denmark,Men,21 years,Descendants from non-western countries,2013Q1,1651
All Denmark,Men,21 years,Descendants from non-western countries,2014Q1,1911
All Denmark,Men,21 years,Descendants from non-western countries,2015Q1,2026
All Denmark,Men,21 years,Descendants from non-western countries,2016Q1,2139
All Denmark,Men,21 years,Descendants from non-western countries,2017Q1,2239
All Denmark,Men,21 years,Descendants from non-western countries,2018Q1,2284
All Denmark,Men,21 years,Descendants from non-western countries,2019Q1,2389
All Denmark,Men,21 years,Descendants from non-western countries,2020Q1,2393
All Denmark,Men,21 years,Descendants from non-western countries,2021Q1,2618
All Denmark,Men,22 years,Persons of Danish origin,2010Q1,27511
All Denmark,Men,22 years,Persons of Danish origin,2011Q1,28809
All Denmark,Men,22 years,Persons of Danish origin,2012Q1,29760
All Denmark,Men,22 years,Persons of Danish origin,2013Q1,30944
All Denmark,Men,22 years,Persons of Danish origin,2014Q1,30980
All Denmark,Men,22 years,Persons of Danish origin,2015Q1,32529
All Denmark,Men,22 years,Persons of Danish origin,2016Q1,32282
All Denmark,Men,22 years,Persons of Danish origin,2017Q1,33257
All Denmark,Men,22 years,Persons of Danish origin,2018Q1,33281
All Denmark,Men,22 years,Persons of Danish origin,2019Q1,32039
All Denmark,Men,22 years,Persons of Danish origin,2020Q1,31765
All Denmark,Men,22 years,Persons of Danish origin,2021Q1,31302
All Denmark,Men,22 years,Immigrants from western countries,2010Q1,1755
All Denmark,Men,22 years,Immigrants from western countries,2011Q1,1903
