cbsa,cbsa_title,year,2554_nc_pop,2554_nc_emp,2554_nc_lf,2554_nc_ssi,2554_nc_pa,2554_nc_snap,mx_pre2000_n,mx_pre2000_emp,mx_pre2000_wagesum,mx_pre2000_ftfy_n,mx_pre2000_ftfy_wagesum,mx_pre2000_nc_n,mx_pre2000_nc_wagesum,mx_post2000_n,mx_post2000_emp,mx_post2000_wagesum,mx_post2000_ftfy_n,mx_post2000_ftfy_wagesum,mx_post2000_nc_n,mx_post2000_nc_wagesum,nat_epop,nat_lfp,nat_ssi,nat_pa,nat_snap,mx_pre_ftfy_wage,mx_pre_wage_pp,mx_pre_nc_wage_pp,mx_pre_n,mx_pre_epop,mx_post_ftfy_wage,mx_post_wage_pp,mx_post_nc_wage_pp,mx_post_n,mx_post_epop,nat_pop
33260,"Midland, TX",2008,34045.558,27494.3612,28315.3096,633.3064,14.123999999999999,4695.9012,6687.0028,4972.7316,149866659.68,3663.308,133545381.2,6239.8904,134458202.32,1519.4228,836.3296,16571896.56,722.8476,14325082.4,1519.4228,16571896.56,80.75755785820871,83.16888094476232,1.8601733594732097,0.04148558822269854,13.792992319291699,36454.86025199082,22411.6340552452,21548.16730755399,6687.0028,74.3641321639644,19817.569291230957,10906.70520410777,10906.70520410777,1519.4228,55.04258590828044,34045.558
33260,"Midland, TX",2021,36680.4175,29133.076,30147.7331,272.0119,316.4198,4120.7764,3995.8139,3731.0038,197127950.91,3149.3805,193814015.6,2694.8992,111927751.31,5077.4622,4980.7479,175411673.17,4295.2535,167175450.77,4163.6907,153321555.17,79.42405780959281,82.19026705462117,0.741572529811036,0.862639581460598,11.234267985090407,61540.36185846708,49333.616590602476,41533.186588203374,3995.8139,93.37281198205952,38920.97422655031,34547.11551963892,36823.47374409919,5077.4622,98.09522363357034,36680.4175
33260,"Midland, TX",2024,40607.6884,31939.6324,32590.6063,889.3989,761.575,1676.8889,3736.1908,3478.5766,162572310.7,3311.0388,159137573.5,3688.6898,157459737.7,2101.5355,1374.0044,119974034.26,1256.0206,119051736.1,1326.3313,26441362.26,78.65415062631341,80.25723104199155,2.19022292340088,1.87544534054295,4.129486228031635,48062.73291028786,43512.850227028015,42687.17247516991,3736.1908,93.10489710536196,94784.85949991584,57088.74975464369,19935.714598607454,2101.5355,65.38097500613242,40607.6884
33340,"Milwaukee-Waukesha-West Allis, WI",2005,388534.0,293851.0,317021.0,11437.0,8085.0,0.0,17474.0,8479.0,219084310.0,0.0,0.0,15670.0,209902510.0,4269.0,3030.0,46909300.0,137.0,2055000.0,4005.0,44395300.0,75.63070413400115,81.59414620084729,2.943629128982277,2.080898968944803,0.0,,12537.730914501544,13395.182514358647,17474.0,48.523520659265195,15000.0,10988.357929257438,11084.968789013732,4269.0,70.97680955727337,388534.0
33340,"Milwaukee-Waukesha-West Allis, WI",2008,382092.0,310514.0,327083.0,12017.0,6371.0,41629.0,16149.0,12703.0,406462500.0,11620.0,372408800.0,15082.0,351816500.0,12516.0,10108.0,190128900.0,6298.0,133350700.0,11913.0,190128900.0,81.26681532196434,85.6032055107147,3.145054070747359,1.6673994744721166,10.89502004752782,32048.95008605852,25169.515140256364,23326.912876276358,16149.0,78.6612174128429,21173.499523658305,15190.867689357623,15959.783429866533,12516.0,80.76062639821029,382092.0
33340,"Milwaukee-Waukesha-West Allis, WI",2021,299149.0,233166.0,244963.0,13143.0,8840.0,76329.0,10753.0,8094.0,313769900.0,5172.0,198846500.0,9502.0,270036500.0,14045.0,10247.0,356419500.0,7226.0,309711800.0,13487.0,337446900.0,77.94309858966602,81.88661837412126,4.393462789446062,2.9550491561061545,25.515378624030166,38446.732405259085,29179.754487119873,28418.91180804041,10753.0,75.27201711150377,42860.75283697758,25376.96689213243,25020.160154222584,14045.0,72.95834816660734,299149.0
33340,"Milwaukee-Waukesha-West Allis, WI",2024,282945.0,222225.0,236302.0,14093.0,6866.0,68588.0,6749.0,5919.0,362753900.0,5361.0,346306000.0,5545.0,277003900.0,20652.0,12521.0,608467600.0,9099.0,472091600.0,18381.0,459273600.0,78.53999893972326,83.51517079291028,4.98082666242556,2.4266200144904486,24.240753503331035,64597.27662749487,53749.28137501852,49955.6176735798,6749.0,87.70188176026078,51883.89932959666,29462.88979275615,24986.322833360537,20652.0,60.628510555878364,282945.0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2005,771240.7727,627873.0067,665379.0551,15123.2041,19627.8087,0.0,20806.6201,17563.97,417361491.74,118.0,590000.0,19008.390199999998,341411529.59,14671.2331,12657.0418,238900024.61,0.0,0.0,14045.1844,233977963.11,81.41076417704285,86.273843221567,1.9608927115012214,2.5449651256488868,0.0,5000.0,20059.072051784133,17961.096442033268,20806.6201,84.4152962642885,,16283.568189643174,16658.945617688012,14671.2331,86.27115194563982,771240.7727
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2008,741379.6967,624140.2937,657390.3608,12990.4658,20028.6589,44519.0546,17877.1909,14201.4621,364321935.29,9881.3255,287205621.92,16042.1909,333160235.29,19012.836,13245.8169,323755647.62,10650.8169,246994047.62,17559.836,252915047.62,84.18632132470698,88.6712117591229,1.752201450595781,2.701538629820964,6.0048926074131055,29065.495506650397,20379.148901408218,20767.75157251121,17877.1909,79.43900235467082,23190.15057145523,17028.2669886807,14403.041555741182,19012.836,69.66775971769809,741379.6967
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021,598096.9752,483591.2696,519368.2052,18403.9601,22827.5858,70761.59820000001,9269.096,8034.1441,418158149.3,6174.7838,349539221.7,8290.5791,348912226.8,14694.6839,12174.713,393299940.66,7286.1050000000005,283436602.74,12982.4553,325242540.66,80.85499336262151,86.836788470018,3.077086302575904,3.816703101092694,11.831124572455455,56607.523926586706,45113.15335389773,42085.38662878206,9269.096,86.67667375545577,38900.97696094141,26764.777203543657,25052.467591396216,14694.6839,82.85113911160757,598096.9752
