design,window,outcome,treat,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
1,2000-2007,ssi_rate,all foreign-born,published-ACS,6951805.0,Z-ON-BASELINE-LEVEL (exogeneity test),333,0.16723879675062028,0.04405133019804935,0.08089977609136188,0.25357781740987867,21.46081427573373
1-levelctl,2000-2007,ssi_rate,all foreign-born,published-ACS,6951805.0,OLS+ctl,333,-0.16643576658431428,0.025559985910720416,-0.21653241841467752,-0.11633911475395105,
1-levelctl,2000-2007,ssi_rate,all foreign-born,published-ACS,6951805.0,first-stage,333,0.24948621747897562,0.04546578750315039,0.16037491144404958,0.33859752351390165,30.11089619174258
1-levelctl,2000-2007,ssi_rate,all foreign-born,published-ACS,6951805.0,reduced-form+ctl,333,-0.07312858139563823,0.017531238930866062,-0.10748917830450219,-0.038767984486774265,30.11089619174258
1-levelctl,2000-2007,ssi_rate,all foreign-born,published-ACS,6951805.0,IV+ctl,333,-0.29311671856903665,0.0992576677152668,-0.48765817248040366,-0.09857526465766966,30.11089619174258
1,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,OLS,333,-0.01565101122836994,0.09491301537147402,-0.20167710302055558,0.17037508056381567,
1,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,first-stage,333,0.1919437942980703,0.041433438620093445,0.11073574684703619,0.2731518417491044,21.46081427573373
1,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,reduced-form,333,-0.23537012306994357,0.03671238419851637,-0.307325073885633,-0.16341517225425412,21.46081427573373
1,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,IV,333,-1.226245026210302,0.33742706497512337,-1.8875899209706004,-0.5649001314500034,21.46081427573373
1,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,Z-ON-BASELINE-LEVEL (exogeneity test),333,0.2550525223464391,0.06449337012237684,0.12864783966496893,0.38145720502790925,21.46081427573373
1-levelctl,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,OLS+ctl,333,-0.11849791223881209,0.04482107592754974,-0.2063456068051448,-0.0306502176724794,
1-levelctl,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,first-stage,333,0.28012651252657095,0.05893507462031409,0.16461588884457473,0.39563713620856716,22.592315978327417
1-levelctl,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,reduced-form+ctl,333,-0.13667095033474122,0.02650514880310208,-0.18862008739369623,-0.08472181327578622,22.592315978327417
1-levelctl,2000-2007,pa_rate,all foreign-born,published-ACS,6951805.0,IV+ctl,333,-0.4878900933083852,0.16120258803740686,-0.80384136007635,-0.17193882654042036,22.592315978327417
1,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,OLS,42,-0.13886624983517876,0.07496298787546475,-0.2857910062446024,0.008058506574244895,
1,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,first-stage,42,0.3718544100297396,0.09810039257223824,0.17958117371891205,0.5641276463405672,14.36826674959167
1,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,reduced-form,42,-0.10626114730674985,0.049850600620498745,-0.20396652913061747,-0.008555765482882241,14.36826674959167
1,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,IV,42,-0.285760083625878,0.16088215997406227,-0.6010833229300515,0.029563155678295483,14.36826674959167
1,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,Z-ON-BASELINE-LEVEL (exogeneity test),42,-0.03871943304552106,0.18493199253208178,-0.4011794779976316,0.3237406119065895,14.36826674959167
1-levelctl,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,OLS+ctl,42,-0.15670561406775219,0.07186739406106701,-0.2975631180901913,-0.015848110045313057,
1-levelctl,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,first-stage,42,0.36897060042958163,0.1051164996198464,0.16294604699376442,0.5749951538653988,12.320880490050042
1-levelctl,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,reduced-form+ctl,42,-0.1085032062902928,0.048929543485958266,-0.2044033493027574,-0.012603063277828189,12.320880490050042
1-levelctl,2000-2007,ssi_rate,Mexico-born,published-ACS,2561050.0,IV+ctl,42,-0.29407005914283024,0.16773133506884422,-0.622817434956585,0.03467731667092455,12.320880490050042
1,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,OLS,42,-0.12832208723074498,0.24622001960309253,-0.6109044579255525,0.35426028346406246,
1,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,first-stage,42,0.3718544100297396,0.09810039257223824,0.17958117371891205,0.5641276463405672,14.36826674959167
1,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,reduced-form,42,-0.11008354496481149,0.12400905819621931,-0.35313683278613295,0.13296974285650995,14.36826674959167
