period,ysm,adult_arrival_ages,educ,n,n_inst,rate,rate_se,ratio_age_us_all,ratio_age_us_all_se,ratio_age_educ_us_all,ratio_age_educ_us_all_se,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_age_educ_us_nhw,ratio_age_educ_us_nhw_se,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_age_educ_us_mexorig,ratio_age_educ_us_mexorig_se
2006-2010,11-15,33-40,all,9500,229,0.0141502,0.00101372,0.451487,0.0323259,0.167672,0.0119735,0.874263,0.0625714,0.308423,0.0219581,0.305025,0.021847,0.171628,0.0122919
2006-2010,11-15,33-40,lt12,5250,134,0.0147481,0.00147644,0.469568,0.0469443,0.121049,0.0121226,0.909732,0.09091,0.2257,0.0225811,0.317941,0.0316924,0.128497,0.0128809
2006-2010,11-15,33-40,g12,3131,77,0.0149066,0.00218182,0.474985,0.0695088,0.323986,0.0474638,0.92155,0.134732,0.563273,0.0823209,0.319879,0.04698,0.30225,0.0446066
2006-2010,11-15,33-40,col,1119,18,0.00900138,0.00223618,0.291385,0.0723946,0.754916,0.187868,0.559622,0.139214,1.35541,0.337645,0.196551,0.0488631,0.453309,0.113278
2006-2010,11-15,33-40,g12+,4250,95,0.0133983,0.00161014,0.42864,0.0515184,0.359168,0.043078,0.829495,0.0997361,0.626057,0.074966,0.288786,0.0348974,0.320581,0.038866
2011-2015,0-5,23-40,all,9189,881,0.0391634,0.00193137,1.16051,0.0572544,0.443248,0.0224507,2.21139,0.10885,0.809047,0.0406098,0.872275,0.0433544,0.484596,0.0245619
2011-2015,0-5,23-40,lt12,4464,545,0.0507108,0.00272429,1.50165,0.0812318,0.348776,0.0187349,2.86796,0.154517,0.661221,0.0352116,1.12432,0.0613489,0.391926,0.0211581
2011-2015,0-5,23-40,g12,3077,250,0.0315667,0.00302357,0.937991,0.089641,0.640058,0.0610452,1.78693,0.170858,1.02407,0.0976475,0.708496,0.0678484,0.685759,0.0654442
2011-2015,0-5,23-40,col,1648,86,0.0232188,0.00327076,0.685532,0.0969535,1.84126,0.259731,1.299,0.183314,3.18032,0.447261,0.515623,0.0733208,1.19691,0.170399
2011-2015,0-5,23-40,g12+,4725,336,0.0287807,0.00227611,0.853375,0.067358,0.77644,0.0620643,1.62281,0.128031,1.25276,0.0999955,0.64367,0.0511568,0.774854,0.0622795
2011-2015,6-10,28-40,all,11132,472,0.0173657,0.00138593,0.503299,0.0402083,0.19015,0.0153148,0.955855,0.0764051,0.346304,0.027872,0.367297,0.0292971,0.207541,0.0166631
2011-2015,6-10,28-40,lt12,5781,292,0.0206293,0.00211263,0.597665,0.0612869,0.149947,0.0153521,1.13581,0.116502,0.282178,0.0289214,0.434623,0.0446459,0.168934,0.0172684
2011-2015,6-10,28-40,g12,3885,120,0.0125233,0.00157184,0.361416,0.0453628,0.239024,0.0299925,0.685385,0.0859944,0.389811,0.0488533,0.265587,0.0332935,0.249085,0.0311891
2011-2015,6-10,28-40,col,1466,60,0.0178439,0.00272058,0.524306,0.0802076,1.31968,0.201408,0.997327,0.152514,2.29067,0.348695,0.380587,0.0582086,0.812547,0.12507
2011-2015,6-10,28-40,g12+,5351,180,0.0139058,0.00139111,0.40318,0.0403363,0.328795,0.0330207,0.765183,0.0764761,0.538919,0.054052,0.295342,0.0294289,0.323996,0.0322926
2011-2015,11-15,33-40,all,12079,405,0.0139188,0.00100961,0.416628,0.0301189,0.158131,0.011593,0.793257,0.0573333,0.290655,0.0212402,0.28508,0.0206087,0.160855,0.0117818
2011-2015,11-15,33-40,lt12,6616,244,0.015091,0.00137652,0.452489,0.0412167,0.11915,0.0108548,0.861208,0.0783397,0.22474,0.020357,0.30979,0.0283655,0.124831,0.0114355
2011-2015,11-15,33-40,g12,4089,126,0.0131722,0.00163764,0.39183,0.0485346,0.257137,0.0319044,0.746746,0.0925386,0.431129,0.0534678,0.267547,0.032996,0.249635,0.0307873
2011-2015,11-15,33-40,col,1374,35,0.0105744,0.00221647,0.31985,0.0670242,0.761568,0.1596,0.608375,0.127459,1.33155,0.279143,0.219675,0.0461983,0.446654,0.0943412
2011-2015,11-15,33-40,g12+,5463,161,0.0125165,0.0014181,0.373886,0.0422825,0.299434,0.0340584,0.712201,0.0805336,0.50378,0.0572209,0.255665,0.0287908,0.275557,0.03116
2016-2019,0-5,23-40,all,6804,580,0.0370735,0.00199386,1.1889,0.0639374,0.458396,0.0244441,2.11491,0.113655,0.765165,0.0410367,0.980906,0.0530563,0.530639,0.0287044
2016-2019,0-5,23-40,lt12,2870,353,0.0519554,0.00383403,1.65866,0.122033,0.356909,0.0261864,2.94025,0.216661,0.613919,0.0453457,1.35588,0.101351,0.420138,0.0314125
2016-2019,0-5,23-40,g12,2305,181,0.0342581,0.00356146,1.10992,0.115467,0.714003,0.074199,1.99156,0.206892,1.07758,0.112074,0.925328,0.0963925,0.866508,0.090194
2016-2019,0-5,23-40,col,1629,46,0.0136215,0.00250623,0.433524,0.0797099,1.1789,0.216109,0.765965,0.140648,1.96166,0.359633,0.358139,0.0658031,0.805152,0.147707
2016-2019,0-5,23-40,g12+,3934,227,0.0262577,0.00235692,0.844824,0.0758524,0.775508,0.0713727,1.50671,0.135245,1.18498,0.109502,0.7018,0.0630117,0.853428,0.0778465
2016-2019,6-10,28-40,all,4577,169,0.0169683,0.00197411,0.519493,0.0604338,0.19451,0.0228479,0.894706,0.104175,0.311086,0.0365684,0.423193,0.0490835,0.232518,0.0272385
2016-2019,6-10,28-40,lt12,2066,97,0.018072,0.0023052,0.552119,0.0704958,0.128363,0.016457,0.951089,0.12174,0.210088,0.0269688,0.447017,0.0567577,0.155886,0.0198548
2016-2019,6-10,28-40,g12,1741,66,0.020578,0.00367625,0.631091,0.112809,0.394111,0.0705196,1.087,0.194186,0.585507,0.104684,0.519017,0.0928495,0.487977,0.0875412
2016-2019,6-10,28-40,col,770,6,0.00498048,0.00270743,0.152803,0.083128,0.387351,0.210592,0.262956,0.143017,0.625002,0.339082,0.123921,0.0675269,0.250668,0.136529
2016-2019,6-10,28-40,g12+,2511,72,0.0160088,0.00268143,0.49102,0.0822683,0.393485,0.0659076,0.845519,0.141573,0.588899,0.0985605,0.402161,0.0674731,0.449219,0.0753919
2016-2019,11-15,33-40,all,5787,195,0.0134593,0.00113218,0.408385,0.0344313,0.15715,0.013543,0.701447,0.0591977,0.248371,0.0213871,0.312851,0.0264883,0.182551,0.0158113
2016-2019,11-15,33-40,lt12,2829,97,0.0124258,0.0015766,0.377476,0.0479615,0.097074,0.0123323,0.650282,0.0826365,0.155909,0.0197833,0.288221,0.0366014,0.115524,0.0146922
2016-2019,11-15,33-40,g12,2151,75,0.015024,0.00215419,0.454109,0.0651279,0.278608,0.0399688,0.777396,0.111663,0.417586,0.0600039,0.350336,0.050444,0.326739,0.0470483
2016-2019,11-15,33-40,col,807,23,0.0130193,0.00343035,0.397517,0.104662,0.96275,0.253862,0.681477,0.179223,1.57263,0.413567,0.302366,0.079572,0.570231,0.149913
2016-2019,11-15,33-40,g12+,2958,98,0.0144939,0.00175692,0.439255,0.0532511,0.335185,0.0404006,0.752246,0.0911669,0.505835,0.0609464,0.337613,0.0411942,0.363621,0.0441661
2021-2024,0-5,23-40,all,9321,429,0.0188599,0.00115014,0.76044,0.0464185,0.265429,0.0166574,1.41079,0.0863942,0.456793,0.0286043,0.741727,0.0453632,0.346904,0.0217361
2021-2024,0-5,23-40,lt12,3366,205,0.0236368,0.00227258,0.947224,0.0904355,0.159365,0.0153782,1.74875,0.166812,0.281794,0.0271675,0.926537,0.0883286,0.207732,0.020109
2021-2024,0-5,23-40,g12,3497,190,0.0233655,0.00210312,0.961747,0.086954,0.58068,0.0525485,1.80334,0.164001,0.908635,0.0827701,0.946586,0.0852182,0.861982,0.0770762
2021-2024,0-5,23-40,col,2458,34,0.00575689,0.00133561,0.227388,0.0524677,0.709372,0.163668,0.418561,0.0962699,1.26269,0.29033,0.218244,0.0503402,0.519536,0.119983
2021-2024,0-5,23-40,g12+,5955,224,0.0161397,0.00148622,0.653045,0.0600943,0.59652,0.0561513,1.21498,0.111917,0.947523,0.0897158,0.635941,0.0583293,0.786137,0.0725307
2021-2024,6-10,28-40,all,4131,165,0.0155547,0.0019221,0.556,0.0686209,0.202444,0.0251265,0.986167,0.121559,0.333225,0.041527,0.536686,0.0662623,0.273645,0.0338993
2021-2024,6-10,28-40,lt12,1455,93,0.0231806,0.00298877,0.828808,0.106698,0.150036,0.0193548,1.46934,0.18869,0.256388,0.033142,0.798733,0.103047,0.204477,0.0265586
2021-2024,6-10,28-40,g12,1603,55,0.0145214,0.00366399,0.518251,0.130716,0.301098,0.0759441,0.920488,0.232094,0.444497,0.111997,0.503177,0.126557,0.441093,0.111154
2021-2024,6-10,28-40,col,1073,17,0.00622218,0.00184175,0.222863,0.0659706,0.655406,0.193406,0.394716,0.116555,1.12197,0.330067,0.213701,0.0635494,0.494329,0.146952
2021-2024,6-10,28-40,g12+,2676,72,0.0112439,0.00224529,0.401851,0.080313,0.341436,0.0681729,0.712947,0.142196,0.51207,0.102129,0.388244,0.0775342,0.451725,0.0901951
2021-2024,11-15,33-40,all,3174,118,0.0137373,0.00153815,0.475666,0.0532396,0.158105,0.0179336,0.813307,0.0911276,0.250857,0.0285112,0.451091,0.0503388,0.217675,0.0246145
2021-2024,11-15,33-40,lt12,1306,47,0.0139845,0.00227266,0.483094,0.0782663,0.0913986,0.0148384,0.825298,0.133923,0.150804,0.0246214,0.463421,0.0751423,0.126469,0.0205948
2021-2024,11-15,33-40,g12,1344,62,0.0159714,0.0024028,0.552844,0.0829437,0.31752,0.0477441,0.948114,0.142204,0.451318,0.0678246,0.520945,0.0782991,0.457931,0.0691824
2021-2024,11-15,33-40,col,524,9,0.00697582,0.00245846,0.243288,0.0858234,0.669741,0.237206,0.41352,0.145883,1.09506,0.388223,0.227735,0.0804118,0.513703,0.182696
2021-2024,11-15,33-40,g12+,1868,71,0.0135605,0.00190947,0.470334,0.0661582,0.342343,0.0485472,0.804686,0.113168,0.491124,0.069657,0.442411,0.0620825,0.46489,0.0660024
