year,ysm,adult_arrival_ages,educ,n,n_inst,rate,rate_se,ratio_age_us_all,ratio_age_us_all_se,ratio_age_educ_us_all,ratio_age_educ_us_all_se,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_age_educ_us_nhw,ratio_age_educ_us_nhw_se,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_age_educ_us_mexorig,ratio_age_educ_us_mexorig_se
2000,0-5,23-40,g12,8391,43,0.00443286,0.000715628,0.117277,0.0190001,0.0979936,0.015815,0.247062,0.0402488,0.185238,0.0299765,0.0649951,0.0106032,0.0598248,0.00975186
2000,0-5,23-40,col,2755,17,0.00600173,0.00180666,0.162569,0.0487991,0.631617,0.192444,0.339983,0.10229,1.07434,0.327476,0.0869356,0.02634,0.320292,0.103296
2000,0-5,23-40,g12+,11146,60,0.00482971,0.000688232,0.128533,0.0183006,0.133427,0.0189243,0.270282,0.0387511,0.250367,0.0356368,0.0705955,0.010246,0.0803688,0.011542
2000,6-10,28-40,all,13488,87,0.00553201,0.000655353,0.157795,0.0188051,0.0585804,0.00702293,0.323169,0.0389067,0.117697,0.0144017,0.0785872,0.00955218,0.0486259,0.0061582
2000,6-10,28-40,lt12,8142,53,0.00611689,0.000931186,0.174621,0.0265829,0.0452625,0.00684641,0.357579,0.0543606,0.0923883,0.01415,0.0869365,0.0135909,0.0409012,0.00664289
2000,6-10,28-40,g12,3940,29,0.00544093,0.00101215,0.154167,0.0289795,0.12543,0.0236494,0.31705,0.0605235,0.232359,0.0445217,0.0771059,0.014242,0.0721028,0.0138782
2000,6-10,28-40,col,1406,5,0.00255721,0.00116087,0.0739662,0.0335795,0.248335,0.113233,0.149864,0.0680616,0.431725,0.19649,0.0364777,0.0166017,0.11771,0.0550349
2000,6-10,28-40,g12+,5346,34,0.00467165,0.000816715,0.133094,0.0234784,0.135201,0.0239185,0.272637,0.048859,0.249161,0.0449223,0.0663196,0.0115748,0.0764269,0.0136837
2000,11-15,33-40,all,11566,54,0.0043077,0.000613047,0.131104,0.0186603,0.0513052,0.00723431,0.256864,0.0363587,0.100425,0.0144879,0.0607758,0.00896756,0.0372594,0.00542741
2000,11-15,33-40,lt12,6866,35,0.00452172,0.000803428,0.13762,0.0244517,0.0370068,0.00658776,0.269601,0.0478546,0.0737875,0.0136659,0.0637216,0.0116649,0.0283777,0.00521788
2000,11-15,33-40,g12,3204,17,0.00550164,0.00136918,0.166457,0.0413637,0.143441,0.0358256,0.327332,0.0810277,0.253776,0.0632809,0.0771877,0.0192274,0.0837241,0.0213049
2000,11-15,33-40,col,1496,2,0.000881459,0.000678978,0.0271599,0.020926,0.0789123,0.0607148,0.0528268,0.0407248,0.138151,0.106494,0.0126483,0.00976786,0.0319249,0.0248032
2000,11-15,33-40,g12+,4700,19,0.00400296,0.000940032,0.121827,0.0286089,0.135525,0.031831,0.238725,0.0558334,0.23946,0.0561283,0.0565696,0.0133661,0.0750287,0.0179558
