staag6,name_de,name_en,pop_2025,pop_2024,male_2025,male_18_39_2025
ST157,Schweden,Sweden,29240,27840,14715,4920
ST431,Sri Lanka,Sri Lanka,28635,27880,14400,5015
ST997,Staatenlos,Stateless,28365,28800,16045,6090
ST140,Montenegro (ab 03.06.2006),Montenegro (since 2006-06-03),28265,28380,15715,6010
ST221,Algerien,Algeria,27005,25850,17280,9330
ST261,Guinea,Guinea,26955,26190,18420,12895
ST460,Bangladesch,Bangladesh,26620,24280,17260,11675
ST131,Slowenien,Slovenia,26335,26945,13595,3740
ST169,Belarus,Belarus,26300,28360,9125,3800
ST143,Luxemburg,Luxembourg,25935,25365,13135,5770
ST353,Mexiko,Mexico,24165,23940,10665,7485
ST225,Äthiopien,Ethiopia,23875,23860,12175,5455
ST135,Irland,Ireland,20400,20030,12180,4870
ST348,Kanada,Canada,19715,19970,9645,3965
ST126,Dänemark,Denmark,18740,19360,8980,2590
ST367,"Venezuela, Bolivarische Republik","Venezuela, Bolivarian Republic of",18150,17090,8635,4870
ST138,"Jugoslawien, Bundesrep. (27.04.1992-04.02.2003)","Yugoslavia, Federal Rep.(1992-04-27 to 2003-02-04)",18140,20675,9875,1430
ST445,Jordanien,Jordan,18105,18005,10940,6960
ST237,Gambia,Gambia,16615,16555,13085,9220
ST477,Usbekistan,Uzbekistan,16495,14240,9120,5975
ST243,Kenia,Kenya,16340,15085,5580,3060
ST248,Libyen,Libya,15425,16065,9915,4195
ST441,Israel,Israel,14665,14610,8650,4180
ST128,Finnland,Finland,14185,14290,4995,1840
ST361,Peru,Peru,13945,13820,5135,2680
ST132,Serbien und Montenegro (05.02.2003-02.06.2006),Serbia and Montenegro (2003-02-05 to 2006-06-02),13760,16010,7400,1330
ST523,Australien,Australia,13415,13795,7450,3350
ST450,Kirgisistan,Kyrgyzstan,13120,12305,5150,2785
ST332,Chile,Chile,12615,12090,6265,3590
ST277,Sudan (ohne Südsudan) (ab 09.07.2011),Sudan (without South Sudan) (since 2011-07-09),12605,12030,7975,4550
ST470,Tadschikistan,Tajikistan,12585,12135,7150,4440
ST283,Togo,Togo,12450,12115,6605,3155
ST458,Nepal,Nepal,12330,11275,6470,4775
ST421,Jemen,Yemen,12220,12980,7995,5510
ST465,Taiwan,Taiwan,10795,10770,3560,2290
ST246,"Kongo, Demokratische Republik","Congo, The Democratic Republic of the",10605,10255,5320,2130
ST323,Argentinien,Argentina,10220,10090,4890,3120
ST231,Cote d'Ivoire,Cote d'Ivoire,10030,9970,5700,3050
ST263,Südafrika,South Africa,9895,9895,4700,2155
ST133,Serbien (einschl. Kosovo) (03.06.2006-16.02.2008),Serbia (incl. Kosovo) (2006-06-03 to 2008-02-16),8940,9890,4650,1395
ST457,Mongolei,Mongolia,8900,8585,3115,1595
ST351,Kuba,Cuba,8830,9190,4000,1405
ST249,Madagaskar,Madagascar,8465,6870,2375,2055
ST336,Ecuador,Ecuador,7880,7420,3460,2400
ST482,Malaysia,Malaysia,7545,7490,3620,2400
ST459,Palästinensische Gebiete,Palestinian Territories,7510,7460,5085,3445
ST127,Estland,Estonia,7290,7370,2810,1270
ST149,Norwegen,Norway,7135,7075,3450,1255
ST223,Angola,Angola,7065,6650,3540,1315
ST335,Dominikanische Republik,Dominican Republic,6425,6555,2400,1235
ST286,Uganda,Uganda,6215,5490,2505,1670
ST269,Senegal,Senegal,6190,6275,3935,1900
ST272,Sierra Leone,Sierra Leone,5640,5605,3595,1985
ST229,Benin,Benin,5535,5265,3600,1965
ST233,Simbabwe,Zimbabwe,4980,4625,1885,1190
ST265,Ruanda,Rwanda,4770,4005,2455,1750
ST427,Myanmar,Myanmar,4070,3345,2125,1305
ST471,Turkmenistan,Turkmenistan,3950,3850,2310,1625
ST282,Tansania,Tanzania,3800,3425,1925,1130
ST472,Saudi-Arabien,Saudi Arabia,3635,3940,2115,885
ST536,Neuseeland,New Zealand,3430,3495,2050,1035
ST251,Mali,Mali,3415,3445,2635,1865
ST181,Zypern,Cyprus,3140,3110,1590,915
ST258,Burkina Faso,Burkina Faso,3120,2960,2005,1045
ST474,Singapur,Singapore,3090,2990,1035,575
ST159,Sowjetunion (bis 25.12.1991),Soviet Union (until 1991-12-25),2815,3175,1195,110
ST347,Honduras,Honduras,2775,2645,1250,980
ST326,"Bolivien, Plurinationaler Staat","Bolivia, Plurinational State",2595,2510,1050,685
ST337,El Salvador,El Salvador,2525,2505,1185,870
ST291,Burundi,Burundi,2495,2455,1540,1085
ST254,Mosambik,Mozambique,2290,2235,1345,340
ST448,Kuwait,Kuwait,2260,2470,1355,400
ST469,Vereinigte Arabische Emirate,United Arab Emirates,2235,2355,1245,390
ST334,Costa Rica,Costa Rica,2085,2070,985,680
ST245,"Kongo, Republik","Congo, Republic of the",1960,1920,1030,510
ST253,Mauritius,Mauritius,1910,1890,870,600
ST247,Liberia,Liberia,1890,1820,1215,690
ST359,Paraguay,Paraguay,1890,1855,615,405
ST278,Südsudan (ab 09.07.2011),South Sudan (since 2011-07-09),1800,1495,940,540
ST267,Namibia,Namibia,1785,1570,555,340
ST162,Tschechoslowakei (bis 31.12.1992),Czechoslovakia (until 1992-12-31),1725,1990,845,45
ST354,Nicaragua,Nicaragua,1695,1660,830,500
ST259,Guinea-Bissau,Guinea-Bissau,1605,1620,1035,670
ST411,Hongkong,Hong Kong,1510,1495,620,415
ST136,Island,Iceland,1475,1525,805,280
ST255,Niger,Niger,1430,1375,1040,475
ST345,Guatemala,Guatemala,1360,1305,590,430
ST355,Jamaika,Jamaica,1335,1365,725,280
ST446,Kambodscha,Cambodia,1320,1290,400,200
ST447,Katar,Qatar,1260,1285,775,315
ST239,Mauretanien,Mauritania,980,920,735,480
ST365,Uruguay,Uruguay,965,970,440,270
ST145,Malta,Malta,960,930,480,190
ST449,"Laos, Demokratische Volksrepublik",Lao People's Democratic Republic,895,910,240,100
ST257,Sambia,Zambia,885,825,285,180
ST284,Tschad,Chad,780,780,585,340
ST357,Panama,Panama,745,745,305,175
ST346,Haiti,Haiti,615,620,295,150
ST236,Gabun,Gabon,520,530,275,155
ST424,Bahrain,Bahrain,515,540,240,155
ST185,Britische Überseegebiete,British Overseas Territories,505,560,230,75
ST371,Trinidad und Tobago,Trinidad and Tobago,470,505,205,85
ST256,Malawi,Malawi,455,385,185,115
ST456,Oman,Oman,455,465,265,180
ST276,Sudan (einschließlich Südsudan) (bis 08.07.2011),Sudan (including South Sudan) (until 2011-07-08),415,485,280,80
ST242,Cabo Verde,Cabo Verde,350,335,190,85
ST434,"Korea, Demokratische Volksrepublik","Korea, Democratic People's Republic",350,370,170,55
ST333,Dominica,Dominica,345,335,170,65
ST230,Dschibuti,Djibouti,265,280,100,50
ST141,Liechtenstein,Liechtenstein,260,260,80,30
ST289,Zentralafrikanische Republik,Central African Republic,195,205,105,80
ST227,Botsuana,Botswana,195,205,60,55
ST271,Seychellen,Seychelles,165,175,40,15
ST426,Bhutan,Bhutan,165,150,65,30
ST274,Äquatorialguinea,Equatorial Guinea,145,150,40,25
ST370,St. Kitts und Nevis,Saint Kitts and Nevis,135,80,80,60
ST322,Barbados,Barbados,130,130,55,0
ST454,Malediven,Maldives,95,90,45,35
ST366,St. Lucia,Saint Lucia,90,100,35,15
ST526,Fidschi,Fiji,75,80,35,5
ST281,Eswatini,Eswatini,55,55,15,10
ST340,Grenada,Grenada,50,50,20,5
ST324,Bahamas,Bahamas,35,25,15,5
ST226,Lesotho,Lesotho,35,15,5,5
ST244,Komoren,Comoros,25,30,5,0
ST429,Brunei Darussalam,Brunei Darussalam,25,20,5,5
ST412,Macau,Macau,25,25,10,10
ST369,St. Vincent und die Grenadinen,Saint Vincent and the Grenadines,20,25,10,5
ST328,Guyana,Guyana,20,25,5,5
ST330,Belize,Belize,20,25,10,0
ST538,Papua-Neuguinea,Papua New Guinea,20,10,0,0
ST268,Sao Tome und Principe,Sao Tome and Principe,15,20,0,0
ST320,Antigua und Barbuda,Antigua and Barbuda,15,15,10,10
ST543,Samoa,Samoa,10,10,0,0
ST364,Suriname,Suriname,5,15,5,5
ST123,Andorra,Andorra,5,5,0,0
ST530,Kiribati,Kiribati,5,5,5,0
ST167,Vatikanstadt,Vatican City State,0,0,0,0
ST156,San Marino,San Marino,0,5,0,0
ST120,"Jugoslawien, Soz. Föd. Republik (bis 26.04.1992)","Yugoslavia, Socialist Federal Rep. (u. 1992-04-26)",0,0,0,0
ST483,Timor-Leste,Timor-Leste,0,5,0,0
ST147,Monaco,Monaco,0,0,0,0
ST524,Salomonen,Solomon Islands,0,0,0,0
ST540,Tuvalu,Tuvalu,0,0,0,0
ST541,Tonga,Tonga,0,0,0,0
ST544,Marshallinseln,Marshall Islands,0,0,0,0
ST545,"Mikronesien, Föderierte Staaten von","Micronesia, Federated States of",0,0,0,0
ST537,Palau,Palau,0,0,0,0
ST531,Nauru,Nauru,0,0,0,0
ST532,Vanuatu,Vanuatu,0,0,0,0
