iccs,iccs_label,geo,geo_label,year,rate_per_100k
ICCS03011,Rape,DK,Denmark,2017,31.36
ICCS03011,Rape,DK,Denmark,2018,38.35
ICCS03011,Rape,DK,Denmark,2019,35.33
ICCS03011,Rape,DK,Denmark,2020,37.35
ICCS03011,Rape,DK,Denmark,2021,45.51
ICCS03011,Rape,DK,Denmark,2022,48.2
ICCS03011,Rape,DK,Denmark,2023,40.03
ICCS03011,Rape,DK,Denmark,2024,38.83
ICCS03011,Rape,DE,Germany,2008,8.87
ICCS03011,Rape,DE,Germany,2009,8.92
ICCS03011,Rape,DE,Germany,2010,9.44
ICCS03011,Rape,DE,Germany,2011,9.4
ICCS03011,Rape,DE,Germany,2012,10.0
ICCS03011,Rape,DE,Germany,2013,9.2
ICCS03011,Rape,DE,Germany,2014,9.09
ICCS03011,Rape,DE,Germany,2015,8.65
ICCS03011,Rape,DE,Germany,2016,9.64
ICCS03011,Rape,DE,Germany,2017,10.07
ICCS03011,Rape,DE,Germany,2018,10.91
ICCS03011,Rape,DE,Germany,2019,11.53
ICCS03011,Rape,DE,Germany,2020,12.17
ICCS03011,Rape,DE,Germany,2021,12.52
ICCS03011,Rape,DE,Germany,2022,15.09
ICCS03011,Rape,DE,Germany,2023,15.77
ICCS03011,Rape,DE,Germany,2024,17.09
ICCS03011,Rape,IE,Ireland,2008,7.42
ICCS03011,Rape,IE,Ireland,2009,8.05
ICCS03011,Rape,IE,Ireland,2010,10.28
ICCS03011,Rape,IE,Ireland,2011,9.75
ICCS03011,Rape,IE,Ireland,2012,9.97
ICCS03011,Rape,IE,Ireland,2013,8.52
ICCS03011,Rape,IE,Ireland,2014,10.35
ICCS03011,Rape,IE,Ireland,2015,14.24
ICCS03011,Rape,IE,Ireland,2016,14.73
ICCS03011,Rape,IE,Ireland,2017,17.54
ICCS03011,Rape,IE,Ireland,2018,21.32
ICCS03011,Rape,IE,Ireland,2019,21.72
ICCS03011,Rape,IE,Ireland,2020,20.87
ICCS03011,Rape,IE,Ireland,2021,22.05
ICCS03011,Rape,IE,Ireland,2022,21.57
ICCS03011,Rape,IE,Ireland,2023,19.39
ICCS03011,Rape,IE,Ireland,2024,19.43
ICCS03011,Rape,ES,Spain,2008,5.34
ICCS03011,Rape,ES,Spain,2009,4.44
ICCS03011,Rape,ES,Spain,2010,3.39
ICCS03011,Rape,ES,Spain,2011,3.24
ICCS03011,Rape,ES,Spain,2012,2.73
ICCS03011,Rape,ES,Spain,2013,2.78
ICCS03011,Rape,ES,Spain,2014,2.66
ICCS03011,Rape,ES,Spain,2015,2.65
ICCS03011,Rape,ES,Spain,2016,2.69
ICCS03011,Rape,ES,Spain,2017,2.98
ICCS03011,Rape,ES,Spain,2018,3.64
ICCS03011,Rape,ES,Spain,2019,3.99
ICCS03011,Rape,ES,Spain,2020,3.37
ICCS03011,Rape,ES,Spain,2021,4.52
ICCS03011,Rape,ES,Spain,2022,6.03
ICCS03011,Rape,ES,Spain,2023,10.17
ICCS03011,Rape,ES,Spain,2024,10.74
ICCS03011,Rape,FR,France,2008,16.06
ICCS03011,Rape,FR,France,2009,15.29
ICCS03011,Rape,FR,France,2010,15.63
ICCS03011,Rape,FR,France,2011,16.01
ICCS03011,Rape,FR,France,2012,16.68
ICCS03011,Rape,FR,France,2013,17.03
ICCS03011,Rape,FR,France,2014,18.44
ICCS03011,Rape,FR,France,2015,19.28
ICCS03011,Rape,FR,France,2016,22.52
ICCS03011,Rape,FR,France,2017,24.35
ICCS03011,Rape,FR,France,2018,28.58
ICCS03011,Rape,FR,France,2019,34.05
ICCS03011,Rape,FR,France,2020,37.95
ICCS03011,Rape,FR,France,2021,50.13
ICCS03011,Rape,FR,France,2022,55.98
ICCS03011,Rape,FR,France,2023,61.0
ICCS03011,Rape,FR,France,2024,65.95
ICCS03011,Rape,NL,Netherlands,2008,11.86
ICCS03011,Rape,NL,Netherlands,2009,11.65
ICCS03011,Rape,NL,Netherlands,2010,9.89
ICCS03011,Rape,NL,Netherlands,2011,9.4
ICCS03011,Rape,NL,Netherlands,2012,8.64
ICCS03011,Rape,NL,Netherlands,2013,7.42
ICCS03011,Rape,NL,Netherlands,2014,7.25
ICCS03011,Rape,NL,Netherlands,2015,7.48
ICCS03011,Rape,NL,Netherlands,2016,9.04
ICCS03011,Rape,NL,Netherlands,2017,10.3
ICCS03011,Rape,NL,Netherlands,2018,11.29
ICCS03011,Rape,NL,Netherlands,2019,11.89
ICCS03011,Rape,NL,Netherlands,2020,11.86
ICCS03011,Rape,NL,Netherlands,2021,13.76
ICCS03011,Rape,NL,Netherlands,2022,16.51
ICCS03011,Rape,NL,Netherlands,2023,13.78
ICCS03011,Rape,NL,Netherlands,2024,13.46
ICCS03011,Rape,AT,Austria,2008,8.34
ICCS03011,Rape,AT,Austria,2009,9.35
ICCS03011,Rape,AT,Austria,2010,14.62
ICCS03011,Rape,AT,Austria,2011,15.69
ICCS03011,Rape,AT,Austria,2012,14.94
ICCS03011,Rape,AT,Austria,2013,15.32
ICCS03011,Rape,AT,Austria,2014,13.68
ICCS03011,Rape,AT,Austria,2015,13.18
ICCS03011,Rape,AT,Austria,2016,14.17
ICCS03011,Rape,AT,Austria,2017,17.01
ICCS03011,Rape,AT,Austria,2018,18.88
ICCS03011,Rape,AT,Austria,2019,18.92
ICCS03011,Rape,AT,Austria,2020,18.92
ICCS03011,Rape,AT,Austria,2021,20.61
ICCS03011,Rape,AT,Austria,2022,22.89
ICCS03011,Rape,AT,Austria,2023,25.57
ICCS03011,Rape,AT,Austria,2024,26.29
ICCS03011,Rape,SE,Sweden,2008,53.37
ICCS03011,Rape,SE,Sweden,2009,58.91
ICCS03011,Rape,SE,Sweden,2010,58.66
ICCS03011,Rape,SE,Sweden,2011,64.35
ICCS03011,Rape,SE,Sweden,2012,62.73
ICCS03011,Rape,SE,Sweden,2013,58.96
ICCS03011,Rape,SE,Sweden,2014,65.26
ICCS03011,Rape,SE,Sweden,2015,56.88
ICCS03011,Rape,SE,Sweden,2016,64.06
ICCS03011,Rape,SE,Sweden,2017,69.72
ICCS03011,Rape,SE,Sweden,2018,74.85
ICCS03011,Rape,SE,Sweden,2019,80.85
ICCS03011,Rape,SE,Sweden,2020,86.02
ICCS03011,Rape,SE,Sweden,2021,89.74
ICCS03011,Rape,SE,Sweden,2022,86.38
ICCS03011,Rape,SE,Sweden,2023,84.66
ICCS03011,Rape,SE,Sweden,2024,88.22
ICCS03011,Rape,UKC-L,England and Wales,2008,23.98
ICCS03011,Rape,UKC-L,England and Wales,2009,27.39
ICCS03011,Rape,UKC-L,England and Wales,2010,28.65
ICCS03011,Rape,UKC-L,England and Wales,2011,28.67
ICCS03011,Rape,UKC-L,England and Wales,2012,29.05
ICCS03011,Rape,UKC-L,England and Wales,2013,36.56
ICCS03011,Rape,UKC-L,England and Wales,2014,51.4
ICCS03011,Rape,UKC-L,England and Wales,2015,62.28
ICCS03011,Rape,UKC-L,England and Wales,2016,71.59
ICCS03011,Rape,UKC-L,England and Wales,2017,92.29
ICCS03011,Rape,UKC-L,England and Wales,2018,99.48
ICCS03011,Rape,UKC-L,England and Wales,2019,
ICCS03011,Rape,UKC-L,England and Wales,2020,
ICCS03011,Rape,UKC-L,England and Wales,2021,
ICCS03011,Rape,UKC-L,England and Wales,2022,
ICCS03011,Rape,UKC-L,England and Wales,2023,
ICCS03011,Rape,UKC-L,England and Wales,2024,
ICCS03012,Sexual assault,DK,Denmark,2008,15.29
ICCS03012,Sexual assault,DK,Denmark,2009,14.39
ICCS03012,Sexual assault,DK,Denmark,2010,19.08
ICCS03012,Sexual assault,DK,Denmark,2011,18.22
ICCS03012,Sexual assault,DK,Denmark,2012,18.55
ICCS03012,Sexual assault,DK,Denmark,2013,17.92
ICCS03012,Sexual assault,DK,Denmark,2014,27.21
ICCS03012,Sexual assault,DK,Denmark,2015,27.56
ICCS03012,Sexual assault,DK,Denmark,2016,37.04
ICCS03012,Sexual assault,DK,Denmark,2017,52.05
ICCS03012,Sexual assault,DK,Denmark,2018,57.48
ICCS03012,Sexual assault,DK,Denmark,2019,48.98
ICCS03012,Sexual assault,DK,Denmark,2020,54.87
ICCS03012,Sexual assault,DK,Denmark,2021,63.1
ICCS03012,Sexual assault,DK,Denmark,2022,58.99
ICCS03012,Sexual assault,DK,Denmark,2023,74.01
ICCS03012,Sexual assault,DK,Denmark,2024,52.2
ICCS03012,Sexual assault,DE,Germany,2008,60.2
ICCS03012,Sexual assault,DE,Germany,2009,50.94
ICCS03012,Sexual assault,DE,Germany,2010,35.26
ICCS03012,Sexual assault,DE,Germany,2011,35.92
ICCS03012,Sexual assault,DE,Germany,2012,35.16
ICCS03012,Sexual assault,DE,Germany,2013,34.68
ICCS03012,Sexual assault,DE,Germany,2014,34.19
ICCS03012,Sexual assault,DE,Germany,2015,33.55
ICCS03012,Sexual assault,DE,Germany,2016,35.59
ICCS03012,Sexual assault,DE,Germany,2017,32.12
ICCS03012,Sexual assault,DE,Germany,2018,38.11
ICCS03012,Sexual assault,DE,Germany,2019,37.52
ICCS03012,Sexual assault,DE,Germany,2020,37.22
ICCS03012,Sexual assault,DE,Germany,2021,37.74
ICCS03012,Sexual assault,DE,Germany,2022,44.61
ICCS03012,Sexual assault,DE,Germany,2023,47.58
ICCS03012,Sexual assault,DE,Germany,2024,48.04
ICCS03012,Sexual assault,IE,Ireland,2008,19.49
ICCS03012,Sexual assault,IE,Ireland,2009,23.93
ICCS03012,Sexual assault,IE,Ireland,2010,36.59
ICCS03012,Sexual assault,IE,Ireland,2011,29.77
ICCS03012,Sexual assault,IE,Ireland,2012,30.06
ICCS03012,Sexual assault,IE,Ireland,2013,30.21
ICCS03012,Sexual assault,IE,Ireland,2014,29.84
ICCS03012,Sexual assault,IE,Ireland,2015,30.02
ICCS03012,Sexual assault,IE,Ireland,2016,32.44
ICCS03012,Sexual assault,IE,Ireland,2017,35.37
ICCS03012,Sexual assault,IE,Ireland,2018,36.77
ICCS03012,Sexual assault,IE,Ireland,2019,36.56
ICCS03012,Sexual assault,IE,Ireland,2020,31.5
ICCS03012,Sexual assault,IE,Ireland,2021,37.02
ICCS03012,Sexual assault,IE,Ireland,2022,40.39
ICCS03012,Sexual assault,IE,Ireland,2023,36.94
ICCS03012,Sexual assault,IE,Ireland,2024,42.9
ICCS03012,Sexual assault,ES,Spain,2008,18.5
ICCS03012,Sexual assault,ES,Spain,2009,16.59
ICCS03012,Sexual assault,ES,Spain,2010,18.02
ICCS03012,Sexual assault,ES,Spain,2011,17.95
ICCS03012,Sexual assault,ES,Spain,2012,16.51
ICCS03012,Sexual assault,ES,Spain,2013,16.32
ICCS03012,Sexual assault,ES,Spain,2014,17.69
ICCS03012,Sexual assault,ES,Spain,2015,13.49
ICCS03012,Sexual assault,ES,Spain,2016,16.1
ICCS03012,Sexual assault,ES,Spain,2017,17.36
ICCS03012,Sexual assault,ES,Spain,2018,21.24
ICCS03012,Sexual assault,ES,Spain,2019,23.77
ICCS03012,Sexual assault,ES,Spain,2020,20.1
ICCS03012,Sexual assault,ES,Spain,2021,25.82
ICCS03012,Sexual assault,ES,Spain,2022,28.27
ICCS03012,Sexual assault,ES,Spain,2023,28.05
ICCS03012,Sexual assault,ES,Spain,2024,29.69
ICCS03012,Sexual assault,FR,France,2008,21.49
ICCS03012,Sexual assault,FR,France,2009,20.84
ICCS03012,Sexual assault,FR,France,2010,19.88
ICCS03012,Sexual assault,FR,France,2011,20.72
ICCS03012,Sexual assault,FR,France,2012,24.35
ICCS03012,Sexual assault,FR,France,2013,25.32
ICCS03012,Sexual assault,FR,France,2014,28.51
ICCS03012,Sexual assault,FR,France,2015,30.78
ICCS03012,Sexual assault,FR,France,2016,31.7
ICCS03012,Sexual assault,FR,France,2017,35.05
ICCS03012,Sexual assault,FR,France,2018,42.89
ICCS03012,Sexual assault,FR,France,2019,48.16
ICCS03012,Sexual assault,FR,France,2020,45.69
ICCS03012,Sexual assault,FR,France,2021,59.53
ICCS03012,Sexual assault,FR,France,2022,66.43
ICCS03012,Sexual assault,FR,France,2023,70.25
ICCS03012,Sexual assault,FR,France,2024,74.8
ICCS03012,Sexual assault,NL,Netherlands,2008,52.12
ICCS03012,Sexual assault,NL,Netherlands,2009,50.5
ICCS03012,Sexual assault,NL,Netherlands,2010,14.96
ICCS03012,Sexual assault,NL,Netherlands,2011,13.06
ICCS03012,Sexual assault,NL,Netherlands,2012,12.37
ICCS03012,Sexual assault,NL,Netherlands,2013,11.62
ICCS03012,Sexual assault,NL,Netherlands,2014,10.78
ICCS03012,Sexual assault,NL,Netherlands,2015,10.12
ICCS03012,Sexual assault,NL,Netherlands,2016,13.05
ICCS03012,Sexual assault,NL,Netherlands,2017,12.88
ICCS03012,Sexual assault,NL,Netherlands,2018,13.82
ICCS03012,Sexual assault,NL,Netherlands,2019,12.99
ICCS03012,Sexual assault,NL,Netherlands,2020,11.23
ICCS03012,Sexual assault,NL,Netherlands,2021,12.96
ICCS03012,Sexual assault,NL,Netherlands,2022,17.03
ICCS03012,Sexual assault,NL,Netherlands,2023,14.37
ICCS03012,Sexual assault,NL,Netherlands,2024,10.67
ICCS03012,Sexual assault,AT,Austria,2008,42.03
ICCS03012,Sexual assault,AT,Austria,2009,36.68
ICCS03012,Sexual assault,AT,Austria,2010,27.24
ICCS03012,Sexual assault,AT,Austria,2011,31.56
ICCS03012,Sexual assault,AT,Austria,2012,33.11
ICCS03012,Sexual assault,AT,Austria,2013,25.47
ICCS03012,Sexual assault,AT,Austria,2014,24.91
ICCS03012,Sexual assault,AT,Austria,2015,23.43
ICCS03012,Sexual assault,AT,Austria,2016,32.46
ICCS03012,Sexual assault,AT,Austria,2017,27.55
ICCS03012,Sexual assault,AT,Austria,2018,27.48
ICCS03012,Sexual assault,AT,Austria,2019,26.64
ICCS03012,Sexual assault,AT,Austria,2020,23.99
ICCS03012,Sexual assault,AT,Austria,2021,24.73
ICCS03012,Sexual assault,AT,Austria,2022,28.6
ICCS03012,Sexual assault,AT,Austria,2023,30.81
ICCS03012,Sexual assault,AT,Austria,2024,31.52
ICCS03012,Sexual assault,SE,Sweden,2008,99.72
ICCS03012,Sexual assault,SE,Sweden,2009,103.12
ICCS03012,Sexual assault,SE,Sweden,2010,107.68
ICCS03012,Sexual assault,SE,Sweden,2011,106.59
ICCS03012,Sexual assault,SE,Sweden,2012,107.83
ICCS03012,Sexual assault,SE,Sweden,2013,92.86
ICCS03012,Sexual assault,SE,Sweden,2014,105.89
ICCS03012,Sexual assault,SE,Sweden,2015,95.61
ICCS03012,Sexual assault,SE,Sweden,2016,111.32
ICCS03012,Sexual assault,SE,Sweden,2017,115.11
ICCS03012,Sexual assault,SE,Sweden,2018,111.57
ICCS03012,Sexual assault,SE,Sweden,2019,108.91
ICCS03012,Sexual assault,SE,Sweden,2020,112.0
ICCS03012,Sexual assault,SE,Sweden,2021,121.74
ICCS03012,Sexual assault,SE,Sweden,2022,108.16
ICCS03012,Sexual assault,SE,Sweden,2023,102.02
ICCS03012,Sexual assault,SE,Sweden,2024,107.17
ICCS03012,Sexual assault,UKC-L,England and Wales,2008,40.67
ICCS03012,Sexual assault,UKC-L,England and Wales,2009,40.39
ICCS03012,Sexual assault,UKC-L,England and Wales,2010,41.87
ICCS03012,Sexual assault,UKC-L,England and Wales,2011,39.8
ICCS03012,Sexual assault,UKC-L,England and Wales,2012,40.01
ICCS03012,Sexual assault,UKC-L,England and Wales,2013,46.01
ICCS03012,Sexual assault,UKC-L,England and Wales,2014,61.07
ICCS03012,Sexual assault,UKC-L,England and Wales,2015,71.82
ICCS03012,Sexual assault,UKC-L,England and Wales,2016,79.39
ICCS03012,Sexual assault,UKC-L,England and Wales,2017,95.29
ICCS03012,Sexual assault,UKC-L,England and Wales,2018,100.17
ICCS03012,Sexual assault,UKC-L,England and Wales,2019,
ICCS03012,Sexual assault,UKC-L,England and Wales,2020,
ICCS03012,Sexual assault,UKC-L,England and Wales,2021,
ICCS03012,Sexual assault,UKC-L,England and Wales,2022,
ICCS03012,Sexual assault,UKC-L,England and Wales,2023,
ICCS03012,Sexual assault,UKC-L,England and Wales,2024,
