iccs,geo,geo_label,year,rate,index_2014_100
ICCS03012,ES,Spain,2022,28.27,159.8
ICCS03012,ES,Spain,2023,28.05,158.6
ICCS03012,ES,Spain,2024,29.69,167.8
ICCS03012,FR,France,2014,28.51,100.0
ICCS03012,FR,France,2015,30.78,108.0
ICCS03012,FR,France,2016,31.7,111.2
ICCS03012,FR,France,2017,35.05,122.9
ICCS03012,FR,France,2018,42.89,150.4
ICCS03012,FR,France,2019,48.16,168.9
ICCS03012,FR,France,2020,45.69,160.3
ICCS03012,FR,France,2021,59.53,208.8
ICCS03012,FR,France,2022,66.43,233.0
ICCS03012,FR,France,2023,70.25,246.4
ICCS03012,FR,France,2024,74.8,262.4
ICCS03012,IE,Ireland,2014,29.84,100.0
ICCS03012,IE,Ireland,2015,30.02,100.6
ICCS03012,IE,Ireland,2016,32.44,108.7
ICCS03012,IE,Ireland,2017,35.37,118.5
ICCS03012,IE,Ireland,2018,36.77,123.2
ICCS03012,IE,Ireland,2019,36.56,122.5
ICCS03012,IE,Ireland,2020,31.5,105.6
ICCS03012,IE,Ireland,2021,37.02,124.1
ICCS03012,IE,Ireland,2022,40.39,135.4
ICCS03012,IE,Ireland,2023,36.94,123.8
ICCS03012,IE,Ireland,2024,42.9,143.8
ICCS03012,NL,Netherlands,2014,10.78,100.0
ICCS03012,NL,Netherlands,2015,10.12,93.9
ICCS03012,NL,Netherlands,2016,13.05,121.1
ICCS03012,NL,Netherlands,2017,12.88,119.5
ICCS03012,NL,Netherlands,2018,13.82,128.2
ICCS03012,NL,Netherlands,2019,12.99,120.5
ICCS03012,NL,Netherlands,2020,11.23,104.2
ICCS03012,NL,Netherlands,2021,12.96,120.2
ICCS03012,NL,Netherlands,2022,17.03,158.0
ICCS03012,NL,Netherlands,2023,14.37,133.3
ICCS03012,NL,Netherlands,2024,10.67,99.0
ICCS03012,SE,Sweden,2014,105.89,100.0
ICCS03012,SE,Sweden,2015,95.61,90.3
ICCS03012,SE,Sweden,2016,111.32,105.1
ICCS03012,SE,Sweden,2017,115.11,108.7
ICCS03012,SE,Sweden,2018,111.57,105.4
ICCS03012,SE,Sweden,2019,108.91,102.9
ICCS03012,SE,Sweden,2020,112.0,105.8
ICCS03012,SE,Sweden,2021,121.74,115.0
ICCS03012,SE,Sweden,2022,108.16,102.1
ICCS03012,SE,Sweden,2023,102.02,96.3
ICCS03012,SE,Sweden,2024,107.17,101.2
ICCS03012,UKC-L,England and Wales,2014,61.07,100.0
ICCS03012,UKC-L,England and Wales,2015,71.82,117.6
ICCS03012,UKC-L,England and Wales,2016,79.39,130.0
ICCS03012,UKC-L,England and Wales,2017,95.29,156.0
ICCS03012,UKC-L,England and Wales,2018,100.17,164.0
ICCS03012,UKC-L,England and Wales,2019,,
ICCS03012,UKC-L,England and Wales,2020,,
ICCS03012,UKC-L,England and Wales,2021,,
ICCS03012,UKC-L,England and Wales,2022,,
ICCS03012,UKC-L,England and Wales,2023,,
ICCS03012,UKC-L,England and Wales,2024,,
