a,tau,c,mstar
0.010,0.25,0.90,-0.001048
0.010,0.30,0.00,-0.020672
0.010,0.30,0.50,-0.005002
0.010,0.30,0.90,-0.003113
0.010,0.35,0.00,-0.029623
0.010,0.35,0.50,-0.008038
0.010,0.35,0.90,-0.005078
0.010,0.40,0.00,-0.036337
0.010,0.40,0.50,-0.010847
0.010,0.40,0.90,-0.006948
0.010,0.45,0.00,-0.041559
0.010,0.45,0.50,-0.013455
0.010,0.45,0.90,-0.008731
0.010,0.50,0.00,-0.045736
0.010,0.50,0.50,-0.015881
0.010,0.50,0.90,-0.010433
0.010,0.55,0.00,-0.049154
0.010,0.55,0.50,-0.018145
0.010,0.55,0.90,-0.012059
0.010,0.60,0.00,-0.052002
0.010,0.60,0.50,-0.020262
0.010,0.60,0.90,-0.013614
0.010,0.65,0.00,-0.054413
0.010,0.65,0.50,-0.022245
0.010,0.65,0.90,-0.015103
0.010,0.70,0.00,-0.056478
0.010,0.70,0.50,-0.024108
0.010,0.70,0.90,-0.016529
0.010,0.75,0.00,-0.058269
0.010,0.75,0.50,-0.025860
0.010,0.75,0.90,-0.017897
0.010,0.80,0.00,-0.059835
0.010,0.80,0.50,-0.027512
0.010,0.80,0.90,-0.019210
0.010,0.85,0.00,-0.061217
0.010,0.85,0.50,-0.029071
0.010,0.85,0.90,-0.020471
0.010,0.90,0.00,-0.062446
0.010,0.90,0.50,-0.030546
0.010,0.90,0.90,-0.021684
0.010,0.95,0.00,-0.063545
0.010,0.95,0.50,-0.031942
0.010,0.95,0.90,-0.022851
0.010,1.00,0.00,-0.064535
0.010,1.00,0.50,-0.033267
0.010,1.00,0.90,-0.023974
0.011,0.05,0.00,0.330234
0.011,0.05,0.50,0.016680
0.011,0.05,0.90,0.009479
0.011,0.10,0.00,0.123450
0.011,0.10,0.50,0.011871
0.011,0.10,0.90,0.006889
0.011,0.15,0.00,0.054522
0.011,0.15,0.50,0.007504
0.011,0.15,0.90,0.004440
0.011,0.20,0.00,0.020058
0.011,0.20,0.50,0.003519
0.011,0.20,0.90,0.002120
0.011,0.25,0.00,-0.000620
0.011,0.25,0.50,-0.000130
0.011,0.25,0.90,-0.000080
0.011,0.30,0.00,-0.014405
0.011,0.30,0.50,-0.003485
0.011,0.30,0.90,-0.002170
0.011,0.35,0.00,-0.024252
0.011,0.35,0.50,-0.006580
0.011,0.35,0.90,-0.004157
0.011,0.40,0.00,-0.031637
0.011,0.40,0.50,-0.009445
0.011,0.40,0.90,-0.006050
0.011,0.45,0.00,-0.037381
0.011,0.45,0.50,-0.012103
0.011,0.45,0.90,-0.007854
0.011,0.50,0.00,-0.041977
0.011,0.50,0.50,-0.014576
0.011,0.50,0.90,-0.009576
0.011,0.55,0.00,-0.045736
0.011,0.55,0.50,-0.016883
0.011,0.55,0.90,-0.011221
0.011,0.60,0.00,-0.048869
0.011,0.60,0.50,-0.019041
0.011,0.60,0.90,-0.012794
0.011,0.65,0.00,-0.051520
0.011,0.65,0.50,-0.021063
0.011,0.65,0.90,-0.014300
0.011,0.70,0.00,-0.053793
0.011,0.70,0.50,-0.022961
0.011,0.70,0.90,-0.015743
0.011,0.75,0.00,-0.055762
0.011,0.75,0.50,-0.024748
