a,tau,c,mstar
0.025,1.00,0.00,-0.036337
0.025,1.00,0.50,-0.018731
0.025,1.00,0.90,-0.013499
0.026,0.05,0.00,0.894189
0.026,0.05,0.50,0.045164
0.026,0.05,0.90,0.025668
0.026,0.10,0.00,0.405428
0.026,0.10,0.50,0.038986
0.026,0.10,0.90,0.022626
0.026,0.15,0.00,0.242507
0.026,0.15,0.50,0.033375
0.026,0.15,0.90,0.019750
0.026,0.20,0.00,0.161047
0.026,0.20,0.50,0.028256
0.026,0.20,0.90,0.017025
0.026,0.25,0.00,0.112171
0.026,0.25,0.50,0.023567
0.026,0.25,0.90,0.014441
0.026,0.30,0.00,0.079587
0.026,0.30,0.50,0.019256
0.026,0.30,0.90,0.011987
0.026,0.35,0.00,0.056313
0.026,0.35,0.50,0.015280
0.026,0.35,0.90,0.009653
0.026,0.40,0.00,0.038857
0.026,0.40,0.50,0.011600
0.026,0.40,0.90,0.007430
0.026,0.45,0.00,0.025280
0.026,0.45,0.50,0.008185
0.026,0.45,0.90,0.005311
0.026,0.50,0.00,0.014419
0.026,0.50,0.50,0.005007
0.026,0.50,0.90,0.003289
0.026,0.55,0.00,0.005532
0.026,0.55,0.50,0.002042
0.026,0.55,0.90,0.001357
0.026,0.60,0.00,-0.001873
0.026,0.60,0.50,-0.000730
0.026,0.60,0.90,-0.000490
0.026,0.65,0.00,-0.008139
0.026,0.65,0.50,-0.003328
0.026,0.65,0.90,-0.002259
0.026,0.70,0.00,-0.013510
0.026,0.70,0.50,-0.005767
0.026,0.70,0.90,-0.003954
0.026,0.75,0.00,-0.018165
0.026,0.75,0.50,-0.008062
0.026,0.75,0.90,-0.005579
0.026,0.80,0.00,-0.022238
0.026,0.80,0.50,-0.010225
0.026,0.80,0.90,-0.007139
0.026,0.85,0.00,-0.025832
0.026,0.85,0.50,-0.012267
0.026,0.85,0.90,-0.008638
0.026,0.90,0.00,-0.029027
0.026,0.90,0.50,-0.014198
0.026,0.90,0.90,-0.010079
0.026,0.95,0.00,-0.031885
0.026,0.95,0.50,-0.016027
0.026,0.95,0.90,-0.011466
0.026,1.00,0.00,-0.034457
0.026,1.00,0.50,-0.017762
0.026,1.00,0.90,-0.012801
0.027,0.05,0.00,0.931786
0.027,0.05,0.50,0.047063
0.027,0.05,0.90,0.026747
0.027,0.10,0.00,0.424226
0.027,0.10,0.50,0.040794
0.027,0.10,0.90,0.023675
0.027,0.15,0.00,0.255040
0.027,0.15,0.50,0.035100
0.027,0.15,0.90,0.020770
0.027,0.20,0.00,0.170446
0.027,0.20,0.50,0.029905
0.027,0.20,0.90,0.018019
0.027,0.25,0.00,0.119690
0.027,0.25,0.50,0.025147
0.027,0.25,0.90,0.015409
0.027,0.30,0.00,0.085853
0.027,0.30,0.50,0.020772
0.027,0.30,0.90,0.012931
0.027,0.35,0.00,0.061684
0.027,0.35,0.50,0.016737
0.027,0.35,0.90,0.010573
0.027,0.40,0.00,0.043557
0.027,0.40,0.50,0.013003
0.027,0.40,0.90,0.008329
0.027,0.45,0.00,0.029458
0.027,0.45,0.50,0.009537
0.027,0.45,0.90,0.006189
0.027,0.50,0.00,0.018179
0.027,0.50,0.50,0.006312
0.027,0.50,0.90,0.004147
0.027,0.55,0.00,0.008950
0.027,0.55,0.50,0.003304
0.027,0.55,0.90,0.002196
0.027,0.60,0.00,0.001260
0.027,0.60,0.50,0.000491
0.027,0.60,0.90,0.000330
0.027,0.65,0.00,-0.005247
0.027,0.65,0.50,-0.002145
0.027,0.65,0.90,-0.001456
0.027,0.70,0.00,-0.010825
0.027,0.70,0.50,-0.004621
0.027,0.70,0.90,-0.003168
0.027,0.75,0.00,-0.015659
0.027,0.75,0.50,-0.006949
0.027,0.75,0.90,-0.004809
0.027,0.80,0.00,-0.019888
0.027,0.80,0.50,-0.009144
0.027,0.80,0.90,-0.006385
0.027,0.85,0.00,-0.023620
0.027,0.85,0.50,-0.011217
0.027,0.85,0.90,-0.007899
0.027,0.90,0.00,-0.026938
0.027,0.90,0.50,-0.013177
0.027,0.90,0.90,-0.009354
0.027,0.95,0.00,-0.029906
0.027,0.95,0.50,-0.015033
0.027,0.95,0.90,-0.010754
0.027,1.00,0.00,-0.032577
0.027,1.00,0.50,-0.016793
0.027,1.00,0.90,-0.012102
0.028,0.05,0.00,0.969383
0.028,0.05,0.50,0.048962
0.028,0.05,0.90,0.027826
0.028,0.10,0.00,0.443025
0.028,0.10,0.50,0.042602
0.028,0.10,0.90,0.024724
0.028,0.15,0.00,0.267572
0.028,0.15,0.50,0.036824
0.028,0.15,0.90,0.021791
0.028,0.20,0.00,0.179846
0.028,0.20,0.50,0.031554
0.028,0.20,0.90,0.019013
0.028,0.25,0.00,0.127210
0.028,0.25,0.50,0.026726
0.028,0.25,0.90,0.016377
0.028,0.30,0.00,0.092119
0.028,0.30,0.50,0.022288
0.028,0.30,0.90,0.013874
0.028,0.35,0.00,0.067055
0.028,0.35,0.50,0.018194
0.028,0.35,0.90,0.011494
0.028,0.40,0.00,0.048256
0.028,0.40,0.50,0.014406
0.028,0.40,0.90,0.009227
0.028,0.45,0.00,0.033635
0.028,0.45,0.50,0.010890
0.028,0.45,0.90,0.007067
0.028,0.50,0.00,0.021938
0.028,0.50,0.50,0.007618
0.028,0.50,0.90,0.005004
0.028,0.55,0.00,0.012368
0.028,0.55,0.50,0.004566
0.028,0.55,0.90,0.003034
0.028,0.60,0.00,0.004393
0.028,0.60,0.50,0.001712
0.028,0.60,0.90,0.001150
0.028,0.65,0.00,-0.002355
0.028,0.65,0.50,-0.000963
0.028,0.65,0.90,-0.000654
0.028,0.70,0.00,-0.008139
0.028,0.70,0.50,-0.003474
0.028,0.70,0.90,-0.002382
0.028,0.75,0.00,-0.013152
0.028,0.75,0.50,-0.005837
0.028,0.75,0.90,-0.004040
0.028,0.80,0.00,-0.017539
0.028,0.80,0.50,-0.008064
0.028,0.80,0.90,-0.005631
0.028,0.85,0.00,-0.021409
0.028,0.85,0.50,-0.010167
0.028,0.85,0.90,-0.007159
0.028,0.90,0.00,-0.024849
0.028,0.90,0.50,-0.012155
0.028,0.90,0.90,-0.008629
0.028,0.95,0.00,-0.027927
0.028,0.95,0.50,-0.014038
0.028,0.95,0.90,-0.010042
0.028,1.00,0.00,-0.030698
0.028,1.00,0.50,-0.015824
0.028,1.00,0.90,-0.011404
0.029,0.05,0.00,1.006980
0.029,0.05,0.50,0.050861
0.029,0.05,0.90,0.028905
0.029,0.10,0.00,0.461823
0.029,0.10,0.50,0.044409
0.029,0.10,0.90,0.025773
0.029,0.15,0.00,0.280104
0.029,0.15,0.50,0.038549
0.029,0.15,0.90,0.022811
0.029,0.20,0.00,0.189245
0.029,0.20,0.50,0.033203
0.029,0.20,0.90,0.020006
0.029,0.25,0.00,0.134729
0.029,0.25,0.50,0.028306
0.029,0.25,0.90,0.017345
0.029,0.30,0.00,0.098386
0.029,0.30,0.50,0.023804
0.029,0.30,0.90,0.014818
0.029,0.35,0.00,0.072426
0.029,0.35,0.50,0.019652
0.029,0.35,0.90,0.012415
0.029,0.40,0.00,0.052956
0.029,0.40,0.50,0.015809
0.029,0.40,0.90,0.010126
0.029,0.45,0.00,0.037813
0.029,0.45,0.50,0.012242
0.029,0.45,0.90,0.007944
0.029,0.50,0.00,0.025698
0.029,0.50,0.50,0.008923
0.029,0.50,0.90,0.005862
0.029,0.55,0.00,0.015786
0.029,0.55,0.50,0.005827
0.029,0.55,0.90,0.003873
0.029,0.60,0.00,0.007526
0.029,0.60,0.50,0.002932
0.029,0.60,0.90,0.001970
0.029,0.65,0.00,0.000537
0.029,0.65,0.50,0.000220
0.029,0.65,0.90,0.000149
0.029,0.70,0.00,-0.005454
0.029,0.70,0.50,-0.002328
0.029,0.70,0.90,-0.001596
0.029,0.75,0.00,-0.010646
0.029,0.75,0.50,-0.004725
0.029,0.75,0.90,-0.003270
0.029,0.80,0.00,-0.015189
0.029,0.80,0.50,-0.006984
0.029,0.80,0.90,-0.004876
0.029,0.85,0.00,-0.019197
0.029,0.85,0.50,-0.009116
0.029,0.85,0.90,-0.006420
0.029,0.90,0.00,-0.022760
0.029,0.90,0.50,-0.011133
0.029,0.90,0.90,-0.007903
0.029,0.95,0.00,-0.025948
0.029,0.95,0.50,-0.013043
0.029,0.95,0.90,-0.009331
0.029,1.00,0.00,-0.028818
0.029,1.00,0.50,-0.014855
0.029,1.00,0.90,-0.010705
0.030,0.05,0.00,1.044577
0.030,0.05,0.50,0.052760
0.030,0.05,0.90,0.029984
0.030,0.10,0.00,0.480622
0.030,0.10,0.50,0.046217
0.030,0.10,0.90,0.026822
0.030,0.15,0.00,0.292637
0.030,0.15,0.50,0.040274
0.030,0.15,0.90,0.023832
0.030,0.20,0.00,0.198644
0.030,0.20,0.50,0.034852
0.030,0.20,0.90,0.021000
0.030,0.25,0.00,0.142249
0.030,0.25,0.50,0.029886
0.030,0.25,0.90,0.018313
0.030,0.30,0.00,0.104652
0.030,0.30,0.50,0.025320
0.030,0.30,0.90,0.015762
0.030,0.35,0.00,0.077797
0.030,0.35,0.50,0.021109
0.030,0.35,0.90,0.013335
0.030,0.40,0.00,0.057655
0.030,0.40,0.50,0.017212
0.030,0.40,0.90,0.011025
0.030,0.45,0.00,0.041990
0.030,0.45,0.50,0.013595
0.030,0.45,0.90,0.008822
0.030,0.50,0.00,0.029458
0.030,0.50,0.50,0.010229
0.030,0.50,0.90,0.006720
0.030,0.55,0.00,0.019204
0.030,0.55,0.50,0.007089
0.030,0.55,0.90,0.004711
0.030,0.60,0.00,0.010659
0.030,0.60,0.50,0.004153
0.030,0.60,0.90,0.002791
0.030,0.65,0.00,0.003429
0.030,0.65,0.50,0.001402
0.030,0.65,0.90,0.000952
0.030,0.70,0.00,-0.002768
0.030,0.70,0.50,-0.001182
0.030,0.70,0.90,-0.000810
0.030,0.75,0.00,-0.008139
0.030,0.75,0.50,-0.003612
0.030,0.75,0.90,-0.002500
0.030,0.80,0.00,-0.012839
0.030,0.80,0.50,-0.005903
0.030,0.80,0.90,-0.004122
0.030,0.85,0.00,-0.016986
0.030,0.85,0.50,-0.008066
0.030,0.85,0.90,-0.005680
0.030,0.90,0.00,-0.020672
0.030,0.90,0.50,-0.010112
0.030,0.90,0.90,-0.007178
0.030,0.95,0.00,-0.023970
0.030,0.95,0.50,-0.012049
0.030,0.95,0.90,-0.008619
0.030,1.00,0.00,-0.026938
0.030,1.00,0.50,-0.013886
0.030,1.00,0.90,-0.010007
0.031,0.05,0.00,1.082174
0.031,0.05,0.50,0.054659
0.031,0.05,0.90,0.031064
0.031,0.10,0.00,0.499420
0.031,0.10,0.50,0.048025
0.031,0.10,0.90,0.027872
0.031,0.15,0.00,0.305169
0.031,0.15,0.50,0.041999
0.031,0.15,0.90,0.024853
0.031,0.20,0.00,0.208043
0.031,0.20,0.50,0.036501
0.031,0.20,0.90,0.021993
0.031,0.25,0.00,0.149768
0.031,0.25,0.50,0.031466
0.031,0.25,0.90,0.019281
0.031,0.30,0.00,0.110918
0.031,0.30,0.50,0.026837
0.031,0.30,0.90,0.016706
0.031,0.35,0.00,0.083168
0.031,0.35,0.50,0.022566
0.031,0.35,0.90,0.014256
0.031,0.40,0.00,0.062355
0.031,0.40,0.50,0.018614
0.031,0.40,0.90,0.011923
0.031,0.45,0.00,0.046167
0.031,0.45,0.50,0.014947
0.031,0.45,0.90,0.009700
0.031,0.50,0.00,0.033217
0.031,0.50,0.50,0.011534
0.031,0.50,0.90,0.007577
0.031,0.55,0.00,0.022622
0.031,0.55,0.50,0.008351
0.031,0.55,0.90,0.005550
0.031,0.60,0.00,0.013792
0.031,0.60,0.50,0.005374
0.031,0.60,0.90,0.003611
0.031,0.65,0.00,0.006321
0.031,0.65,0.50,0.002584
0.031,0.65,0.90,0.001754
0.031,0.70,0.00,-0.000083
0.031,0.70,0.50,-0.000035
0.031,0.70,0.90,-0.000024
0.031,0.75,0.00,-0.005633
0.031,0.75,0.50,-0.002500
0.031,0.75,0.90,-0.001730
0.031,0.80,0.00,-0.010489
0.031,0.80,0.50,-0.004823
0.031,0.80,0.90,-0.003367
0.031,0.85,0.00,-0.014774
0.031,0.85,0.50,-0.007016
0.031,0.85,0.90,-0.004940
0.031,0.90,0.00,-0.018583
0.031,0.90,0.50,-0.009090
0.031,0.90,0.90,-0.006453
0.031,0.95,0.00,-0.021991
0.031,0.95,0.50,-0.011054
0.031,0.95,0.90,-0.007908
0.031,1.00,0.00,-0.025058
0.031,1.00,0.50,-0.012917
0.031,1.00,0.90,-0.009309
0.032,0.05,0.00,1.119771
0.032,0.05,0.50,0.056558
0.032,0.05,0.90,0.032143
0.032,0.10,0.00,0.518219
0.032,0.10,0.50,0.049832
0.032,0.10,0.90,0.028921
0.032,0.15,0.00,0.317701
0.032,0.15,0.50,0.043723
0.032,0.15,0.90,0.025873
0.032,0.20,0.00,0.217443
0.032,0.20,0.50,0.038150
0.032,0.20,0.90,0.022987
0.032,0.25,0.00,0.157288
0.032,0.25,0.50,0.033046
0.032,0.25,0.90,0.020250
0.032,0.30,0.00,0.117184
0.032,0.30,0.50,0.028353
0.032,0.30,0.90,0.017649
0.032,0.35,0.00,0.088539
0.032,0.35,0.50,0.024024
0.032,0.35,0.90,0.015177
0.032,0.40,0.00,0.067055
0.032,0.40,0.50,0.020017
0.032,0.40,0.90,0.012822
0.032,0.45,0.00,0.050345
0.032,0.45,0.50,0.016300
0.032,0.45,0.90,0.010577
0.032,0.50,0.00,0.036977
0.032,0.50,0.50,0.012840
0.032,0.50,0.90,0.008435
0.032,0.55,0.00,0.026040
0.032,0.55,0.50,0.009612
0.032,0.55,0.90,0.006388
0.032,0.60,0.00,0.016925
0.032,0.60,0.50,0.006595
0.032,0.60,0.90,0.004431
0.032,0.65,0.00,0.009213
0.032,0.65,0.50,0.003767
0.032,0.65,0.90,0.002557
0.032,0.70,0.00,0.002603
0.032,0.70,0.50,0.001111
0.032,0.70,0.90,0.000762
0.032,0.75,0.00,-0.003126
0.032,0.75,0.50,-0.001388
0.032,0.75,0.90,-0.000960
0.032,0.80,0.00,-0.008139
0.032,0.80,0.50,-0.003742
0.032,0.80,0.90,-0.002613
0.032,0.85,0.00,-0.012562
0.032,0.85,0.50,-0.005966
0.032,0.85,0.90,-0.004201
0.032,0.90,0.00,-0.016494
0.032,0.90,0.50,-0.008068
0.032,0.90,0.90,-0.005727
0.032,0.95,0.00,-0.020012
0.032,0.95,0.50,-0.010059
0.032,0.95,0.90,-0.007196
0.032,1.00,0.00,-0.023178
0.032,1.00,0.50,-0.011948
0.032,1.00,0.90,-0.008610
0.033,0.05,0.00,1.157368
0.033,0.05,0.50,0.058457
0.033,0.05,0.90,0.033222
0.033,0.10,0.00,0.537017
0.033,0.10,0.50,0.051640
0.033,0.10,0.90,0.029970
0.033,0.15,0.00,0.330234
0.033,0.15,0.50,0.045448
0.033,0.15,0.90,0.026894
0.033,0.20,0.00,0.226842
0.033,0.20,0.50,0.039799
0.033,0.20,0.90,0.023981
0.033,0.25,0.00,0.164807
0.033,0.25,0.50,0.034625
0.033,0.25,0.90,0.021218
0.033,0.30,0.00,0.123450
0.033,0.30,0.50,0.029869
0.033,0.30,0.90,0.018593
0.033,0.35,0.00,0.093910
0.033,0.35,0.50,0.025481
0.033,0.35,0.90,0.016097
0.033,0.40,0.00,0.071754
0.033,0.40,0.50,0.021420
0.033,0.40,0.90,0.013721
0.033,0.45,0.00,0.054522
0.033,0.45,0.50,0.017652
0.033,0.45,0.90,0.011455
0.033,0.50,0.00,0.040737
0.033,0.50,0.50,0.014145
0.033,0.50,0.90,0.009293
0.033,0.55,0.00,0.029458
0.033,0.55,0.50,0.010874
0.033,0.55,0.90,0.007227
0.033,0.60,0.00,0.020058
0.033,0.60,0.50,0.007815
0.033,0.60,0.90,0.005251
0.033,0.65,0.00,0.012105
0.033,0.65,0.50,0.004949
0.033,0.65,0.90,0.003360
0.033,0.70,0.00,0.005288
0.033,0.70,0.50,0.002257
0.033,0.70,0.90,0.001548
0.033,0.75,0.00,-0.000620
0.033,0.75,0.50,-0.000275
0.033,0.75,0.90,-0.000190
0.033,0.80,0.00,-0.005790
0.033,0.80,0.50,-0.002662
0.033,0.80,0.90,-0.001859
0.033,0.85,0.00,-0.010351
0.033,0.85,0.50,-0.004915
0.033,0.85,0.90,-0.003461
0.033,0.90,0.00,-0.014405
0.033,0.90,0.50,-0.007046
0.033,0.90,0.90,-0.005002
0.033,0.95,0.00,-0.018033
0.033,0.95,0.50,-0.009065
0.033,0.95,0.90,-0.006485
0.033,1.00,0.00,-0.021298
0.033,1.00,0.50,-0.010979
0.033,1.00,0.90,-0.007912
0.034,0.05,0.00,1.194965
0.034,0.05,0.50,0.060356
0.034,0.05,0.90,0.034301
0.034,0.10,0.00,0.555816
0.034,0.10,0.50,0.053448
0.034,0.10,0.90,0.031019
0.034,0.15,0.00,0.342766
0.034,0.15,0.50,0.047173
0.034,0.15,0.90,0.027915
0.034,0.20,0.00,0.236241
0.034,0.20,0.50,0.041449
0.034,0.20,0.90,0.024974
0.034,0.25,0.00,0.172326
0.034,0.25,0.50,0.036205
0.034,0.25,0.90,0.022186
0.034,0.30,0.00,0.129716
0.034,0.30,0.50,0.031385
0.034,0.30,0.90,0.019537
0.034,0.35,0.00,0.099281
0.034,0.35,0.50,0.026938
0.034,0.35,0.90,0.017018
0.034,0.40,0.00,0.076454
0.034,0.40,0.50,0.022823
0.034,0.40,0.90,0.014619
0.034,0.45,0.00,0.058700
0.034,0.45,0.50,0.019005
0.034,0.45,0.90,0.012333
0.034,0.50,0.00,0.044496
0.034,0.50,0.50,0.015451
0.034,0.50,0.90,0.010150
0.034,0.55,0.00,0.032876
0.034,0.55,0.50,0.012136
0.034,0.55,0.90,0.008065
0.034,0.60,0.00,0.023192
0.034,0.60,0.50,0.009036
0.034,0.60,0.90,0.006071
0.034,0.65,0.00,0.014997
0.034,0.65,0.50,0.006131
0.034,0.65,0.90,0.004163
0.034,0.70,0.00,0.007974
0.034,0.70,0.50,0.003404
0.034,0.70,0.90,0.002334
0.034,0.75,0.00,0.001887
0.034,0.75,0.50,0.000837
0.034,0.75,0.90,0.000579
0.034,0.80,0.00,-0.003440
0.034,0.80,0.50,-0.001582
0.034,0.80,0.90,-0.001104
0.034,0.85,0.00,-0.008139
0.034,0.85,0.50,-0.003865
0.034,0.85,0.90,-0.002722
0.034,0.90,0.00,-0.012317
0.034,0.90,0.50,-0.006025
0.034,0.90,0.90,-0.004277
0.034,0.95,0.00,-0.016054
0.034,0.95,0.50,-0.008070
0.034,0.95,0.90,-0.005773
0.034,1.00,0.00,-0.019418
0.034,1.00,0.50,-0.010010
0.034,1.00,0.90,-0.007214
0.035,0.05,0.00,1.232562
0.035,0.05,0.50,0.062255
0.035,0.05,0.90,0.035381
0.035,0.10,0.00,0.574614
0.035,0.10,0.50,0.055255
0.035,0.10,0.90,0.032068
0.035,0.15,0.00,0.355298
0.035,0.15,0.50,0.048898
0.035,0.15,0.90,0.028935
0.035,0.20,0.00,0.245640
0.035,0.20,0.50,0.043098
0.035,0.20,0.90,0.025968
0.035,0.25,0.00,0.179846
0.035,0.25,0.50,0.037785
0.035,0.25,0.90,0.023154
0.035,0.30,0.00,0.135983
0.035,0.30,0.50,0.032901
0.035,0.30,0.90,0.020481
0.035,0.35,0.00,0.104652
0.035,0.35,0.50,0.028396
0.035,0.35,0.90,0.017939
0.035,0.40,0.00,0.081154
0.035,0.40,0.50,0.024226
0.035,0.40,0.90,0.015518
0.035,0.45,0.00,0.062877
0.035,0.45,0.50,0.020357
0.035,0.45,0.90,0.013210
0.035,0.50,0.00,0.048256
0.035,0.50,0.50,0.016756
0.035,0.50,0.90,0.011008
0.035,0.55,0.00,0.036294
0.035,0.55,0.50,0.013398
0.035,0.55,0.90,0.008904
0.035,0.60,0.00,0.026325
0.035,0.60,0.50,0.010257
0.035,0.60,0.90,0.006892
0.035,0.65,0.00,0.017889
0.035,0.65,0.50,0.007314
0.035,0.65,0.90,0.004965
0.035,0.70,0.00,0.010659
0.035,0.70,0.50,0.004550
0.035,0.70,0.90,0.003120
0.035,0.75,0.00,0.004393
0.035,0.75,0.50,0.001950
0.035,0.75,0.90,0.001349
0.035,0.80,0.00,-0.001090
0.035,0.80,0.50,-0.000501
0.035,0.80,0.90,-0.000350
0.035,0.85,0.00,-0.005928
0.035,0.85,0.50,-0.002815
0.035,0.85,0.90,-0.001982
0.035,0.90,0.00,-0.010228
0.035,0.90,0.50,-0.005003
0.035,0.90,0.90,-0.003552
0.035,0.95,0.00,-0.014076
0.035,0.95,0.50,-0.007075
0.035,0.95,0.90,-0.005062
0.035,1.00,0.00,-0.017539
0.035,1.00,0.50,-0.009041
0.035,1.00,0.90,-0.006515
0.036,0.05,0.00,1.270159
0.036,0.05,0.50,0.064154
0.036,0.05,0.90,0.036460
0.036,0.10,0.00,0.593413
0.036,0.10,0.50,0.057063
0.036,0.10,0.90,0.033117
0.036,0.15,0.00,0.367831
0.036,0.15,0.50,0.050622
0.036,0.15,0.90,0.029956
0.036,0.20,0.00,0.255040
0.036,0.20,0.50,0.044747
0.036,0.20,0.90,0.026962
0.036,0.25,0.00,0.187365
0.036,0.25,0.50,0.039365
0.036,0.25,0.90,0.024122
0.036,0.30,0.00,0.142249
0.036,0.30,0.50,0.034417
0.036,0.30,0.90,0.021424
0.036,0.35,0.00,0.110023
0.036,0.35,0.50,0.029853
0.036,0.35,0.90,0.018859
0.036,0.40,0.00,0.085853
0.036,0.40,0.50,0.025629
0.036,0.40,0.90,0.016417
0.036,0.45,0.00,0.067055
0.036,0.45,0.50,0.021710
0.036,0.45,0.90,0.014088
0.036,0.50,0.00,0.052016
0.036,0.50,0.50,0.018062
0.036,0.50,0.90,0.011866
0.036,0.55,0.00,0.039711
0.036,0.55,0.50,0.014659
0.036,0.55,0.90,0.009742
0.036,0.60,0.00,0.029458
0.036,0.60,0.50,0.011478
0.036,0.60,0.90,0.007712
0.036,0.65,0.00,0.020781
0.036,0.65,0.50,0.008496
0.036,0.65,0.90,0.005768
0.036,0.70,0.00,0.013345
0.036,0.70,0.50,0.005696
0.036,0.70,0.90,0.003905
0.036,0.75,0.00,0.006899
0.036,0.75,0.50,0.003062
0.036,0.75,0.90,0.002119
0.036,0.80,0.00,0.001260
0.036,0.80,0.50,0.000579
0.036,0.80,0.90,0.000404
0.036,0.85,0.00,-0.003716
0.036,0.85,0.50,-0.001765
0.036,0.85,0.90,-0.001243
0.036,0.90,0.00,-0.008139
0.036,0.90,0.50,-0.003981
0.036,0.90,0.90,-0.002826
0.036,0.95,0.00,-0.012097
0.036,0.95,0.50,-0.006081
0.036,0.95,0.90,-0.004350
0.036,1.00,0.00,-0.015659
0.036,1.00,0.50,-0.008072
0.036,1.00,0.90,-0.005817
0.037,0.05,0.00,1.307756
0.037,0.05,0.50,0.066053
0.037,0.05,0.90,0.037539
0.037,0.10,0.00,0.612211
0.037,0.10,0.50,0.058871
0.037,0.10,0.90,0.034166
0.037,0.15,0.00,0.380363
0.037,0.15,0.50,0.052347
0.037,0.15,0.90,0.030976
0.037,0.20,0.00,0.264439
0.037,0.20,0.50,0.046396
0.037,0.20,0.90,0.027955
0.037,0.25,0.00,0.194885
0.037,0.25,0.50,0.040945
0.037,0.25,0.90,0.025090
0.037,0.30,0.00,0.148515
0.037,0.30,0.50,0.035933
0.037,0.30,0.90,0.022368
0.037,0.35,0.00,0.115394
0.037,0.35,0.50,0.031310
0.037,0.35,0.90,0.019780
0.037,0.40,0.00,0.090553
0.037,0.40,0.50,0.027032
0.037,0.40,0.90,0.017315
0.037,0.45,0.00,0.071232
0.037,0.45,0.50,0.023062
0.037,0.45,0.90,0.014966
0.037,0.50,0.00,0.055776
0.037,0.50,0.50,0.019368
0.037,0.50,0.90,0.012723
0.037,0.55,0.00,0.043129
0.037,0.55,0.50,0.015921
0.037,0.55,0.90,0.010581
0.037,0.60,0.00,0.032591
0.037,0.60,0.50,0.012698
0.037,0.60,0.90,0.008532
0.037,0.65,0.00,0.023674
0.037,0.65,0.50,0.009678
0.037,0.65,0.90,0.006571
0.037,0.70,0.00,0.016030
0.037,0.70,0.50,0.006842
0.037,0.70,0.90,0.004691
0.037,0.75,0.00,0.009406
0.037,0.75,0.50,0.004174
0.037,0.75,0.90,0.002889
0.037,0.80,0.00,0.003610
0.037,0.80,0.50,0.001660
0.037,0.80,0.90,0.001159
0.037,0.85,0.00,-0.001505
0.037,0.85,0.50,-0.000714
0.037,0.85,0.90,-0.000503
0.037,0.90,0.00,-0.006051
0.037,0.90,0.50,-0.002960
0.037,0.90,0.90,-0.002101
0.037,0.95,0.00,-0.010118
0.037,0.95,0.50,-0.005086
0.037,0.95,0.90,-0.003638
0.037,1.00,0.00,-0.013779
0.037,1.00,0.50,-0.007103
0.037,1.00,0.90,-0.005119
0.038,0.05,0.00,1.345353
0.038,0.05,0.50,0.067952
0.038,0.05,0.90,0.038618
0.038,0.10,0.00,0.631010
0.038,0.10,0.50,0.060678
0.038,0.10,0.90,0.035215
0.038,0.15,0.00,0.392895
0.038,0.15,0.50,0.054072
0.038,0.15,0.90,0.031997
0.038,0.20,0.00,0.273838
0.038,0.20,0.50,0.048045
0.038,0.20,0.90,0.028949
0.038,0.25,0.00,0.202404
0.038,0.25,0.50,0.042525
0.038,0.25,0.90,0.026058
0.038,0.30,0.00,0.154781
0.038,0.30,0.50,0.037449
0.038,0.30,0.90,0.023312
0.038,0.35,0.00,0.120765
0.038,0.35,0.50,0.032768
0.038,0.35,0.90,0.020701
0.038,0.40,0.00,0.095252
0.038,0.40,0.50,0.028435
0.038,0.40,0.90,0.018214
0.038,0.45,0.00,0.075410
0.038,0.45,0.50,0.024414
0.038,0.45,0.90,0.015843
0.038,0.50,0.00,0.059535
0.038,0.50,0.50,0.020673
0.038,0.50,0.90,0.013581
0.038,0.55,0.00,0.046547
0.038,0.55,0.50,0.017183
0.038,0.55,0.90,0.011419
0.038,0.60,0.00,0.035724
0.038,0.60,0.50,0.013919
0.038,0.60,0.90,0.009352
0.038,0.65,0.00,0.026566
0.038,0.65,0.50,0.010861
0.038,0.65,0.90,0.007373
0.038,0.70,0.00,0.018716
0.038,0.70,0.50,0.007989
0.038,0.70,0.90,0.005477
0.038,0.75,0.00,0.011912
0.038,0.75,0.50,0.005287
0.038,0.75,0.90,0.003659
0.038,0.80,0.00,0.005960
0.038,0.80,0.50,0.002740
0.038,0.80,0.90,0.001913
0.038,0.85,0.00,0.000707
0.038,0.85,0.50,0.000336
0.038,0.85,0.90,0.000236
0.038,0.90,0.00,-0.003962
0.038,0.90,0.50,-0.001938
0.038,0.90,0.90,-0.001376
0.038,0.95,0.00,-0.008139
0.038,0.95,0.50,-0.004091
0.038,0.95,0.90,-0.002927
0.038,1.00,0.00,-0.011899
0.038,1.00,0.50,-0.006134
0.038,1.00,0.90,-0.004420
0.039,0.05,0.00,1.382950
0.039,0.05,0.50,0.069851
0.039,0.05,0.90,0.039697
0.039,0.10,0.00,0.649808
0.039,0.10,0.50,0.062486
0.039,0.10,0.90,0.036264
0.039,0.15,0.00,0.405428
0.039,0.15,0.50,0.055797
0.039,0.15,0.90,0.033018
0.039,0.20,0.00,0.283237
0.039,0.20,0.50,0.049694
0.039,0.20,0.90,0.029943
0.039,0.25,0.00,0.209923
0.039,0.25,0.50,0.044104
0.039,0.25,0.90,0.027026
0.039,0.30,0.00,0.161047
0.039,0.30,0.50,0.038965
0.039,0.30,0.90,0.024256
0.039,0.35,0.00,0.126136
0.039,0.35,0.50,0.034225
0.039,0.35,0.90,0.021621
0.039,0.40,0.00,0.099952
0.039,0.40,0.50,0.029838
0.039,0.40,0.90,0.019113
0.039,0.45,0.00,0.079587
