domain,outcome,a_basis,a,tau_basis,tau,c,mstar,mstar_over_observed,T_years,phi_at_optimum
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,"repo, nearest 5 years since arrival",0.416113,0.50,-0.020591,-34.548,inf,
earnings,"CPS wage and salary, common age",a(G2->G3+),0.003593,"repo, nearest 5 years since arrival",0.416113,0.90,-0.013246,-22.224,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,paper Mexico row,0.239000,0.00,0.048815,81.904,102.1,2.905460
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,paper Mexico row,0.239000,0.50,0.009896,16.604,503.4,0.589015
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,paper Mexico row,0.239000,0.90,0.006042,10.138,824.6,0.359634
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo maximum,0.664480,0.00,-0.035802,-60.071,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo maximum,0.664480,0.50,-0.014828,-24.879,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo maximum,0.664480,0.90,-0.010096,-16.940,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo minimum,0.347107,0.00,0.007657,12.847,650.7,0.455744
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo minimum,0.347107,0.50,0.002065,3.465,2412.6,0.122912
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,repo minimum,0.347107,0.90,0.001303,2.187,3822.1,0.077584
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,"repo, nearest 5 years since arrival",0.416113,0.00,-0.007432,-12.470,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,"repo, nearest 5 years since arrival",0.416113,0.50,-0.002281,-3.827,inf,
earnings,"mean earnings, adults 25-64",a(G1->G2),0.016801,"repo, nearest 5 years since arrival",0.416113,0.90,-0.001467,-2.462,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,paper Mexico row,0.239000,0.00,0.001527,2.563,3261.9,0.141566
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,paper Mexico row,0.239000,0.50,0.000310,0.520,16090.2,0.028699
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,paper Mexico row,0.239000,0.90,0.000189,0.317,26352.8,0.017523
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo maximum,0.664480,0.00,-0.052811,-88.608,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo maximum,0.664480,0.50,-0.021872,-36.698,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo maximum,0.664480,0.90,-0.014892,-24.987,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo minimum,0.347107,0.00,-0.024903,-41.783,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo minimum,0.347107,0.50,-0.006716,-11.269,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,repo minimum,0.347107,0.90,-0.004239,-7.113,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,"repo, nearest 5 years since arrival",0.416113,0.00,-0.034592,-58.041,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,"repo, nearest 5 years since arrival",0.416113,0.50,-0.010615,-17.810,inf,
earnings,"mean earnings, adults 25-64",a(G1->G3+),0.010789,"repo, nearest 5 years since arrival",0.416113,0.90,-0.006829,-11.457,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,paper Mexico row,0.239000,0.00,-0.045768,-76.792,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,paper Mexico row,0.239000,0.50,-0.009278,-15.568,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,paper Mexico row,0.239000,0.90,-0.005665,-9.505,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo maximum,0.664480,0.00,-0.069822,-117.151,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo maximum,0.664480,0.50,-0.028917,-48.519,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo maximum,0.664480,0.90,-0.019689,-33.036,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo minimum,0.347107,0.00,-0.057468,-96.422,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo minimum,0.347107,0.50,-0.015499,-26.005,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,repo minimum,0.347107,0.90,-0.009783,-16.415,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,"repo, nearest 5 years since arrival",0.416113,0.00,-0.061757,-103.619,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,"repo, nearest 5 years since arrival",0.416113,0.50,-0.018951,-31.797,inf,
earnings,"mean earnings, adults 25-64",a(G2->G3+),0.004776,"repo, nearest 5 years since arrival",0.416113,0.90,-0.012191,-20.454,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,paper Mexico row,0.239000,0.00,0.058717,98.519,84.8,3.251234
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,paper Mexico row,0.239000,0.50,0.011904,19.972,418.5,0.659113
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,paper Mexico row,0.239000,0.90,0.007268,12.195,685.5,0.402433
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo maximum,0.664480,0.00,-0.032241,-54.095,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo maximum,0.664480,0.50,-0.013353,-22.404,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo maximum,0.664480,0.90,-0.009092,-15.255,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo minimum,0.347107,0.00,0.014475,24.288,344.2,0.801517
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo minimum,0.347107,0.50,0.003904,6.550,1276.2,0.216166
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,repo minimum,0.347107,0.90,0.002464,4.135,2021.8,0.136447
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,"repo, nearest 5 years since arrival",0.416113,0.00,-0.001745,-2.927,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,"repo, nearest 5 years since arrival",0.416113,0.50,-0.000535,-0.898,inf,
earnings,"median earnings, workers 25-64",a(G1->G2),0.018060,"repo, nearest 5 years since arrival",0.416113,0.90,-0.000344,-0.578,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,paper Mexico row,0.239000,0.00,0.021521,36.110,231.5,1.614388
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,paper Mexico row,0.239000,0.50,0.004363,7.320,1141.9,0.327280
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,paper Mexico row,0.239000,0.90,0.002664,4.470,1870.2,0.199827
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo maximum,0.664480,0.00,-0.045619,-76.542,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo maximum,0.664480,0.50,-0.018894,-31.701,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo maximum,0.664480,0.90,-0.012864,-21.585,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo minimum,0.347107,0.00,-0.011136,-18.684,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo minimum,0.347107,0.50,-0.003003,-5.039,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,repo minimum,0.347107,0.90,-0.001896,-3.181,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,"repo, nearest 5 years since arrival",0.416113,0.00,-0.023109,-38.773,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,"repo, nearest 5 years since arrival",0.416113,0.50,-0.007091,-11.898,inf,
earnings,"median earnings, workers 25-64",a(G1->G3+),0.013331,"repo, nearest 5 years since arrival",0.416113,0.90,-0.004562,-7.654,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,paper Mexico row,0.239000,0.00,-0.015674,-26.299,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,paper Mexico row,0.239000,0.50,-0.003178,-5.332,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,paper Mexico row,0.239000,0.90,-0.001940,-3.255,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo maximum,0.664480,0.00,-0.058998,-98.990,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo maximum,0.664480,0.50,-0.024435,-40.998,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo maximum,0.664480,0.90,-0.016637,-27.915,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo minimum,0.347107,0.00,-0.036747,-61.656,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo minimum,0.347107,0.50,-0.009910,-16.628,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,repo minimum,0.347107,0.90,-0.006256,-10.496,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,"repo, nearest 5 years since arrival",0.416113,0.00,-0.044473,-74.618,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,"repo, nearest 5 years since arrival",0.416113,0.50,-0.013647,-22.897,inf,
earnings,"median earnings, workers 25-64",a(G2->G3+),0.008602,"repo, nearest 5 years since arrival",0.416113,0.90,-0.008779,-14.730,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,paper Mexico row,0.239000,0.00,-0.056488,-94.779,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,paper Mexico row,0.239000,0.50,-0.011452,-19.214,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,paper Mexico row,0.239000,0.90,-0.006992,-11.732,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo maximum,0.664480,0.00,-0.073678,-123.620,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo maximum,0.664480,0.50,-0.030514,-51.199,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo maximum,0.664480,0.90,-0.020777,-34.860,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo minimum,0.347107,0.00,-0.064849,-108.808,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo minimum,0.347107,0.50,-0.017490,-29.345,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,repo minimum,0.347107,0.90,-0.011040,-18.523,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,"repo, nearest 5 years since arrival",0.416113,0.00,-0.067915,-113.951,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,"repo, nearest 5 years since arrival",0.416113,0.50,-0.020840,-34.967,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G2),0.003413,"repo, nearest 5 years since arrival",0.416113,0.90,-0.013406,-22.494,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,paper Mexico row,0.239000,0.00,-0.035826,-60.110,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,paper Mexico row,0.239000,0.50,-0.007263,-12.186,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,paper Mexico row,0.239000,0.90,-0.004434,-7.440,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo maximum,0.664480,0.00,-0.066246,-111.151,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo maximum,0.664480,0.50,-0.027436,-46.034,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo maximum,0.664480,0.90,-0.018681,-31.344,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo minimum,0.347107,0.00,-0.050622,-84.936,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo minimum,0.347107,0.50,-0.013653,-22.907,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,repo minimum,0.347107,0.90,-0.008618,-14.459,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,"repo, nearest 5 years since arrival",0.416113,0.00,-0.056047,-94.038,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,"repo, nearest 5 years since arrival",0.416113,0.50,-0.017198,-28.857,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G1->G3+),0.006040,"repo, nearest 5 years since arrival",0.416113,0.90,-0.011064,-18.563,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,paper Mexico row,0.239000,0.00,-0.015163,-25.442,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,paper Mexico row,0.239000,0.50,-0.003074,-5.158,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,paper Mexico row,0.239000,0.90,-0.001877,-3.149,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo maximum,0.664480,0.00,-0.058814,-98.681,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo maximum,0.664480,0.50,-0.024358,-40.870,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo maximum,0.664480,0.90,-0.016585,-27.828,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo minimum,0.347107,0.00,-0.036395,-61.065,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo minimum,0.347107,0.50,-0.009816,-16.469,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,repo minimum,0.347107,0.90,-0.006196,-10.396,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,"repo, nearest 5 years since arrival",0.416113,0.00,-0.044179,-74.126,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,"repo, nearest 5 years since arrival",0.416113,0.50,-0.013557,-22.746,inf,
fiscal,"ledger balance, common age (all_age_shared)",a(G2->G3+),0.008667,"repo, nearest 5 years since arrival",0.416113,0.90,-0.008721,-14.632,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,paper Mexico row,0.239000,0.00,-0.011112,-18.645,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,paper Mexico row,0.239000,0.50,-0.002253,-3.780,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,paper Mexico row,0.239000,0.90,-0.001375,-2.308,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo maximum,0.664480,0.00,-0.057357,-96.236,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo maximum,0.664480,0.50,-0.023755,-39.857,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo maximum,0.664480,0.90,-0.016174,-27.138,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo minimum,0.347107,0.00,-0.033606,-56.386,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo minimum,0.347107,0.50,-0.009063,-15.207,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,repo minimum,0.347107,0.90,-0.005721,-9.599,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,"repo, nearest 5 years since arrival",0.416113,0.00,-0.041852,-70.222,inf,
