spec,line,key,meps_payer_ratio,account_target_bn,key_weighted_ratio,se_ratio,delta_bn,se_bn,ci_lo_bn,ci_hi_bn,delta_bn_renormalized
winsor_p995,all five medical lines,,,207.43188802514373,,,-3.002576620499528,8.03914408930503,-18.75900950206544,12.753856261066382,
winsor_p999,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1039908887575218,0.0600428950273851,12.15795041216907,7.019831728221661,-1.6006669526769497,25.916567777015093,10.51796606584386
winsor_p999,medicare,medicare,medicare,63.9649823655796,0.8588608393019275,0.05514083408743922,-9.027963925144915,3.5270824800264005,-15.940918556498874,-2.115009293790956,-8.569736224553981
winsor_p999,health_services,health_other,other_public,23.53499600651205,0.775941274024414,0.07846402659314954,-5.273221221059593,1.8466505525246295,-8.892589796038859,-1.6538526460803278,-4.950306948967264
winsor_p999,military_medical,tricare,tricare,0.648413932682994,0.5025873109317699,0.09096655992235422,-0.3225293178851544,0.058983984861896925,-0.4381358038791281,-0.20692283189118066,-0.30698843010551236
winsor_p999,veterans_other,va_medical,va,2.369883793096611,0.7281445091340213,0.12331788647157936,-0.6442659218676067,0.2922490605479237,-1.2170635550572029,-0.07146828867801058,-0.6138138831363814
winsor_p999,all five medical lines,,,207.43188802514373,,,-3.1100299737881993,8.664013908332596,-20.0911851956742,13.871125248097803,
two_part_lognormal,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1502195452654547,0.060046777632152167,17.562709619056708,7.020285657568664,3.803202569039038,31.32221666907438,15.108340123585995
two_part_lognormal,medicare,medicare,medicare,63.9649823655796,0.7521818641604259,0.05214364524876578,-15.85168268884917,3.3353673488143416,-22.388882567736122,-9.314482809962216,-15.142572690579025
two_part_lognormal,health_services,health_other,other_public,23.53499600651205,0.7436720075187724,0.07387776848575389,-6.032678279402942,1.7387129862822395,-9.440493111968216,-2.624863446837668,-5.67771665127069
two_part_lognormal,military_medical,tricare,tricare,0.648413932682994,0.5283817501517762,0.12137236705920984,-0.30580384410915756,0.07869953384390613,-0.46005209604330466,-0.1515555921750105,-0.2903508307867515
two_part_lognormal,veterans_other,va_medical,va,2.369883793096611,0.678226166043425,0.12603166790207682,-0.762566594136247,0.29868040717806615,-1.3479694350930154,-0.1771637531794786,-0.7288847773886695
two_part_lognormal,all five medical lines,,,207.43188802514373,,,-5.3900217874408085,8.782810587581896,-22.604014222138392,11.823970647256775,
pooled_excl_2020_2021,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1818941900305249,0.1658374914847379,21.26590674505434,19.388660122439003,-16.735168803414055,59.26698229352273,18.223886812846047
pooled_excl_2020_2021,medicare,medicare,medicare,63.9649823655796,0.8690155487902604,0.06476117545408817,-8.378418111796112,4.142447445894956,-16.497465913600163,-0.2593703099920638,-7.948389105772065
pooled_excl_2020_2021,health_services,health_other,other_public,23.53499600651205,0.8298142760009645,0.100085595734341,-4.005320334682663,2.355514095917095,-8.622043127756596,0.6114024583912696,-3.744129450308187
pooled_excl_2020_2021,military_medical,tricare,tricare,0.648413932682994,0.5567710311001807,0.14064494725914892,-0.2873958388033603,0.09119614336429702,-0.4661369953263339,-0.10865468228038669,-0.27213417067701395
pooled_excl_2020_2021,veterans_other,va_medical,va,2.369883793096611,0.7578048279066212,0.1467402719228194,-0.573974413110343,0.3477573922244794,-1.255566377227892,0.107617551007206,-0.5457939471130394
pooled_excl_2020_2021,all five medical lines,,,207.43188802514373,,,8.020798046661863,20.369897607839775,-31.903467633472697,47.94506372679642,
pooled_cpi_all_items,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1641420088246912,0.13662735773240728,19.190435120692882,15.973597880575296,-12.117241428760034,50.4981116701458,16.480714878775643
pooled_cpi_all_items,medicare,medicare,medicare,63.9649823655796,0.8338214298888322,0.05755930970392369,-10.629609306698079,3.6817802301864138,-17.845765956855043,-3.4134526565411187,-10.105040806531887
pooled_cpi_all_items,health_services,health_other,other_public,23.53499600651205,0.7758742310109015,0.08356377403224455,-5.274799078114876,1.9666730881379506,-9.129407500229426,-1.4201906560003248,-4.951814383320229
pooled_cpi_all_items,military_medical,tricare,tricare,0.648413932682994,0.529227857473831,0.11948124889816993,-0.30525521633299213,0.077473306479938,-0.4571001067969042,-0.15341032586908007,-0.2898064758003102
pooled_cpi_all_items,veterans_other,va_medical,va,2.369883793096611,0.6660569620077695,0.12343754042543013,-0.7914061935552328,0.2925326265139346,-1.3647596058254516,-0.21805278128501399,-0.7570505310187621
pooled_cpi_all_items,all five medical lines,,,207.43188802514373,,,2.1893653259917025,16.972939484784263,-31.076984775963275,35.45571542794668,
pooled_year_normalized,medicaid_and_chip_other_medical,medicaid,medicaid,116.91361192727248,1.1547276450730446,0.12621838617998507,18.08976785049069,14.756647419933387,-10.83272962513466,47.01226532611604,15.553223679835853
