spec,age_group,nativity,component,ledger_cost_bn,delta_cost_bn,se_bn,ci_lo_bn,ci_hi_bn,implied_ratio
two_part_lognormal,65+,both,medical+M,43.617969668345864,-6.586166984916918,3.078534410988962,-12.619983555622513,-0.5523504142113237,0.8490033572173218
two_part_lognormal,all ages,both,medical,92.87768266969373,-6.065582799936905,4.190271645613302,-14.278364310778363,2.1471987109045516,0.9346927849017478
two_part_lognormal,all ages,both,medical_transport_payers,92.87768266969373,-2.123330919356903,6.949382277342888,-15.743869897749905,11.4972080590361,0.9771384162661743
two_part_lognormal,all ages,both,M,35.1503810279411,0.609589733469162,1.6987445319222692,-2.719888368032837,3.939067834971161,1.0173423364311356
two_part_lognormal,all ages,both,medical+M,128.02806369763482,-5.455993066467743,5.785102680399912,-16.7945859669177,5.882599833982216,0.9573843975383927
two_part_lognormal,all ages,us_born,medical,58.63519720503764,-1.2986603282663116,2.6832526922767466,-6.557738966548872,3.960418310016249,0.977851863894563
two_part_lognormal,all ages,us_born,medical_transport_payers,58.63519720503764,0.9751867906100998,5.882498940064829,-10.554299271012006,12.504672852232206,1.016631423395747
two_part_lognormal,all ages,us_born,M,23.877914943409316,1.367208041677124,1.2322261030575008,-1.0479107411257187,3.782326824479967,1.0572582675211553
two_part_lognormal,all ages,us_born,medical+M,82.51311214844696,0.06854771341081238,3.8110846592882357,-7.401040960827232,7.538136387648857,1.00083074933942
two_part_lognormal,all ages,foreign_born,medical,34.242485464656085,-4.766922471670585,2.3559023872571827,-9.384406301786598,-0.1494386415545721,0.8607892386611118
two_part_lognormal,all ages,foreign_born,medical_transport_payers,34.242485464656085,-3.0985177099670183,2.3529407338560993,-7.710196806082217,1.513161386148181,0.9095124764478559
two_part_lognormal,all ages,foreign_born,M,11.272466084531787,-0.7576183082079735,0.8058649403421237,-2.3370845676820555,0.8218479512661083,0.932790367030016
two_part_lognormal,all ages,foreign_born,medical+M,45.51495154918786,-5.524540779878559,3.1234280259853247,-11.646347219112831,0.5972656593557139,0.8786214069917618
pooled_excl_2020_2021,0-17,both,medical,17.765167580702354,7.592082833597073,5.558673539959107,-3.3027171065385477,18.48688277373269,1.427357794352814
pooled_excl_2020_2021,0-17,both,medical_transport_payers,17.765167580702354,7.5957119623677825,5.560225632148515,-3.302130022559761,18.493553947295325,1.4275620777491975
pooled_excl_2020_2021,0-17,both,M,9.138000853840099,4.377518917707407,3.0966574784131455,-1.6918182124389782,10.446856047853792,1.4790455798510704
pooled_excl_2020_2021,0-17,both,medical+M,26.903168434542454,11.969601751304479,8.649441195354418,-4.9829914779872535,28.922194980596213,1.4449142033373308
pooled_excl_2020_2021,18-64,both,medical,41.20664847955583,-3.9091118055291902,2.697483686558919,-9.196082680069004,1.377859069010623,0.9051339541125591
pooled_excl_2020_2021,18-64,both,medical_transport_payers,41.20664847955583,-4.136581814947922,2.7186635971429816,-9.465064551428275,1.1919009215324325,0.899613728182717
pooled_excl_2020_2021,18-64,both,M,16.300277115190685,-0.8931372463430195,1.2253236620885255,-3.2947274934412567,1.5084530007552175,0.9452072354333977
pooled_excl_2020_2021,18-64,both,medical+M,57.50692559474652,-4.802249051872209,3.8699066480203848,-12.387126705524288,2.782628601779868,0.9164926832341231
pooled_excl_2020_2021,65+,both,medical,33.90586660943555,-2.957560560599678,2.30647009040492,-7.478158869212164,1.563037748012808,0.9127714211033725
pooled_excl_2020_2021,65+,both,medical_transport_payers,33.90586660943555,-2.9915438681148756,2.308831883901962,-7.516771206920485,1.533683470690733,0.9117691371061323
pooled_excl_2020_2021,65+,both,M,9.71210305891032,-0.7621363182758045,0.715008895136688,-2.1635280013694893,0.6392553648178801,0.9215271590866628
pooled_excl_2020_2021,65+,both,medical+M,43.617969668345864,-3.7196968788754825,3.014411376702458,-9.627834611800102,2.188440854049137,0.9147209990020486
pooled_excl_2020_2021,all ages,both,medical,92.87768266969373,0.7254104674682159,7.890957037207186,-14.74058112901076,16.19140206394719,1.0078103850851667
pooled_excl_2020_2021,all ages,both,medical_transport_payers,92.87768266969373,0.4675862793049927,7.911423974764588,-15.038519777660323,15.973692336270307,1.0050344309404005
pooled_excl_2020_2021,all ages,both,M,35.1503810279411,2.722245353088585,4.079670366890256,-5.273761634811627,10.718252340988796,1.0774456854656758
pooled_excl_2020_2021,all ages,both,medical+M,128.02806369763482,3.447655820556801,11.914737652370375,-19.904800863332447,26.800112504446048,1.0269289069988528
pooled_excl_2020_2021,all ages,us_born,medical,58.63519720503764,3.1063271636791154,6.90241641228791,-10.422160410703361,16.634814738061593,1.0529771760264879
pooled_excl_2020_2021,all ages,us_born,medical_transport_payers,58.63519720503764,3.0910312791631926,6.910602566915729,-10.453500863461684,16.63556342178807,1.0527163107911852
pooled_excl_2020_2021,all ages,us_born,M,23.877914943409316,2.972054561789841,3.8013291874182236,-4.4784137389307865,10.422522862510467,1.1244687640790083
pooled_excl_2020_2021,all ages,us_born,medical+M,82.51311214844696,6.078381725468956,10.670760885738675,-14.835925298217571,26.992688749155484,1.073665646188857
pooled_excl_2020_2021,all ages,foreign_born,medical,34.242485464656085,-2.380916696210899,2.482878980732114,-7.2472700764173625,2.4854366839955637,0.9304689287619499
