sample,step,group,reference,mean_group,mean_reference,n_group,n_reference,ratio,se,ci_lo,ci_hi,excludes_one
pooled_2016_2024,share 65+: medicaid_ever,mexican_origin,,0.30283908868156345,,3033,0,,0.01906470814084842,,,False
pooled_2016_2024,share 65+: medicare_ever,mexican_origin,,0.9512398261758712,,3033,0,,0.006845819078045914,,,False
pooled_2016_2024,share 65+: uninsured_all_year,mexican_origin,,0.022453981042243883,,3033,0,,0.0037554522416973464,,,False
pooled_2016_2024,share 65+: below 200% FPL,mexican_origin,,0.4832992599253846,,3033,0,,0.018131151569399238,,,False
pooled_2016_2024,share 65+: medicaid_ever,hispanic,,0.32077691638290223,,5520,0,,0.014719193407044378,,,False
pooled_2016_2024,share 65+: medicare_ever,hispanic,,0.9527239463630504,,5520,0,,0.005274945799043846,,,False
pooled_2016_2024,share 65+: uninsured_all_year,hispanic,,0.019738171101764443,,5520,0,,0.003246860912124774,,,False
pooled_2016_2024,share 65+: below 200% FPL,hispanic,,0.4742576136032899,,5520,0,,0.013459407224947187,,,False
pooled_2016_2024,share 65+: medicaid_ever,nh_white,,0.0642291703496433,,31993,0,,0.0028241854202017574,,,False
pooled_2016_2024,share 65+: medicare_ever,nh_white,,0.9875434865135437,,31993,0,,0.0010539664817404346,,,False
pooled_2016_2024,share 65+: uninsured_all_year,nh_white,,0.001102995916542878,,31993,0,,0.0002568792987287887,,,False
pooled_2016_2024,share 65+: below 200% FPL,nh_white,,0.2457567392614239,,31993,0,,0.005979418129365151,,,False
pooled_2016_2024,share 65+: medicaid_ever,all_donors,,0.11719306336336925,,46639,0,,0.00415238742074484,,,False
pooled_2016_2024,share 65+: medicare_ever,all_donors,,0.9823874329151002,,46639,0,,0.0011703910459451039,,,False
pooled_2016_2024,share 65+: uninsured_all_year,all_donors,,0.003335441615556996,,46639,0,,0.0004110203267538162,,,False
pooled_2016_2024,share 65+: below 200% FPL,all_donors,,0.28991030654942035,,46639,0,,0.005650937269803884,,,False
2023_only,"1 ledger estimand: Mexican-origin / all donors, all public payers",mexican_origin,all_donors,7852.098001695125,10874.395666469292,278,4497,0.7220721263533489,0.10619733930886655,0.5139291660539907,0.9302150866527071,True
2023_only,2 reference switched to non-Hispanic white,mexican_origin,nh_white,7852.098001695125,11111.165558132738,278,3231,0.7066853572303977,0.1085090887886241,0.4940114512094355,0.9193592632513599,True
2023_only,3 group widened to all Hispanic (MCBS CSP_RACE=3),hispanic,nh_white,8950.599666772961,11111.165558132738,468,3231,0.8055500226276112,0.082661884088625,0.6435357069196816,0.9675643383355408,True
2023_only,4 restricted to Medicare-ever (MCBS universe),hispanic,nh_white,9304.73393006274,11236.218431021489,447,3196,0.82810190876797,0.08625293353265365,0.6590492654830417,0.9971545520528983,True
2023_only,5 public = Medicare + Medicaid only (MCBS payer set),hispanic,nh_white,8923.272311329722,10554.305762256183,447,3196,0.8454627440528313,0.0889782021130357,0.6710686725021555,1.019856815603507,False
2023_only,6a step 5 below 200% FPL (POVCAT 1-3),hispanic,nh_white,11902.927885118628,11654.283838951967,240,844,1.0213349914591594,0.12647845998942603,0.7734417650597942,1.2692282178585246,False
2023_only,6b step 5 at or above 200% FPL (POVCAT 4-5),hispanic,nh_white,6755.787501090809,10198.424009129563,207,2352,0.6624344599756856,0.1064638568325197,0.45376913492871845,0.8710997850226527,True
2023_only,7a Mexican-origin / all donors below 200% FPL,mexican_origin,all_donors,9940.901503586294,12336.53245266904,149,1468,0.8058100233372754,0.145092651715385,0.521433651553707,1.0901863951208437,False
2023_only,7b Mexican-origin / all donors at or above 200% FPL,mexican_origin,all_donors,6294.092732106328,10303.41906914906,129,3029,0.6108741855363693,0.10088729961612852,0.4131387117912558,0.8086096592814829,True
2023_only,"8 Mexican-origin / all donors, Medicare-ever only",mexican_origin,all_donors,7944.632247639351,11028.31909069472,268,4428,0.7203846916564767,0.11046894776441196,0.5038695326281927,0.9368998506847607,True
2023_only,share 65+: medicaid_ever,mexican_origin,,0.2922596048689608,,278,0,,0.032550396912499203,,,False
2023_only,share 65+: medicare_ever,mexican_origin,,0.95987980733389,,278,0,,0.013494568471915824,,,False
2023_only,share 65+: uninsured_all_year,mexican_origin,,0.009694716696133861,,278,0,,0.006418641632834502,,,False
2023_only,share 65+: below 200% FPL,mexican_origin,,0.4272242849071906,,278,0,,0.04043046335137132,,,False
2023_only,share 65+: medicaid_ever,hispanic,,0.2881284424920373,,468,0,,0.024192661997527683,,,False
2023_only,share 65+: medicare_ever,hispanic,,0.9474719741899368,,468,0,,0.011613227609886227,,,False
2023_only,share 65+: uninsured_all_year,hispanic,,0.012414455966508234,,468,0,,0.006196894318037194,,,False
2023_only,share 65+: below 200% FPL,hispanic,,0.40933796865101757,,468,0,,0.031170769285970578,,,False
2023_only,share 65+: medicaid_ever,nh_white,,0.07441425603545355,,3231,0,,0.006478062122484108,,,False
2023_only,share 65+: medicare_ever,nh_white,,0.9884534352772171,,3231,0,,0.002208890380089964,,,False
2023_only,share 65+: uninsured_all_year,nh_white,,0.0012509139317000502,,3231,0,,0.0007438313609486114,,,False
2023_only,share 65+: below 200% FPL,nh_white,,0.24378721553596433,,3231,0,,0.013227542989808811,,,False
2023_only,share 65+: medicaid_ever,all_donors,,0.12742167548081795,,4497,0,,0.007499844203348413,,,False
2023_only,share 65+: medicare_ever,all_donors,,0.9844806722544774,,4497,0,,0.0021945052544307393,,,False
2023_only,share 65+: uninsured_all_year,all_donors,,0.0025048702640650226,,4497,0,,0.0009359134482578648,,,False
2023_only,share 65+: below 200% FPL,all_donors,,0.28083854149427123,,4497,0,,0.01130917115575102,,,False
