window,reference,component,gap_total,gap_per_person
w2_1990_1999,third_plus_nh_white,medical,2056072143.5144315,783.9761480011629
w2_1990_1999,all_native,tax,-22124212560.003067,-8435.91748230327
w2_1990_1999,all_native,employer,-3439185190.5227437,-1311.3543541910942
w2_1990_1999,all_native,sales,-1153985230.4387012,-440.01223335635217
w2_1990_1999,all_native,owner_property,-2051360615.2590177,-782.1796518108276
w2_1990_1999,all_native,cash,6758571078.894304,2577.0294768776093
w2_1990_1999,all_native,noncash,-186783147.7625116,-71.22003629896368
w2_1990_1999,all_native,school,-1259347976.6505768,-480.1868352926536
w2_1990_1999,all_native,lunch,147452704.83954486,56.22341799488876
w2_1990_1999,all_native,medical,2012981079.4403646,767.5456124615323
w3_2000_2009,third_plus_nh_white,tax,-32111787797.35638,-9784.615593555749
w3_2000_2009,third_plus_nh_white,employer,-5331434635.629026,-1624.5136770645197
w3_2000_2009,third_plus_nh_white,sales,-1576683140.6391714,-480.42290704426443
w3_2000_2009,third_plus_nh_white,owner_property,-2640905038.06413,-804.6964180134977
w3_2000_2009,third_plus_nh_white,cash,6073354951.593315,1850.5803519743988
w3_2000_2009,third_plus_nh_white,noncash,-505097786.2743117,-153.90571546617494
w3_2000_2009,third_plus_nh_white,school,-2414031154.454288,-735.5668586956523
w3_2000_2009,third_plus_nh_white,lunch,260356559.36071178,79.33189103893702
w3_2000_2009,third_plus_nh_white,medical,2829794939.833634,862.2520760784547
w3_2000_2009,all_native,tax,-28547965374.28891,-8698.70182651596
w3_2000_2009,all_native,employer,-4755997715.433622,-1449.1752904887596
w3_2000_2009,all_native,sales,-1438830964.7821631,-438.41868859314735
w3_2000_2009,all_native,owner_property,-2324953966.1551785,-708.4246126406593
w3_2000_2009,all_native,cash,6333921647.7286215,1929.976272695347
w3_2000_2009,all_native,noncash,-370210405.1306754,-112.8048841689347
w3_2000_2009,all_native,school,-2389416036.585701,-728.0665143469015
w3_2000_2009,all_native,lunch,236308759.33599997,72.0044111553076
w3_2000_2009,all_native,medical,2780613670.0753946,847.2663075493367
w4_2010_2015,third_plus_nh_white,tax,-9345277184.718914,-9498.28136338727
w4_2010_2015,third_plus_nh_white,employer,-1559845499.8982224,-1585.3838413346555
w4_2010_2015,third_plus_nh_white,sales,-456205744.3731704,-463.6749059445083
w4_2010_2015,third_plus_nh_white,owner_property,-807902321.4911351,-821.129583636568
w4_2010_2015,third_plus_nh_white,cash,1865699239.6672711,1896.245126553777
w4_2010_2015,third_plus_nh_white,noncash,-149719831.104072,-152.17109705752083
w4_2010_2015,third_plus_nh_white,school,-1187229066.5122492,-1206.666800099214
w4_2010_2015,third_plus_nh_white,lunch,74481415.7769474,75.70085182167408
w4_2010_2015,third_plus_nh_white,medical,761877187.8932707,774.3509102961095
w4_2010_2015,all_native,tax,-8177276965.013263,-8311.158231565889
w4_2010_2015,all_native,employer,-1366486564.828497,-1388.8591654887327
w4_2010_2015,all_native,sales,-409984715.98326004,-416.6971305532817
w4_2010_2015,all_native,owner_property,-710332519.263641,-721.9623341469356
