arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus,2022,turnout_census_convention,8 Indian 2nd gen (self-ID),181,703249.932500,0.373772,0.038470,158.156217
citizens_18plus,2022,turnout_census_convention,9 US-born Asian (any),1507,4966806.629600,0.384474,0.014227,1169.265436
citizens_18plus,2022,turnout_reported_only,1 India-born,261,1034738.822300,0.567764,0.032232,236.215055
citizens_18plus,2022,turnout_reported_only,2 China-born,236,931364.607000,0.380887,0.033502,210.099878
citizens_18plus,2022,turnout_reported_only,3 Mexico-born,823,3274716.448100,0.399339,0.018201,724.109260
citizens_18plus,2022,turnout_reported_only,4 Other foreign-born,3753,14354082.023400,0.527803,0.008894,3150.769032
citizens_18plus,2022,turnout_reported_only,5 Indian 2nd gen,122,446425.350300,0.629936,0.047837,101.868500
citizens_18plus,2022,turnout_reported_only,6 US-born NH white,43847,127677239.448300,0.680355,0.002552,33380.749832
citizens_18plus,2022,turnout_reported_only,7 All US-born,56600,175397440.245400,0.639064,0.002327,42595.561416
citizens_18plus,2022,turnout_reported_only,8 Indian 2nd gen (self-ID),126,481780.214600,0.545591,0.048230,106.579152
citizens_18plus,2022,turnout_reported_only,9 US-born Asian (any),1131,3630206.830600,0.526033,0.017064,856.210604
citizens_18plus,2022,vote_item_nonresponse,1 India-born,317,1249656.476700,0.171981,0.022284,286.782525
citizens_18plus,2022,vote_item_nonresponse,2 China-born,274,1072920.136400,0.131935,0.021715,242.891192
citizens_18plus,2022,vote_item_nonresponse,3 Mexico-born,984,3877215.939700,0.155395,0.012333,862.867783
citizens_18plus,2022,vote_item_nonresponse,4 Other foreign-born,4554,17511178.193400,0.180290,0.006220,3819.292479
citizens_18plus,2022,vote_item_nonresponse,5 Indian 2nd gen,157,584765.417900,0.236574,0.036954,132.255946
citizens_18plus,2022,vote_item_nonresponse,6 US-born NH white,51066,149662644.051200,0.146900,0.001793,38996.928770
citizens_18plus,2022,vote_item_nonresponse,7 All US-born,66954,209834686.547300,0.164116,0.001646,50608.083674
citizens_18plus,2022,vote_item_nonresponse,8 Indian 2nd gen (self-ID),181,703249.932500,0.314923,0.036934,158.156217
