arm,year,measure,group,n,wpop,rate,se,neff
citizens_age_25_54,pooled,vote_item_nonresponse,2 China-born,639,2333770.714900,0.162776,0.015687,553.776863
citizens_age_25_54,pooled,vote_item_nonresponse,3 Mexico-born,2902,10195028.714100,0.160697,0.007368,2484.452293
citizens_age_25_54,pooled,vote_item_nonresponse,4 Other foreign-born,11362,39813822.915300,0.171321,0.003910,9285.955004
citizens_age_25_54,pooled,vote_item_nonresponse,5 Indian 2nd gen,471,1568223.215600,0.169145,0.019289,377.713953
citizens_age_25_54,pooled,vote_item_nonresponse,6 US-born NH white,128880,342206078.852200,0.142387,0.001118,97653.569489
citizens_age_25_54,pooled,vote_item_nonresponse,7 All US-born,174673,503332403.843300,0.159899,0.001014,130696.490341
citizens_age_25_54,pooled,vote_item_nonresponse,8 Indian 2nd gen (self-ID),562,1998113.496400,0.282553,0.020779,469.492416
citizens_age_25_54,pooled,vote_item_nonresponse,9 US-born Asian (any),4439,13731617.418600,0.266220,0.007555,3422.883581
citizens_self_respondent_only,pooled,registered_census_convention,1 India-born,833,2934362.810100,0.794149,0.014946,731.775871
citizens_self_respondent_only,pooled,registered_census_convention,2 China-born,663,2389596.081700,0.582869,0.020559,575.252141
citizens_self_respondent_only,pooled,registered_census_convention,3 Mexico-born,2487,8899899.081100,0.592771,0.010592,2151.505212
citizens_self_respondent_only,pooled,registered_census_convention,4 Other foreign-born,11865,40551193.954300,0.681476,0.004709,9788.803656
citizens_self_respondent_only,pooled,registered_census_convention,5 Indian 2nd gen,336,1110631.298800,0.722405,0.027626,262.755593
citizens_self_respondent_only,pooled,registered_census_convention,6 US-born NH white,159214,402787870.892000,0.779584,0.001194,120617.148486
citizens_self_respondent_only,pooled,registered_census_convention,7 All US-born,204201,550592219.984000,0.756648,0.001100,152222.668683
citizens_self_respondent_only,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),390,1352865.284500,0.629660,0.027193,315.345764
citizens_self_respondent_only,pooled,registered_census_convention,9 US-born Asian (any),3590,10133561.268900,0.617345,0.009572,2578.034843
citizens_self_respondent_only,pooled,turnout_census_convention,1 India-born,833,2934362.810100,0.695125,0.017018,731.775871
citizens_self_respondent_only,pooled,turnout_census_convention,2 China-born,663,2389596.081700,0.464914,0.020795,575.252141
citizens_self_respondent_only,pooled,turnout_census_convention,3 Mexico-born,2487,8899899.081100,0.470105,0.010760,2151.505212
citizens_self_respondent_only,pooled,turnout_census_convention,4 Other foreign-born,11865,40551193.954300,0.565954,0.005009,9788.803656
citizens_self_respondent_only,pooled,turnout_census_convention,5 Indian 2nd gen,336,1110631.298800,0.647699,0.029469,262.755593
citizens_self_respondent_only,pooled,turnout_census_convention,6 US-born NH white,159214,402787870.892000,0.679570,0.001344,120617.148486
