arm,year,measure,group,n,wpop,rate,se,neff
adults_18plus,2021,donated_nonpolitical,8 Indian 2nd gen (self-ID),83,640211.629600,0.507481,0.066945,55.770429
adults_18plus,2021,donated_nonpolitical,9 US-born Asian (any),732,4368430.960400,0.457239,0.024720,406.129423
adults_18plus,2021,donated_political,1 India-born,366,2533633.171800,0.039288,0.011595,280.726784
adults_18plus,2021,donated_political,2 China-born,274,1972052.183300,0.040712,0.013463,215.459715
adults_18plus,2021,donated_political,3 Mexico-born,1248,10212626.246100,0.014634,0.003831,982.701502
adults_18plus,2021,donated_political,4 Other foreign-born,3421,24530587.269900,0.060558,0.004833,2435.385463
adults_18plus,2021,donated_political,5 Indian 2nd gen,83,631220.465800,0.093493,0.038932,55.917025
adults_18plus,2021,donated_political,6 US-born NH white,30631,139845427.729000,0.121568,0.002285,20449.011643
adults_18plus,2021,donated_political,7 All US-born,38714,195434657.271100,0.106733,0.001950,25061.215279
adults_18plus,2021,donated_political,8 Indian 2nd gen (self-ID),83,640211.629600,0.107318,0.041446,55.770429
adults_18plus,2021,donated_political,9 US-born Asian (any),732,4362852.700400,0.100795,0.014942,405.962131
adults_18plus,2021,group_membership,1 India-born,365,2525893.485000,0.131099,0.020179,279.747127
adults_18plus,2021,group_membership,2 China-born,274,1967246.296000,0.143205,0.023878,215.207287
adults_18plus,2021,group_membership,3 Mexico-born,1247,10192515.695900,0.057391,0.007425,981.144164
adults_18plus,2021,group_membership,4 Other foreign-born,3448,24706326.179200,0.134168,0.006880,2454.052211
adults_18plus,2021,group_membership,5 Indian 2nd gen,84,635957.982000,0.220858,0.055148,56.581306
adults_18plus,2021,group_membership,6 US-born NH white,30817,140681386.682600,0.302312,0.003202,20574.782606
adults_18plus,2021,group_membership,7 All US-born,38928,196482017.372300,0.262477,0.002773,25182.892690
adults_18plus,2021,group_membership,8 Indian 2nd gen (self-ID),84,650902.024500,0.196856,0.052599,57.146617
adults_18plus,2021,group_membership,9 US-born Asian (any),745,4480810.931200,0.217831,0.020360,411.022438
adults_18plus,2021,improved_neighborhood,1 India-born,367,2540740.887200,0.272286,0.026520,281.722997
adults_18plus,2021,improved_neighborhood,2 China-born,275,1975096.090600,0.172629,0.025719,215.929810
adults_18plus,2021,improved_neighborhood,3 Mexico-born,1247,10184185.705400,0.096538,0.009430,980.859659
adults_18plus,2021,improved_neighborhood,4 Other foreign-born,3462,24789533.618500,0.159303,0.007372,2464.217199
adults_18plus,2021,improved_neighborhood,5 Indian 2nd gen,83,628377.239000,0.116737,0.043030,55.688141
adults_18plus,2021,improved_neighborhood,6 US-born NH white,30924,141148227.514700,0.205094,0.002809,20661.294356
adults_18plus,2021,improved_neighborhood,7 All US-born,39073,197188943.733900,0.186129,0.002448,25284.391290
adults_18plus,2021,improved_neighborhood,8 Indian 2nd gen (self-ID),83,637368.402800,0.122731,0.044029,55.540853
adults_18plus,2021,improved_neighborhood,9 US-born Asian (any),747,4474447.035700,0.137979,0.016953,413.830098
adults_18plus,2021,neighbor_favors_monthly,1 India-born,367,2539545.037100,0.348746,0.028399,281.607965
adults_18plus,2021,neighbor_favors_monthly,2 China-born,276,1980035.024900,0.218996,0.028093,216.718454
adults_18plus,2021,neighbor_favors_monthly,3 Mexico-born,1247,10226041.505200,0.269764,0.014173,980.607360
adults_18plus,2021,neighbor_favors_monthly,4 Other foreign-born,3459,24758825.599100,0.251803,0.008747,2462.539922
adults_18plus,2021,neighbor_favors_monthly,5 Indian 2nd gen,83,628377.239000,0.287765,0.060667,55.688141
adults_18plus,2021,neighbor_favors_monthly,6 US-born NH white,30889,140961345.881200,0.398037,0.003408,20635.512969
adults_18plus,2021,neighbor_favors_monthly,7 All US-born,39039,196977674.888400,0.358481,0.003017,25271.406519
adults_18plus,2021,neighbor_favors_monthly,8 Indian 2nd gen (self-ID),83,637368.402800,0.268190,0.059445,55.540853
adults_18plus,2021,neighbor_favors_monthly,9 US-born Asian (any),749,4480130.714900,0.229202,0.020641,414.651380
adults_18plus,2021,talks_neighbors_weekly,1 India-born,368,2552199.010300,0.320506,0.027755,282.712227
adults_18plus,2021,talks_neighbors_weekly,2 China-born,276,1980035.024900,0.163786,0.025139,216.718454
adults_18plus,2021,talks_neighbors_weekly,3 Mexico-born,1251,10260294.013100,0.206250,0.012907,982.644485
adults_18plus,2021,talks_neighbors_weekly,4 Other foreign-born,3458,24740966.692900,0.228633,0.008457,2465.625608
adults_18plus,2021,talks_neighbors_weekly,5 Indian 2nd gen,84,638548.762700,0.199859,0.053117,56.678563
adults_18plus,2021,talks_neighbors_weekly,6 US-born NH white,30953,141276981.954200,0.307377,0.003209,20670.007919
adults_18plus,2021,talks_neighbors_weekly,7 All US-born,39116,197444216.843500,0.280890,0.002825,25312.417686
adults_18plus,2021,talks_neighbors_weekly,8 Indian 2nd gen (self-ID),84,643593.840600,0.131630,0.045045,56.332642
adults_18plus,2021,talks_neighbors_weekly,9 US-born Asian (any),754,4534264.111400,0.164550,0.018097,419.767728
adults_18plus,2021,volunteered_org,1 India-born,366,2533633.171800,0.192543,0.023533,280.726784
adults_18plus,2021,volunteered_org,2 China-born,275,1976598.909900,0.127707,0.022699,216.206754
adults_18plus,2021,volunteered_org,3 Mexico-born,1249,10214694.910100,0.064606,0.007841,983.002537
adults_18plus,2021,volunteered_org,4 Other foreign-born,3457,24724367.381500,0.126014,0.006688,2462.485189
adults_18plus,2021,volunteered_org,5 Indian 2nd gen,84,635957.982000,0.243169,0.057032,56.581306
adults_18plus,2021,volunteered_org,6 US-born NH white,30910,141137950.189500,0.259581,0.003051,20648.245878
adults_18plus,2021,volunteered_org,7 All US-born,39050,197150982.765500,0.230162,0.002648,25272.551511
adults_18plus,2021,volunteered_org,8 Indian 2nd gen (self-ID),85,658301.857200,0.193718,0.051883,58.024790
adults_18plus,2021,volunteered_org,9 US-born Asian (any),751,4533482.952900,0.212938,0.020080,415.660965
adults_18plus,2023,contacted_official,1 India-born,408,2969168.419400,0.058951,0.013127,321.952371
adults_18plus,2023,contacted_official,2 China-born,254,1897664.147000,0.013974,0.008485,191.374754
adults_18plus,2023,contacted_official,3 Mexico-born,1325,10655192.498700,0.021150,0.004527,1010.284679
adults_18plus,2023,contacted_official,4 Other foreign-born,3745,27311434.418300,0.033759,0.003474,2703.159346
adults_18plus,2023,contacted_official,5 Indian 2nd gen,78,587519.710200,0.086747,0.042322,44.229191
adults_18plus,2023,contacted_official,6 US-born NH white,30566,142772455.730400,0.118147,0.002274,20141.688417
adults_18plus,2023,contacted_official,7 All US-born,38920,201860490.370100,0.100785,0.001924,24471.234774
adults_18plus,2023,contacted_official,8 Indian 2nd gen (self-ID),80,587969.038900,0.089352,0.039515,52.111595
adults_18plus,2023,contacted_official,9 US-born Asian (any),734,4501655.519600,0.070686,0.012104,448.346433
adults_18plus,2023,donated_nonpolitical,1 India-born,407,2964719.935800,0.516078,0.027883,321.220519
adults_18plus,2023,donated_nonpolitical,2 China-born,254,1897664.147000,0.371805,0.034935,191.374754
adults_18plus,2023,donated_nonpolitical,3 Mexico-born,1322,10635722.294500,0.294170,0.014358,1007.217738
adults_18plus,2023,donated_nonpolitical,4 Other foreign-born,3732,27242607.495000,0.425073,0.009517,2698.411997
adults_18plus,2023,donated_nonpolitical,5 Indian 2nd gen,76,549271.502700,0.548818,0.075586,43.340910
adults_18plus,2023,donated_nonpolitical,6 US-born NH white,30378,141672401.803500,0.571354,0.003497,20027.781058
adults_18plus,2023,donated_nonpolitical,7 All US-born,38673,200325221.639600,0.516502,0.003205,24303.861345
adults_18plus,2023,donated_nonpolitical,8 Indian 2nd gen (self-ID),78,561825.921700,0.564942,0.069997,50.163709
adults_18plus,2023,donated_nonpolitical,9 US-born Asian (any),724,4414995.628700,0.463310,0.023764,440.293748
adults_18plus,2023,donated_political,1 India-born,407,2964719.935800,0.054792,0.012698,321.220519
adults_18plus,2023,donated_political,2 China-born,254,1897664.147000,0.023688,0.010993,191.374754
adults_18plus,2023,donated_political,3 Mexico-born,1321,10619442.261700,0.024138,0.004837,1006.942292
adults_18plus,2023,donated_political,4 Other foreign-born,3731,27218095.841400,0.047059,0.004079,2695.538473
adults_18plus,2023,donated_political,5 Indian 2nd gen,77,560918.962900,0.099606,0.044977,44.334484
adults_18plus,2023,donated_political,6 US-born NH white,30360,141637328.381100,0.090269,0.002026,20008.934038
adults_18plus,2023,donated_political,7 All US-born,38665,200435933.710800,0.079229,0.001733,24288.418332
adults_18plus,2023,donated_political,8 Indian 2nd gen (self-ID),80,587555.964600,0.102498,0.042021,52.098387
adults_18plus,2023,donated_political,9 US-born Asian (any),727,4472172.105800,0.061847,0.011471,440.954620
adults_18plus,2023,group_membership,1 India-born,408,2969168.419400,0.184151,0.021602,321.952371
adults_18plus,2023,group_membership,2 China-born,252,1881203.972900,0.094628,0.021263,189.504096
adults_18plus,2023,group_membership,3 Mexico-born,1324,10644463.468900,0.077520,0.008417,1009.377444
adults_18plus,2023,group_membership,4 Other foreign-born,3741,27295662.099400,0.157898,0.007014,2702.813985
adults_18plus,2023,group_membership,5 Indian 2nd gen,77,560918.962900,0.290823,0.068206,44.334484
adults_18plus,2023,group_membership,6 US-born NH white,30578,142816678.464400,0.315058,0.003274,20136.735989
adults_18plus,2023,group_membership,7 All US-born,38909,201742756.674100,0.272604,0.002848,24452.709702
adults_18plus,2023,group_membership,8 Indian 2nd gen (self-ID),79,578516.513100,0.277989,0.062649,51.138271
adults_18plus,2023,group_membership,9 US-born Asian (any),726,4499261.551100,0.207882,0.019330,440.705106
adults_18plus,2023,improved_neighborhood,1 India-born,408,2963702.053400,0.405799,0.027363,322.055840
adults_18plus,2023,improved_neighborhood,2 China-born,252,1865606.699400,0.194300,0.028720,189.787006
adults_18plus,2023,improved_neighborhood,3 Mexico-born,1326,10646114.561500,0.124323,0.010388,1008.946244
adults_18plus,2023,improved_neighborhood,4 Other foreign-born,3754,27396043.500500,0.187132,0.007493,2709.154118
adults_18plus,2023,improved_neighborhood,5 Indian 2nd gen,77,560918.962900,0.296879,0.068617,44.334484
adults_18plus,2023,improved_neighborhood,6 US-born NH white,30648,143200259.534300,0.240902,0.003009,20191.234644
adults_18plus,2023,improved_neighborhood,7 All US-born,39041,202600236.236700,0.221828,0.002653,24534.292117
adults_18plus,2023,improved_neighborhood,8 Indian 2nd gen (self-ID),81,597008.490400,0.294664,0.062579,53.072540
adults_18plus,2023,improved_neighborhood,9 US-born Asian (any),735,4525822.822300,0.188739,0.018495,447.621930
adults_18plus,2023,neighbor_favors_monthly,1 India-born,408,2963702.053400,0.422967,0.027529,322.055840
adults_18plus,2023,neighbor_favors_monthly,2 China-born,253,1887405.896100,0.244779,0.031153,190.484458
adults_18plus,2023,neighbor_favors_monthly,3 Mexico-born,1327,10656481.345100,0.313244,0.014595,1009.945937
adults_18plus,2023,neighbor_favors_monthly,4 Other foreign-born,3750,27357117.386600,0.273933,0.008574,2705.406906
adults_18plus,2023,neighbor_favors_monthly,5 Indian 2nd gen,77,560918.962900,0.294305,0.068444,44.334484
adults_18plus,2023,neighbor_favors_monthly,6 US-born NH white,30622,143094901.214000,0.418943,0.003474,20171.245911
adults_18plus,2023,neighbor_favors_monthly,7 All US-born,39007,202440411.390800,0.376887,0.003095,24511.920155
adults_18plus,2023,neighbor_favors_monthly,8 Indian 2nd gen (self-ID),81,597008.490400,0.226665,0.057470,53.072540
adults_18plus,2023,neighbor_favors_monthly,9 US-born Asian (any),735,4535007.951700,0.244174,0.020342,445.997974
adults_18plus,2023,talks_neighbors_weekly,1 India-born,408,2963702.053400,0.277826,0.024960,322.055840
adults_18plus,2023,talks_neighbors_weekly,2 China-born,252,1880658.380300,0.219367,0.030061,189.502911
adults_18plus,2023,talks_neighbors_weekly,3 Mexico-born,1335,10726628.471300,0.226948,0.013137,1016.603208
adults_18plus,2023,talks_neighbors_weekly,4 Other foreign-born,3763,27419009.172000,0.223274,0.007996,2712.781040
adults_18plus,2023,talks_neighbors_weekly,5 Indian 2nd gen,77,560918.962900,0.131538,0.050761,44.334484
adults_18plus,2023,talks_neighbors_weekly,6 US-born NH white,30657,143272983.920000,0.316281,0.003272,20195.948717
adults_18plus,2023,talks_neighbors_weekly,7 All US-born,39060,202772232.673000,0.290809,0.002899,24543.692060
adults_18plus,2023,talks_neighbors_weekly,8 Indian 2nd gen (self-ID),81,597008.490400,0.159743,0.050290,53.072540
adults_18plus,2023,talks_neighbors_weekly,9 US-born Asian (any),739,4570396.174500,0.171914,0.017793,449.672503
adults_18plus,2023,volunteered_org,1 India-born,411,2990909.653500,0.256859,0.024243,324.776759
adults_18plus,2023,volunteered_org,2 China-born,253,1887561.841400,0.148937,0.025803,190.375109
adults_18plus,2023,volunteered_org,3 Mexico-born,1325,10658321.111800,0.095073,0.009231,1009.765443
adults_18plus,2023,volunteered_org,4 Other foreign-born,3743,27277192.912600,0.170987,0.007241,2703.578781
adults_18plus,2023,volunteered_org,5 Indian 2nd gen,77,560918.962900,0.379563,0.072882,44.334484
adults_18plus,2023,volunteered_org,6 US-born NH white,30634,143155117.099300,0.303903,0.003237,20186.861070
adults_18plus,2023,volunteered_org,7 All US-born,38972,202146284.542400,0.271688,0.002842,24499.520433
adults_18plus,2023,volunteered_org,8 Indian 2nd gen (self-ID),80,587555.964600,0.332740,0.065281,52.098387
adults_18plus,2023,volunteered_org,9 US-born Asian (any),730,4504466.950500,0.218230,0.019630,442.743585
adults_18plus,pooled,contacted_official,1 India-born,1195,8169655.098100,0.046048,0.006810,947.183312
adults_18plus,pooled,contacted_official,2 China-born,822,5790486.232700,0.032329,0.007002,638.020430
adults_18plus,pooled,contacted_official,3 Mexico-born,4020,31145290.314700,0.017364,0.002341,3114.611552
adults_18plus,pooled,contacted_official,4 Other foreign-born,11217,76982564.440300,0.038318,0.002134,8093.690336
adults_18plus,pooled,contacted_official,5 Indian 2nd gen,243,1698267.947100,0.104411,0.024724,152.975209
adults_18plus,pooled,contacted_official,6 US-born NH white,97902,426282926.568600,0.124695,0.001295,65065.164187
adults_18plus,pooled,contacted_official,7 All US-born,123734,595651135.535000,0.108323,0.001105,79073.209361
adults_18plus,pooled,contacted_official,8 Indian 2nd gen (self-ID),244,1761327.482700,0.086727,0.021947,164.439026
adults_18plus,pooled,contacted_official,9 US-born Asian (any),2180,12688736.931100,0.069815,0.007095,1290.219690
adults_18plus,pooled,donated_nonpolitical,1 India-born,1191,8141190.459300,0.511440,0.016278,942.962292
adults_18plus,pooled,donated_nonpolitical,2 China-born,818,5775704.775600,0.370019,0.019150,635.638832
