area_fips,annual_avg_emplvl,total_annual_wages,disclosure_code,year
13277,21019.0,596659608.0,,2006
13279,11714.0,305804702.0,,2006
13281,3746.0,86258445.0,,2006
13283,1128.0,25458216.0,,2006
13285,31519.0,1062814705.0,,2006
13287,2629.0,60381965.0,,2006
13289,1228.0,43699584.0,,2006
13291,6098.0,170782622.0,,2006
13293,7750.0,211241320.0,,2006
13295,14313.0,412717787.0,,2006
13297,20051.0,628168853.0,,2006
13299,15363.0,415622824.0,,2006
13301,1295.0,34451859.0,,2006
13303,8077.0,267744279.0,,2006
13305,8920.0,284785278.0,,2006
13307,550.0,14569044.0,,2006
13309,1480.0,38710595.0,,2006
13311,6578.0,176713367.0,,2006
13313,64113.0,2173889527.0,,2006
13315,1290.0,29986254.0,,2006
13317,3523.0,91134387.0,,2006
13319,2970.0,106093217.0,,2006
13321,3437.0,87838152.0,,2006
13999,85194.0,5209171785.0,,2006
15001,66397.0,2255493159.0,,2006
15003,449572.0,17537507853.0,,2006
15007,30162.0,1003156560.0,,2006
15009,71530.0,2544041516.0,,2006
15999,518.0,26226324.0,,2006
16001,208091.0,8155524593.0,,2006
16003,1210.0,31154710.0,,2006
16005,34463.0,976290644.0,,2006
16007,1584.0,31994642.0,,2006
16009,3568.0,110785499.0,,2006
16011,14203.0,385207841.0,,2006
16013,13889.0,489161516.0,,2006
16015,1683.0,42649379.0,,2006
16017,14349.0,432130271.0,,2006
16019,48542.0,1589040743.0,,2006
16021,3564.0,97333432.0,,2006
16023,4488.0,303766326.0,,2006
16025,400.0,11044428.0,,2006
16027,55121.0,1605950399.0,,2006
16029,3167.0,123518250.0,,2006
16031,9208.0,236955149.0,,2006
16033,522.0,15551196.0,,2006
16035,3168.0,90185324.0,,2006
16037,1599.0,52031606.0,,2006
16039,6704.0,171368432.0,,2006
16041,3142.0,73068574.0,,2006
16043,2932.0,75400110.0,,2006
16045,3458.0,86359589.0,,2006
16047,6436.0,165294249.0,,2006
16049,4483.0,124747405.0,,2006
16051,5909.0,133387355.0,,2006
16053,8340.0,222367003.0,,2006
16055,54553.0,1625497832.0,,2006
16057,14088.0,381171543.0,,2006
16059,2656.0,65119795.0,,2006
16061,1340.0,31212074.0,,2006
16063,1360.0,36959578.0,,2006
16065,12314.0,301823954.0,,2006
16067,6773.0,172894428.0,,2006
16069,20774.0,656183572.0,,2006
16071,1078.0,23877625.0,,2006
16073,2898.0,73540658.0,,2006
16075,6279.0,169280962.0,,2006
16077,3082.0,90673580.0,,2006
16079,4462.0,131754105.0,,2006
16081,2826.0,76052913.0,,2006
16083,33733.0,894601553.0,,2006
16085,4745.0,138107964.0,,2006
16087,2995.0,72214072.0,,2006
16999,3493.0,197390586.0,,2006
17001,33700.0,1032199475.0,,2006
17003,2081.0,65722972.0,,2006
17005,4479.0,134902250.0,,2006
17007,14965.0,707024038.0,,2006
17009,2961.0,101192001.0,,2006
17011,12150.0,385066969.0,,2006
17013,866.0,18081743.0,,2006
17015,4342.0,116421632.0,,2006
17017,5768.0,150486846.0,,2006
17019,90848.0,3181066506.0,,2006
17021,10933.0,314626722.0,,2006
17023,5033.0,135497726.0,,2006
