scenario,m,lambda,sorting,theta,initial_gap,k,cost,gain_bn_2024,gain_bn_2024_fine_grid,sigma1,sigma_lambda,share_of_gdp_pct
mexico_born_all,0.04682648441240504,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.1170662110310126,low,8.55729945446625,6.499049182575,0.3,0.3,0.029207780931991018
mexico_born_all,0.04682648441240504,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.1170662110310126,medium,10.18808037157875,8.18115346819125,0.2,0.2,0.03477396358442038
mexico_born_all,0.04682648441240504,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.1170662110310126,high,3.32606040825375,10.03442548128,0.1,0.1,0.011352511886228428
mexico_born_all,0.04682648441240504,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.1170662110310126,prohibitive,16.6110360849375,16.6110360849375,0.0,0.0,0.056696800854506756
mexico_born_all,0.04682648441240504,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.1170662110310126,low,1.41796882515375,0.18082287742874997,0.3,0.3,0.004839812260147984
mexico_born_all,0.04682648441240504,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.1170662110310126,medium,1.5787465703999999,0.2993969305575,0.2,0.2,0.005388578981107012
mexico_born_all,0.04682648441240504,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.1170662110310126,high,-0.6470562812887499,0.44331867994874996,0.1,0.1,-0.0022085329857992413
mexico_born_all,0.04682648441240504,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.1170662110310126,prohibitive,1.43454656359125,1.43454656359125,0.0,0.0,0.0048963954094472205
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.04733986393865091,low,0.1525291788525,0.049156721017499995,0.3,0.3,0.0005206127079420027
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.04733986393865091,medium,0.17612121250124999,0.06161739997875,0.2,0.2,0.0006011370549301416
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.04733986393865091,high,-0.017708529431249998,0.069136263345,0.1,0.1,-6.044276596931675e-05
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,full_sorting_theta_1,1.0,0.06020120863864537,0.04733986393865091,prohibitive,0.08611895074499999,0.08611895074499999,0.0,0.0,0.00029394126743339215
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,observed_sorting_2024,0.5225006341934204,0.06020120863864537,0.04733986393865091,low,0.018025982403749998,0.00069451368375,0.3,0.3,6.152629669373823e-05
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,observed_sorting_2024,0.5225006341934204,0.06020120863864537,0.04733986393865091,medium,0.02036046341625,0.002283925395,0.2,0.2,6.949434904083768e-05
