group,lowed,sex,measure,period,rate_pct,se_pct,years
mex_fb,some_college_plus,women,moved_interstate,2006_2010,1.6089712220611883,0.09430511865570973,5
mex_fb,some_college_plus,women,moved_interstate,2019_2024,1.438717263099294,0.07666574047314798,5
mex_fb,some_college_plus,women,moved_interstate,2024,1.6848098416133501,0.18151520339996,1
mex_fb,some_college_plus,women,moved_within_state,2006_2010,14.015032848637809,0.2553544249221724,5
mex_fb,some_college_plus,women,moved_within_state,2019_2024,8.8826702729704,0.19170519603587494,5
mex_fb,some_college_plus,women,moved_within_state,2024,8.61713059454905,0.39144981744748997,1
mex_fb_minus_oth_nb,all,all,long_distance,2006_2010,0.46830732568473005,0.050793682064544265,5
mex_fb_minus_oth_nb,all,all,long_distance,2019_2024,-0.6938983532395561,0.04099117408915319,5
mex_fb_minus_oth_nb,all,all,long_distance,2024,0.04248507758981,0.10866986086796,1
mex_fb_minus_oth_nb,all,all,moved_abroad,2006_2010,1.565560172691678,0.03647798072459739,5
mex_fb_minus_oth_nb,all,all,moved_abroad,2019_2024,0.974500165829284,0.030622562598079967,5
mex_fb_minus_oth_nb,all,all,moved_abroad,2024,1.39270318512792,0.08503947592883,1
mex_fb_minus_oth_nb,all,all,moved_any,2006_2010,2.8242721344982615,0.11071607809473064,5
mex_fb_minus_oth_nb,all,all,moved_any,2019_2024,-3.5326786265390417,0.07971952502732887,5
mex_fb_minus_oth_nb,all,all,moved_any,2024,-2.36761029949959,0.17351046925502,1
mex_fb_minus_oth_nb,all,all,moved_interstate,2006_2010,-1.097252847006946,0.0334737510020878,5
mex_fb_minus_oth_nb,all,all,moved_interstate,2019_2024,-1.6683985190688415,0.027515588092940156,5
mex_fb_minus_oth_nb,all,all,moved_interstate,2024,-1.35021810753811,0.06720800925811,1
mex_fb_minus_oth_nb,all,all,moved_within_state,2006_2010,2.362930716598424,0.09918755188496972,5
mex_fb_minus_oth_nb,all,all,moved_within_state,2019_2024,-2.826928564157564,0.07521312224322033,5
mex_fb_minus_oth_nb,all,all,moved_within_state,2024,-2.40505294793422,0.15062678061133,1
mex_fb_minus_oth_nb,hs_or_less,all,long_distance,2006_2010,0.861355878331832,0.05425931720318348,5
mex_fb_minus_oth_nb,hs_or_less,all,long_distance,2019_2024,-0.367619253449914,0.045414160264519256,5
mex_fb_minus_oth_nb,hs_or_less,all,long_distance,2024,0.24690848015248,0.12909866612089999,1
mex_fb_minus_oth_nb,hs_or_less,all,moved_abroad,2006_2010,1.5959106279304476,0.039386343988470594,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_abroad,2019_2024,0.8240238120373561,0.0336130325228808,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_abroad,2024,1.25826556270256,0.09563216378305,1
mex_fb_minus_oth_nb,hs_or_less,all,moved_any,2006_2010,1.415793470498602,0.1225884518289144,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_any,2019_2024,-4.02757655416544,0.09398421211775439,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_any,2024,-3.4809461716006305,0.19443890444359999,1
mex_fb_minus_oth_nb,hs_or_less,all,moved_interstate,2006_2010,-0.7345547495986121,0.03649805206160288,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_interstate,2019_2024,-1.191643065487272,0.0289009462967461,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_interstate,2024,-1.01135708255007,0.07716894721336999,1
mex_fb_minus_oth_nb,hs_or_less,all,moved_within_state,2006_2010,0.567367642271958,0.11066059050761137,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_within_state,2019_2024,-3.644502166586858,0.08855698504942629,5
mex_fb_minus_oth_nb,hs_or_less,all,moved_within_state,2024,-3.71778919639903,0.17051309209306,1
mex_fb_minus_oth_nb,hs_or_less,men,long_distance,2006_2010,1.22645120387603,0.07404196565313628,5
mex_fb_minus_oth_nb,hs_or_less,men,long_distance,2019_2024,-0.20605112793474398,0.060332598875809294,5
mex_fb_minus_oth_nb,hs_or_less,men,long_distance,2024,0.48037822834592003,0.16181526541253,1
mex_fb_minus_oth_nb,hs_or_less,men,moved_abroad,2006_2010,1.87028925941158,0.05804605262439463,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_abroad,2019_2024,0.9444617250576239,0.04619381759722641,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_abroad,2024,1.31825516961377,0.11407555218866999,1
mex_fb_minus_oth_nb,hs_or_less,men,moved_any,2006_2010,2.1430672268691877,0.15252205889646336,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_any,2019_2024,-3.3530839972687265,0.11804323964768908,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_any,2024,-2.76386017440262,0.2166184399802,1
mex_fb_minus_oth_nb,hs_or_less,men,moved_interstate,2006_2010,-0.643838055535548,0.04671353100081076,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_interstate,2019_2024,-1.15051285299237,0.037057631275963065,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_interstate,2024,-0.8378769412678501,0.10356727040793,1
mex_fb_minus_oth_nb,hs_or_less,men,moved_within_state,2006_2010,0.9301360149553739,0.136045280464409,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_within_state,2019_2024,-3.1326317280240783,0.10736056117430012,5
mex_fb_minus_oth_nb,hs_or_less,men,moved_within_state,2024,-3.2374987691359998,0.19397783438288,1
mex_fb_minus_oth_nb,hs_or_less,women,long_distance,2006_2010,0.33523871128634863,0.05913645772529526,5
mex_fb_minus_oth_nb,hs_or_less,women,long_distance,2019_2024,-0.5601983236700321,0.053266439439801326,5
mex_fb_minus_oth_nb,hs_or_less,women,long_distance,2024,-0.0370224487087,0.14049284064328,1
mex_fb_minus_oth_nb,hs_or_less,women,moved_abroad,2006_2010,1.212489712988444,0.04108604865795465,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_abroad,2019_2024,0.682877743982622,0.037830194007031755,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_abroad,2024,1.18553217608915,0.10952065607114,1
mex_fb_minus_oth_nb,hs_or_less,women,moved_any,2006_2010,0.3433230922054599,0.13262751750328788,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_any,2019_2024,-4.858558129340814,0.11673075313079687,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_any,2024,-4.38141323357905,0.29482307019019,1
mex_fb_minus_oth_nb,hs_or_less,women,moved_interstate,2006_2010,-0.8772510017020901,0.040614895695332845,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_interstate,2019_2024,-1.2430760676526602,0.03655820961365332,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_interstate,2024,-1.2225546247978498,0.08114587262897,1
mex_fb_minus_oth_nb,hs_or_less,women,moved_within_state,2006_2010,0.020508399564409998,0.12338501120121086,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_within_state,2019_2024,-4.281606947727978,0.10942820508466673,5
mex_fb_minus_oth_nb,hs_or_less,women,moved_within_state,2024,-4.33008280881211,0.24865946538428998,1
