spec,period,sex,metros,beneficiaries,D,L,D_case,L_case,protection_bn,crowding_bn,net_bn,net_bn_se,fiscal_net_bn,fiscal_protection_bn,welfare_rho_1.0_bn,welfare_rho_0.75_bn,welfare_rho_0.5_bn,welfare_rho_0.0_bn,risk_premium_gamma_1_bn,risk_premium_gamma_2_bn,risk_premium_gamma_3_bn
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,8.0,low,high,1.4074696182304898,1.0063179451781938,0.4011516730522964,0.13879131545336149,0.15404224245208184,0.540468333400508,0.4011516730522958,0.6527311593468443,0.9043106456413927,1.4074696182304898,0.09863884312169854,0.1972776862433971,0.29591652936509566
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,12.0,central,low,1.8766261576406529,1.3417572602375918,0.5348688974030619,0.18505508727114864,0.20538965660277578,0.7206244445340108,0.5348688974030612,0.8703082124624592,1.205747527521857,1.8766261576406529,0.13151845749559807,0.26303691499119614,0.3945553724867942
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,10.0,central,central,2.2519513891687835,1.61010871228511,0.6418426768836742,0.22206610472537835,0.24646758792333093,0.8647493334408128,0.6418426768836734,1.044369854954951,1.4468970330262283,2.2519513891687835,0.15782214899471766,0.31564429798943533,0.473466446984153
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,8.0,central,high,2.8149392364609795,2.0126358903563877,0.8023033461045928,0.27758263090672297,0.3080844849041637,1.080936666801016,0.8023033461045916,1.3054623186936887,1.8086212912827855,2.8149392364609795,0.1972776862433971,0.3945553724867942,0.5918330587301913
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,12.0,high,low,2.8149392364609795,2.0126358903563877,0.8023033461045928,0.27758263090672297,0.3080844849041637,1.080936666801016,0.8023033461045916,1.3054623186936887,1.8086212912827855,2.8149392364609795,0.1972776862433971,0.3945553724867942,0.5918330587301913
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,10.0,high,central,3.377927083753175,2.415163068427665,0.9627640153255114,0.33309915708806753,0.3697013818849964,1.2971240001612192,0.96276401532551,1.5665547824324264,2.1703455495393422,3.377927083753175,0.23673322349207648,0.47346644698415297,0.7101996704762296
CK_T5b_IV,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,8.0,high,high,4.222408854691469,3.0189538355345813,1.2034550191568891,0.4163739463600844,0.4621267273562455,1.6214050002015241,1.2034550191568876,1.958193478040533,2.712931936924178,4.222408854691469,0.2959165293650956,0.5918330587301912,0.8877495880952869
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,2.5,12.0,low,low,0.6205606872260541,0.5454416701393812,0.07511901708667296,0.025989838500969437,0.028845702561282414,0.23829530389480477,0.07511901708667289,0.2114794346215182,0.3478398521563635,0.6205606872260541,0.047187309040409096,0.09437461808081819,0.1415619271212273
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,2.5,10.0,low,central,0.7446728246712648,0.6545300041672574,0.09014282050400754,0.031187806201163324,0.034614843073538897,0.2859543646737657,0.09014282050400746,0.25377532154582183,0.41740782258763615,0.7446728246712648,0.056624770848490914,0.11324954169698183,0.16987431254547275
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,2.5,8.0,low,high,0.9308410308390811,0.8181625052090717,0.11267852563000944,0.03898475775145416,0.04326855384192362,0.35744295584220714,0.11267852563000932,0.3172191519322773,0.5217597782345452,0.9308410308390811,0.07078096356061364,0.14156192712122728,0.21234289068184092
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,5.0,12.0,central,low,1.2411213744521081,1.0908833402787623,0.1502380341733459,0.051979677001938875,0.05769140512256483,0.47659060778960954,0.15023803417334577,0.4229588692430364,0.695679704312727,1.2411213744521081,0.09437461808081819,0.18874923616163639,0.2831238542424546
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,5.0,10.0,central,central,1.4893456493425297,1.3090600083345147,0.18028564100801509,0.06237561240232665,0.06922968614707779,0.5719087293475315,0.18028564100801492,0.5075506430916437,0.8348156451752723,1.4893456493425297,0.11324954169698183,0.22649908339396366,0.3397486250909455
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,5.0,8.0,central,high,1.8616820616781622,1.6363250104181435,0.22535705126001887,0.07796951550290832,0.08653710768384724,0.7148859116844143,0.22535705126001865,0.6344383038645546,1.0435195564690904,1.8616820616781622,0.14156192712122728,0.28312385424245456,0.42468578136368185
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,7.5,12.0,high,low,1.8616820616781622,1.6363250104181435,0.22535705126001887,0.07796951550290832,0.08653710768384724,0.7148859116844143,0.22535705126001865,0.6344383038645546,1.0435195564690904,1.8616820616781622,0.14156192712122728,0.28312385424245456,0.42468578136368185
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,7.5,10.0,high,central,2.2340184740137943,1.963590012501772,0.2704284615120226,0.09356341860348998,0.10384452922061668,0.8578630940212972,0.2704284615120224,0.7613259646374655,1.2522234677629085,2.2340184740137943,0.16987431254547275,0.3397486250909455,0.5096229376364183
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives,7.5,8.0,high,high,2.7925230925172433,2.454487515627215,0.3380355768900283,0.11695427325436246,0.12980566152577086,1.0723288675266214,0.33803557689002794,0.9516574557968318,1.5652793347036356,2.7925230925172433,0.21234289068184092,0.42468578136368185,0.6370286720455228
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,12.0,low,low,0.7819296167880209,0.6368827502334328,0.14504686655458834,0.05018362570527052,0.05569799675696193,0.3002609728466,0.14504686655458807,0.3042675541129463,0.46348824167130453,0.7819296167880209,0.05600857351468664,0.11201714702937328,0.16802572054405993
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,10.0,low,central,0.938315540145625,0.7642593002801193,0.174056239865506,0.06022035084632462,0.06683759610835431,0.36031316741592,0.17405623986550567,0.36512106493553553,0.5561858900055654,0.938315540145625,0.06721028821762397,0.13442057643524793,0.2016308646528719
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,8.0,low,high,1.1728944251820312,0.9553241253501492,0.2175702998318825,0.07527543855790578,0.08354699513544289,0.4503914592699,0.21757029983188209,0.4564013311694194,0.6952323625069567,1.1728944251820312,0.08401286027202996,0.16802572054405993,0.2520385808160899
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,12.0,central,low,1.5638592335760417,1.2737655004668655,0.2900937331091767,0.10036725141054104,0.11139599351392386,0.6005219456932,0.29009373310917613,0.6085351082258926,0.9269764833426091,1.5638592335760417,0.11201714702937328,0.22403429405874656,0.33605144108811985
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,10.0,central,central,1.87663108029125,1.5285186005602387,0.348112479731012,0.12044070169264924,0.13367519221670862,0.72062633483184,0.34811247973101134,0.7302421298710711,1.1123717800111308,1.87663108029125,0.13442057643524793,0.26884115287049587,0.4032617293057438
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,8.0,central,high,2.3457888503640625,1.9106482507002984,0.435140599663765,0.15055087711581155,0.16709399027088578,0.9007829185398,0.43514059966376417,0.9128026623388388,1.3904647250139135,2.3457888503640625,0.16802572054405993,0.33605144108811985,0.5040771616321797
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,12.0,high,low,2.3457888503640625,1.9106482507002984,0.435140599663765,0.15055087711581155,0.16709399027088578,0.9007829185398,0.43514059966376417,0.9128026623388388,1.3904647250139135,2.3457888503640625,0.16802572054405993,0.33605144108811985,0.5040771616321797
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,10.0,high,central,2.814946620436875,2.292777900840358,0.522168719596518,0.18066105253897385,0.20051278832506292,1.0809395022477601,0.522168719596517,1.0953631948066067,1.6685576700166962,2.814946620436875,0.2016308646528719,0.4032617293057438,0.6048925939586156
CK_T5b_IV,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,8.0,high,high,3.5186832755460937,2.8659723760504474,0.6527108994956475,0.22582631567371733,0.2506409854063287,1.3511743778097,0.6527108994956463,1.3692039935082583,2.0856970875208702,3.5186832755460937,0.2520385808160899,0.5040771616321797,0.7561157424482696
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,2.5,12.0,low,low,0.7370099425576611,0.5551004246154402,0.18190951794222088,0.06415370470352105,0.06985325488981282,0.28301181794214186,0.18190951794222088,0.3206846240960809,0.4594597302499409,0.7370099425576611,0.05428696445645203,0.10857392891290406,0.16286089336935608
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,2.5,10.0,low,central,0.8844119310691932,0.6661205095385282,0.21829142153066505,0.07698444564422526,0.08382390586777538,0.3396141815305702,0.21829142153066505,0.3848215489152971,0.5513516762999291,0.8844119310691932,0.06514435734774243,0.13028871469548486,0.1954330720432273
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,2.5,8.0,low,high,1.1055149138364915,0.8326506369231602,0.2728642769133313,0.09623055705528157,0.10477988233471923,0.42451772691321277,0.2728642769133313,0.48102693614412134,0.6891895953749114,1.1055149138364915,0.08143044668467804,0.16286089336935608,0.24429134005403413
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,5.0,12.0,central,low,1.4740198851153221,1.1102008492308804,0.36381903588444175,0.1283074094070421,0.13970650977962565,0.5660236358842837,0.36381903588444175,0.6413692481921618,0.9189194604998818,1.4740198851153221,0.10857392891290406,0.21714785782580812,0.32572178673871216
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,5.0,10.0,central,central,1.7688238621383865,1.3322410190770564,0.4365828430613301,0.1539688912884505,0.16764781173555077,0.6792283630611404,0.4365828430613301,0.7696430978305941,1.1027033525998582,1.7688238621383865,0.13028871469548486,0.26057742939096973,0.3908661440864546
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,5.0,8.0,central,high,2.211029827672983,1.6653012738463204,0.5457285538266626,0.19246111411056313,0.20955976466943846,0.8490354538264255,0.5457285538266626,0.9620538722882427,1.3783791907498228,2.211029827672983,0.16286089336935608,0.32572178673871216,0.48858268010806827
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,7.5,12.0,high,low,2.211029827672983,1.6653012738463204,0.5457285538266626,0.19246111411056313,0.20955976466943846,0.8490354538264255,0.5457285538266626,0.9620538722882427,1.3783791907498228,2.211029827672983,0.16286089336935608,0.32572178673871216,0.48858268010806827
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,7.5,10.0,high,central,2.6532357932075796,1.9983615286155847,0.6548742645919952,0.23095333693267578,0.25147171760332615,1.0188425445917106,0.6548742645919952,1.1544646467458912,1.6540550288997873,2.6532357932075796,0.1954330720432273,0.3908661440864546,0.5862992161296818
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives,7.5,8.0,high,high,3.3165447415094746,2.4979519107694808,0.8185928307399939,0.2886916711658447,0.3143396470041577,1.2735531807396383,0.8185928307399939,1.443080808432364,2.0675687861247343,3.3165447415094746,0.24429134005403413,0.48858268010806827,0.7328740201621023
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,12.0,low,low,0.9027074485972338,0.6454211821008952,0.25728626649633873,0.09073668795230508,0.09879792633459408,0.3466396602613378,0.25728626649633873,0.4186415620215625,0.5799968575467862,0.9027074485972338,0.06405585021378674,0.12811170042757347,0.1921675506413602
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,10.0,low,central,1.0832489383166806,0.7745054185210741,0.3087435197956065,0.10888402554276609,0.1185575116015129,0.41596759231360536,0.30874351979560644,0.502369874425875,0.6959962290561434,1.0832489383166806,0.07686702025654409,0.15373404051308817,0.23060106076963224
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,8.0,low,high,1.3540611728958507,0.9681317731513427,0.38592939974450813,0.1361050319284576,0.14819688950189114,0.5199594903920067,0.385929399744508,0.6279623430323438,0.8699952863201793,1.3540611728958507,0.0960837753206801,0.1921675506413602,0.2882513259620403
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,12.0,central,low,1.8054148971944677,1.2908423642017903,0.5145725329926775,0.18147337590461016,0.19759585266918817,0.6932793205226756,0.5145725329926775,0.837283124043125,1.1599937150935724,1.8054148971944677,0.12811170042757347,0.25622340085514694,0.3843351012827204
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,10.0,central,central,2.166497876633361,1.5490108370421483,0.617487039591213,0.21776805108553218,0.2371150232030258,0.8319351846272107,0.6174870395912129,1.00473974885175,1.391992458112287,2.166497876633361,0.15373404051308817,0.30746808102617634,0.4612021215392645
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,5.0,8.0,central,high,2.7081223457917014,1.9362635463026854,0.7718587994890163,0.2722100638569152,0.2963937790037823,1.0399189807840135,0.771858799489016,1.2559246860646875,1.7399905726403586,2.7081223457917014,0.1921675506413602,0.3843351012827204,0.5765026519240806
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,12.0,high,low,2.7081223457917014,1.9362635463026854,0.7718587994890163,0.2722100638569152,0.2963937790037823,1.0399189807840135,0.771858799489016,1.2559246860646875,1.7399905726403586,2.7081223457917014,0.1921675506413602,0.3843351012827204,0.5765026519240806
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,10.0,high,central,3.2497468149500417,2.3235162555632223,0.9262305593868194,0.32665207662829826,0.3556725348045387,1.247902776940816,0.9262305593868193,1.5071096232776249,2.0879886871684303,3.2497468149500417,0.23060106076963227,0.46120212153926454,0.6918031823088967
CK_T5c_IV_native_shock,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,7.5,8.0,high,high,4.062183518687553,2.904395319454028,1.1577881992335244,0.40831509578537284,0.44459066850567336,1.55987847117602,1.1577881992335242,1.8838870290970313,2.609985858960538,4.062183518687553,0.28825132596204034,0.5765026519240807,0.864753977886121
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,2.5,12.0,low,low,0.597012625433994,0.5247441067635563,0.07226851867043767,0.025486809368692635,0.02775111116944806,0.22925284816665376,0.07226851867043776,0.20345454536132684,0.3346405720522159,0.597012625433994,0.04601412978918347,0.09202825957836694,0.1380423893675504
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,2.5,10.0,low,central,0.7164151505207929,0.6296929281162675,0.08672222240452519,0.03058417124243116,0.03330133340333767,0.2751034177999845,0.08672222240452532,0.2441454544335922,0.4015686864626591,0.7164151505207929,0.05521695574702016,0.11043391149404032,0.16565086724106046
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,2.5,8.0,low,high,0.895518938150991,0.7871161601453345,0.1084027780056565,0.03823021405303895,0.04162666675417209,0.3438792722499806,0.10840277800565665,0.30518181804199024,0.5019608580783239,0.895518938150991,0.0690211946837752,0.1380423893675504,0.20706358405132558
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,5.0,12.0,central,low,1.194025250867988,1.0494882135271126,0.14453703734087534,0.05097361873738527,0.05550222233889612,0.4585056963333075,0.14453703734087553,0.4069090907226537,0.6692811441044318,1.194025250867988,0.09202825957836694,0.18405651915673388,0.2760847787351008
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,5.0,10.0,central,central,1.4328303010415857,1.259385856232535,0.17344444480905039,0.06116834248486232,0.06660266680667534,0.550206835599969,0.17344444480905064,0.4882909088671844,0.8031373729253182,1.4328303010415857,0.11043391149404032,0.22086782298808064,0.3313017344821209
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,5.0,8.0,central,high,1.791037876301982,1.574232320290669,0.216805556011313,0.0764604281060779,0.08325333350834418,0.6877585444999612,0.2168055560113133,0.6103636360839805,1.0039217161566478,1.791037876301982,0.1380423893675504,0.2760847787351008,0.41412716810265116
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,7.5,12.0,high,low,1.791037876301982,1.574232320290669,0.216805556011313,0.0764604281060779,0.08325333350834418,0.6877585444999612,0.2168055560113133,0.6103636360839805,1.0039217161566478,1.791037876301982,0.1380423893675504,0.2760847787351008,0.41412716810265116
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,7.5,10.0,high,central,2.1492454515623787,1.8890787843488026,0.26016666721357556,0.09175251372729348,0.09990400021001301,0.8253102533999535,0.26016666721357595,0.7324363633007767,1.2047060593879773,2.1492454515623787,0.16565086724106048,0.33130173448212097,0.49695260172318134
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives,7.5,8.0,high,high,2.686556814452973,2.3613484804360034,0.32520833401696947,0.11469064215911684,0.12488000026251626,1.0316378167499418,0.3252083340169699,0.9155454541259708,1.5058825742349715,2.686556814452973,0.2070635840513256,0.4141271681026512,0.6211907521539767
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,12.0,low,low,0.75225818043669,0.6127153244433247,0.13954285599336513,0.049212329723878186,0.053584456701452204,0.2888671412876889,0.13954285599336536,0.29272168710419655,0.4459005182150277,0.75225818043669,0.0546269642402106,0.1092539284804212,0.16388089272063178
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,10.0,low,central,0.9027098165240279,0.7352583893319895,0.16745142719203815,0.05905479566865382,0.06430134804174265,0.3466405695452267,0.16745142719203843,0.35126602452503586,0.5350806218580332,0.9027098165240279,0.06555235708825272,0.13110471417650543,0.19665707126475812
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,2.5,8.0,low,high,1.1283872706550349,0.9190729866649869,0.2093142839900477,0.07381849458581727,0.0803766850521783,0.4333007119315334,0.20931428399004803,0.4390825306562948,0.6688507773225415,1.1283872706550349,0.08194044636031589,0.16388089272063178,0.24582133908094767
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,12.0,central,low,1.50451636087338,1.2254306488866493,0.27908571198673027,0.09842465944775637,0.10716891340290441,0.5777342825753778,0.2790857119867307,0.5854433742083931,0.8918010364300554,1.50451636087338,0.1092539284804212,0.2185078569608424,0.32776178544126355
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,10.0,central,central,1.8054196330480559,1.470516778663979,0.3349028543840763,0.11810959133730764,0.1286026960834853,0.6932811390904534,0.33490285438407685,0.7025320490500717,1.0701612437160664,1.8054196330480559,0.13110471417650543,0.26220942835301086,0.39331414252951624
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,5.0,8.0,central,high,2.2567745413100697,1.8381459733299739,0.4186285679800954,0.14763698917163454,0.1607533701043566,0.8666014238630668,0.41862856798009607,0.8781650613125896,1.337701554645083,2.2567745413100697,0.16388089272063178,0.32776178544126355,0.49164267816189533
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,12.0,high,low,2.2567745413100697,1.8381459733299739,0.4186285679800954,0.14763698917163454,0.1607533701043566,0.8666014238630668,0.41862856798009607,0.8781650613125896,1.337701554645083,2.2567745413100697,0.16388089272063178,0.32776178544126355,0.49164267816189533
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,10.0,high,central,2.708129449572084,2.2057751679959683,0.5023542815761144,0.17716438700596146,0.19290404412522794,1.03992170863568,0.5023542815761153,1.0537980735751076,1.6052418655740994,2.708129449572084,0.19665707126475815,0.3933141425295163,0.5899712137942743
CK_T5c_IV_native_shock,GR_2006_2010,men,ck_sample,other_natives_and_other_foreign_born,7.5,8.0,high,high,3.3851618119651046,2.757218959994961,0.6279428519701431,0.22145548375745183,0.2411300551565349,1.2999021357946001,0.6279428519701441,1.3172475919688844,2.0065523319676246,3.3851618119651046,0.2458213390809477,0.4916426781618954,0.7374640172428429
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,2.5,12.0,low,low,0.5734781774580048,0.45560804278026745,0.11787013467773728,0.030790667246425613,0.04526213171625112,0.22021562014387386,0.11787013467773731,0.23177214537280416,0.34567415606787105,0.5734781774580048,0.05381501406120417,0.10763002812240834,0.1614450421836125
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,2.5,10.0,low,central,0.6881738129496057,0.5467296513363209,0.14144416161328474,0.036948800695710736,0.05431455805950134,0.2642587441726486,0.14144416161328477,0.278126574447365,0.4148089872814452,0.6881738129496057,0.064578016873445,0.12915603374689,0.193734050620335
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,2.5,8.0,low,high,0.8602172661870071,0.6834120641704011,0.17680520201660593,0.04618600086963842,0.06789319757437667,0.3303234302158108,0.17680520201660596,0.34765821805920627,0.5185112341018066,0.8602172661870071,0.08072252109180625,0.1614450421836125,0.24216756327541875
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,5.0,12.0,central,low,1.1469563549160096,0.9112160855605349,0.23574026935547457,0.06158133449285123,0.09052426343250224,0.4404312402877477,0.23574026935547462,0.4635442907456083,0.6913483121357421,1.1469563549160096,0.10763002812240834,0.21526005624481667,0.322890084367225
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,5.0,10.0,central,central,1.3763476258992113,1.0934593026726418,0.2828883232265695,0.07389760139142147,0.10862911611900268,0.5285174883452972,0.28288832322656954,0.55625314889473,0.8296179745628904,1.3763476258992113,0.12915603374689,0.25831206749378,0.38746810124067
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,5.0,8.0,central,high,1.7204345323740142,1.3668241283408022,0.35361040403321187,0.09237200173927684,0.13578639514875335,0.6606468604316216,0.3536104040332119,0.6953164361184125,1.037022468203613,1.7204345323740142,0.1614450421836125,0.322890084367225,0.4843351265508375
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,7.5,12.0,high,low,1.7204345323740142,1.3668241283408022,0.35361040403321187,0.09237200173927684,0.13578639514875335,0.6606468604316216,0.3536104040332119,0.6953164361184125,1.037022468203613,1.7204345323740142,0.1614450421836125,0.322890084367225,0.4843351265508375
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,7.5,10.0,high,central,2.064521438848817,1.6401889540089627,0.4243324848398542,0.1108464020871322,0.16294367417850403,0.7927762325179458,0.4243324848398543,0.834379723342095,1.2444269618443355,2.064521438848817,0.193734050620335,0.38746810124067,0.581202151861005
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives,7.5,8.0,high,high,2.5806517985610213,2.0502361925112034,0.5304156060498177,0.13855800260891526,0.20367959272313002,0.9909702906474323,0.5304156060498179,1.0429746541776188,1.5555337023054197,2.5806517985610213,0.24216756327541875,0.4843351265508375,0.7265026898262562
CK_eq7_structural,GR_2006_2010,men,all_metros,other_natives_and_other_foreign_born,2.5,12.0,low,low,0.6992654746139264,0.5321163425347283,0.1671491320791983,0.043663590615643115,0.06418526671841214,0.26851794225174774,0.16714913207919818,0.3001782177128803,0.4332073033465623,0.6992654746139264,0.06367027348568434,0.12734054697136868,0.191010820457053
