outcome,model,weighting,term,coef,se_hc3,ci_low,ci_high,n
x_employed_women_25_64,2,unweighted,degree_share_25_64,17.642,10.656,-3.243,38.527,66
x_employed_women_25_64,2,weighted,intercept,58.481,6.081,46.561,70.401,66
x_employed_women_25_64,2,weighted,muslim_share_2010,-21.806,4.377,-30.385,-13.228,66
x_employed_women_25_64,2,weighted,share_employment,-50.336,12.9,-75.619,-25.052,66
x_employed_women_25_64,2,weighted,share_refugee_asylee,-0.726,6.112,-12.706,11.253,66
x_employed_women_25_64,2,weighted,share_diversity,-7.679,19.119,-45.153,29.795,66
x_employed_women_25_64,2,weighted,degree_share_25_64,46.84,12.629,22.088,71.592,66
x_employed_women_25_64,3,unweighted,intercept,72.259,3.879,64.656,79.862,59
x_employed_women_25_64,3,unweighted,muslim_share_2010,-16.632,5.016,-26.463,-6.8,59
x_employed_women_25_64,3,unweighted,share_employment,-10.8,14.234,-38.699,17.098,59
x_employed_women_25_64,3,unweighted,share_refugee_asylee,-5.069,6.15,-17.123,6.984,59
x_employed_women_25_64,3,unweighted,share_diversity,15.418,18.518,-20.877,51.713,59
x_employed_women_25_64,3,unweighted,degree_share_25_64,4.482,13.033,-21.063,30.027,59
x_employed_women_25_64,3,weighted,intercept,67.832,3.387,61.194,74.471,59
x_employed_women_25_64,3,weighted,muslim_share_2010,-20.661,5.294,-31.038,-10.284,59
x_employed_women_25_64,3,weighted,share_employment,-37.85,14.652,-66.568,-9.133,59
x_employed_women_25_64,3,weighted,share_refugee_asylee,-6.451,5.03,-16.309,3.408,59
x_employed_women_25_64,3,weighted,share_diversity,-3.754,16.47,-36.035,28.527,59
x_employed_women_25_64,3,weighted,degree_share_25_64,27.069,12.178,3.2,50.938,59
