country,years,suppressed_cells,lpr_total,share_employment,share_family,share_diversity,share_refugee_asylee,share_other,total,family_sponsored,employment,immediate_relatives,diversity,refugee_asylee,other
North Macedonia,19,6,19395,0.06027,0.72045,0.17387,0.04070,0.00471,19395,3098,1164,10816,3358,786,91
Fiji,19,8,19274,0.02122,0.63834,0.25017,0.08507,0.00520,19274,5191,408,7085,4811,1636,100
Azerbaijan,19,4,18829,0.06315,0.35159,0.27735,0.29458,0.01333,18829,915,1184,5677,5200,5523,250
Gambia,19,0,18596,0.02490,0.73231,0.01667,0.18902,0.03710,18596,1347,463,12271,310,3515,690
Zimbabwe,19,4,17955,0.28074,0.44975,0.06028,0.20241,0.00682,17955,806,5025,7244,1079,3623,122
Lithuania,19,4,17681,0.10961,0.69447,0.17590,0.01499,0.00503,17681,864,1938,11415,3110,265,89
Portugal,19,4,17164,0.24272,0.72911,0.01301,0.00764,0.00752,17164,1442,4162,11060,223,131,129
Rwanda,19,13,17031,0.02139,0.12900,0.19744,0.65111,0.00106,17031,428,362,1755,3341,11018,18
New Zealand,19,21,16237,0.30335,0.58467,0.10956,0.00000,0.00242,16237,516,4887,8903,1765,0,39
Singapore,19,6,16217,0.55935,0.40856,0.01611,0.01037,0.00562,16217,946,9062,5673,261,168,91
Kyrgyzstan,19,2,16063,0.04594,0.35363,0.37169,0.21225,0.01650,16063,618,735,5040,5947,3396,264
Belize,19,14,16014,0.05026,0.92695,0.00194,0.00426,0.01659,16014,3610,803,11199,31,68,265
"Congo, Republic",19,4,15893,0.03057,0.19317,0.23747,0.53432,0.00447,15893,342,485,2723,3768,8478,71
Saint Lucia,19,32,15041,0.03093,0.96437,0.00300,0.00020,0.00150,15041,3099,454,11057,44,3,22
Bahamas,19,10,13974,0.09881,0.86880,0.01046,0.00788,0.01404,13974,1320,1379,10805,146,110,196
Switzerland,19,10,13129,0.43823,0.47826,0.06593,0.01261,0.00497,13129,315,5736,5945,863,165,65
Serbia,14,8,12978,0.12976,0.72804,0.11901,0.02312,0.00008,12978,721,1678,8694,1539,299,1
Mongolia,19,2,12856,0.18143,0.46979,0.17995,0.15421,0.01462,12856,454,2333,5587,2314,1983,188
Belgium,19,9,12262,0.46143,0.47443,0.04590,0.01456,0.00368,12262,317,5640,5482,561,178,45
Burundi,19,12,11885,0.01274,0.09781,0.07696,0.81173,0.00076,11885,115,151,1044,912,9619,9
Grenada,19,27,11710,0.04274,0.94840,0.00139,0.00096,0.00652,11710,2649,492,8268,16,11,75
Kosovo,14,10,11291,0.02853,0.66869,0.19812,0.10295,0.00170,11291,1690,319,5786,2215,1151,19
Tajikistan,19,8,11265,0.06377,0.31920,0.53153,0.08049,0.00501,11265,513,713,3056,5943,900,56
Zambia,19,8,10012,0.16175,0.62209,0.04404,0.16729,0.00484,10012,469,1605,5704,437,1660,48
Mali,19,0,9449,0.04916,0.64901,0.04418,0.19790,0.05975,9449,453,464,5673,417,1868,564
Denmark,19,20,9382,0.47531,0.48902,0.02935,0.00139,0.00493,9382,173,4438,4393,274,13,46
Burkina Faso,19,6,9347,0.04262,0.57942,0.16670,0.20340,0.00786,9347,504,396,4880,1549,1890,73
Tunisia,19,12,9206,0.14777,0.71486,0.11274,0.02222,0.00241,9206,331,1350,6200,1030,203,22
Czechia,19,4,9003,0.26706,0.66302,0.05140,0.01215,0.00636,9003,226,2395,5720,461,109,57
Libya,19,4,8906,0.17966,0.51721,0.14682,0.15506,0.00124,8906,439,1592,4144,1301,1374,11
Benin,19,12,8897,0.03897,0.51065,0.40281,0.04463,0.00295,8897,552,344,3956,3556,394,26
Barbados,19,27,8751,0.07448,0.91728,0.00418,0.00000,0.00406,8751,2110,624,5575,35,0,34
Croatia,19,9,8651,0.18640,0.51903,0.04805,0.24455,0.00197,8651,289,1606,4183,414,2107,17
Saint Vincent and the Grenadines,19,21,8566,0.02967,0.96321,0.00237,0.00000,0.00475,8566,2101,250,6016,20,0,40
Paraguay,19,9,8549,0.15378,0.80040,0.00822,0.02820,0.00940,8549,671,1309,6142,70,240,80
Austria,19,16,8147,0.36959,0.54088,0.07042,0.01357,0.00555,8147,318,2997,4068,571,110,45
Latvia,19,8,8113,0.11890,0.70473,0.08083,0.08157,0.01397,8113,364,962,5338,654,660,113
Finland,19,15,7579,0.50239,0.44015,0.05494,0.00119,0.00133,7579,122,3786,3195,414,9,10
Mauritania,19,18,7397,0.01444,0.25647,0.03419,0.69327,0.00163,7397,240,106,1643,251,5090,12
Czechoslovakia (former),18,22,6866,0.16394,0.79449,0.02521,0.01268,0.00369,6866,109,1112,5280,171,86,25
Dominica,19,23,6853,0.02083,0.97187,0.00502,0.00000,0.00228,6853,2194,137,4198,33,0,15
Slovakia,15,11,6728,0.25134,0.68384,0.05585,0.00582,0.00314,6728,265,1683,4314,374,39,21
Norway,19,32,6197,0.29236,0.68020,0.02334,0.00263,0.00148,6197,151,1779,3988,142,16,9
Tonga,19,19,5812,0.00454,0.94432,0.04311,0.00000,0.00803,5812,1418,26,3992,247,0,46
Turkmenistan,19,14,5749,0.06650,0.33572,0.41616,0.18037,0.00125,5749,227,372,1651,2328,1009,7
United States,19,20,5276,0.10021,0.75160,0.00563,0.05690,0.08565,5276,233,516,3637,29,293,441
Serbia and Montenegro¹,1,0,5202,0.06786,0.29220,0.03998,0.59170,0.00827,5202,120,353,1400,208,3078,43
Qatar,19,4,4574,0.33421,0.44833,0.14380,0.05519,0.01847,4574,726,1520,1313,654,251,84
Antigua-Barbuda,11,12,4373,0.03020,0.96196,0.00392,0.00092,0.00300,4373,1509,131,2664,17,4,13
Estonia,19,16,4351,0.15707,0.69028,0.06199,0.08157,0.00909,4351,123,674,2839,266,350,39
