year,birthplace,foreign_born_all_years,entered_2000_plus,degree_holders_25_64,degree_share_25_64,p1_medicaid_degree_25_64,p2_income_100k_degree_25_64,s1_medicaid_all,s2_poverty,s3_employed_25_64,x_employed_men_25_64,x_employed_women_25_64
2024,Brazil,728127,594525,219736,0.50398,0.07747,0.27344,0.17183,0.14000,0.76312,0.87577,0.67036
2024,United Kingdom,616853,304913,156486,0.67540,0.02538,0.55648,0.06071,0.06421,0.82186,0.87089,0.74057
2024,Ecuador,609966,392731,63586,0.22985,0.12687,0.17172,0.27016,0.18165,0.78089,0.87694,0.67741
2024,Nigeria,539400,411028,208567,0.68809,0.08722,0.24981,0.15824,0.14131,0.83605,0.86611,0.80299
2024,Peru,532146,303394,74283,0.34426,0.11418,0.22185,0.19477,0.17021,0.80853,0.87585,0.75444
2024,Germany,517337,175714,83230,0.62209,0.03254,0.48723,0.07106,0.09191,0.80928,0.90879,0.72766
2024,Ukraine,508017,336134,131942,0.57132,0.20131,0.24498,0.34360,0.13230,0.75246,0.89056,0.64222
2024,Russia,431452,278161,127680,0.70616,0.15508,0.30199,0.25819,0.14031,0.72884,0.84093,0.65088
2024,Pakistan,417674,266896,130012,0.63598,0.11700,0.28335,0.25861,0.15071,0.69723,0.85648,0.54055
2024,Iran,411097,210279,118212,0.68647,0.09978,0.39678,0.22470,0.10201,0.79363,0.87839,0.70446
2024,Taiwan,404244,153987,103363,0.82901,0.05348,0.39689,0.08333,0.12251,0.73284,0.85860,0.64857
2024,Nicaragua,395177,262150,34011,0.18101,0.11876,0.06898,0.17278,0.22338,0.75482,0.83632,0.66962
2024,Poland,386854,149147,56755,0.46862,0.07273,0.34233,0.11791,0.08419,0.80217,0.92291,0.70886
2024,Bangladesh,353066,263544,97989,0.49521,0.23082,0.19959,0.42135,0.17638,0.70163,0.87610,0.52494
2024,Japan,343320,193616,103299,0.70098,0.03251,0.34511,0.06731,0.08615,0.72054,0.95202,0.56201
2024,Ethiopia,305842,243534,57597,0.34228,0.16192,0.23649,0.27323,0.17772,0.78564,0.86749,0.70247
2024,Italy,281446,83964,38456,0.65992,0.01950,0.47831,0.08511,0.09589,0.85956,0.91148,0.78728
2024,Guyana,278985,121469,23445,0.26065,0.14485,0.21403,0.26905,0.10016,0.77016,0.81230,0.73999
2024,Thailand,268400,143337,46664,0.48555,0.07983,0.22613,0.23840,0.15811,0.75174,0.82279,0.71115
2024,Afghanistan,244323,215014,36075,0.29941,0.42054,0.16748,0.66330,0.41878,0.64283,0.86817,0.37294
2024,Hong Kong,239830,72260,36311,0.69515,0.07425,0.42940,0.12975,0.09467,0.75310,0.83557,0.67359
2024,Trinidad and Tobago,233948,89184,24151,0.35734,0.08745,0.25924,0.17801,0.10307,0.80928,0.85232,0.77802
2024,Iraq,229173,167315,38810,0.35237,0.20505,0.25573,0.47498,0.27663,0.66790,0.82187,0.49968
2024,Egypt,222127,147793,70747,0.68985,0.21363,0.28172,0.33289,0.21465,0.75498,0.86880,0.63474
2024,Ghana,217525,165196,66394,0.52473,0.08826,0.25560,0.18081,0.12269,0.82369,0.82532,0.82193
2024,Argentina,211205,123192,45455,0.46444,0.02750,0.36322,0.09488,0.12458,0.79584,0.89523,0.68835
2024,Nepal,205971,189306,83298,0.56562,0.08899,0.32165,0.21918,0.10972,0.80034,0.87668,0.71685
2024,Turkey,186039,135617,74758,0.71447,0.05603,0.36197,0.12752,0.12383,0.76903,0.90723,0.58889
2024,France,183903,113657,67011,0.77407,0.02852,0.56568,0.06279,0.09212,0.85108,0.92907,0.74274
2024,Kenya,180096,145727,55566,0.51552,0.04548,0.32212,0.19144,0.15570,0.81594,0.82741,0.80634
2024,Laos,164246,31970,3511,0.13673,0.02222,0.28567,0.24876,0.13164,0.73106,0.73121,0.73101
2024,Romania,162028,73931,39273,0.64292,0.07035,0.44789,0.13054,0.07646,0.83620,0.92485,0.76865
2024,South Africa,156545,99669,41466,0.59334,0.02023,0.41760,0.08279,0.15694,0.80561,0.87101,0.71812
2024,Myanmar,156146,120183,24625,0.24843,0.22936,0.13978,0.34641,0.14291,0.73919,0.82618,0.64538
2024,Israel,155059,84774,37702,0.62278,0.06772,0.46929,0.11998,0.10347,0.83339,0.89997,0.74607
2024,Cambodia,148903,53598,8559,0.21679,0.16240,0.12630,0.25391,0.08533,0.74965,0.83097,0.70610
2024,Lebanon,141012,63954,26596,0.58291,0.09742,0.40134,0.30547,0.23402,0.72752,0.87926,0.54847
2024,Spain,137467,94392,42344,0.75552,0.03096,0.42013,0.09288,0.14364,0.84384,0.93106,0.73139
2024,Chile,131406,80669,25625,0.49529,0.05604,0.23961,0.17822,0.17694,0.75115,0.85279,0.64608
2024,Portugal,128432,27188,8392,0.38151,0.00000,0.44423,0.08452,0.09701,0.84602,0.87621,0.79317
2024,Syria,124530,83859,18835,0.38698,0.19427,0.24954,0.49392,0.31168,0.61908,0.76595,0.44983
2024,Greece,121078,30988,13196,0.63357,0.06297,0.49568,0.13851,0.15651,0.86461,0.97666,0.72223
2024,Ireland,117005,40531,21059,0.60703,0.01719,0.59219,0.05470,0.03310,0.88507,0.95534,0.75354
2024,Albania,114458,82733,23228,0.39525,0.18710,0.25706,0.25171,0.07561,0.82087,0.90138,0.74702
2024,Armenia,113070,75234,28181,0.53957,0.40843,0.26724,0.53084,0.24419,0.67235,0.73615,0.61941
2024,Australia,112553,74975,38481,0.67389,0.03789,0.56514,0.05733,0.05071,0.81675,0.90530,0.69451
2024,Africa,111548,88941,19064,0.29202,0.14394,0.20625,0.30438,0.19853,0.75661,0.82801,0.69279
2024,Bosnia and Herzegovina,108370,38521,9816,0.29947,0.02628,0.36145,0.13748,0.08589,0.84731,0.90470,0.79150
2024,Panama,108063,34447,8555,0.34290,0.09036,0.24605,0.16376,0.22215,0.69995,0.76995,0.65485
2024,Indonesia,105197,56651,28259,0.62586,0.07265,0.26558,0.14798,0.13036,0.74413,0.86427,0.67551
2024,Costa Rica,105046,56006,14217,0.33337,0.08293,0.35584,0.12502,0.14193,0.78329,0.90878,0.67284
