cbsa,mex2000,fb2000,pop2000,mex_base_share_natl,fb_base_share_natl
27340,968,6129,150355,0.00010544448663676313,0.0001963323741481933
27500,2729,5048,152307,0.0002972706653220316,0.00016170432773700112
27620,358,2298,140052,3.899703121483595e-05,7.361262780103577e-05
27740,692,2703,181607,7.537973631471083e-05,8.658613270069612e-05
27780,52,1935,152598,5.664373249082317e-06,6.198452340948834e-05
27860,906,1838,107762,9.869081083978037e-05,5.887728890265611e-05
27900,1345,3495,157322,0.00014651119269260994,0.00011195654228225413
27980,905,21201,128241,9.858188058499033e-05,0.0006791389564881459
28020,2660,12284,314866,0.0002897544777415185,0.00039349761527759935
28100,2022,3611,103833,0.0002202569751854701,0.00011567241035228031
28140,27127,80754,1811254,0.0029549510216895386,0.00258682077695598
28420,16958,24482,191822,0.0018472392607295756,0.0007842403628481103
28660,6355,22346,330714,0.0006922517691907332,0.0007158171370069388
28700,242,3093,298484,2.6361121659190782e-05,9.907913741888757e-05
28740,532,10468,177749,5.7950895548303706e-05,0.000335325059974431
28940,1847,14582,748259,0.0002011941805972123,0.00046711024307863515
29020,201,1487,84964,2.1894981212798957e-05,4.7633584656283805e-05
29100,108,2918,126838,1.1764467517324812e-05,9.347330196841705e-05
29180,795,8038,425020,8.659955255808543e-05,0.00025748403057646886
29200,3825,12676,178541,0.00041665822457192045,0.0004060546866866533
29340,341,2676,193568,3.7145216883405194e-05,8.572123237405209e-05
29420,4977,9114,155032,0.0005421458780900518,0.00029195191026050476
29460,13402,33519,483924,0.0014598832746961772,0.001073725705510408
29540,722,15037,470658,7.864764395841217e-05,0.0004816854152498585
29620,1162,20512,447728,0.00012657695606603178,0.0006570679814860077
29700,54056,56029,193117,0.005888333852930649,0.0017947963111680735
29740,29553,32623,174682,0.003219215819810187,0.001045023828003999
29820,118433,247751,1375765,0.012900936865549347,0.007936293363940127
29940,246,5168,99962,2.6796842678350963e-05,0.00016554832918875233
30020,731,6292,121610,7.962801625152258e-05,0.0002015538094534887
30140,251,2907,120327,2.7341493952301185e-05,9.312093516867319e-05
30300,94,1080,57961,1.0239443950264188e-05,3.4596013065760935e-05
30340,62,2658,103793,6.7536757969827625e-06,8.514463215628942e-05
30460,5386,18084,408326,0.00058669835229918,0.0005792910187789081
30620,136,1137,108473,1.481451465144606e-05,3.642191375534276e-05
30700,1819,13852,266787,0.00019814413346309106,0.00044372590091381524
30780,3404,14285,610518,0.0003707985873053117,0.0004575963394855509
30860,2755,6469,102720,0.00030010285194657276,0.00020722371159482175
30980,6683,8853,194042,0.0007279808927618678,0.0002835912071029459
31020,1113,3452,92948,0.00012123937358131959,0.00011057910842870995
31080,1914397,4299343,12365627,0.20853575297929694,0.1377223394464702
31140,4250,29795,1121109,0.00046295358285768936,0.0009544335271243954
31180,3788,8719,256250,0.0004126278051446888,0.00027929873881515704
31340,259,4432,228616,2.821293599062154e-05,0.00014197178695134487
31420,420,3490,222368,4.575070701181871e-05,0.00011179637555509783
31460,21398,24753,123109,0.0023308895919973735,0.0007929213994599818
31540,5384,28046,535421,0.0005864804917895999,0.0008984072059651214
31700,1094,25793,380841,0.00011916969874030875,0.0008262360787084924
31740,450,4037,81052,4.901861465552005e-05,0.00012931861550599712
31860,327,2425,85712,3.562019331634457e-05,7.76808626708058e-05
31900,71,2287,128852,7.734048090093164e-06,7.326026100129191e-05
32420,84,2179,115048,9.150141402363743e-06,6.980065969471581e-05
32580,160914,168215,569463,0.01752840301928523,0.005388489201719422
32780,4493,8849,181269,0.0004894236347716702,0.0002834630737212208
32820,11647,38199,1213230,0.0012687106775396489,0.0012236417621287056
32900,36495,52184,210554,0.003975409648562676,0.0016716280979848783
33100,48653,1755004,5007564,0.005299783686300038,0.05621864936524324
33140,884,2730,110106,9.629434523439939e-05,8.745103302734014e-05
33220,156,2611,82874,1.699311974724695e-05,8.363906492102018e-05
33260,7295,9171,120755,0.0007946462086933751,0.0002937778109500866
33340,24361,81574,1500741,0.0026536499369402755,0.0026130881202096135
33460,30190,211435,3031918,0.0032886043921114454,0.0067729703912584845
33540,47,2196,95802,5.119721975132094e-06,7.034522656704723e-05
33660,644,9133,399843,7.015108408478869e-05,0.0002925605438236987
33700,50781,81615,446997,0.005531587268493253,0.002614401487372295
33740,279,1768,170053,3.0391541086422434e-05,5.66349547224679e-05
33780,437,2763,145945,4.760252134324947e-05,8.850813342657173e-05
33860,652,5701,346528,7.102252612310905e-05,0.00018262210230361397
34060,71,3307,111200,7.734048090093164e-06,0.00010593427334117723
34100,2527,3757,102422,0.0002752667538544426,0.00012034927878524429
34580,5136,9093,102979,0.0005594657886016689,0.0002912792100064483
34620,152,1754,118769,1.6557398728086773e-05,5.618648788643026e-05
34740,983,3159,170200,0.0001070784404586138,0.00010119333821735074
34820,3224,9897,269772,0.00035119114144310364,0.00031703401973318145
34900,15116,22487,124279,0.0016465897314063135,0.0007203338387127465
34940,15964,46071,251377,0.0017389625874682714,0.0014758082573635852
34980,17120,59985,1381287,0.0018648859620055628,0.0019215202256941386
35100,894,3539,114751,9.738364778229983e-05,0.00011336600948122957
35300,4599,74427,824008,0.000500970241779415,0.0023841458004123972
35380,3085,64169,1337726,0.0003360498360272875,0.002055547742978531
35620,212419,4898632,18944519,0.023138855792246477,0.15691957099662465
35660,1190,7891,162453,0.00012962700320015303,0.00025277512879807367
35840,11231,52651,589959,0.0012233956915469904,0.0016865876703012767
35980,156,14002,259088,1.699311974724695e-05,0.00044853090272850424
36100,1597,13352,258916,0.00017396161689970117,0.0004277092281981852
36140,219,3288,102326,2.385572579901976e-05,0.00010532563977798329
36220,11761,12873,121123,0.001281128726585714,0.00041236525573661156
36260,10270,22697,485401,0.0011187137166937576,0.000727060841253311
36420,23928,61868,1095421,0.0026064831366161864,0.0019818390151412012
36500,1233,12738,207355,0.00013431100415612493,0.00040804075410339147
36540,12953,34796,767041,0.0014109735902954471,0.0011146322876261273
36740,16936,197119,1644561,0.0018448427951241948,0.006314381018064565
36780,989,4351,156763,0.00010773202198735407,0.0001393770859714128
36980,290,1054,109875,3.158977388911292e-05,3.3763146084548174e-05
37100,95004,155913,753197,0.010348809926073394,0.00499441498622406
37340,1028,31001,476230,0.00011198030192416581,0.0009930657417144952
37460,200,5657,161549,2.178605095800891e-05,0.00018121263510463852
37620,70,945,93859,7.625117835303119e-06,3.0271511432540817e-05
37860,574,14370,412153,6.252596624948558e-05,0.000460319173847208
37900,1076,7782,366899,0.00011720895415408794,0.0002492834941460663
37980,20643,391829,5687147,0.0022486472496308896,0.012551593706985224
38060,297632,457483,3251876,0.03242112959367054,0.014654710967929176
38220,271,1178,107341,2.9520099048102076e-05,3.773528091802443e-05
38300,1022,62778,2431087,0.00011132672039542553,0.002010989359483648
38340,62,4946,134953,6.7536757969827625e-06,0.00015843692650301257
38540,371,1641,75565,4.041312452710653e-05,5.256671985269787e-05
38660,210,3430,382982,2.2875353505909357e-05,0.00010987437482922222
38860,98,16135,487568,1.0675164969424367e-05,0.0005168580285333821
38900,60148,208422,1927881,0.0065519369651116,0.006676453921474097
38940,6836,30483,319426,0.0007446472217447446,0.0009764724687811024
39140,5279,9945,167517,0.0005750428150366453,0.00031857162031388194
39300,3148,182090,1582997,0.0003429124420790603,0.005832951869578156
39340,9332,23299,376774,0.0010165371377006958,0.0007463449152029296
39380,2409,4194,141472,0.00026241298378921736,0.00013434785073870495
39460,305,11292,141627,3.322372771096359e-05,0.0003617205366097893
39540,3279,7710,188831,0.0003571823054565561,0.00024697709327501554
39580,22518,69530,797071,0.0024528914773622235,0.0022272785078355163
39660,218,2324,120093,2.3746795544229715e-05,7.444549478224853e-05
39740,3481,16032,373638,0.0003791862169241451,0.0005135585939539623
39820,1553,6488,163256,0.0001691686856889392,0.0002078323451580157
39900,22852,48067,342885,0.0024892741824620985,0.0015397468148443804
40060,3143,45642,1055683,0.00034236779080511003,0.0014620659521735746
40140,386169,612359,3254821,0.042065487562016717,0.019615907374941018
40220,558,7002,288309,6.078308217284487e-05,0.0002242974847096834
40340,1217,10802,184740,0.00013256812007948423,0.0003460241973484719
40380,1036,62054,1062452,0.00011285174396248616,0.001987797217391416
40420,9817,20044,320204,0.0010693683112738674,0.000642076375824178
40580,2221,3758,143026,0.00024193409588868896,0.00012038131213067555
40660,1756,4722,90565,0.00019128152741131825,0.00015126145712641032
40900,74634,260111,1796857,0.008129900636000185,0.008332225513470503
40980,760,4290,210039,8.278699364043387e-05,0.00013742305190010595
41060,546,3880,167392,5.947591911536433e-05,0.0001242893802732893
41100,1567,3714,90354,0.00017069370925599982,0.0001189718449317001
41140,81,1204,122336,8.823350637993609e-06,3.856814789923719e-05
41180,6836,81389,2675343,0.0007446472217447446,0.0026071619513048302
41420,25964,39993,347214,0.002828265135368717,0.0012811095838323862
41500,87457,116559,401762,0.009526713293172928,0.003733774710122249
41540,2156,12143,312572,0.00023485362932733608,0.0003889809135717917
41620,38099,94780,939122,0.004150133777245908,0.0030361204799748344
41660,4737,6223,105781,0.0005160026169404411,0.00019934350861873176
41700,117167,167542,1711703,0.01276303116298515,0.005366930760244183
41740,292749,606254,2813833,0.03188922315953076,0.019420343801083175
41860,223054,1127963,4123740,0.0242973290519386,0.03613242841268046
41900,65,1168,136212,7.080466561352896e-06,3.741494746371183e-05
41940,148125,583156,1735819,0.01613529399077535,0.018680437588311928
41980,1902,96686,2387790,0.00020718534461066474,0.0030971760363668163
42020,11353,22016,246681,0.001236685182631376,0.000705246133014623
42100,30598,46502,255602,0.0033330479360657835,0.0014896146292444584
42140,8381,13075,129292,0.0009129444653953635,0.00041883599151372615
42200,55785,84826,399347,0.006076674263462636,0.0027172605595520713
42220,35765,65726,458614,0.003895890562565944,0.002105423661815003
42340,1081,10303,293000,0.00011775360542803817,0.0003300395579782731
42540,626,11347,560625,6.81903394985679e-05,0.00036348237060850866
42660,44000,383824,3043878,0.00479293121076196,0.012295166776807986
42680,2772,9151,112947,0.00030195466627800353,0.0002931371440414614
42700,3273,7912,87366,0.00035652872392781586,0.00025344782905213013
43100,1053,4817,112646,0.00011470355829391692,0.00015430462494238
43300,2808,4329,110595,0.0003058761554504451,0.00013867235237192507
43340,1063,6745,417796,0.00011579286084181736,0.00021606491493384955
43420,10058,14438,117755,0.0010956205026782682,0.0004624974413365337
43580,6716,11507,167902,0.0007315755911699392,0.00036860770587751027
43620,669,6381,187093,7.287434045453981e-05,0.00020440477719687084
43780,3839,13092,316663,0.0004181832481389811,0.00041938055838605757
43900,3173,9582,283672,0.0003456356984488114,0.00030694351592233454
44060,932,19904,469737,0.00010152299746432153,0.0006375917074638015
44100,149,3622,201437,1.623060796371664e-05,0.00011602477715202417
44140,374,43006,608479,4.073991529147666e-05,0.001377626053616773
44180,745,5691,368374,8.115303981858319e-05,0.00018230176884930137
44220,254,1724,144742,2.7668284716671318e-05,5.5225487523492456e-05
44300,87,7829,135758,9.476932166733877e-06,0.0002507890613813355
44420,481,1870,108988,5.239545255401143e-05,5.990235595645643e-05
44700,56508,109812,563598,0.006155430837675838,0.003517645728497537
44940,354,2149,104646,3.856131019567577e-05,6.883965933177801e-05
45060,233,29445,650154,2.5380749366080382e-05,0.0009432218562234544
45220,1595,13686,320304,0.00017374375639012108,0.0004384083655722261
45300,26791,233907,2395997,0.002918350456080084,0.007492823729789762
45460,248,2461,170943,2.701470318793105e-05,7.883406310633117e-05
45500,850,2022,143377,9.259071657153787e-05,6.477142446200798e-05
45540,468,2938,53345,5.0979359241740855e-05,9.411396887704225e-05
45780,1786,17939,618203,0.0001945494350550196,0.0005746461836913754
45820,2183,4877,224551,0.00023779474620666728,0.00015622662566825563
45940,1465,48659,350761,0.00015958282326741528,0.0015587105553396864
46060,62346,100050,843746,0.006791365665140118,0.0032049362103975755
46140,14117,33499,859532,0.001537768406871059,0.001073085038601783
46220,461,3592,203009,5.021684745821054e-05,0.00011506377678908636
46340,9104,11603,174706,0.0009917010396085658,0.00037168290703891123
46520,1281,168246,876156,0.00013953965638604707,0.005389482235427791
46540,69,13644,299896,7.5161875805130745e-06,0.00043706296506411315
46660,1153,3291,119560,0.00012559658377292137,0.00010542173981427707
46700,19659,66496,394542,0.002141459878917486,0.0021300893377970732
47020,2452,3782,91016,0.00026709698474518923,0.0001211501124210258
47220,3648,9007,146438,0.00039737756947408256,0.00028852434229935994
47260,2143,70487,1580057,0.0002334375360150655,0.0022579344194132325
47300,68504,83124,368021,0.0074621581741372124,0.0026627398056280668
47380,10637,13981,232093,0.001158691120201704,0.0004478582024744478
47460,3733,5335,59244,0.00040663664113123636,0.00017089789787577277
47580,1584,4916,144021,0.00017254552358743057,0.00015747592614007478
47900,32177,830726,4837428,0.003505048808379264,0.026610932916729
47940,640,5163,163706,6.971536306562851e-05,0.00016538816246159602
48060,127,4116,111738,1.3834142358335659e-05,0.00013184924979506668
48140,207,4390,125834,2.2548562741539224e-05,0.00014062638644323194
48260,52,1791,132008,5.664373249082317e-06,5.7371721667386884e-05
48300,10531,13010,99219,0.0011471445131939592,0.0004167538240606942
48540,38,1568,153172,4.139349682021693e-06,5.022828563621587e-05
48620,13113,32333,579839,0.0014284024310618542,0.0010357341578289337
48660,2894,7089,151524,0.00031524415736238897,0.00022708438576220303
48700,38,1407,120044,4.139349682021693e-06,4.507091702178299e-05
48900,1803,6672,201389,0.00019640124938645034,0.00021372648071736754
49020,1054,3136,102997,0.00011481248854870697,0.00010045657127243175
49180,15630,28544,569207,0.0017025798823683965,0.000914359811989889
49340,1607,63731,860054,0.0001750509194476016,0.002041517137679639
49420,33604,37575,222581,0.0036604922819646574,0.0012036529545795991
49620,912,8280,381751,9.934439236852064e-05,0.00026523610017083383
49660,342,12106,602964,3.7254147138195236e-05,0.0003877956797908351
49700,11954,23159,139149,0.0013021522657601927,0.0007418602468425532
49740,34453,38479,160026,0.0037529740682814053,0.0012326110988494583
