year,origin,natl_stock
2009,other eastern asia,8341
2009,afghanistan,64768
2009,bangladesh,151091
2009,india,1665219
2009,iran,362699
2009,pakistan,283988
2009,other south central asia,22938
2009,cambodia,154545
2009,indonesia,84096
2009,laos,191780
2009,philippines,1725894
2009,thailand,203384
2009,vietnam,1152384
2009,other south eastern asia,640
2009,iraq,154220
2009,israel,140323
2009,lebanon,123614
2009,syria,60827
2009,turkey,105350
2009,armenia,82651
2009,other western asia,63230
2009,ethiopia,148221
2009,other eastern africa,163970
2009,egypt,138194
2009,other northern africa,32238
2009,south africa,82339
2009,other southern africa,2806
2009,ghana,108647
2009,nigeria,209908
2009,other western africa,86014
2009,"africa, n.e.c.",112317
2009,australia,70842
2009,other australian and new zealand subregion,28942
2009,"oceania, n.e.c.",70057
2009,barbados,49567
2009,cuba,991385
2009,dominican republic,793285
2009,haiti,538582
2009,jamaica,651177
2009,trinidad and tobago,221067
2009,other caribbean,71598
2009,mexico,11478413
2009,costa rica,86343
2009,el salvador,1149895
2009,guatemala,798682
2009,honduras,467943
2009,nicaragua,253250
2009,panama,103774
2009,other central america,6966
2009,argentina,163791
2009,bolivia,74024
2009,brazil,359149
2009,chile,87607
2009,colombia,609845
2009,ecuador,411826
2009,guyana,245596
2009,peru,406910
2009,venezuela,157819
2009,other south america,36562
2009,canada,814965
2009,other northern america,7412
2010,ireland,124457
2010,other northern europe,25869
2010,austria,48094
2010,france,147959
2010,germany,604616
2010,netherlands,85987
2010,other western europe,2720
2010,greece,135639
2010,italy,364972
2010,spain,83242
2010,other southern europe,6108
2010,czechoslovakia (includes czech republic and slovakia),71755
2010,hungary,78368
2010,poland,475503
2010,romania,151767
2010,russia,383166
2010,ukraine,326493
2010,bosnia and herzegovina,125793
2010,other eastern europe,71030
2010,"europe, n.e.c.",9733
2010,"china, excluding hong kong and taiwan",1608095
2010,hong kong,199971
2010,taiwan,358460
2010,japan,319256
2010,korea,1100422
2010,other eastern asia,13727
2010,afghanistan,54458
2010,bangladesh,153691
2010,india,1780322
2010,iran,356756
2010,pakistan,299581
2010,other south central asia,38456
2010,cambodia,164746
2010,indonesia,99768
2010,laos,192302
2010,philippines,1777588
2010,thailand,222759
2010,vietnam,1240542
2010,other south eastern asia,943
2010,iraq,159800
2010,israel,127896
2010,lebanon,121000
2010,syria,59554
2010,turkey,106271
2010,armenia,89261
2010,other western asia,65164
2010,ethiopia,173592
2010,other eastern africa,184040
2010,egypt,137799
2010,other northern africa,34453
2010,south africa,77985
2010,other southern africa,1929
2010,ghana,124696
2010,nigeria,219309
2010,other western africa,95302
2010,"africa, n.e.c.",108386
2010,australia,71535
2010,other australian and new zealand subregion,31766
2010,"oceania, n.e.c.",74158
2010,barbados,52829
2010,cuba,1104679
2010,dominican republic,879187
2010,haiti,587149
2010,jamaica,659771
2010,trinidad and tobago,229926
2010,other caribbean,72982
2010,mexico,11711103
2010,costa rica,81933
2010,el salvador,1214049
2010,guatemala,830824
2010,honduras,522581
2010,nicaragua,247593
2010,panama,99419
2010,other central america,8913
2010,argentina,171534
2010,bolivia,78900
2010,brazil,339613
2010,chile,91172
2010,colombia,636555
2010,ecuador,443173
2010,guyana,265271
2010,peru,428547
2010,venezuela,184039
2010,other south america,40851
2010,canada,798649
2010,other northern america,8276
2011,ireland,132540
2011,other northern europe,23520
2011,austria,48179
2011,france,160833
2011,germany,608288
2011,netherlands,80789
2011,other western europe,2980
2011,greece,138269
2011,italy,373897
2011,spain,91285
2011,other southern europe,7895
2011,czechoslovakia (includes czech republic and slovakia),72905
2011,hungary,77485
2011,poland,461618
2011,romania,164606
2011,russia,399216
2011,ukraine,340468
2011,bosnia and herzegovina,122529
2011,other eastern europe,74776
2011,"europe, n.e.c.",10375
2011,"china, excluding hong kong and taiwan",1650411
2011,hong kong,215814
2011,taiwan,364934
2011,japan,318225
2011,korea,1082613
2011,other eastern asia,8244
2011,afghanistan,65560
2011,bangladesh,184469
2011,india,1856777
2011,iran,362371
2011,pakistan,303915
2011,other south central asia,41879
2011,cambodia,160212
2011,indonesia,97244
2011,laos,183768
2011,philippines,1813597
2011,thailand,239942
2011,vietnam,1259317
2011,other south eastern asia,659
2011,iraq,170366
2011,israel,133400
2011,lebanon,118395
2011,syria,64697
2011,turkey,96760
2011,armenia,85150
2011,other western asia,69505
2011,ethiopia,162044
2011,other eastern africa,188607
2011,egypt,147515
2011,other northern africa,38355
2011,south africa,87699
2011,other southern africa,4744
2011,ghana,130399
2011,nigeria,226849
2011,other western africa,97940
2011,"africa, n.e.c.",116818
2011,australia,68517
2011,other australian and new zealand subregion,28148
2011,"oceania, n.e.c.",83649
2011,barbados,49922
2011,cuba,1094811
2011,dominican republic,897263
2011,haiti,592260
2011,jamaica,696990
2011,trinidad and tobago,225115
2011,other caribbean,73136
2011,mexico,11672619
2011,costa rica,78111
2011,el salvador,1264743
2011,guatemala,850882
2011,honduras,490636
2011,nicaragua,241649
2011,panama,103689
2011,other central america,10132
2011,argentina,162875
2011,bolivia,76626
2011,brazil,329861
2011,chile,97337
2011,colombia,658667
2011,ecuador,435476
2011,guyana,259036
2011,peru,411829
2011,venezuela,189219
2011,other south america,45074
2011,canada,786317
2011,other northern america,8462
2012,ireland,132277
2012,other northern europe,22005
2012,austria,44824
2012,france,166215
2012,germany,592431
2012,netherlands,79554
2012,other western europe,1864
2012,greece,134956
2012,italy,354028
2012,spain,88665
2012,other southern europe,7301
2012,czechoslovakia (includes czech republic and slovakia),66367
2012,hungary,69154
2012,poland,440312
2012,romania,165819
2012,russia,399128
2012,ukraine,342971
2012,bosnia and herzegovina,121938
2012,other eastern europe,132737
2012,"europe, n.e.c.",8350
2012,"china, excluding hong kong and taiwan",1710424
2012,hong kong,219231
2012,taiwan,362578
2012,japan,329499
2012,korea,1084662
2012,other eastern asia,12756
2012,afghanistan,65633
2012,bangladesh,187992
2012,india,1967998
2012,iran,378520
2012,pakistan,314331
2012,other south central asia,51948
2012,cambodia,159666
2012,indonesia,86872
2012,laos,198149
2012,philippines,1868316
2012,thailand,237050
2012,vietnam,1258979
2012,other south eastern asia,735
2012,iraq,177028
2012,israel,138468
2012,lebanon,121684
2012,syria,74902
2012,turkey,107948
2012,armenia,85974
2012,other western asia,68762
2012,ethiopia,200503
2012,other eastern africa,172913
2012,egypt,172783
2012,other northern africa,37614
2012,south africa,85528
2012,other southern africa,4166
2012,ghana,129177
2012,nigeria,238796
2012,other western africa,105148
2012,"africa, n.e.c.",99697
2012,australia,84534
2012,other australian and new zealand subregion,31231
2012,"oceania, n.e.c.",84130
2012,barbados,51849
2012,cuba,1113901
2012,dominican republic,957376
2012,haiti,606365
2012,jamaica,680845
2012,trinidad and tobago,239536
2012,other caribbean,79153
2012,mexico,11563374
2012,costa rica,76678
2012,el salvador,1271859
2012,guatemala,858530
2012,honduras,521682
2012,nicaragua,258400
2012,panama,103269
2012,other central america,9732
2012,argentina,176094
2012,bolivia,71850
2012,brazil,325547
2012,chile,88290
2012,colombia,677068
2012,ecuador,420910
2012,guyana,260268
2012,peru,426263
2012,venezuela,194287
2012,other south america,41741
2012,canada,800985
2012,other northern america,7305
2013,ireland,128350
2013,other northern europe,27122
2013,austria,44688
2013,france,170394
2013,germany,584184
2013,netherlands,85085
2013,other western europe,2730
2013,greece,137084
2013,italy,354305
2013,spain,102475
2013,other southern europe,7418
2013,czechoslovakia (includes czech republic and slovakia),64354
2013,hungary,74213
2013,poland,432601
2013,romania,157302
2013,russia,390934
2013,ukraine,345187
2013,bosnia and herzegovina,112240
2013,other eastern europe,129547
2013,"europe, n.e.c.",10487
2013,"china, excluding hong kong and taiwan",1804965
2013,hong kong,213034
2013,taiwan,365832
2013,japan,339970
2013,korea,1070335
2013,other eastern asia,9348
2013,afghanistan,67169
2013,bangladesh,203179
2013,india,2034677
2013,iran,363972
2013,pakistan,342603
2013,other south central asia,60695
2013,cambodia,164746
2013,indonesia,94600
2013,laos,196154
2013,philippines,1843989
2013,thailand,233547
2013,vietnam,1281010
2013,other south eastern asia,965
2013,iraq,200894
2013,israel,127079
2013,lebanon,124256
2013,syria,78934
2013,turkey,109667
2013,armenia,79122
2013,other western asia,72722
2013,ethiopia,195805
2013,other eastern africa,189606
2013,egypt,176443
2013,other northern africa,40686
2013,south africa,95191
2013,other southern africa,3114
2013,ghana,149377
2013,nigeria,234465
2013,other western africa,116154
2013,"africa, n.e.c.",115969
2013,australia,78797
2013,other australian and new zealand subregion,28850
2013,"oceania, n.e.c.",75961
2013,barbados,52499
2013,cuba,1144024
2013,dominican republic,991046
2013,haiti,593980
2013,jamaica,714743
2013,trinidad and tobago,232026
2013,other caribbean,74969
2013,mexico,11584977
2013,costa rica,78659
2013,el salvador,1252067
2013,guatemala,902293
2013,honduras,533598
2013,nicaragua,240619
2013,panama,101024
2013,other central america,7697
2013,argentina,170086
2013,bolivia,79924
2013,brazil,337040
2013,chile,97585
2013,colombia,677231
2013,ecuador,427906
2013,guyana,259815
2013,peru,440292
2013,venezuela,197724
2013,other south america,37237
2013,canada,840192
2013,other northern america,6729
2014,ireland,125022
2014,other northern europe,25496
2014,austria,48562
2014,france,166291
2014,germany,582727
2014,netherlands,83382
2014,other western europe,1954
2014,greece,136906
2014,italy,356831
2014,spain,103689
2014,other southern europe,4682
2014,czechoslovakia (includes czech republic and slovakia),68928
2014,hungary,65845
2014,poland,424460
2014,romania,157315
2014,russia,390977
2014,ukraine,332145
2014,bosnia and herzegovina,111317
2014,other eastern europe,131724
2014,"europe, n.e.c.",9666
2014,"china, excluding hong kong and taiwan",1929535
2014,hong kong,225834
