year,state,total,cells,med,ratio
2005,54,291562.0,96,282159.0,1.033325181900985
2005,55,964852.0,328,957274.0,1.0079162287913388
2005,56,80349.0,32,92279.0,0.8707181482244064
2008,01,821801.0,302,822000.5,0.9997572994177011
2008,02,129218.0,55,132387.0,0.9760626043342624
2008,04,1202984.0,440,1185658.5,1.0146125549641825
2008,05,503719.0,186,515413.0,0.9773113988199754
2008,06,6665611.0,2981,6724703.5,0.9912126237238563
2008,08,854599.0,415,896653.0,0.9530989134035128
2008,09,603959.0,308,599400.0,1.007605939272606
2008,10,148751.0,75,149082.5,0.9977763989737226
2008,11,75581.0,51,74922.5,1.0087890820514531
2008,12,2871229.0,1544,2931728.0,0.9793640474150399
2008,13,1813110.0,718,1813365.0,0.9998593774557246
2008,15,200066.0,102,217056.5,0.9217231458168725
2008,16,288248.0,92,312707.5,0.9217815370593926
2008,17,2285903.0,957,2285903.0,1.0
2008,18,1138480.0,476,1161650.0,0.980054233202772
2008,19,504840.0,194,524346.0,0.9627993729331396
2008,20,491137.0,230,516108.0,0.9516167158811721
2008,21,716973.0,287,739027.0,0.9701580591778108
2008,22,792042.0,319,803131.0,0.9861927879760587
2008,23,201826.0,85,201826.0,1.0
2008,24,964620.0,513,987140.0,0.9771866199323298
2008,25,1046439.0,607,1046439.0,1.0
2008,26,1762610.0,692,1740844.0,1.0125031306653554
2008,27,895320.0,415,929318.0,0.9634161826199428
2008,28,553677.0,186,538041.0,1.0290609823414945
2008,29,1013607.0,408,1021286.0,0.9924810484036792
2008,30,162982.0,51,162982.0,1.0
2008,31,326660.0,142,328792.0,0.9935156573152631
2008,32,473102.0,202,477607.0,0.9905675586831851
2008,33,214854.0,104,214854.0,1.0
2008,34,1488178.0,775,1490522.0,0.9984273965765014
2008,35,350656.0,156,354107.0,0.9902543581459842
2008,36,3198024.0,1633,3162193.0,1.01133106043812
2008,37,1594944.0,674,1650600.0,0.9662813522355507
2008,38,100167.0,37,107511.0,0.931690710717973
2008,39,1991031.0,884,1991031.0,1.0
2008,40,637510.0,197,667328.0,0.9553173252133883
2008,41,626536.0,307,628434.0,0.996979794218645
2008,42,2030248.0,899,2030248.0,1.0
2008,44,164276.0,79,164276.0,1.0
2008,45,769224.0,305,781185.0,0.9846886460953551
2008,46,145105.0,53,146137.0,0.9929381333953756
2008,47,1055097.0,446,1073167.0,0.9831619869041818
2008,48,4722401.0,1815,4841732.5,0.9753535537124366
2008,49,576844.0,182,610391.0,0.9450401463979646
2008,50,96406.0,35,96281.0,1.001298283150362
2008,51,1307729.0,491,1326763.5,0.9856534340897982
2008,53,1114398.0,553,1129899.5,0.9862806382337544
2008,54,280061.0,99,282159.0,0.9925644760578256
2008,55,949696.0,335,957274.0,0.9920837712086613
2008,56,89201.0,33,92279.0,0.9666446320397923
2010,01,828404.0,287,822000.5,1.0077901412468728
2010,02,135607.0,54,132387.0,1.0243226298654702
2010,04,1178519.0,438,1185658.5,0.9939784516367909
2010,05,515513.0,186,515413.0,1.0001940191652132
2010,06,6783796.0,2997,6724703.5,1.0087873762761437
2010,08,887210.0,426,896653.0,0.9894686127186325
2010,09,614299.0,309,599400.0,1.0248565231898565
2010,10,149414.0,68,149082.5,1.0022236010262775
2010,11,67955.0,44,74922.5,0.9070039040341686
2010,12,2931728.0,1524,2931728.0,1.0
2010,13,1813365.0,743,1813365.0,1.0
2010,15,216995.0,102,217056.5,0.9997166636336622
2010,16,307911.0,91,312707.5,0.984661384840466
2010,17,2290814.0,942,2285903.0,1.0021483851239532
2010,18,1173502.0,505,1161650.0,1.0102027288770283
2010,19,524346.0,200,524346.0,1.0
2010,20,520592.0,222,516108.0,1.0086881040402396
2010,21,739027.0,281,739027.0,1.0
2010,22,803131.0,342,803131.0,1.0
2010,23,205293.0,74,201826.0,1.017178163368446
2010,24,987140.0,517,987140.0,1.0
2010,25,1049574.0,599,1046439.0,1.0029958745803624
2010,26,1740844.0,706,1740844.0,1.0
2010,27,929318.0,417,929318.0,1.0
2010,28,544335.0,196,538041.0,1.0116979932756054
2010,29,1030060.0,402,1021286.0,1.0085911292233518
2010,30,159149.0,59,162982.0,0.976482065504166
2010,31,328792.0,138,328792.0,1.0
2010,32,477607.0,199,477607.0,1.0
2010,33,216188.0,106,214854.0,1.0062088674169436
2010,34,1525522.0,781,1490522.0,1.0234817064088957
2010,35,374265.0,159,354107.0,1.0569262962889747
2010,36,3162193.0,1650,3162193.0,1.0
2010,37,1650600.0,707,1650600.0,1.0
2010,38,106548.0,39,107511.0,0.9910427770181656
2010,39,2004222.0,864,1991031.0,1.0066252107576426
2010,40,667328.0,203,667328.0,1.0
2010,41,628434.0,314,628434.0,1.0
2010,42,2062360.0,920,2030248.0,1.0158167869147021
2010,44,166192.0,88,164276.0,1.0116632983515548
2010,45,781185.0,299,781185.0,1.0
2010,46,146137.0,56,146137.0,1.0
2010,47,1091237.0,470,1073167.0,1.0168380130958183
2010,48,4961064.0,1826,4841732.5,1.0246464462875633
2010,49,610391.0,197,610391.0,1.0
2010,50,96281.0,34,96281.0,1.0
2010,51,1345798.0,501,1326763.5,1.0143465659102018
2010,53,1145401.0,569,1129899.5,1.0137193617662457
2010,54,284257.0,89,282159.0,1.0074355239421744
2010,55,981834.0,355,957274.0,1.025656186212098
2010,56,95357.0,35,92279.0,1.0333553679602077
2013,01,816128.0,339,822000.5,0.9928558437616523
2013,02,135556.0,53,132387.0,1.0239373956657376
2013,04,1185268.0,616,1185658.5,0.9996706471551463
2013,05,518947.0,213,515413.0,1.0068566372986323
2013,08,906096.0,462,896653.0,1.0105313872813675
2013,09,594841.0,326,599400.0,0.9923940607273941
2013,10,147420.0,71,149082.5,0.9888484563915952
2013,11,70680.0,56,74922.5,0.9433748206480029
2013,12,2955512.0,1761,2931728.0,1.0081126216347491
2013,13,1831848.0,816,1813365.0,1.0101926528856573
2013,15,217118.0,114,217056.5,1.0002833363663377
2013,16,317504.0,127,312707.5,1.015338615159534
2013,17,2230644.0,992,2285903.0,0.9758261833507371
2013,18,1161650.0,488,1161650.0,1.0
2013,19,528701.0,226,524346.0,1.0083055844804767
2013,20,520697.0,236,516108.0,1.0088915498306557
2013,21,741985.0,322,739027.0,1.0040025601229725
2013,22,805594.0,333,803131.0,1.0030667475169057
2013,23,194850.0,79,201826.0,0.9654355732165331
2013,24,976399.0,527,987140.0,0.9891190712563568
2013,25,1030812.0,612,1046439.0,0.9850664969482216
2013,26,1676749.0,717,1740844.0,0.963181652118168
2013,27,935358.0,455,929318.0,1.0064993898751557
2013,28,538041.0,193,538041.0,1.0
2013,29,1024070.0,458,1021286.0,1.0027259748983144
2013,30,164059.0,56,162982.0,1.006608091691107
2013,31,337238.0,139,328792.0,1.0256879729433805
2013,32,486446.0,226,477607.0,1.0185068476802057
2013,33,205652.0,88,214854.0,0.9571709160639318
2013,34,1490522.0,904,1490522.0,1.0
2013,35,369280.0,178,354107.0,1.042848630498691
2013,36,3067664.0,1692,3162193.0,0.970106505200663
2013,37,1679700.0,877,1650600.0,1.0176299527444566
2013,38,111518.0,39,107511.0,1.037270604868339
2013,39,1952363.0,882,1991031.0,0.9805789061044253
2013,40,684723.0,288,667328.0,1.0260666418912439
2013,41,631747.0,341,628434.0,1.005271834432892
2013,42,2003145.0,945,2030248.0,0.9866503993600781
2013,44,158327.0,82,164276.0,0.9637865543353867
2013,45,786821.0,325,781185.0,1.0072146802613977
2013,46,149104.0,53,146137.0,1.0203028664882952
2013,49,642194.0,241,610391.0,1.052102668617329
2013,50,94455.0,39,96281.0,0.9810346797395124
2015,01,822200.0,329,822000.5,1.000242700582299
2015,02,128970.0,57,132387.0,0.9741893086179156
2015,04,1192390.0,610,1185658.5,1.0056774357877922
2015,05,515313.0,198,515413.0,0.9998059808347869
2015,08,927338.0,451,896653.0,1.0342217111859326
2015,09,578222.0,324,599400.0,0.964668001334668
2015,10,149998.0,78,149082.5,1.0061408951419517
2015,11,74264.0,54,74922.5,0.9912109179485469
2015,15,218402.0,113,217056.5,1.0061988468440244
2015,16,320197.0,119,312707.5,1.0239504968700783
2023,01,838957.0,400,822000.5,1.0206283329511356
2023,02,127151.0,45,132387.0,0.9604492888274528
2023,04,1186049.0,633,1185658.5,1.0003293528448538
2023,05,524604.0,207,515413.0,1.0178323014747397
2023,06,6352861.0,3397,6724703.5,0.9447049970307241
2023,08,907794.0,461,896653.0,1.0124250964419903
2023,09,540830.0,316,599400.0,0.9022856189522857
2023,10,157212.0,99,149082.5,1.0545302097831737
2023,11,87971.0,70,74922.5,1.1741599652974741
2023,12,3256316.0,2022,2931728.0,1.1107155916237796
2023,13,1915837.0,912,1813365.0,1.0565093072823177
2023,15,217334.0,112,217056.5,1.001278468970061
2023,16,354027.0,131,312707.5,1.1321346625840443
2023,17,2041910.0,1007,2285903.0,0.8932618750664398
2023,18,1175139.0,532,1161650.0,1.01161193130461
2023,19,545251.0,239,524346.0,1.0398687126439412
2023,20,516108.0,219,516108.0,1.0
2023,21,748966.0,339,739027.0,1.013448764388852
2023,22,788770.0,384,803131.0,0.9821187328094669
2023,23,183396.0,81,201826.0,0.9086837176577844
2023,24,1013188.0,590,987140.0,1.026387341207934
2023,25,998407.0,657,1046439.0,0.9540995700657181
2023,26,1578680.0,722,1740844.0,0.9068474831748279
2023,27,960682.0,525,929318.0,1.0337494808020506
2023,28,508978.0,213,538041.0,0.9459836703894313
2023,29,1021286.0,474,1021286.0,1.0
2023,30,180122.0,71,162982.0,1.1051649875446368
2023,31,356980.0,156,328792.0,1.085732012944354
2023,32,515262.0,247,477607.0,1.0788409717613017
2023,33,187799.0,98,214854.0,0.8740772803857503
2023,34,1488116.0,913,1490522.0,0.9983858004108628
2023,35,343338.0,165,354107.0,0.9695882882857442
2023,36,2911428.0,1689,3162193.0,0.9206990212172376
2023,37,1726257.0,884,1650600.0,1.0458360596146856
2023,38,133365.0,47,107511.0,1.2404777185590312
2023,39,1914008.0,907,1991031.0,0.9613150171946092
2023,40,728897.0,331,667328.0,1.0922619761196892
2023,41,631412.0,346,628434.0,1.0047387633387117
2023,42,1961484.0,1012,2030248.0,0.9661302461571197
2023,44,150313.0,76,164276.0,0.915002800165575
2023,45,853636.0,439,781185.0,1.092744996383699
2023,46,163176.0,60,146137.0,1.1165960708102671
2023,47,1153282.0,607,1073167.0,1.0746528732247638
2023,48,5625898.0,2589,4841732.5,1.1619596910816532
2023,49,701153.0,259,610391.0,1.1486948529712921
2023,50,88535.0,34,96281.0,0.9195479897383699
2023,51,1393613.0,717,1326763.5,1.0503853927244757
2023,53,1231956.0,695,1129899.5,1.0903235199236747
2023,54,265153.0,105,282159.0,0.9397290180359301
2023,55,935942.0,432,957274.0,0.9777158890766907
2023,56,100053.0,39,92279.0,1.0842445193380943
