cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
42340,B,1.6873e+10,2.53367e+10,81902,19502,26787,0.0503934,366959,397385,79,20397,28729,0.406538,0.0198524,0.0227055,366959,B
42540,A,2.11307e+10,2.19419e+10,154459,26598,31444,0.0676631,557943,551145,167,35321,50168,0.0376735,0.00868548,0.0266103,557943,A
42540,B,2.16191e+10,2.78077e+10,150995,31215,40517,0.0986094,544412,559289,163,49850,71706,0.251735,0.0170863,0.0401461,544412,B
42660,A,2.88917e+11,3.7174e+11,820273,580402,679967,0.0886789,3425200,3724812,700,311588,366212,0.252053,0.0290684,0.0159477,3425200,A
42660,B,3.92971e+11,6.55717e+11,870050,677866,800802,0.0966832,3713708,3919245,698,364703,444883,0.511993,0.0331033,0.0215903,3713708,B
42680,A,8.65081e+09,1.04846e+10,43482,14485,15106,0.0933395,139356,150984,29,15867,18512,0.192256,0.00445621,0.0189802,139356,A
42680,B,1.06303e+10,1.67334e+10,44838,15106,16169,0.0954212,150984,163856,29,18512,22009,0.453701,0.00704048,0.0231613,150984,B
42700,A,2.99749e+09,3.07953e+09,31122,10754,11125,0.172279,98275,102080,24,17381,20005,0.0270024,0.00377512,0.0267005,98275,A
42700,B,3.08173e+09,5.52141e+09,30905,11125,11190,0.177608,102080,103791,24,20005,22309,0.583143,0.000636755,0.0225704,102080,B
43100,A,5.21162e+09,5.26924e+09,33250,6048,6603,0.0565241,115235,115205,26,6464,7168,0.0109955,0.00481625,0.00610925,115235,A
43100,B,5.28927e+09,7.44918e+09,33193,6603,7157,0.0601215,115205,117783,26,7168,8850,0.342424,0.00480882,0.0146001,115205,B
43300,A,3.40458e+09,4.06099e+09,31370,6907,8115,0.116821,121292,128560,26,14083,16817,0.176306,0.00995944,0.0225406,121292,A
43300,B,4.24311e+09,7.59245e+09,32331,8115,10136,0.128897,128560,139988,26,16817,22190,0.581859,0.0157203,0.0417938,128560,B
43340,A,1.44253e+10,1.61068e+10,110728,11378,11174,0.0313128,440221,436455,102,14836,16346,0.110262,-0.000463404,0.00343008,440221,A
43340,B,1.58708e+10,1.98155e+10,106104,10707,10684,0.0345156,430651,416736,99,15723,19781,0.221986,-5.34075e-05,0.00942296,430651,B
43420,A,5.06702e+09,4.92307e+09,33816,14903,13468,0.36481,125134,120799,30,42273,43857,-0.0288205,-0.0114677,0.0126584,125134,A
43420,B,4.97876e+09,6.96832e+09,34061,13468,12998,0.38129,120799,120333,30,43857,42240,0.336194,-0.00389076,-0.0133859,120799,B
43580,A,5.21298e+09,6.05534e+09,44840,13730,14975,0.138372,168526,168677,40,23738,26827,0.149788,0.00738758,0.0183295,168526,A
43580,B,6.14132e+09,8.94218e+09,44833,14975,17475,0.165234,168677,175267,40,26827,31431,0.37574,0.0148212,0.0272948,168677,B
43620,A,9.785e+09,1.13529e+10,61284,11767,15058,0.037613,233750,255438,57,8466,10547,0.14862,0.0140791,0.00890265,233750,A
43620,B,1.22627e+10,1.85033e+10,64315,14389,17944,0.0394275,242589,277047,54,9269,13243,0.411384,0.0146544,0.0163816,242589,B
43780,A,1.08816e+10,1.14067e+10,87346,16160,18076,0.081735,318906,320700,86,21621,24850,0.047129,0.00600804,0.0101252,318906,A
43780,B,1.12645e+10,1.65306e+10,84769,17827,19377,0.0903379,317056,320255,84,24615,29543,0.383553,0.00488873,0.015543,317056,B
43900,A,1.01275e+10,1.10202e+10,83386,18469,19385,0.0519333,315383,329839,78,17517,20539,0.0844733,0.00290441,0.00958202,315383,A
43900,B,1.17084e+10,1.81235e+10,87204,19281,27333,0.0598151,326364,361395,76,20514,29687,0.436897,0.0246718,0.0281066,326364,B
44060,A,2.7143e+10,2.98128e+10,137569,27604,28450,0.0443677,524979,549823,120,23705,29236,0.0938198,0.00161149,0.0105357,524979,A
44060,B,3.1171e+10,5.42371e+10,142401,28622,30325,0.0525099,552190,602588,121,29373,39243,0.553878,0.00308408,0.0178743,552190,B
44100,A,8.29424e+09,8.99618e+09,62067,6883,6174,0.0188385,209947,209025,55,3928,4608,0.0812384,-0.00337704,0.00323891,209947,A
