cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
39140,A,2.37697e+07,2.5975e+07,27446,14500,14056,0.13357,211968,224645,42,29107,32461,0.0887204,-0.00209466,0.0158232,211968,A
39140,B,2.52035e+07,3.41212e+07,26754,13956,15596,0.144234,221227,238005,41,32121,36011,0.302936,0.0074132,0.0175837,221227,B
39300,A,2.10455e+08,2.29066e+08,236136,201306,214181,0.111831,1573551,1586152,359,169206,200980,0.0847372,0.00818213,0.0201925,1573551,A
39300,B,2.32618e+08,3.06175e+08,240368,210475,233776,0.134113,1551122,1606471,349,199775,241860,0.274758,0.015022,0.027132,1551122,B
39340,A,4.0551e+07,4.63484e+07,45189,35457,39936,0.113479,471762,519749,113,53623,64629,0.133626,0.00949419,0.0233295,471762,A
39340,B,5.31036e+07,7.17593e+07,51433,41091,50777,0.125695,538511,620529,114,65904,89332,0.301074,0.0179866,0.0435051,538511,B
39380,A,1.56294e+07,1.68708e+07,21103,5929,5045,0.445384,143168,145596,48,63175,65520,0.0764291,-0.00617456,0.0163794,143168,A
39380,B,1.73146e+07,2.3108e+07,21787,4917,5540,0.447964,141341,143067,46,64007,62696,0.288627,0.00440778,-0.0092756,141341,B
39460,A,1.3122e+07,1.47735e+07,14488,15607,18068,0.0612442,157670,172349,36,9809.01,12388,0.118542,0.0156085,0.0163569,157670,A
39460,B,1.48005e+07,1.9258e+07,14928,17478,18271,0.0704314,168870,188151,34,12216,14363,0.263265,0.00469592,0.0127139,168870,B
39540,A,1.77388e+07,1.98547e+07,22864,9663,9195,0.117716,194370,194496,43,22999,25043,0.112685,-0.00240778,0.010516,194370,A
39540,B,2.05416e+07,2.39414e+07,23663,8963,9169,0.135134,186653,188810,40,24652,27965,0.15316,0.00110365,0.0177495,186653,B
39580,A,1.26713e+08,1.4919e+08,141168,126187,146545,0.100713,1089178,1225223,203,115286,133957,0.163297,0.0186912,0.0171423,1089178,A
39580,B,1.77493e+08,2.34872e+08,164562,149236,182379,0.104414,1232708,1374861,205,132948,171874,0.28011,0.0268863,0.0315776,1232708,B
39660,A,1.33139e+07,1.43911e+07,17621,2465,3367,0.0497547,130061,138000,29,5194,6849,0.077801,0.00693521,0.0127248,130061,A
39660,B,1.41377e+07,1.74797e+07,17050,3367,2968,0.0605417,138000,143067,29,6849,7543,0.212194,-0.0028913,0.00502898,138000,B
39740,A,3.52666e+07,3.92246e+07,42989,27628,30593,0.219038,403719,408012,89,69859,84359,0.106369,0.00734422,0.0359161,403719,A
39740,B,4.01492e+07,5.07059e+07,43752,31086,37631,0.258271,416642,429989,90,84748,103077,0.23344,0.0157089,0.0439922,416642,B
39820,A,2.28211e+07,2.49999e+07,24470,9003,9672,0.0844913,173877,175235,46,15173,17308,0.0911827,0.00384755,0.0122788,173877,A
39820,B,2.52834e+07,3.23521e+07,24794,9057,8257,0.0970981,164157,166910,43,16538,19637,0.246531,-0.00487338,0.0188783,164157,B
39900,A,6.1821e+07,6.87218e+07,66436,59563,59193,0.231093,382401,400729,96,91660,103069,0.105823,-0.000967571,0.0298352,382401,A
39900,B,7.76579e+07,1.13797e+08,74102,61991,69056,0.23883,435936,475877,102,107647,123588,0.3821,0.0162065,0.0365673,435936,B
40060,A,1.44803e+08,1.61047e+08,150282,85172,96143,0.05546,1165403,1221566,274,62671,75640,0.106318,0.00941391,0.0111283,1165403,A
40060,B,1.77916e+08,2.28688e+08,164836,95921,114885,0.0631878,1211867,1279981,273,75552,106649,0.251043,0.0156486,0.0256604,1211867,B
40140,A,4.90141e+08,5.46421e+08,432807,803094,837134,0.489028,3703614,3885848,724,1.87077e+06,2.06483e+06,0.108697,0.00919102,0.0523961,3703614,A
40140,B,6.38391e+08,8.66701e+08,490429,915807,944824,0.508385,4261084,4372257,772,2.19526e+06,2.34153e+06,0.305743,0.00680977,0.0343284,4261084,B
40220,A,2.79537e+07,3.15989e+07,38350,14582,15133,0.0334021,309599,313291,65,10080,11759,0.122571,0.00177972,0.00542315,309599,A
40220,B,3.38472e+07,4.09725e+07,40656,15055,16322,0.0380195,306710,308592,64,11759,15981,0.191046,0.00413094,0.0137654,306710,B
40340,A,1.46629e+07,1.6828e+07,18703,14077,16807,0.0390881,197713,204181,47,7850,9029,0.137722,0.0138079,0.00596316,197713,A
40340,B,1.88583e+07,2.42961e+07,21005,17244,18832,0.045611,210117,219840,49,9238,11210,0.253363,0.00755769,0.00938527,210117,B
40380,A,1.05998e+08,1.1867e+08,134223,65379,68959,0.0845623,999068,991436,249,65617,74926,0.112924,0.00358334,0.00931769,999068,A
