group,sex,age_band,by,region,n_records,share_of_group,share_se,rate,se,white_rate,white_se,ratio,ratio_se,ratio_age_standardised,ratio_age_standardised_se,white_age_cells_missing
usb_mexican_ancestry,men,18_49,birth_region,west_south_central_ex_texas,891,0.0083619,0.000319142,0.0899009,0.0163643,0.0781383,0.00153716,1.15054,0.210352,1.44027,0.254164,0
usb_mexican_ancestry,men,18_49,birth_region,mountain,9404,0.0990448,0.001195,0.0568152,0.00272062,0.0753331,0.0014172,0.754186,0.0374948,0.860336,0.0422231,0
usb_mexican_ancestry,men,18_49,birth_region,pacific_ex_california,2321,0.023466,0.00065292,0.0510346,0.00493975,0.0834344,0.00181081,0.611674,0.0607638,0.748322,0.0727745,0
usb_mexican_ancestry,men,18_49,birth_region,outside_states,1100,0.0114458,0.000422534,0.0509266,0.00710524,0.110748,0.00389099,0.459841,0.0651254,0.443751,0.0634779,0
usb_mexican_ancestry,men,18_49,birth_region,california,43603,0.416428,0.00194255,0.0483846,0.00146322,0.0783033,0.00119622,0.617912,0.0222445,0.691362,0.0258714,0
usb_mexican_ancestry,men,18_49,birth_region,texas,25619,0.267765,0.00159294,0.0589391,0.00206082,0.0863388,0.00123533,0.68265,0.0273322,0.747185,0.0299689,0
usb_mexican_ancestry,men,18_49,residence_region,all,98986,1,0,0.0532223,0.00101118,0.0701668,0.000286852,0.758512,0.0146678,0.855662,0.016605,0
usb_mexican_ancestry,men,18_49,residence_region,new_england,485,0.00436479,0.00026005,0.12371,0.0174911,0.0467275,0.00117194,2.64747,0.381426,3.06022,0.455085,0
usb_mexican_ancestry,men,18_49,residence_region,middle_atlantic,1834,0.0200053,0.000591937,0.0525777,0.00639859,0.0405539,0.000773368,1.29649,0.156884,1.82294,0.2179,0
usb_mexican_ancestry,men,18_49,residence_region,east_north_central,7034,0.0799217,0.00113632,0.0395203,0.00340052,0.048605,0.000632966,0.813092,0.0704908,1.00523,0.0872617,0
usb_mexican_ancestry,men,18_49,residence_region,west_north_central,2365,0.0279478,0.000571055,0.0733394,0.0054395,0.0591303,0.000999686,1.2403,0.0951254,1.55395,0.120548,0
usb_mexican_ancestry,men,18_49,residence_region,south_atlantic,5913,0.0545101,0.000906025,0.138753,0.00574969,0.097539,0.000805377,1.42254,0.0602484,1.68048,0.0711516,0
usb_mexican_ancestry,men,18_49,residence_region,east_south_central,1100,0.0106687,0.000363275,0.0939213,0.0103534,0.0715841,0.00123346,1.31204,0.148314,1.72168,0.191262,0
usb_mexican_ancestry,men,18_49,residence_region,west_south_central_ex_texas,1375,0.0132057,0.000391605,0.0690725,0.00888154,0.0794324,0.00145025,0.869575,0.113245,1.08446,0.143858,0
usb_mexican_ancestry,men,18_49,residence_region,mountain,11643,0.124839,0.0013057,0.0567512,0.00252044,0.0803257,0.00113407,0.706514,0.0323524,0.787686,0.0352137,0
usb_mexican_ancestry,men,18_49,residence_region,pacific_ex_california,3348,0.0327259,0.000699311,0.095536,0.00566006,0.102352,0.0015489,0.933402,0.0577201,0.990952,0.0617741,0
usb_mexican_ancestry,men,18_49,residence_region,california,38247,0.358687,0.00194309,0.0360284,0.00108796,0.0715245,0.00122502,0.503721,0.017084,0.523164,0.0179597,0
usb_mexican_ancestry,men,18_49,residence_region,texas,25642,0.273124,0.00173303,0.0505648,0.0016989,0.0951711,0.00137604,0.531305,0.0194812,0.585255,0.0216064,0
usb_mexican_ancestry,men,25_49,birth_region,all,65218,1,0,0.062113,0.00130278,0.079685,0.000338777,0.779482,0.0167461,0.812,0.0175574,0
usb_mexican_ancestry,men,25_49,birth_region,new_england,345,0.00693645,0.000458169,0.0373393,0.0149141,0.066845,0.0013828,0.558596,0.221271,0.559991,0.220578,0
usb_mexican_ancestry,men,25_49,birth_region,middle_atlantic,860,0.0144026,0.000568801,0.0679581,0.0101669,0.0645669,0.0010668,1.05252,0.161413,1.21258,0.185526,0
usb_mexican_ancestry,men,25_49,birth_region,east_north_central,4744,0.0778278,0.0012036,0.0658001,0.00506468,0.0712245,0.000803976,0.92384,0.0720407,0.963548,0.0750954,0
usb_mexican_ancestry,men,25_49,birth_region,west_north_central,943,0.0165903,0.000557118,0.0663608,0.00809073,0.0750259,0.00119505,0.884506,0.109216,0.947118,0.119071,0
usb_mexican_ancestry,men,25_49,birth_region,south_atlantic,1833,0.026856,0.000758368,0.0596723,0.00716415,0.0903667,0.0010064,0.660335,0.0792764,0.701985,0.0839145,0
usb_mexican_ancestry,men,25_49,birth_region,east_south_central,238,0.00340527,0.000236289,0.0939619,0.0258331,0.0786377,0.00127183,1.19487,0.324544,1.27584,0.345491,0
