fiscal_year,propensity_basis,group,index_vs_denominator,expected_ratio_to_nh_white,expected_ratio_to_nh_white_teens,propensity_q1,propensity_q2,propensity_q3,propensity_q4,propensity_q5
FY23,per_household,teen_15_17_hispanic,1.03418,1.04783,1.07716,0.89896,1.41089,1.21427,0.99683,0.49282
FY23,per_household,teen_15_17_asian,0.82391,0.83478,0.85815,0.89896,1.41089,1.21427,0.99683,0.49282
FY22,per_teen_15_17,all_population,1.01435,1.01848,1.05587,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,us_born_all,1.01893,1.02308,1.06064,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,us_born_nh_white,0.99594,1.0,1.03672,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,mexican_origin_all,1.09515,1.09961,1.13999,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,mexico_born,1.12453,1.12911,1.17057,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,us_born_mexican_origin,1.08314,1.08755,1.12748,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,india_born,0.73802,0.74103,0.76824,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,asian_indian_all,0.7422,0.74523,0.77259,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,us_born_asian_indian,0.76078,0.76388,0.79193,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,youth_18_24_all,1.0509,1.05518,1.09392,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,youth_18_24_nh_white,1.03239,1.03659,1.07465,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,youth_18_24_hispanic,1.09304,1.0975,1.13779,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,youth_18_24_asian,0.78952,0.79274,0.82184,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,teen_15_17_all,1.0,1.00407,1.04094,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,teen_15_17_nh_white,0.96067,0.96459,1.0,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,teen_15_17_hispanic,1.07419,1.07857,1.11817,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_teen_15_17,teen_15_17_asian,0.80392,0.80719,0.83683,1.09575,1.46334,1.22304,1.00559,0.45279
FY22,per_youth_18_24,all_population,0.99734,0.9971,1.01676,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,us_born_all,1.0004,1.00016,1.01989,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,us_born_nh_white,1.00024,1.0,1.01972,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,mexican_origin_all,1.04145,1.0412,1.06174,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,mexico_born,1.05701,1.05676,1.0776,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,us_born_mexican_origin,1.03507,1.03482,1.05523,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,india_born,0.82875,0.82855,0.84489,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,asian_indian_all,0.82943,0.82924,0.84559,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,us_born_asian_indian,0.83844,0.83824,0.85477,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,youth_18_24_all,1.0,0.99976,1.01948,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,youth_18_24_nh_white,0.99745,0.99721,1.01688,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,youth_18_24_hispanic,1.03212,1.03188,1.05223,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,youth_18_24_asian,0.85348,0.85328,0.87011,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,teen_15_17_all,0.98759,0.98735,1.00683,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,teen_15_17_nh_white,0.98089,0.98066,1.0,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,teen_15_17_hispanic,1.02701,1.02677,1.04702,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_youth_18_24,teen_15_17_asian,0.87201,0.8718,0.889,0.75708,1.34151,1.23587,1.09814,0.61201
FY22,per_household,all_population,0.99131,1.01459,1.04621,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,us_born_all,0.9952,1.01858,1.05033,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,us_born_nh_white,0.97705,1.0,1.03117,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,mexican_origin_all,1.05917,1.08405,1.11784,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,mexico_born,1.08393,1.10939,1.14397,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,us_born_mexican_origin,1.04905,1.07369,1.10715,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,india_born,0.75794,0.77575,0.79993,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,asian_indian_all,0.76136,0.77925,0.80354,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,us_born_asian_indian,0.77691,0.79516,0.81994,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,youth_18_24_all,1.02044,1.04441,1.07696,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,youth_18_24_nh_white,1.00562,1.02924,1.06132,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,youth_18_24_hispanic,1.05667,1.08148,1.11519,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,youth_18_24_asian,0.80084,0.81965,0.84519,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,teen_15_17_all,0.97917,1.00217,1.0334,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,teen_15_17_nh_white,0.94752,0.96977,1.0,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,teen_15_17_hispanic,1.04133,1.06579,1.09901,1.03219,1.38103,1.18377,0.98295,0.51545
FY22,per_household,teen_15_17_asian,0.81396,0.83307,0.85904,1.03219,1.38103,1.18377,0.98295,0.51545
