group,sex,age_band,n_records,outcome,spec,group_rate,group_rate_se,comparison_rate,comparison_se,ratio,ratio_se,n_eff,ref_share_off_support,margins,replicate_fallbacks,max_factor,top10_cell_share,share_at_finest_cell,share_unmatched,expected_ratio
usb_mexican_hisp,men,25_49,104249,now_active_duty,age_direct,0.0104658,0.000330651,0.0132274,0.000132057,0.791215,0.0260014,56864.48803275146,0.0,age (min 20),0,1.316349736513641,0.11692820445827258,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,age_direct,0.0106063,0.000445195,0.0127304,0.000172787,0.833147,0.0376819,56864.48803275146,0.0,age (min 20),0,1.316349736513641,0.11692820445827258,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,a_age_education_direct,0.0790484,0.00137115,0.079685,0.000338777,0.992011,0.017757,45768.656416998536,0.0,age x educ (min 20),0,3.1763940238433976,0.13599086527598672,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,a_age_education_direct,0.0120085,0.000346948,0.0132274,0.000132057,0.907848,0.0276475,45768.656416998536,0.0,age x educ (min 20),0,3.1763940238433976,0.13599086527598672,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,a_age_education_direct,0.0119672,0.000574808,0.0127304,0.000172787,0.940054,0.0467192,45768.656416998536,0.0,age x educ (min 20),0,3.1763940238433976,0.13599086527598672,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,b_raked_geo,0.1039,0.0029418,0.079685,0.000338777,1.30389,0.036984,11292.683440579583,0.0,"age, state, division x metro (min 20)",0,12.040420489632032,0.07115431690548868,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,b_raked_geo,0.022777,0.000985449,0.0132274,0.000132057,1.72195,0.0765227,11292.683440579583,0.0,"age, state, division x metro (min 20)",0,12.040420489632032,0.07115431690548868,,,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,b_raked_geo,0.0142677,0.000932787,0.0127304,0.000172787,1.12076,0.0775322,11292.683440579583,0.0,"age, state, division x metro (min 20)",0,12.040420489632032,0.07115431690548868,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,b_raked_full,0.115351,0.00308042,0.079685,0.000338777,1.44759,0.0386744,10076.391161144978,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,19.094607222171113,0.07625856940754548,,,
usb_mexican_hisp,men,25_49,104249,now_active_duty,b_raked_full,0.0253292,0.00109009,0.0132274,0.000132057,1.91489,0.0850129,10076.391161144978,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,19.094607222171113,0.07625856940754548,,,
