st,puma,metro_size,pop20,dominant_share,share_metro_5m_plus,share_metro_1m_5m,share_metro_under_1m,share_non_metro
4,104,metro_1m_5m,106653,1.0,0.0,1.0,0.0,0.0
4,105,metro_1m_5m,165935,1.0,0.0,1.0,0.0,0.0
4,106,metro_1m_5m,122710,1.0,0.0,1.0,0.0,0.0
4,107,metro_1m_5m,128103,1.0,0.0,1.0,0.0,0.0
4,108,metro_1m_5m,107998,1.0,0.0,1.0,0.0,0.0
4,109,metro_1m_5m,108516,1.0,0.0,1.0,0.0,0.0
4,110,metro_1m_5m,128498,1.0,0.0,1.0,0.0,0.0
4,111,metro_1m_5m,111602,1.0,0.0,1.0,0.0,0.0
4,112,metro_1m_5m,130727,1.0,0.0,1.0,0.0,0.0
4,113,metro_1m_5m,104693,1.0,0.0,1.0,0.0,0.0
4,114,metro_1m_5m,111355,1.0,0.0,1.0,0.0,0.0
4,115,metro_1m_5m,109655,1.0,0.0,1.0,0.0,0.0
4,116,metro_1m_5m,110648,1.0,0.0,1.0,0.0,0.0
4,117,metro_1m_5m,109946,1.0,0.0,1.0,0.0,0.0
4,118,metro_1m_5m,116146,1.0,0.0,1.0,0.0,0.0
4,119,metro_1m_5m,117231,1.0,0.0,1.0,0.0,0.0
4,120,metro_1m_5m,108700,1.0,0.0,1.0,0.0,0.0
4,121,metro_1m_5m,166779,1.0,0.0,1.0,0.0,0.0
4,122,metro_1m_5m,102202,1.0,0.0,1.0,0.0,0.0
4,123,metro_1m_5m,115847,1.0,0.0,1.0,0.0,0.0
4,124,metro_1m_5m,114445,1.0,0.0,1.0,0.0,0.0
4,125,metro_1m_5m,114546,1.0,0.0,1.0,0.0,0.0
4,126,metro_1m_5m,129933,1.0,0.0,1.0,0.0,0.0
4,127,metro_1m_5m,121259,1.0,0.0,1.0,0.0,0.0
4,128,metro_1m_5m,110257,1.0,0.0,1.0,0.0,0.0
4,129,metro_1m_5m,140573,1.0,0.0,1.0,0.0,0.0
4,130,metro_1m_5m,126627,1.0,0.0,1.0,0.0,0.0
4,131,metro_1m_5m,123399,1.0,0.0,1.0,0.0,0.0
4,132,metro_1m_5m,146751,1.0,0.0,1.0,0.0,0.0
4,133,metro_1m_5m,122883,1.0,0.0,1.0,0.0,0.0
4,134,metro_1m_5m,168686,1.0,0.0,1.0,0.0,0.0
4,135,metro_1m_5m,166371,1.0,0.0,1.0,0.0,0.0
4,400,non_metro,101368,1.0,0.0,0.0,0.0,1.0
4,500,metro_under_1m,145101,1.0,0.0,0.0,1.0,0.0
4,601,metro_under_1m,111199,1.0,0.0,0.0,1.0,0.0
4,602,metro_under_1m,102068,1.0,0.0,0.0,1.0,0.0
4,701,metro_under_1m,106732,0.8449,0.0,0.0,0.8449,0.1551
4,803,metro_1m_5m,147577,1.0,0.0,1.0,0.0,0.0
4,805,metro_1m_5m,122686,1.0,0.0,1.0,0.0,0.0
4,807,metro_1m_5m,144191,1.0,0.0,1.0,0.0,0.0
4,900,metro_under_1m,173116,0.7246,0.0,0.0,0.7246,0.2754
4,1000,non_metro,172738,1.0,0.0,0.0,0.0,1.0
4,1101,metro_under_1m,113706,1.0,0.0,0.0,1.0,0.0
4,1901,metro_1m_5m,111360,1.0,0.0,1.0,0.0,0.0
4,1902,metro_1m_5m,137371,1.0,0.0,1.0,0.0,0.0
4,1903,metro_1m_5m,116541,1.0,0.0,1.0,0.0,0.0
4,1904,metro_1m_5m,109666,1.0,0.0,1.0,0.0,0.0
4,1905,metro_1m_5m,111121,1.0,0.0,1.0,0.0,0.0
4,1906,metro_1m_5m,113591,1.0,0.0,1.0,0.0,0.0
4,1907,metro_1m_5m,116589,1.0,0.0,1.0,0.0,0.0
4,1908,metro_1m_5m,115015,1.0,0.0,1.0,0.0,0.0
4,1909,metro_1m_5m,122989,1.0,0.0,1.0,0.0,0.0
4,2502,metro_under_1m,135474,1.0,0.0,0.0,1.0,0.0
4,2503,metro_under_1m,100735,1.0,0.0,0.0,1.0,0.0
5,101,metro_under_1m,171025,1.0,0.0,0.0,1.0,0.0
5,102,metro_under_1m,113308,1.0,0.0,0.0,1.0,0.0
5,201,metro_under_1m,140215,1.0,0.0,0.0,1.0,0.0
5,202,metro_under_1m,105656,1.0,0.0,0.0,1.0,0.0
5,300,non_metro,155660,0.8939,0.0,0.0,0.1061,0.8939
5,400,non_metro,116456,1.0,0.0,0.0,0.0,1.0
5,500,non_metro,112346,1.0,0.0,0.0,0.0,1.0
5,600,non_metro,153939,0.6871,0.0,0.3129,0.0,0.6871
5,700,metro_under_1m,134196,1.0,0.0,0.0,1.0,0.0
5,800,non_metro,114927,1.0,0.0,0.0,0.0,1.0
5,900,metro_under_1m,197513,1.0,0.0,0.0,1.0,0.0
5,1000,non_metro,130108,1.0,0.0,0.0,0.0,1.0
5,1100,metro_under_1m,205029,0.9166,0.0,0.0,0.9166,0.0834
5,1200,non_metro,133438,0.5906,0.0,0.0,0.4094,0.5906
5,1300,metro_under_1m,173321,0.578,0.0,0.0,0.578,0.422
5,1400,metro_under_1m,151393,1.0,0.0,0.0,1.0,0.0
5,1501,metro_under_1m,200774,1.0,0.0,0.0,1.0,0.0
5,1502,metro_under_1m,198351,1.0,0.0,0.0,1.0,0.0
5,1600,non_metro,173460,1.0,0.0,0.0,0.0,1.0
5,1700,non_metro,130409,1.0,0.0,0.0,0.0,1.0
6,101,metro_1m_5m,144592,1.0,0.0,1.0,0.0,0.0
6,111,metro_1m_5m,106433,1.0,0.0,1.0,0.0,0.0
6,112,metro_1m_5m,106896,1.0,0.0,1.0,0.0,0.0
6,113,metro_1m_5m,125840,1.0,0.0,1.0,0.0,0.0
6,114,metro_1m_5m,194852,1.0,0.0,1.0,0.0,0.0
6,115,metro_1m_5m,107913,1.0,0.0,1.0,0.0,0.0
6,116,metro_1m_5m,102035,1.0,0.0,1.0,0.0,0.0
6,117,metro_1m_5m,105721,1.0,0.0,1.0,0.0,0.0
6,118,metro_1m_5m,125765,1.0,0.0,1.0,0.0,0.0
6,119,metro_1m_5m,126178,1.0,0.0,1.0,0.0,0.0
6,120,metro_1m_5m,118663,1.0,0.0,1.0,0.0,0.0
6,121,metro_1m_5m,115687,1.0,0.0,1.0,0.0,0.0
6,122,metro_1m_5m,100310,1.0,0.0,1.0,0.0,0.0
6,123,metro_1m_5m,101468,1.0,0.0,1.0,0.0,0.0
6,300,non_metro,191932,1.0,0.0,0.0,0.0,1.0
6,700,metro_under_1m,211632,1.0,0.0,0.0,1.0,0.0
6,1100,non_metro,132697,1.0,0.0,0.0,0.0,1.0
6,1301,metro_1m_5m,129420,1.0,0.0,1.0,0.0,0.0
6,1305,metro_1m_5m,143688,1.0,0.0,1.0,0.0,0.0
6,1308,metro_1m_5m,120154,1.0,0.0,1.0,0.0,0.0
6,1309,metro_1m_5m,125676,1.0,0.0,1.0,0.0,0.0
6,1310,metro_1m_5m,140962,1.0,0.0,1.0,0.0,0.0
6,1311,metro_1m_5m,122701,1.0,0.0,1.0,0.0,0.0
6,1312,metro_1m_5m,103075,1.0,0.0,1.0,0.0,0.0
6,1313,metro_1m_5m,177708,1.0,0.0,1.0,0.0,0.0
6,1314,metro_1m_5m,102543,1.0,0.0,1.0,0.0,0.0
6,1500,non_metro,133039,1.0,0.0,0.0,0.0,1.0
6,1700,metro_1m_5m,191185,1.0,0.0,1.0,0.0,0.0
6,1901,metro_1m_5m,147233,1.0,0.0,1.0,0.0,0.0
6,1902,metro_1m_5m,190983,1.0,0.0,1.0,0.0,0.0
6,1903,metro_1m_5m,110562,1.0,0.0,1.0,0.0,0.0
6,1904,metro_1m_5m,180060,1.0,0.0,1.0,0.0,0.0
6,1905,metro_1m_5m,116597,1.0,0.0,1.0,0.0,0.0
6,1906,metro_1m_5m,129784,1.0,0.0,1.0,0.0,0.0
6,1907,metro_1m_5m,133435,1.0,0.0,1.0,0.0,0.0
6,2300,non_metro,136463,1.0,0.0,0.0,0.0,1.0
6,2500,metro_under_1m,179702,1.0,0.0,0.0,1.0,0.0
6,2903,metro_under_1m,168325,1.0,0.0,0.0,1.0,0.0
6,2904,metro_under_1m,113912,1.0,0.0,0.0,1.0,0.0
6,2905,metro_under_1m,192671,1.0,0.0,0.0,1.0,0.0
6,2906,metro_under_1m,157085,1.0,0.0,0.0,1.0,0.0
6,2907,metro_under_1m,107020,1.0,0.0,0.0,1.0,0.0
6,2908,metro_under_1m,170222,1.0,0.0,0.0,1.0,0.0
6,3100,metro_under_1m,152486,1.0,0.0,0.0,1.0,0.0
6,3300,non_metro,159764,1.0,0.0,0.0,0.0,1.0
6,3703,metro_5m_plus,180992,1.0,1.0,0.0,0.0,0.0
6,3704,metro_5m_plus,187217,1.0,1.0,0.0,0.0,0.0
6,3705,metro_5m_plus,179412,1.0,1.0,0.0,0.0,0.0
6,3706,metro_5m_plus,143024,1.0,1.0,0.0,0.0,0.0
6,3707,metro_5m_plus,149090,1.0,1.0,0.0,0.0,0.0
6,3708,metro_5m_plus,137084,1.0,1.0,0.0,0.0,0.0
6,3709,metro_5m_plus,111527,1.0,1.0,0.0,0.0,0.0
6,3710,metro_5m_plus,181086,1.0,1.0,0.0,0.0,0.0
6,3711,metro_5m_plus,164821,1.0,1.0,0.0,0.0,0.0
6,3712,metro_5m_plus,151939,1.0,1.0,0.0,0.0,0.0
6,3713,metro_5m_plus,115271,1.0,1.0,0.0,0.0,0.0
6,3714,metro_5m_plus,107378,1.0,1.0,0.0,0.0,0.0
6,3715,metro_5m_plus,120624,1.0,1.0,0.0,0.0,0.0
6,3716,metro_5m_plus,104622,1.0,1.0,0.0,0.0,0.0
6,3717,metro_5m_plus,190304,1.0,1.0,0.0,0.0,0.0
6,3718,metro_5m_plus,136675,1.0,1.0,0.0,0.0,0.0
6,3719,metro_5m_plus,196543,1.0,1.0,0.0,0.0,0.0
6,3720,metro_5m_plus,122786,1.0,1.0,0.0,0.0,0.0
6,3721,metro_5m_plus,135948,1.0,1.0,0.0,0.0,0.0
6,3722,metro_5m_plus,166269,1.0,1.0,0.0,0.0,0.0
6,3723,metro_5m_plus,142813,1.0,1.0,0.0,0.0,0.0
6,3724,metro_5m_plus,174337,1.0,1.0,0.0,0.0,0.0
6,3725,metro_5m_plus,182789,1.0,1.0,0.0,0.0,0.0
6,3728,metro_5m_plus,106835,1.0,1.0,0.0,0.0,0.0
6,3730,metro_5m_plus,167510,1.0,1.0,0.0,0.0,0.0
6,3731,metro_5m_plus,109232,1.0,1.0,0.0,0.0,0.0
6,3732,metro_5m_plus,172212,1.0,1.0,0.0,0.0,0.0
6,3733,metro_5m_plus,113324,1.0,1.0,0.0,0.0,0.0
6,3734,metro_5m_plus,192514,1.0,1.0,0.0,0.0,0.0
6,3735,metro_5m_plus,183205,1.0,1.0,0.0,0.0,0.0
6,3736,metro_5m_plus,115745,1.0,1.0,0.0,0.0,0.0
6,3737,metro_5m_plus,126123,1.0,1.0,0.0,0.0,0.0
6,3738,metro_5m_plus,127671,1.0,1.0,0.0,0.0,0.0
6,3739,metro_5m_plus,171513,1.0,1.0,0.0,0.0,0.0
6,3740,metro_5m_plus,127928,1.0,1.0,0.0,0.0,0.0
6,3741,metro_5m_plus,133387,1.0,1.0,0.0,0.0,0.0
6,3742,metro_5m_plus,128584,1.0,1.0,0.0,0.0,0.0
6,3743,metro_5m_plus,116045,1.0,1.0,0.0,0.0,0.0
6,3744,metro_5m_plus,190188,1.0,1.0,0.0,0.0,0.0
6,3745,metro_5m_plus,121879,1.0,1.0,0.0,0.0,0.0
6,3746,metro_5m_plus,109171,1.0,1.0,0.0,0.0,0.0
6,3747,metro_5m_plus,164789,1.0,1.0,0.0,0.0,0.0
6,3748,metro_5m_plus,189044,1.0,1.0,0.0,0.0,0.0
6,3750,metro_5m_plus,178716,1.0,1.0,0.0,0.0,0.0
6,3751,metro_5m_plus,158065,1.0,1.0,0.0,0.0,0.0
6,3752,metro_5m_plus,166850,1.0,1.0,0.0,0.0,0.0
6,3753,metro_5m_plus,112920,1.0,1.0,0.0,0.0,0.0
6,3754,metro_5m_plus,135779,1.0,1.0,0.0,0.0,0.0
6,3757,metro_5m_plus,158642,1.0,1.0,0.0,0.0,0.0
6,3758,metro_5m_plus,157965,1.0,1.0,0.0,0.0,0.0
6,3759,metro_5m_plus,115060,1.0,1.0,0.0,0.0,0.0
6,3760,metro_5m_plus,144082,1.0,1.0,0.0,0.0,0.0
6,3761,metro_5m_plus,127249,1.0,1.0,0.0,0.0,0.0
6,3762,metro_5m_plus,119407,1.0,1.0,0.0,0.0,0.0
6,3763,metro_5m_plus,145286,1.0,1.0,0.0,0.0,0.0
6,3764,metro_5m_plus,162735,1.0,1.0,0.0,0.0,0.0
6,3766,metro_5m_plus,102364,1.0,1.0,0.0,0.0,0.0
6,3767,metro_5m_plus,179879,1.0,1.0,0.0,0.0,0.0
6,3768,metro_5m_plus,112382,1.0,1.0,0.0,0.0,0.0
6,3770,metro_5m_plus,101081,1.0,1.0,0.0,0.0,0.0
6,3771,metro_5m_plus,109406,1.0,1.0,0.0,0.0,0.0
6,3772,metro_5m_plus,103912,1.0,1.0,0.0,0.0,0.0
6,3773,metro_5m_plus,127759,1.0,1.0,0.0,0.0,0.0
6,3774,metro_5m_plus,141081,1.0,1.0,0.0,0.0,0.0
6,3775,metro_5m_plus,116054,1.0,1.0,0.0,0.0,0.0
6,3776,metro_5m_plus,106278,1.0,1.0,0.0,0.0,0.0
6,3778,metro_5m_plus,111631,1.0,1.0,0.0,0.0,0.0
6,3779,metro_5m_plus,118467,1.0,1.0,0.0,0.0,0.0
6,3780,metro_5m_plus,113902,1.0,1.0,0.0,0.0,0.0
6,3781,metro_5m_plus,104684,1.0,1.0,0.0,0.0,0.0
6,3782,metro_5m_plus,132923,1.0,1.0,0.0,0.0,0.0
6,3900,metro_1m_5m,156255,1.0,0.0,1.0,0.0,0.0
6,4103,metro_1m_5m,103006,1.0,0.0,1.0,0.0,0.0
6,4104,metro_1m_5m,159315,1.0,0.0,1.0,0.0,0.0
6,4701,metro_under_1m,116427,1.0,0.0,0.0,1.0,0.0
6,4702,metro_under_1m,164775,1.0,0.0,0.0,1.0,0.0
6,5301,metro_under_1m,183635,1.0,0.0,0.0,1.0,0.0
6,5302,metro_under_1m,177254,1.0,0.0,0.0,1.0,0.0
6,5303,metro_under_1m,142355,0.549,0.0,0.451,0.549,0.0
6,5500,metro_under_1m,138019,1.0,0.0,0.0,1.0,0.0
6,5700,non_metro,105477,1.0,0.0,0.0,0.0,1.0
6,5906,metro_5m_plus,191861,1.0,1.0,0.0,0.0,0.0
6,5907,metro_5m_plus,197785,1.0,1.0,0.0,0.0,0.0
6,5908,metro_5m_plus,185233,1.0,1.0,0.0,0.0,0.0
6,5909,metro_5m_plus,147609,1.0,1.0,0.0,0.0,0.0
6,5912,metro_5m_plus,170318,1.0,1.0,0.0,0.0,0.0
6,5913,metro_5m_plus,160453,1.0,1.0,0.0,0.0,0.0
6,5914,metro_5m_plus,196817,1.0,1.0,0.0,0.0,0.0
6,5916,metro_5m_plus,145406,1.0,1.0,0.0,0.0,0.0
6,5917,metro_5m_plus,156226,1.0,1.0,0.0,0.0,0.0
6,5918,metro_5m_plus,180550,1.0,1.0,0.0,0.0,0.0
6,5919,metro_5m_plus,195610,1.0,1.0,0.0,0.0,0.0
6,5920,metro_5m_plus,146112,1.0,1.0,0.0,0.0,0.0
6,5921,metro_5m_plus,141087,1.0,1.0,0.0,0.0,0.0
6,5922,metro_5m_plus,126879,1.0,1.0,0.0,0.0,0.0
6,5923,metro_5m_plus,142279,1.0,1.0,0.0,0.0,0.0
6,5924,metro_5m_plus,108296,1.0,1.0,0.0,0.0,0.0
6,5925,metro_5m_plus,179661,1.0,1.0,0.0,0.0,0.0
6,5926,metro_5m_plus,117535,1.0,1.0,0.0,0.0,0.0
6,5927,metro_5m_plus,109926,1.0,1.0,0.0,0.0,0.0
6,5928,metro_5m_plus,187346,1.0,1.0,0.0,0.0,0.0
6,6101,metro_1m_5m,153933,1.0,0.0,1.0,0.0,0.0
6,6102,metro_1m_5m,134491,1.0,0.0,1.0,0.0,0.0
6,6103,metro_1m_5m,116315,1.0,0.0,1.0,0.0,0.0
6,6501,metro_1m_5m,186546,1.0,0.0,1.0,0.0,0.0
6,6502,metro_1m_5m,131953,1.0,0.0,1.0,0.0,0.0
6,6507,metro_1m_5m,174601,1.0,0.0,1.0,0.0,0.0
6,6509,metro_1m_5m,133883,1.0,0.0,1.0,0.0,0.0
6,6511,metro_1m_5m,170401,1.0,0.0,1.0,0.0,0.0
6,6514,metro_1m_5m,174806,1.0,0.0,1.0,0.0,0.0
6,6515,metro_1m_5m,159907,1.0,0.0,1.0,0.0,0.0
6,6516,metro_1m_5m,105256,1.0,0.0,1.0,0.0,0.0
6,6517,metro_1m_5m,117025,1.0,0.0,1.0,0.0,0.0
6,6518,metro_1m_5m,104737,1.0,0.0,1.0,0.0,0.0
6,6519,metro_1m_5m,103154,1.0,0.0,1.0,0.0,0.0
6,6520,metro_1m_5m,151005,1.0,0.0,1.0,0.0,0.0
6,6521,metro_1m_5m,108390,1.0,0.0,1.0,0.0,0.0
6,6522,metro_1m_5m,137302,1.0,0.0,1.0,0.0,0.0
6,6523,metro_1m_5m,140891,1.0,0.0,1.0,0.0,0.0
6,6524,metro_1m_5m,185773,1.0,0.0,1.0,0.0,0.0
6,6525,metro_1m_5m,132555,1.0,0.0,1.0,0.0,0.0
6,6701,metro_1m_5m,111579,1.0,0.0,1.0,0.0,0.0
6,6703,metro_1m_5m,119575,1.0,0.0,1.0,0.0,0.0
6,6704,metro_1m_5m,137958,1.0,0.0,1.0,0.0,0.0
6,6705,metro_1m_5m,123062,1.0,0.0,1.0,0.0,0.0
6,6706,metro_1m_5m,126366,1.0,0.0,1.0,0.0,0.0
6,6707,metro_1m_5m,133374,1.0,0.0,1.0,0.0,0.0
6,6709,metro_1m_5m,147629,1.0,0.0,1.0,0.0,0.0
6,6712,metro_1m_5m,118728,1.0,0.0,1.0,0.0,0.0
6,6713,metro_1m_5m,105450,1.0,0.0,1.0,0.0,0.0
6,6714,metro_1m_5m,141800,1.0,0.0,1.0,0.0,0.0
6,6715,metro_1m_5m,106336,1.0,0.0,1.0,0.0,0.0
6,6716,metro_1m_5m,109195,1.0,0.0,1.0,0.0,0.0
6,6717,metro_1m_5m,104003,1.0,0.0,1.0,0.0,0.0
6,7101,metro_1m_5m,141621,1.0,0.0,1.0,0.0,0.0
6,7102,metro_1m_5m,188899,1.0,0.0,1.0,0.0,0.0
6,7103,metro_1m_5m,183441,1.0,0.0,1.0,0.0,0.0
6,7104,metro_1m_5m,120206,1.0,0.0,1.0,0.0,0.0
6,7105,metro_1m_5m,147345,1.0,0.0,1.0,0.0,0.0
6,7107,metro_1m_5m,113673,1.0,0.0,1.0,0.0,0.0
6,7108,metro_1m_5m,177845,1.0,0.0,1.0,0.0,0.0
6,7110,metro_1m_5m,110688,1.0,0.0,1.0,0.0,0.0
6,7111,metro_1m_5m,174456,1.0,0.0,1.0,0.0,0.0
6,7112,metro_1m_5m,127336,1.0,0.0,1.0,0.0,0.0
6,7115,metro_1m_5m,122576,1.0,0.0,1.0,0.0,0.0
6,7116,metro_1m_5m,112249,1.0,0.0,1.0,0.0,0.0
6,7117,metro_1m_5m,110645,1.0,0.0,1.0,0.0,0.0
6,7118,metro_1m_5m,180848,1.0,0.0,1.0,0.0,0.0
6,7119,metro_1m_5m,169826,1.0,0.0,1.0,0.0,0.0
6,7301,metro_1m_5m,196491,1.0,0.0,1.0,0.0,0.0
6,7302,metro_1m_5m,125831,1.0,0.0,1.0,0.0,0.0
6,7306,metro_1m_5m,144300,1.0,0.0,1.0,0.0,0.0
6,7307,metro_1m_5m,112315,1.0,0.0,1.0,0.0,0.0
6,7308,metro_1m_5m,128327,1.0,0.0,1.0,0.0,0.0
6,7310,metro_1m_5m,165369,1.0,0.0,1.0,0.0,0.0
6,7311,metro_1m_5m,123938,1.0,0.0,1.0,0.0,0.0
6,7312,metro_1m_5m,123738,1.0,0.0,1.0,0.0,0.0
6,7313,metro_1m_5m,189588,1.0,0.0,1.0,0.0,0.0
6,7314,metro_1m_5m,159220,1.0,0.0,1.0,0.0,0.0
6,7315,metro_1m_5m,166232,1.0,0.0,1.0,0.0,0.0
6,7316,metro_1m_5m,178604,1.0,0.0,1.0,0.0,0.0
6,7317,metro_1m_5m,164963,1.0,0.0,1.0,0.0,0.0
6,7322,metro_1m_5m,141103,1.0,0.0,1.0,0.0,0.0
6,7323,metro_1m_5m,116522,1.0,0.0,1.0,0.0,0.0
6,7324,metro_1m_5m,131292,1.0,0.0,1.0,0.0,0.0
6,7325,metro_1m_5m,126224,1.0,0.0,1.0,0.0,0.0
6,7326,metro_1m_5m,173372,1.0,0.0,1.0,0.0,0.0
6,7327,metro_1m_5m,149834,1.0,0.0,1.0,0.0,0.0
6,7328,metro_1m_5m,132376,1.0,0.0,1.0,0.0,0.0
6,7329,metro_1m_5m,168881,1.0,0.0,1.0,0.0,0.0
6,7330,metro_1m_5m,180114,1.0,0.0,1.0,0.0,0.0
6,7507,metro_1m_5m,115070,1.0,0.0,1.0,0.0,0.0
6,7508,metro_1m_5m,100221,1.0,0.0,1.0,0.0,0.0
6,7509,metro_1m_5m,115773,1.0,0.0,1.0,0.0,0.0
6,7510,metro_1m_5m,107058,1.0,0.0,1.0,0.0,0.0
6,7511,metro_1m_5m,128619,1.0,0.0,1.0,0.0,0.0
6,7512,metro_1m_5m,100691,1.0,0.0,1.0,0.0,0.0
6,7513,metro_1m_5m,104289,1.0,0.0,1.0,0.0,0.0
6,7514,metro_1m_5m,102244,1.0,0.0,1.0,0.0,0.0
6,7705,metro_under_1m,197729,1.0,0.0,0.0,1.0,0.0
6,7706,metro_under_1m,170975,1.0,0.0,0.0,1.0,0.0
6,7707,metro_under_1m,126319,1.0,0.0,0.0,1.0,0.0
6,7708,metro_under_1m,163651,1.0,0.0,0.0,1.0,0.0
6,7709,metro_under_1m,120559,1.0,0.0,0.0,1.0,0.0
6,7901,metro_under_1m,168697,1.0,0.0,0.0,1.0,0.0
6,7902,metro_under_1m,113727,1.0,0.0,0.0,1.0,0.0
6,8101,metro_1m_5m,142648,1.0,0.0,1.0,0.0,0.0
6,8102,metro_1m_5m,123800,1.0,0.0,1.0,0.0,0.0
6,8103,metro_1m_5m,110800,1.0,0.0,1.0,0.0,0.0
6,8104,metro_1m_5m,129709,1.0,0.0,1.0,0.0,0.0
6,8105,metro_1m_5m,139778,1.0,0.0,1.0,0.0,0.0
6,8106,metro_1m_5m,117707,1.0,0.0,1.0,0.0,0.0
6,8301,metro_under_1m,134057,1.0,0.0,0.0,1.0,0.0
6,8302,metro_under_1m,108260,1.0,0.0,0.0,1.0,0.0
6,8303,metro_under_1m,205912,1.0,0.0,0.0,1.0,0.0
6,8505,metro_1m_5m,109318,1.0,0.0,1.0,0.0,0.0
6,8506,metro_1m_5m,128486,1.0,0.0,1.0,0.0,0.0
6,8507,metro_1m_5m,143265,1.0,0.0,1.0,0.0,0.0
6,8508,metro_1m_5m,140927,1.0,0.0,1.0,0.0,0.0
6,8510,metro_1m_5m,160284,1.0,0.0,1.0,0.0,0.0
6,8511,metro_1m_5m,108867,1.0,0.0,1.0,0.0,0.0
6,8512,metro_1m_5m,113250,1.0,0.0,1.0,0.0,0.0
6,8515,metro_1m_5m,102829,1.0,0.0,1.0,0.0,0.0
6,8516,metro_1m_5m,160703,1.0,0.0,1.0,0.0,0.0
6,8517,metro_1m_5m,126117,1.0,0.0,1.0,0.0,0.0
6,8518,metro_1m_5m,108171,1.0,0.0,1.0,0.0,0.0
6,8519,metro_1m_5m,167708,1.0,0.0,1.0,0.0,0.0
6,8520,metro_1m_5m,117246,1.0,0.0,1.0,0.0,0.0
6,8521,metro_1m_5m,133325,1.0,0.0,1.0,0.0,0.0
6,8522,metro_1m_5m,115763,1.0,0.0,1.0,0.0,0.0
6,8701,metro_under_1m,153412,1.0,0.0,0.0,1.0,0.0
6,8702,metro_under_1m,117449,1.0,0.0,0.0,1.0,0.0
6,8900,metro_under_1m,182155,1.0,0.0,0.0,1.0,0.0
6,9501,metro_under_1m,154611,1.0,0.0,0.0,1.0,0.0
6,9502,metro_under_1m,155753,1.0,0.0,0.0,1.0,0.0
