group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
usb_mexican_ancestry,men,18_24,all,reserve_guard_only,33768,1384112,0.00834904,0.000620647,0.823509,0.0667496,0.152735
usb_mexican_ancestry,men,18_24,household,ever_active_duty,28633,1301258,0.0194581,0.000968263,0.756673,0.0401596,0
usb_mexican_ancestry,men,18_24,household,now_active_duty,28633,1301258,0.00948954,0.000711317,0.718798,0.0584836,0
usb_mexican_ancestry,men,18_24,household,reserve_guard_only,28633,1301258,0.00752426,0.000616747,0.752368,0.0663667,0
usb_mexican_ancestry,men,18_49,all,ever_active_duty,98986,4068771,0.0532223,0.00101118,0.758512,0.0146678,0.147178
usb_mexican_ancestry,men,18_49,all,now_active_duty,98986,4068771,0.0161727,0.000494071,1.04087,0.0338249,0.427807
usb_mexican_ancestry,men,18_49,all,reserve_guard_only,98986,4068771,0.00984466,0.000394169,0.808886,0.0352708,0.0641607
usb_mexican_ancestry,men,18_49,household,ever_active_duty,86475,3872821,0.0476857,0.000970217,0.692111,0.0143639,0
usb_mexican_ancestry,men,18_49,household,now_active_duty,86475,3872821,0.00972211,0.000442143,0.760779,0.0358081,0
usb_mexican_ancestry,men,18_49,household,reserve_guard_only,86475,3872821,0.00967916,0.000424347,0.789326,0.0369291,0
usb_mexican_ancestry,men,25_49,all,ever_active_duty,65218,2684659,0.062113,0.00130278,0.779482,0.0167461,0.0443432
usb_mexican_ancestry,men,25_49,all,now_active_duty,65218,2684659,0.0112354,0.000529764,0.849404,0.0405845,0.161112
usb_mexican_ancestry,men,25_49,all,reserve_guard_only,65218,2684659,0.0106157,0.000537056,0.833891,0.0446099,0.0282459
usb_mexican_ancestry,men,25_49,household,ever_active_duty,57842,2571563,0.0619693,0.00128543,0.777933,0.01659,0
usb_mexican_ancestry,men,25_49,household,now_active_duty,57842,2571563,0.0098398,0.000521253,0.776389,0.0415833,0
usb_mexican_ancestry,men,25_49,household,reserve_guard_only,57842,2571563,0.0107696,0.000563618,0.839659,0.0462839,0
usb_mexican_ancestry,men,25_34,all,ever_active_duty,34543,1414391,0.0508598,0.00131842,0.770962,0.0210687,0.0721385
usb_mexican_ancestry,men,25_34,all,now_active_duty,34543,1414391,0.0145193,0.000805642,0.786197,0.0436359,0.20322
usb_mexican_ancestry,men,25_34,all,reserve_guard_only,34543,1414391,0.0117949,0.000766278,0.867511,0.0604731,0.0358056
usb_mexican_ancestry,men,25_34,household,ever_active_duty,30863,1357686,0.0491618,0.00128965,0.757748,0.0208792,0
usb_mexican_ancestry,men,25_34,household,now_active_duty,30863,1357686,0.0120519,0.000787998,0.708576,0.0459828,0
usb_mexican_ancestry,men,25_34,household,reserve_guard_only,30863,1357686,0.0118476,0.000801014,0.866193,0.062125,0
usb_mexican_ancestry,men,18_plus_born_1956_on,all,ever_active_duty,121091,4834690,0.0644751,0.000864596,0.688201,0.0094297,0.108097
usb_mexican_ancestry,men,18_plus_born_1956_on,all,now_active_duty,121091,4834690,0.0137034,0.000412087,1.38158,0.0441265,0.425458
usb_mexican_ancestry,men,18_plus_born_1956_on,all,reserve_guard_only,121091,4834690,0.01139,0.00041173,0.79064,0.0301532,0.0540917
usb_mexican_ancestry,men,18_plus_born_1956_on,household,ever_active_duty,106947,4614920,0.0602441,0.000827618,0.644441,0.00899147,0
usb_mexican_ancestry,men,18_plus_born_1956_on,household,now_active_duty,106947,4614920,0.0082481,0.000370548,1.01228,0.0470128,0
usb_mexican_ancestry,men,18_plus_born_1956_on,household,reserve_guard_only,106947,4614920,0.0112869,0.000423043,0.777551,0.0304355,0
usb_mexican_ancestry,women,18_24,all,ever_active_duty,32343,1357226,0.00934308,0.000701166,1.38843,0.118291,0.395405
usb_mexican_ancestry,women,18_24,all,now_active_duty,32343,1357226,0.00661791,0.000620666,1.58202,0.172772,0.505678
usb_mexican_ancestry,women,18_24,all,reserve_guard_only,32343,1357226,0.00340376,0.000436495,1.10805,0.158078,0.155783
usb_mexican_ancestry,women,18_24,household,ever_active_duty,28346,1286254,0.00596046,0.000622779,1.10924,0.122651,0
usb_mexican_ancestry,women,18_24,household,now_active_duty,28346,1286254,0.00345189,0.000502376,1.33333,0.212221,0
usb_mexican_ancestry,women,18_24,household,reserve_guard_only,28346,1286254,0.00303206,0.0003646,0.969677,0.134214,0
usb_mexican_ancestry,women,18_49,all,ever_active_duty,97045,3999927,0.0114577,0.000463208,0.891388,0.0364583,0.127217
usb_mexican_ancestry,women,18_49,all,now_active_duty,97045,3999927,0.00377407,0.000270706,1.47173,0.113878,0.340995
usb_mexican_ancestry,women,18_49,all,reserve_guard_only,97045,3999927,0.0029333,0.000232078,0.874465,0.069302,0.0689508
usb_mexican_ancestry,women,18_49,household,ever_active_duty,91710,3910582,0.0102286,0.00045921,0.805109,0.0363457,0
usb_mexican_ancestry,women,18_49,household,now_active_duty,91710,3910582,0.00254395,0.000236076,1.18415,0.116401,0
usb_mexican_ancestry,women,18_49,household,reserve_guard_only,91710,3910582,0.00279345,0.000205263,0.830189,0.0619731,0
usb_mexican_ancestry,women,25_49,all,ever_active_duty,64702,2642701,0.0125437,0.000563524,0.864885,0.0392901,0.0246259
usb_mexican_ancestry,women,25_49,all,now_active_duty,64702,2642701,0.00231354,0.000244268,1.087,0.121388,0.0990623
usb_mexican_ancestry,women,25_49,all,reserve_guard_only,64702,2642701,0.00269169,0.000238809,0.784634,0.0700696,0.0125586
usb_mexican_ancestry,women,25_49,household,ever_active_duty,63364,2624328,0.0123205,0.000563707,0.853172,0.0394534,0
usb_mexican_ancestry,women,25_49,household,now_active_duty,63364,2624328,0.00209895,0.000233256,1.02689,0.120453,0
usb_mexican_ancestry,women,25_49,household,reserve_guard_only,63364,2624328,0.00267649,0.000239214,0.782329,0.0705014,0
usb_mexican_ancestry,women,25_34,all,ever_active_duty,33818,1413379,0.0109902,0.00064152,0.948244,0.0603821,0.0369099
usb_mexican_ancestry,women,25_34,all,now_active_duty,33818,1413379,0.0032091,0.000374381,1.00327,0.125335,0.121849
usb_mexican_ancestry,women,25_34,all,reserve_guard_only,33818,1413379,0.0027176,0.000353607,0.730257,0.0978516,0.0105875
usb_mexican_ancestry,women,25_34,household,ever_active_duty,33160,1404584,0.0106508,0.000665623,0.934371,0.0631519,0
usb_mexican_ancestry,women,25_34,household,now_active_duty,33160,1404584,0.00283572,0.000371113,0.945474,0.132737,0
usb_mexican_ancestry,women,25_34,household,reserve_guard_only,33160,1404584,0.00270567,0.000355927,0.730612,0.0988366,0
usb_mexican_ancestry,women,18_plus_born_1956_on,all,ever_active_duty,121566,4806167,0.0116965,0.00040276,0.782516,0.0272185,0.10477
usb_mexican_ancestry,women,18_plus_born_1956_on,all,now_active_duty,121566,4806167,0.00315248,0.000226122,1.97399,0.151108,0.340432
usb_mexican_ancestry,women,18_plus_born_1956_on,all,reserve_guard_only,121566,4806167,0.00304733,0.00021061,0.937686,0.0649738,0.0577632
usb_mexican_ancestry,women,18_plus_born_1956_on,household,ever_active_duty,115844,4711448,0.0106816,0.000396248,0.716656,0.0266248,0
usb_mexican_ancestry,women,18_plus_born_1956_on,household,now_active_duty,115844,4711448,0.00212107,0.000196792,1.59045,0.153838,0
usb_mexican_ancestry,women,18_plus_born_1956_on,household,reserve_guard_only,115844,4711448,0.00292904,0.000190432,0.898915,0.0589654,0
mexico_born,men,18_24,all,ever_active_duty,7496,316841,0.00783883,0.00115293,0.220144,0.0320425,0.372299
mexico_born,men,18_24,all,now_active_duty,7496,316841,0.00447437,0.000912434,0.187009,0.0377003,0.481778
mexico_born,men,18_24,all,reserve_guard_only,7496,316841,0.00427343,0.000899273,0.421511,0.0897824,0.106105
mexico_born,men,18_24,household,ever_active_duty,6496,299896,0.00519847,0.00114334,0.202155,0.0443326,0
mexico_born,men,18_24,household,now_active_duty,6496,299896,0.00244974,0.000859123,0.185559,0.0648084,0
mexico_born,men,18_24,household,reserve_guard_only,6496,299896,0.00403585,0.000914602,0.403554,0.0915029,0
mexico_born,men,18_49,all,ever_active_duty,72464,3260161,0.0135963,0.00053855,0.193771,0.00768152,0.041458
mexico_born,men,18_49,all,now_active_duty,72464,3260161,0.0020544,0.000179209,0.13222,0.0115497,0.125914
mexico_born,men,18_49,all,reserve_guard_only,72464,3260161,0.0032209,0.000252925,0.264645,0.0215308,0.04514
mexico_born,men,18_49,household,ever_active_duty,66747,3166069,0.0134199,0.000552479,0.194777,0.00802105,0
mexico_born,men,18_49,household,now_active_duty,66747,3166069,0.00184909,0.00018626,0.144696,0.0146353,0
mexico_born,men,18_49,household,reserve_guard_only,66747,3166069,0.00316691,0.000265084,0.258258,0.0223837,0
mexico_born,men,25_49,all,ever_active_duty,64968,2943320,0.014216,0.000608553,0.178403,0.00763486,0.02182
